step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81
1	-1829.955430321870153	-1836.810918272829440	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.712063655095880	0	2	4	3	5	4	4	6	5	5	4	5	5	6	6	5	7	8	7	7	8	7	7	8	9	9	8	8	8	8	9	8	8	9	8	10	9	9	9	10	12	9	9	9	9	11	11	11	11	12	12	12	13	13	14	13	13	15	16	16	14	17	15	16	17	16	17	17	16	18	19	19	18	19	19	20	20	20	21	22	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	2	3	3	3	2	3	3	3	3	3	4	4	4	4	4	4	4	4	5	5	4	4	4	4	5	4	4	5	4	5	5	5	5	5	6	5	5	5	5	6	6	6	6	6	6	6	7	7	7	7	7	8	8	8	7	9	8	8	9	8	9	9	8	9	10	10	9	10	10	10	10	10	11	11	13
500	-521.554759921752634	-528.410247872712034	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.435183699184571	0	2	3	3	6	5	4	7	5	5	5	4	6	5	6	5	7	8	7	7	8	6	4	6	9	8	9	8	8	7	8	7	9	8	9	11	9	10	10	10	13	9	9	9	10	10	11	12	12	12	12	11	12	12	14	14	13	15	16	16	14	18	15	16	17	16	18	16	17	18	20	19	17	19	19	20	20	21	22	23	25	0	1	2	2	2	2	3	2	3	23	7	2	4	4	23	23	2	4	7	7	4	10	3	16	8	23	13	5	16	23	9	24	12	8	9	32	2	31	14	10	31	32	24	7	19	26	21	43	26	7	38	43	28	26	50	46	52	50	51	56	51	55	20	48	52	51	54	48	55	51	50	60	43	69	52	67	50	69	57	68	74	1	1	1	1	2	1	1	3	2	1	1	1	2	1	1	1	2	2	3	2	3	1	1	1	1	1	1	1	2	2	2	1	2	1	2	2	3	1	3	2	2	2	2	3	2	1	2	2	2	3	2	1	1	2	1	2	1	2	2	1	1	3	4	2	3	3	3	3	2	4	4	2	5	1	4	1	5	2	4	6	2
1000	-445.521962883735569	-452.377450834694969	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.569676858672925	0	2	2	3	5	4	3	7	5	6	5	6	5	6	6	5	7	8	6	7	8	8	4	8	10	9	8	7	8	8	9	7	8	10	9	10	10	10	9	10	12	10	9	10	8	12	11	11	11	12	11	12	13	13	14	13	13	15	15	17	14	16	16	17	17	17	17	17	17	17	19	19	18	19	19	21	20	18	21	23	25	0	1	1	1	4	4	3	4	3	23	3	6	2	6	16	23	5	4	11	7	2	10	3	32	9	10	8	14	16	23	10	16	12	21	19	24	4	29	28	29	31	32	32	19	19	38	18	26	31	44	31	48	39	51	50	51	30	50	51	51	54	58	55	52	48	61	54	57	50	61	55	60	68	58	68	60	44	69	52	68	74	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	2	2	1	1	2	2	2	1	1	1	2	1	3	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	2	1	1	3	2	2	3	1	1	1	3	2	2	2	3	3	2	2	1	1	2	1	2	4	1	4	4	3
1500	-440.080523222652971	-446.936011173612371	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.614576376597198	0	2	1	3	4	5	4	6	5	4	5	5	5	7	6	5	8	8	6	7	7	7	7	8	9	7	7	9	8	8	9	7	8	8	8	9	9	8	9	11	11	9	10	9	9	10	11	12	12	13	11	12	13	14	14	14	14	14	16	17	15	17	15	17	18	17	17	16	17	18	18	19	19	19	19	20	21	20	21	22	24	0	1	1	2	1	4	3	5	7	3	7	4	4	5	10	10	8	8	7	7	8	10	10	32	9	16	4	33	16	26	22	16	8	8	7	24	27	22	14	23	31	24	32	19	19	38	37	43	15	45	46	42	28	51	35	51	43	50	54	51	51	63	55	57	48	61	56	48	58	66	55	67	68	69	68	67	74	69	75	68	77	1	1	1	1	2	1	2	1	1	2	1	1	2	1	2	1	1	1	1	2	1	2	2	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	2	1	1	1	2	3	1	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	1	2	1	2	1	2	1	2	2	1	4	1
2000	-443.075526937198163	-449.931014888157563	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.712003416217063	0	2	3	3	5	3	2	4	5	4	4	5	6	6	5	6	7	7	7	5	7	8	7	7	8	7	8	8	8	7	9	9	9	9	9	11	9	9	9	10	12	9	9	10	9	11	11	11	11	12	12	12	13	13	13	13	13	14	16	15	14	16	14	16	15	17	17	18	16	19	20	18	16	18	18	20	19	20	20	23	25	0	1	7	1	1	2	1	4	3	3	7	6	5	8	10	10	14	2	7	7	4	10	10	16	9	10	18	14	16	10	30	29	12	17	7	24	27	26	28	29	31	24	24	19	9	31	27	43	31	45	46	43	39	51	45	51	42	50	51	56	56	63	55	48	48	61	59	73	58	61	62	67	52	69	73	67	74	77	75	75	74	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	3	2	1	2	2	2	1	2	2	1	1	1	2	1	1	2	1	2	2	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	2	2	1	3	1	2	1	3	2	1	2	1	2	2	2	1	1	1	2	1	1	2	1	2	1	1	1	1	3	3
2500	-416.570063311670253	-423.425551262629654	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.656106242381593	-1	2	3	3	4	5	4	6	6	4	5	5	5	7	7	6	8	8	7	8	8	5	6	7	9	8	8	9	8	8	10	9	8	9	9	9	7	9	10	10	12	9	9	6	9	10	12	11	12	12	12	11	13	13	13	14	13	16	17	16	15	17	16	16	17	16	16	17	14	19	19	18	17	19	19	20	19	21	21	22	25	0	1	2	1	4	5	3	4	3	3	7	5	4	4	10	10	8	8	44	7	5	10	10	16	3	23	37	14	16	23	30	24	12	17	44	24	13	26	28	16	31	24	24	7	19	38	27	43	26	25	46	43	28	51	50	54	52	69	54	51	54	55	55	57	57	61	54	57	50	66	62	67	48	50	64	60	69	74	68	68	58	1	2	1	2	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	3	1	1	1	1	2	1	1	2	1	2	1	1	1	1	2	1	2	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	1	1	3	1	2	1	1	2	3	1	2	2	2	1	2	3
3000	-442.819440719563261	-449.674928670522661	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.682006803449169	1	3	3	3	6	4	4	6	6	4	5	5	5	7	6	6	5	8	8	7	8	6	7	7	8	9	8	9	6	5	9	9	8	9	6	11	8	9	8	10	11	9	8	10	9	11	11	11	10	10	12	13	12	13	13	14	13	13	16	17	15	17	15	17	17	17	18	17	16	18	20	20	19	17	18	21	20	21	21	21	25	0	1	1	1	6	1	3	4	6	3	7	2	4	12	30	30	4	8	35	7	5	10	30	29	3	10	13	39	30	3	10	24	6	17	7	32	13	25	14	29	38	24	24	35	35	38	37	43	22	19	38	43	28	46	50	54	43	50	54	56	54	63	55	57	52	61	56	52	58	61	62	59	52	69	65	72	74	69	65	75	77	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	2	1	1	1	1	3	2	2	2	1	2	1	1	1	2	2	1	1	2	1	1	2	2	2	1	2	2	1	1	2	1	2	1	1	2	1	2	1	2	2	1	2	2	1	2	1	1	2	1	1	1	2	2	2	1	2
3500	-442.017619040124941	-448.873106991084342	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.650485257884569	1	2	3	3	5	3	4	4	6	4	5	6	5	6	6	5	7	8	6	7	8	8	6	9	10	8	9	9	7	9	9	7	8	9	8	11	9	8	10	10	13	9	9	9	9	11	11	11	10	13	12	13	13	14	14	14	14	14	17	16	14	17	16	16	16	16	16	16	16	16	18	19	19	17	19	21	20	20	21	23	24	0	1	1	2	4	2	3	2	3	3	7	1	4	4	10	10	8	1	7	7	12	23	10	16	9	23	13	14	16	10	10	16	12	17	7	42	13	23	28	23	31	32	32	19	19	38	27	43	26	44	46	43	39	51	50	51	43	50	56	51	51	55	55	48	48	61	54	43	58	61	63	67	68	58	57	72	74	69	65	79	74	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	1	2	2	2	1	2	1	1	2	2	1	1	2	3	1	2	1	1	2	2	2	1	1	2	2	1	2	1	2	1	2	2	2	1	2	2	1	2	2	1	2	2	3	2	2	1	3	1	2	1	2	2	2	2	1	2	2	2	1	3
4000	-437.546784795240228	-444.402272746199628	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.712352680547095	0	3	2	2	5	5	4	7	6	5	5	5	5	6	7	3	8	7	6	6	9	6	7	7	9	9	7	9	8	9	10	8	9	7	8	10	9	9	9	9	12	9	10	10	8	11	10	11	11	13	12	13	13	14	12	13	13	16	16	17	15	17	16	16	17	17	16	17	16	17	19	20	19	18	19	20	21	21	21	23	23	0	4	1	1	1	2	3	2	3	16	7	1	2	13	10	3	18	5	7	7	18	10	10	16	9	23	6	18	16	10	29	16	8	6	19	29	6	29	14	23	31	32	32	19	19	38	5	43	22	55	46	43	28	51	44	51	43	50	56	54	56	63	55	43	48	61	51	57	50	61	62	67	52	63	68	67	74	69	75	79	77	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	2	2	1	2	1	1	2	1	1	1	2	1	1	1	1	2	2	1	3	1	2	1	1	2	2	1	1	1	2	2	2	2	1	1	2	2	3	2	2	2	1	1	1	2	2	1	1	2	2	2	1	1	1
4500	-425.924080611032537	-432.779568561991937	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.746377653245693	0	2	2	3	5	4	4	6	6	4	5	4	5	7	6	6	7	9	7	6	7	8	7	8	9	8	7	9	8	9	9	9	8	9	6	11	7	9	8	9	11	10	10	9	10	10	12	11	11	12	11	13	13	14	14	13	13	14	16	15	13	17	16	15	17	16	17	17	15	17	18	19	19	19	19	20	18	20	21	22	25	0	1	1	2	4	2	3	6	7	3	7	2	4	8	10	10	5	8	7	7	2	23	10	16	9	23	13	39	16	26	26	24	12	8	7	32	13	23	14	26	31	24	24	19	19	31	37	43	31	45	46	43	28	51	45	51	43	45	51	51	51	55	55	52	52	61	56	48	50	61	55	54	65	69	57	72	69	69	68	75	78	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	2	1	2	1	2	1	2	2	2	1	1	2	1	2	2	2	3	1	2	2	3	1	2	3	1	1	2	2	1	2
