step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66
1	-5332.991014181388891	-5338.930211400474036	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.015128769996738	0	1	1	2	2	5	4	4	5	5	5	6	6	6	7	8	9	9	8	9	12	9	10	10	9	10	11	11	11	12	13	13	13	13	14	13	14	15	17	17	16	18	20	19	19	22	19	23	20	21	24	26	25	27	26	30	30	31	33	34	37	38	42	43	45	46	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	3	3	3	3	4	4	5	5	4	5	6	5	5	5	5	5	6	6	6	6	7	7	7	7	7	7	7	8	9	9	8	9	10	10	10	11	10	12	10	11	12	13	13	14	13	15	15	16	17	17	19	19	21	22	23	23
500	-1032.487044824301393	-1038.426242043386537	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.043746643476637	-1	2	0	2	3	3	4	4	5	6	5	6	6	5	5	8	9	8	7	8	13	9	8	10	9	10	9	11	9	12	12	14	12	14	14	13	11	12	18	17	16	18	21	20	19	22	18	24	21	19	25	26	26	28	27	31	31	32	34	34	37	39	42	43	45	46	0	1	1	3	3	4	3	4	4	6	8	4	5	5	3	11	10	5	14	11	4	5	19	19	8	10	15	23	9	15	15	27	18	0	18	33	15	2	36	0	36	15	40	38	29	34	22	40	38	37	38	37	37	37	38	38	38	38	38	38	38	38	42	0	0	0	1	2	1	2	2	1	2	2	2	1	1	2	2	1	4	3	3	2	1	1	5	3	1	2	3	3	2	3	2	5	5	3	2	1	3	1	2	7	3	1	1	11	3	8	4	4	4	4	9	5	8	10	9	11	9	13	14	13	14	11	17	16	20	1	1	1
1000	-875.870507217564068	-881.809704436649326	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.201274291555413	-2	1	-1	1	2	6	5	4	4	6	5	4	7	6	4	8	10	10	9	9	11	10	10	10	10	11	10	11	10	13	14	14	14	12	15	14	14	12	17	17	16	18	20	18	20	22	19	23	19	18	24	27	25	27	26	29	30	31	33	35	37	39	42	43	46	46	0	1	1	3	3	3	4	4	3	3	5	4	15	15	3	11	6	6	7	11	11	15	14	7	16	6	20	7	13	23	7	27	29	0	29	13	38	10	18	0	36	2	44	31	36	38	36	44	38	38	38	38	50	38	50	38	38	50	50	49	50	49	49	0	0	0	1	2	1	1	2	4	2	2	2	4	2	1	2	2	3	2	2	2	2	3	3	2	2	2	1	2	1	4	1	2	6	2	2	1	3	2	1	2	3	1	1	16	1	2	3	6	3	3	6	3	6	8	5	9	5	12	12	9	10	10	15	13	15	1	1	1
1500	-620.706514436387693	-626.645711655472951	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.292756842037495	-1	1	1	2	3	4	4	4	5	5	5	6	7	6	7	7	9	8	8	10	12	9	10	10	10	10	11	11	11	12	14	14	13	13	15	13	15	12	18	16	16	17	21	19	20	21	19	23	21	21	24	26	25	28	24	31	31	32	33	34	38	39	42	42	44	47	0	1	1	3	3	3	4	4	3	7	7	8	9	7	4	11	10	9	7	11	11	5	19	19	16	10	16	23	18	24	15	25	18	0	29	18	34	22	29	0	36	38	40	40	39	38	41	44	42	42	50	50	42	55	49	38	42	49	46	51	55	54	49	0	0	0	1	1	1	1	1	2	1	1	2	1	1	2	2	1	2	2	2	2	2	2	5	3	1	1	1	2	2	1	2	1	3	3	3	1	3	2	1	2	5	1	2	3	3	2	1	5	2	2	3	3	2	3	3	3	2	10	9	6	6	4	8	7	14	1	1	1
2000	-476.596042545947114	-482.535239765032316	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.475676660243785	-1	1	1	2	3	6	4	5	5	4	6	7	6	6	6	9	9	10	7	8	13	8	10	11	10	10	10	11	12	12	13	14	12	12	15	14	15	14	17	16	15	18	19	18	20	23	19	22	20	20	24	26	26	27	27	30	31	31	33	33	37	37	42	44	45	46	0	1	1	3	3	3	4	4	5	4	7	8	5	10	9	4	10	9	14	11	11	5	19	19	20	17	7	23	13	24	6	27	22	0	22	29	34	34	35	0	33	38	40	40	35	42	35	44	42	42	49	46	49	46	52	55	49	54	54	58	56	56	52	0	0	0	1	1	1	1	1	3	1	2	2	1	1	1	2	1	1	3	2	3	1	1	4	3	3	2	1	1	3	1	2	1	3	2	3	1	3	2	2	1	1	1	2	3	2	1	2	4	2	2	1	1	2	2	3	2	1	1	7	2	3	1	5	4	10	1	1	1
2500	-437.981243052838124	-443.920440271923326	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.616632508872909	0	2	1	2	2	5	4	4	5	6	6	6	6	7	8	7	9	9	8	8	12	9	11	9	9	10	11	11	10	12	12	13	13	13	14	13	15	15	17	18	16	18	20	20	19	22	19	24	21	21	25	26	24	27	26	30	30	29	32	34	36	38	42	43	45	45	0	1	1	3	3	3	4	4	5	7	6	8	5	4	10	6	10	5	6	14	16	9	24	14	20	17	20	14	22	24	26	27	22	0	29	29	34	34	18	0	33	37	40	40	33	49	41	44	42	42	49	53	49	53	51	51	52	51	56	58	52	57	62	0	0	0	1	1	1	1	1	2	1	1	1	1	1	1	2	3	1	1	2	3	1	1	2	2	1	1	1	1	1	2	1	1	2	2	2	1	2	2	2	1	3	1	1	1	2	1	3	1	2	2	2	1	2	1	1	1	1	3	1	2	1	4	6	3	3	1	1	1
3000	-428.677265335356992	-434.616462554442194	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.723369726162203	0	2	1	2	3	4	4	4	6	5	5	7	6	6	8	9	9	9	7	8	12	10	9	10	10	11	10	11	11	11	12	12	13	13	14	13	14	15	18	17	17	19	20	19	19	22	20	23	21	20	24	26	26	27	26	31	28	31	34	33	38	38	42	43	44	46	0	1	1	3	4	4	4	4	5	7	7	8	5	7	5	20	11	5	14	11	16	9	19	19	20	10	16	23	18	24	24	27	29	0	22	22	34	34	36	0	35	38	40	40	41	42	41	44	50	42	49	51	46	51	49	54	51	52	58	58	59	59	61	0	0	0	1	1	1	1	1	1	1	2	2	1	1	1	2	1	3	1	2	2	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	1	3	2	2	2	2	1	3	2	2	1	1	1
3500	-416.718888450427812	-422.658085669513014	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.684331720176853	-1	1	0	2	1	4	3	5	5	4	5	6	6	5	7	8	9	9	7	10	13	9	10	10	10	8	12	11	10	11	14	14	14	13	14	13	14	15	16	17	16	18	20	19	20	22	19	23	20	20	25	26	25	27	26	30	30	32	33	34	36	38	42	43	45	45	0	1	1	3	3	3	4	4	5	7	7	8	5	7	6	11	10	9	14	16	16	9	14	19	16	10	25	23	18	24	17	27	22	0	29	22	34	34	29	0	33	34	40	40	35	50	41	44	42	42	49	53	49	53	49	52	55	56	56	56	60	59	62	0	0	0	1	1	1	1	1	2	1	1	2	1	1	1	3	1	1	2	2	2	2	1	2	2	2	1	1	2	1	1	1	1	2	2	3	1	2	2	1	1	3	1	1	2	2	1	3	1	2	3	1	1	2	1	3	2	2	2	2	1	2	3	1	2	1	1	1	1
4000	-445.813992994520959	-451.753190213606160	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.605398698313791	-1	1	1	3	2	5	4	4	6	5	6	5	6	6	8	9	10	10	8	10	12	8	10	11	8	11	12	12	11	12	13	14	12	11	14	13	15	15	17	16	17	18	20	20	18	22	20	22	20	21	24	23	26	27	27	29	31	32	34	33	36	38	42	43	45	46	0	1	1	3	3	3	4	4	5	7	7	8	5	7	13	7	10	22	14	25	7	9	19	19	11	16	25	19	22	24	17	27	18	0	13	18	34	34	36	0	36	37	40	40	36	50	41	44	42	42	49	49	52	53	52	54	55	55	57	55	58	59	62	0	0	0	1	1	2	1	1	2	1	1	2	1	1	1	2	1	1	3	2	1	1	2	3	1	1	1	2	2	2	2	3	1	2	1	1	1	6	2	2	2	2	1	2	2	2	3	3	1	2	1	1	1	2	2	1	1	2	1	2	2	1	3	2	2	3	1	1	1
4500	-433.273884545000669	-439.213081764085871	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.662299940947791	-1	2	1	3	2	3	4	4	6	6	4	6	7	6	6	7	8	8	8	6	11	9	8	10	7	11	12	10	12	12	13	14	13	13	14	14	14	15	17	18	16	19	21	19	20	22	19	23	21	21	24	26	25	28	27	30	30	32	33	32	37	38	41	43	46	45	0	1	1	3	3	3	4	4	5	7	3	11	5	7	6	7	10	9	14	11	16	5	14	19	20	17	16	23	18	24	26	27	29	0	29	29	34	34	36	0	36	38	40	40	29	50	35	44	42	38	49	49	50	55	53	53	55	52	52	56	58	59	62	0	0	0	1	1	1	1	1	1	1	1	2	1	2	1	3	1	2	1	1	1	1	1	2	3	1	1	1	1	2	1	3	2	2	1	1	1	2	1	1	1	2	1	1	2	1	1	3	1	2	2	1	3	2	2	2	1	1	2	2	3	3	1	3	3	2	1	1	1
5000	-447.047812251633900	-452.987009470719102	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.636530109286330	-1	1	1	3	2	6	4	4	5	6	6	7	7	7	7	8	9	9	8	8	11	9	11	10	10	10	11	11	11	13	13	13	14	13	13	14	14	15	18	17	16	18	20	19	19	21	18	22	19	21	23	26	26	28	25	31	30	32	34	34	36	38	43	43	45	47	0	1	1	3	3	3	4	4	5	8	7	8	3	6	7	7	10	15	7	11	16	5	24	19	20	17	10	19	18	24	26	16	18	0	22	29	34	34	36	0	35	38	40	40	33	49	41	44	38	38	50	51	50	53	50	52	52	57	57	58	56	59	62	0	0	0	1	1	1	1	1	2	1	1	1	2	1	2	3	1	1	1	2	1	3	1	2	4	1	1	1	1	3	1	1	2	2	2	3	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	2	3	2	1	2	2	3	3	2	1	3	1	2	2	3	1	1	1
5500	-435.009611735233989	-440.948808954319190	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.750378212889032	-1	2	1	3	3	4	4	4	6	6	5	7	7	6	8	7	7	9	8	9	12	9	10	10	7	10	11	12	11	12	14	14	13	13	14	13	15	14	17	17	15	18	20	19	17	20	19	23	21	22	23	26	25	27	27	30	30	32	34	34	37	39	42	42	45	47	0	1	1	3	3	3	4	4	5	7	5	8	5	6	6	6	6	5	6	11	20	9	19	19	7	17	20	19	13	23	6	27	22	0	36	29	34	34	36	0	29	38	40	40	35	42	45	44	46	46	49	49	51	53	49	52	55	57	57	57	60	61	62	0	0	0	1	2	1	1	2	2	1	1	1	1	1	2	3	1	2	1	1	2	1	2	1	1	2	1	1	2	1	2	2	1	5	2	2	1	1	1	1	1	2	1	2	2	2	1	1	1	2	2	1	1	1	2	1	1	2	2	2	1	2	3	1	1	2	1	1	1
6000	-425.785505258734304	-431.724702477819505	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.621831677958125	-1	1	1	3	3	5	4	4	6	6	5	7	6	6	7	7	9	10	8	8	12	10	11	10	9	10	10	12	11	12	12	11	13	12	14	13	14	15	15	17	16	17	20	19	18	22	20	22	21	19	24	26	26	28	24	29	30	32	32	33	36	38	41	42	45	47	0	1	1	3	3	3	4	4	5	7	5	8	6	11	11	6	10	5	16	11	20	13	19	19	16	10	20	23	22	24	26	27	22	0	29	18	34	34	18	0	35	38	40	40	35	50	41	44	50	38	46	55	55	55	49	49	55	54	54	56	57	61	62	0	0	0	1	1	1	1	2	2	1	1	2	1	1	2	1	1	1	2	2	3	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2	1	1	2	1	2	1	2	1	2	1	3	3	1	2	2	2	1	1	1	1	1
6500	-443.163990633073297	-449.103187852158499	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.591462291501285	0	1	1	2	3	5	4	4	5	6	5	7	6	6	7	8	10	9	9	9	12	10	10	10	10	10	10	11	12	12	12	14	13	13	14	13	14	16	17	17	17	18	21	19	19	23	20	23	19	21	24	27	24	27	27	31	29	32	33	34	38	39	41	43	45	43	0	1	1	3	3	3	4	3	5	7	7	3	5	7	7	11	15	12	14	16	16	18	14	19	20	15	20	23	18	24	17	27	22	0	22	22	34	34	36	0	29	38	40	40	35	49	36	44	38	42	46	51	49	51	53	52	55	55	56	57	52	60	61	0	0	0	1	1	1	1	1	2	1	2	1	1	1	3	2	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	2	2	1	2	1	1	2	2	1	1	3	1	2	1	2	1	3	2	2	2	1	2	1	2	3	1	2	2	1	2	1	2	5	2	1	1	1	1
7000	-444.914214535047449	-450.853411754132651	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.642818287883743	-1	1	0	2	2	6	5	3	5	5	4	6	6	6	8	8	9	9	8	9	13	10	9	10	8	10	11	11	10	13	13	13	12	12	13	13	14	15	18	16	15	18	20	17	17	21	18	24	21	20	25	27	26	27	27	30	30	31	34	35	37	38	41	43	45	45	0	1	1	3	3	7	4	4	5	11	4	8	3	10	6	11	10	9	14	7	16	18	14	19	7	17	20	23	9	24	26	27	18	0	13	18	34	34	36	0	29	38	40	40	29	42	29	44	42	42	49	51	49	49	49	54	55	53	56	58	59	54	61	0	0	0	1	2	1	1	1	1	2	1	1	1	1	1	3	1	2	2	2	1	2	2	2	1	1	1	1	1	1	1	2	1	2	1	2	1	3	2	1	1	2	1	3	2	2	1	4	1	3	3	1	1	2	1	3	2	2	1	1	2	2	2	2	4	2	1	1	1
7500	-462.591321326879779	-468.530518545964981	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.480300340215102	-1	1	1	3	3	5	4	4	6	6	5	6	6	6	6	9	8	9	8	7	10	10	11	10	9	11	11	12	11	12	13	13	12	12	14	13	14	14	18	16	17	19	21	19	20	22	19	22	21	21	24	26	25	26	27	29	30	32	33	35	38	39	42	42	45	47	0	1	1	3	3	3	3	4	5	4	7	8	5	7	3	11	6	5	15	11	20	5	14	19	11	17	16	19	18	19	17	27	18	0	22	29	34	34	36	0	29	37	40	40	39	42	41	44	42	42	49	51	49	50	53	52	54	54	52	56	56	59	62	0	0	0	1	1	1	2	1	2	2	1	2	2	1	1	2	1	2	2	2	3	1	1	2	3	3	1	2	1	1	3	1	2	3	1	2	1	2	1	2	1	3	1	3	1	2	1	1	1	1	3	1	2	2	1	2	2	1	2	2	3	2	2	4	3	2	1	1	1
8000	-413.043125054811924	-418.982322273897125	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.675004649577858	0	1	1	2	3	5	4	4	4	6	6	6	7	6	5	8	9	9	8	9	10	9	10	10	10	10	11	12	11	12	14	12	13	13	15	14	15	15	17	17	16	18	20	19	20	21	18	22	20	21	23	26	25	27	26	30	30	31	33	34	38	37	42	44	45	46	0	1	1	3	3	3	4	4	5	7	7	8	15	7	3	11	10	13	14	16	16	6	19	4	20	17	24	24	22	19	26	27	22	0	29	18	34	34	41	0	33	34	40	40	47	42	35	44	42	42	49	51	51	51	49	54	54	52	55	55	57	59	62	0	0	0	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	5	1	1	1	1	1	2	2	1	2	1	2	3	1	1	1	1	2	2	1	1	2	1	2	1	1	2	1	2	1	2	2	1	1	2	4	4	5	2	2	1	1	1
8500	-423.894735936852840	-429.833933155938041	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.695619763706431	0	1	1	2	3	6	4	4	5	6	5	5	6	6	8	7	9	10	8	9	13	9	9	10	10	11	11	12	11	11	14	12	13	14	14	12	15	16	17	17	17	18	20	20	17	22	20	24	20	22	24	27	25	27	27	30	30	31	33	34	37	38	42	43	44	46	0	1	1	3	3	3	4	4	5	7	7	4	5	11	13	11	10	6	14	16	16	13	14	19	16	17	11	23	22	23	26	27	29	0	36	29	34	34	35	0	35	38	40	40	35	49	45	44	38	42	46	53	50	51	49	52	52	57	54	58	57	59	62	0	0	0	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	2	2	1	1	3	2	2	1	1	1	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	2	1	2	2	1	1	2	2	2	1	2	1	3	1	4	2	2	1	1	1
9000	-439.493118849141467	-445.432316068226669	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.701455931294435	-2	0	0	1	3	5	3	5	6	5	6	6	5	7	7	9	8	10	8	10	12	8	10	11	9	10	10	10	12	13	13	14	14	12	15	13	15	14	17	17	15	18	19	19	19	22	17	22	20	21	24	27	25	28	26	30	29	31	34	34	36	38	42	43	46	47	0	1	1	3	3	5	4	4	13	7	7	8	5	7	3	4	15	22	14	16	16	13	19	19	11	7	25	14	18	24	17	27	29	0	18	22	34	34	36	0	36	38	40	40	35	50	35	44	42	49	49	51	51	53	49	52	52	51	56	56	60	61	62	0	0	0	1	1	1	1	2	1	1	1	1	1	1	1	1	2	3	4	1	1	1	1	2	1	1	2	2	2	1	2	1	1	3	2	1	1	3	3	2	1	3	1	1	1	1	2	2	1	1	2	1	1	2	2	1	1	2	2	1	3	2	2	1	1	2	1	1	1
