step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80
5000	-233.895456496499747	-242.946299876951088	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989185639552224	1	3	5	3	6	5	4	5	8	7	6	6	9	7	7	9	9	8	12	12	9	11	8	7	14	4	8	14	11	12	17	12	10	10	10	10	10	9	10	10	6	12	10	11	15	11	18	13	9	11	12	12	11	14	9	12	13	14	12	11	11	14	16	14	16	13	13	15	15	14	12	11	9	16	15	14	16	14	13	21	0	1	7	1	2	7	4	2	15	41	26	26	9	41	3	14	15	6	5	37	26	38	24	6	51	2	11	53	49	39	30	22	17	27	23	55	8	10	21	55	8	38	6	36	79	16	34	32	15	21	13	43	36	72	14	44	52	32	61	5	21	56	32	67	57	20	32	54	76	17	36	43	9	62	59	79	52	71	52	74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-256.272655586711892	-265.323498967163232	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972825543154245	1	4	5	6	7	4	5	6	9	7	4	7	9	8	7	8	8	8	12	10	6	10	6	7	12	11	8	16	10	3	15	9	7	8	11	10	11	10	10	9	7	12	12	11	14	11	18	13	11	11	10	10	5	14	9	14	11	12	12	13	12	14	9	13	16	13	14	8	14	11	14	12	16	15	16	8	16	16	15	21	0	30	6	30	21	1	30	2	3	2	30	7	24	8	2	4	33	4	13	21	3	9	6	7	34	38	21	56	13	1	54	41	3	41	34	15	36	17	55	24	11	49	51	51	64	32	73	51	51	53	15	33	2	57	12	59	14	49	32	36	14	66	18	61	25	43	49	8	63	27	58	50	62	51	48	8	54	48	67	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-242.088588952462544	-251.139432332913884	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986335088622324	0	3	5	5	6	5	5	1	9	8	3	5	9	8	6	9	9	9	12	8	7	11	8	10	9	6	6	14	10	10	18	11	11	9	10	7	10	8	9	9	7	10	13	11	13	11	17	11	10	11	13	11	11	15	12	14	13	14	12	12	10	11	15	15	15	13	12	14	14	12	13	14	13	14	14	12	16	16	17	20	0	8	2	11	6	2	2	1	14	4	8	11	38	3	3	38	12	4	48	26	26	34	12	39	26	12	6	52	36	3	77	6	17	20	23	5	38	7	23	10	26	34	48	9	16	40	28	10	18	34	19	18	10	66	61	32	35	70	46	25	36	9	60	72	73	46	53	53	49	30	9	43	67	19	51	42	60	73	72	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-249.636715982272108	-258.687559362723448	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998448339097796	0	4	4	5	4	5	2	6	9	8	6	6	8	5	9	8	7	8	9	10	9	11	7	10	9	10	8	16	7	10	18	7	5	5	10	10	11	9	10	6	9	11	10	11	14	12	17	12	11	11	13	11	12	12	11	13	12	13	11	10	13	13	16	15	16	12	11	15	15	9	12	14	16	17	15	15	15	17	16	23	0	7	1	5	7	5	1	6	17	12	7	2	11	7	23	11	34	8	8	25	27	39	34	10	18	25	33	51	4	10	78	12	5	3	21	33	10	4	15	6	17	27	38	43	71	70	53	25	36	70	53	24	27	9	70	36	36	59	21	12	70	55	58	56	75	25	2	59	61	11	26	30	37	61	16	45	20	65	72	28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-231.076084052032797	-240.126927432484138	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983204705955073	1	3	5	5	7	2	4	6	10	8	6	6	7	8	9	8	7	8	11	11	7	11	9	9	13	11	8	16	11	12	17	12	10	7	10	9	8	10	9	10	9	11	13	10	13	9	16	14	11	12	13	9	12	9	10	14	11	13	9	12	14	15	17	14	16	13	14	16	15	13	13	13	17	11	15	16	15	16	14	24	0	6	6	6	12	1	1	3	24	8	7	7	4	8	16	17	8	17	46	23	7	15	18	2	50	38	11	75	16	33	56	44	27	4	12	14	11	4	21	37	14	17	32	37	57	8	67	50	59	15	29	17	22	5	12	71	15	23	17	29	36	57	61	20	66	30	60	45	72	32	55	49	22	9	25	77	56	77	25	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-240.837863298770031	-249.888706679221372	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999491525152059	1	4	4	6	7	5	5	6	10	6	3	2	9	7	8	8	9	8	13	10	7	10	8	9	15	11	6	14	9	12	20	12	10	8	9	9	11	10	9	7	10	12	12	10	14	8	16	13	10	12	13	11	10	13	11	13	13	12	9	11	12	13	14	12	16	14	11	15	16	13	11	9	13	13	13	14	17	8	15	18	0	12	1	3	10	2	11	6	13	11	12	1	15	7	4	10	40	5	52	35	3	14	27	21	62	20	3	17	78	52	80	60	16	14	40	18	22	39	10	27	29	13	60	13	9	27	62	20	36	59	18	18	39	50	53	50	41	39	21	41	35	58	70	13	28	55	17	73	66	41	41	34	42	35	58	32	63	3	73	43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8000	-244.866352791505477	-253.917196171956817	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996302840149111	1	3	4	6	5	4	5	4	9	4	4	7	6	7	9	7	6	8	10	12	8	10	8	8	15	9	9	13	11	11	18	12	10	9	11	7	9	9	9	8	6	13	12	10	15	12	12	13	10	12	13	10	9	14	10	13	11	13	13	12	13	13	16	10	16	14	12	16	15	10	9	10	16	15	15	13	15	17	16	23	0	1	2	3	3	1	6	2	14	1	2	4	10	41	12	8	11	11	34	55	7	9	12	5	56	24	41	26	14	49	44	72	21	16	38	41	14	4	13	41	5	20	71	24	42	26	34	70	40	22	43	24	18	62	18	35	38	22	50	72	44	22	20	41	25	71	18	28	52	23	13	37	45	60	72	38	76	73	45	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8500	-246.704885814114334	-255.755729194565674	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999222497632175	1	4	2	5	7	3	4	6	8	2	6	6	8	7	7	8	10	7	7	11	8	9	9	10	14	10	8	13	11	9	19	11	10	10	10	10	11	10	9	9	9	9	13	11	14	9	17	11	11	11	14	12	12	13	11	12	8	13	11	13	11	13	13	15	14	13	13	13	15	13	10	12	17	16	14	13	15	14	15	17	0	6	1	6	2	1	3	2	11	1	4	2	14	3	4	8	27	10	12	30	4	12	5	21	67	41	11	32	24	8	68	33	9	42	22	9	23	23	5	9	11	9	32	57	32	15	67	38	36	46	67	50	26	23	38	19	19	48	71	50	34	52	23	28	66	59	34	23	70	61	30	29	60	28	70	53	57	21	32	45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9000	-234.062810088300807	-243.113653468752148	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993515811749257	0	2	4	6	6	4	4	6	10	8	5	5	8	6	9	8	8	8	12	11	8	9	7	10	14	10	9	14	10	12	19	10	11	9	8	9	10	9	8	10	8	8	12	9	15	11	14	14	10	12	9	12	9	11	6	12	12	12	11	12	14	12	16	14	13	11	9	16	16	13	8	12	17	16	16	13	17	15	16	23	0	1	2	6	12	2	2	3	16	14	7	2	11	6	42	6	8	23	29	13	14	4	14	27	30	36	13	76	13	49	78	27	51	17	5	18	27	16	14	10	23	8	9	17	9	49	32	70	42	22	71	27	13	26	3	49	29	71	37	37	50	32	29	33	58	37	23	25	78	56	55	40	52	28	65	62	48	76	78	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9500	-246.863851830500494	-255.914695210951834	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.974797960256066	-1	2	4	6	6	4	5	3	9	5	5	7	7	7	9	8	7	7	13	12	8	11	9	9	14	10	8	11	9	11	18	8	10	10	11	9	7	9	8	5	9	13	13	10	15	12	14	14	10	9	14	12	11	13	12	13	12	14	12	11	12	15	17	13	17	13	10	16	11	13	12	11	17	15	16	14	13	15	12	24	0	1	2	6	6	2	6	1	27	6	8	2	6	10	16	14	2	40	53	14	17	49	40	17	72	41	13	38	14	38	73	4	27	36	29	13	11	21	17	8	13	57	30	27	43	38	61	39	10	18	22	34	41	22	34	22	4	52	35	23	28	66	42	79	78	33	15	42	9	28	34	17	28	52	77	79	67	35	13	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
