step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14
1	-128.592086091791828	-135.447574042751199	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.737800619892776	0	1	1	3	4	4	5	5	7	5	8	8	8	8	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	4	3	4	4	4	4
500	-59.978687427862283	-66.834175378821655	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.524057383453176	0	1	2	4	4	4	3	5	6	6	8	8	8	9	0	1	2	2	3	3	3	4	6	7	8	3	10	10	1	1	1	2	1	1	1	1	1	2	2	3	1	2
1000	-52.367935385550091	-59.223423336509462	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.745815693187129	0	1	2	4	3	4	4	5	7	6	8	9	8	8	0	1	2	2	3	3	3	4	7	7	8	9	10	10	1	1	1	1	1	1	1	1	1	1	2	1	1	1
1500	-51.912397830058197	-58.767885781017569	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.879117802465936	0	1	2	3	4	5	4	5	6	6	8	7	8	9	0	1	2	2	3	5	3	4	5	7	8	5	10	10	1	1	1	1	1	1	1	1	1	1	2	1	1	2
2000	-50.370294759843262	-57.225782710802633	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.937227645187637	0	1	2	3	4	4	4	5	7	5	7	8	8	9	0	1	2	2	3	3	3	4	5	7	8	9	10	10	1	1	1	1	1	1	1	1	1	1	1	1	2	2
2500	-51.299243187437412	-58.154731138396784	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.954690481741126	0	1	2	3	4	5	4	4	6	6	7	7	8	8	0	1	2	2	3	3	3	4	5	7	8	9	10	10	1	1	1	1	1	1	1	1	1	1	2	1	1	1
3000	-54.816362488274279	-61.671850439233651	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.834170788410709	-1	1	2	3	4	4	4	5	7	5	8	7	8	7	0	1	2	2	3	3	3	4	3	7	8	5	10	10	1	1	1	1	1	1	1	1	1	1	2	2	1	1
3500	-56.626951538724036	-63.482439489683408	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.810510208685270	0	1	2	4	4	5	5	4	6	6	8	9	8	8	0	1	2	2	3	5	5	2	5	7	8	5	10	10	1	1	1	2	1	1	1	1	1	1	2	2	1	1
4000	-48.027003214654627	-54.882491165613999	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.970428857371843	0	1	2	4	4	3	4	6	7	5	8	9	8	7	0	1	2	2	3	3	3	4	5	7	8	9	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-51.701577767328573	-58.557065718287944	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.774918310946208	-1	1	2	3	3	3	4	5	7	6	8	8	8	8	0	1	2	2	3	3	3	4	5	7	8	9	10	10	1	1	1	1	1	1	1	1	2	1	2	1	1	1
