step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88
1	-1542.466942612780940	-1551.517785993232337	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.834868120678867	-1	15	6	7	14	10	10	15	25	24	30	20	21	38	33	36	27	42	34	37	44	39	34	39	38	35	53	39	37	43	48	43	51	48	52	44	46	46	46	42	47	52	51	51	50	48	53	51	48	53	56	59	52	50	54	57	48	54	54	50	63	53	52	50	47	51	51	50	48	66	53	52	51	54	58	55	57	57	59	55	55	68	59	66	65	71	67	63	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-459.286785220295087	-468.337628600746427	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999099860163825	0	11	5	5	12	11	5	17	21	22	32	19	15	37	35	35	25	44	26	38	43	39	35	38	37	31	53	34	33	45	47	38	53	38	55	42	48	46	46	40	45	34	46	46	38	45	42	51	34	45	56	59	43	49	50	52	42	51	51	48	56	52	47	51	44	47	53	51	48	61	56	54	43	57	54	57	57	42	58	51	52	70	56	59	58	68	62	65	0	3	1	1	4	7	1	2	6	12	17	13	3	19	17	19	13	11	13	29	25	49	9	29	10	19	44	17	17	14	14	11	68	42	44	49	53	45	47	42	45	19	21	25	42	20	20	44	8	32	36	44	17	57	65	73	23	38	36	14	62	60	47	24	45	28	40	38	43	66	59	58	24	27	69	27	80	32	62	50	43	61	59	35	39	84	77	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-442.311891651341512	-451.362735031792852	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.981984045148879	-2	11	7	2	14	7	8	16	22	26	28	21	19	40	35	37	29	41	20	41	46	41	37	40	37	35	50	36	41	34	48	44	52	45	45	43	43	44	47	39	47	49	53	51	47	51	54	55	47	46	51	60	54	49	57	55	41	53	51	51	62	49	55	48	39	42	48	51	43	59	54	51	53	55	44	53	49	56	57	44	50	65	60	66	57	69	56	61	0	3	4	1	3	4	1	2	8	12	12	5	5	15	11	11	2	30	5	16	40	26	30	28	10	11	32	10	15	17	20	28	21	20	24	16	16	57	20	26	80	29	31	49	37	35	14	67	29	28	22	56	14	38	53	68	30	50	57	41	56	40	62	14	23	30	32	42	16	53	64	39	66	42	57	20	34	50	72	15	21	88	74	85	44	82	60	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-455.637108346834566	-464.687951727285906	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997099594834378	-3	17	9	2	12	7	10	13	24	24	31	21	21	36	33	30	30	41	32	39	43	40	30	34	34	35	50	38	36	42	40	38	46	43	53	39	38	46	50	41	46	46	50	51	43	46	51	47	50	50	59	53	53	39	51	52	51	50	45	50	59	46	46	40	46	43	46	49	47	62	51	51	44	53	57	57	51	59	62	55	50	63	50	67	61	69	64	62	0	6	6	1	6	4	4	3	2	8	9	5	2	25	5	13	10	24	10	14	54	15	10	16	19	17	45	19	23	28	29	15	66	11	67	15	25	28	54	10	32	14	38	66	28	64	33	73	45	32	56	63	31	25	48	21	41	22	36	42	43	32	37	11	66	54	22	45	17	47	69	29	18	37	47	56	46	39	80	41	34	80	32	61	75	87	56	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-455.061283335192741	-464.112126715644081	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998896560777494	-2	11	2	5	15	12	12	18	28	24	32	20	24	34	38	36	29	41	33	42	44	39	32	37	37	38	54	32	37	41	40	38	43	50	47	45	46	43	45	37	49	55	50	48	50	47	51	52	40	54	58	62	47	45	56	55	50	43	53	49	58	52	50	52	44	49	48	51	52	64	51	41	51	40	58	55	54	55	58	56	52	61	59	58	62	66	68	63	0	4	1	3	2	4	1	4	13	8	2	6	8	9	23	17	13	15	12	30	40	14	10	10	17	11	47	12	23	29	25	23	26	49	18	40	49	19	26	11	18	41	15	30	53	15	67	65	40	41	77	75	33	18	58	68	18	15	21	31	73	30	53	22	11	58	40	65	67	55	54	9	40	11	74	53	66	63	34	68	38	77	27	81	61	79	84	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-476.180366220134488	-485.231209600585828	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987626159327088	-2	9	2	9	4	5	8	18	26	24	26	15	21	33	28	38	24	43	33	31	46	38	32	40	37	30	54	39	41	36	42	39	53	50	49	40	44	44	42	33	47	54	41	55	41	49	54	54	50	50	59	51	53	44	56	61	46	46	52	48	66	56	48	54	48	44	48	52	49	66	47	44	49	59	56	58	55	56	61	51	59	62	59	58	59	58	65	59	0	3	1	5	1	1	6	4	2	13	8	2	8	10	8	20	13	23	10	15	31	15	6	23	15	9	66	30	15	26	40	14	37	22	32	23	25	24	40	10	43	58	23	16	25	28	50	50	22	45	50	69	57	39	80	42	28	14	46	18	42	53	28	58	18	26	29	25	39	85	37	22	24	78	54	28	67	65	68	58	29	75	77	68	44	59	51	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-455.851763321554188	-464.902606702005528	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997271544160228	0	17	4	5	13	8	10	15	23	24	29	20	21	37	32	34	27	38	31	39	46	39	37	32	41	29	53	42	29	44	49	41	53	44	46	39	43	47	43	44	46	45	44	53	51	45	55	49	50	48	56	58	42	51	53	57	50	54	43	50	64	41	47	46	36	48	51	52	45	70	49	50	50	53	58	55	48	53	45	54	57	60	58	68	61	66	67	61	0	4	1	1	3	3	4	4	6	5	10	8	7	11	29	26	10	10	9	16	37	26	29	10	16	13	38	24	9	53	63	14	73	32	25	26	22	32	29	20	59	22	18	43	34	20	63	37	40	25	37	73	14	20	41	50	34	49	20	69	85	19	65	59	9	69	38	46	14	56	40	25	41	38	55	68	32	48	53	66	50	81	56	51	48	51	28	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-478.766374336342494	-487.817217716793834	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995445835114167	-4	15	6	3	11	10	9	13	24	24	23	17	18	41	33	30	29	35	35	37	43	38	31	36	27	37	45	41	31	45	32	43	50	48	53	39	41	44	45	43	44	38	48	48	48	41	50	50	47	46	59	54	54	45	50	54	49	51	49	55	61	48	44	52	47	44	54	51	46	57	55	47	53	55	60	56	59	51	63	32	58	53	59	63	59	70	65	63	0	4	1	1	4	3	4	7	12	5	12	2	7	18	16	11	10	16	23	18	31	25	11	10	11	17	14	19	10	26	17	80	39	39	32	25	17	22	36	18	31	18	54	28	66	26	38	69	42	24	27	58	34	20	69	55	28	22	54	73	52	30	23	42	54	21	62	80	31	67	65	37	43	57	71	38	78	14	73	16	67	32	56	45	60	61	48	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-467.935146063148181	-476.985989443599522	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992946269154214	0	14	6	9	4	12	9	16	11	24	30	21	22	38	35	34	27	45	29	33	45	42	38	28	38	38	52	40	35	41	46	38	44	44	50	37	41	42	49	44	46	53	49	49	44	49	53	45	49	47	60	55	46	53	56	53	49	52	52	45	64	54	48	36	46	50	48	49	48	68	52	51	41	53	50	57	50	59	61	40	55	71	63	50	66	69	64	61	0	6	1	5	1	4	5	9	7	6	12	8	2	15	24	17	8	32	13	10	37	36	19	12	16	17	80	29	24	16	38	24	37	23	31	11	14	29	22	36	23	25	20	22	30	65	65	13	26	32	38	69	22	41	77	33	31	65	53	28	62	84	53	11	22	64	33	73	23	85	14	73	29	65	23	21	37	58	84	64	63	86	67	73	79	52	47	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-465.784412739692584	-474.835256120143924	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996094353799553	-2	15	5	0	10	8	7	16	19	26	29	22	23	35	37	34	29	45	36	30	47	39	35	31	39	37	49	34	40	43	48	45	51	50	52	47	40	39	42	36	50	51	50	48	41	48	57	53	46	41	51	57	52	45	48	57	40	50	55	47	54	42	53	37	42	44	47	49	49	56	52	54	46	54	51	52	42	56	59	46	56	70	56	59	67	64	61	62	0	5	1	1	1	3	4	3	2	9	8	7	8	11	17	20	12	38	20	12	25	16	24	13	11	11	65	10	17	28	50	26	30	66	30	22	28	23	28	16	62	44	60	23	19	39	53	80	66	24	37	63	40	50	38	48	17	30	69	50	21	11	68	10	40	22	24	30	26	41	45	51	28	37	36	60	38	33	39	29	51	87	67	71	79	81	83	54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
