step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21
1	-298.987579804033885	-305.843067754993285	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.015908830348759	13	12	13	17	15	16	17	19	20	18	20	23	24	24	25	28	29	30	34	33	39	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	3	2	2	3	4	4	3	4	6	6	6	7	8	9	9	11	11	14
500	-199.830176926187562	-206.685664877146934	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.018037366618276	13	12	14	17	15	16	17	18	21	18	20	23	25	24	25	27	29	30	34	33	40	2	0	1	5	2	2	2	5	3	2	6	11	6	7	14	13	15	13	18	15	15	1	1	1	1	1	3	2	1	5	3	2	1	5	4	1	2	2	1	2	5	8
1000	-193.863143613076716	-200.718631564036087	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.037531436176003	13	11	14	18	15	16	18	20	21	18	18	23	24	25	24	27	29	30	34	33	40	2	0	1	6	2	2	2	10	3	2	5	10	6	6	7	13	7	16	13	17	15	1	1	1	1	2	3	3	1	4	4	1	3	5	4	5	2	5	3	3	2	8
1500	-165.353459385294656	-172.208947336254028	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.122857617383655	13	11	12	18	15	17	14	20	19	18	21	22	22	25	25	28	30	31	34	34	39	2	0	2	5	2	7	2	5	3	2	5	8	6	12	10	13	15	16	18	17	17	1	1	1	1	2	1	1	2	3	5	3	2	3	1	3	3	3	2	2	2	5
2000	-150.605143790715999	-157.460631741675371	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.418495503582709	13	12	14	17	15	16	14	20	19	16	20	24	24	24	24	28	28	29	33	32	40	2	0	1	5	2	7	2	5	3	7	2	11	11	8	11	13	15	16	13	15	20	1	1	1	1	1	1	1	3	2	1	4	1	2	2	2	2	2	1	4	3	4
2500	-146.036823786844849	-152.892311737804221	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.620744605685273	13	12	14	17	15	17	15	20	19	18	19	24	23	23	26	28	28	30	34	33	38	2	0	1	5	2	7	2	11	3	2	5	14	6	8	14	13	15	16	13	15	17	1	1	1	2	2	1	1	1	3	3	2	1	3	2	2	2	2	1	5	4	5
3000	-150.611260281830567	-157.466748232789939	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.486364063636252	12	11	14	18	15	16	14	19	20	18	20	23	24	24	26	26	28	30	35	34	39	2	0	1	5	2	7	2	5	3	6	8	11	6	11	12	13	12	16	18	15	17	1	1	1	1	2	1	2	2	3	1	1	2	4	2	3	1	3	2	4	3	5
3500	-147.294180998911315	-154.149668949870687	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.450863429369467	12	11	14	18	15	17	16	19	21	16	20	23	24	24	26	29	29	30	34	33	39	2	0	1	7	2	7	2	5	3	2	5	8	7	11	12	13	15	13	18	15	17	1	1	1	1	2	1	3	4	4	2	2	2	4	4	2	3	2	4	1	4	5
4000	-138.307267836485721	-145.162755787445093	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.499814819952076	13	12	14	18	16	14	17	19	21	17	19	23	24	24	25	28	29	29	34	33	39	2	0	1	5	1	2	2	5	3	2	4	11	6	12	12	13	15	16	18	17	20	1	1	1	1	1	1	2	1	3	2	1	2	3	1	1	2	2	1	3	2	4
4500	-139.287314228094061	-146.142802179053433	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.627636584317812	13	12	14	18	15	16	15	18	19	17	19	23	22	25	26	28	29	30	34	33	38	2	0	1	5	2	7	1	7	3	7	7	11	6	12	12	13	15	16	16	17	20	1	1	1	2	1	1	1	1	2	1	2	2	3	1	1	3	2	1	2	2	2
