step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88
1	-742.822751995832164	-751.873595376283561	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.605378093514199	3	2	7	5	7	6	5	6	8	8	9	10	8	8	7	9	11	11	9	18	9	8	10	11	10	12	10	9	9	14	13	12	11	10	11	11	11	11	10	10	10	12	16	12	11	12	13	15	12	12	12	13	12	13	15	13	21	13	13	13	13	22	17	20	15	15	15	14	14	14	16	16	16	14	15	14	15	16	17	16	18	18	20	22	25	23	29	33	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-265.233618215361503	-274.284461595812843	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988441175889704	3	1	8	4	7	6	6	5	9	8	7	7	8	7	8	6	10	11	7	18	9	7	11	9	10	11	10	9	8	15	13	13	11	10	11	12	12	11	10	11	10	12	17	10	12	12	11	15	9	12	10	12	13	13	12	12	19	13	14	14	13	23	14	18	14	16	15	14	10	10	14	15	17	14	15	15	16	16	15	12	17	17	20	20	25	18	30	32	2	0	16	2	7	4	4	4	5	6	4	7	14	4	5	8	21	21	8	73	5	4	10	22	16	15	3	12	12	45	17	5	19	3	69	41	24	28	14	29	13	47	72	11	51	69	27	53	12	51	24	12	50	51	69	51	81	70	58	80	51	57	61	43	45	53	50	18	15	8	80	22	79	33	53	80	79	59	58	51	68	67	86	81	62	67	85	87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-262.500116412905641	-271.550959793356981	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991750400710654	4	2	8	5	8	7	6	7	8	5	9	10	8	8	6	9	11	11	9	17	7	8	8	11	10	11	9	9	10	14	12	13	12	11	9	12	8	11	11	10	11	11	16	12	10	12	14	16	10	9	13	13	12	13	14	14	20	13	13	12	14	23	18	20	15	12	14	14	13	15	14	13	14	13	15	13	16	15	16	14	18	19	19	22	22	21	30	29	2	0	6	1	7	2	1	10	7	2	8	27	10	6	10	21	23	21	5	68	4	6	4	16	22	21	10	21	27	59	23	36	41	28	14	40	6	16	23	3	9	16	61	29	21	41	24	75	13	37	29	26	37	44	60	59	79	42	36	38	18	84	43	77	51	41	24	16	9	36	69	24	51	53	74	33	80	32	26	44	75	81	55	64	86	82	85	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-261.655719245208218	-270.706562625659558	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992415641776294	4	3	8	5	8	5	6	6	9	9	7	10	8	8	7	10	7	12	8	13	10	9	10	10	10	11	5	10	9	14	12	12	12	11	10	12	12	11	11	11	8	11	12	13	11	10	14	16	12	9	12	12	12	12	14	13	20	13	9	10	14	23	18	21	15	15	14	14	12	13	16	13	15	14	14	14	9	14	18	16	18	18	20	20	25	23	28	33	2	0	8	2	11	1	6	2	15	3	27	19	11	17	7	3	8	35	7	43	41	2	13	5	11	41	2	5	7	38	16	5	28	21	77	24	21	23	35	6	4	10	38	36	11	59	51	47	45	3	39	23	34	25	54	42	82	32	3	10	69	83	66	84	58	70	37	25	25	28	78	33	44	69	56	34	1	72	65	67	69	45	79	63	62	64	85	87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-277.383922299975211	-286.434765680426551	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999627894851409	4	2	7	6	7	7	5	5	8	8	9	10	8	5	4	9	10	11	10	16	10	8	10	11	10	11	9	10	9	15	13	12	11	10	8	6	12	12	9	10	10	12	16	12	12	12	14	16	11	12	11	12	13	12	15	11	19	13	8	13	12	23	16	15	12	15	10	15	14	14	15	16	16	14	13	11	16	14	15	16	13	16	17	22	24	23	30	34	2	0	4	2	7	8	2	2	3	3	10	9	36	2	2	10	27	11	22	69	11	4	15	59	16	22	14	3	35	32	56	40	19	13	4	14	28	11	10	16	39	19	19	29	18	17	44	19	11	33	36	21	54	28	67	28	48	26	7	76	28	84	75	47	56	38	27	74	58	45	69	61	64	51	12	10	30	44	70	78	44	37	71	78	62	69	84	87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-275.991000918990551	-285.041844299441891	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993472495498698	4	3	8	5	8	6	6	7	6	6	8	8	7	5	8	8	11	12	10	19	10	8	11	10	10	7	11	9	9	14	14	12	9	11	11	12	11	12	8	10	10	11	17	13	9	12	14	13	11	13	12	11	12	11	14	12	19	12	10	14	13	21	17	21	16	14	14	12	15	12	17	17	15	14	14	15	14	15	18	14	11	13	15	22	25	20	25	28	2	0	14	2	8	1	1	14	14	4	9	10	2	2	10	14	45	25	28	71	28	7	8	12	33	1	33	8	11	68	18	33	6	9	19	35	28	49	26	15	6	33	83	24	39	28	25	25	39	36	52	40	81	19	44	23	63	52	12	53	24	20	73	47	69	81	39	34	55	22	30	82	80	44	49	48	36	42	71	46	22	51	67	86	84	43	84	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-252.831035529555493	-261.881878910006833	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985277311853268	4	2	7	5	7	6	5	6	3	9	9	10	7	8	8	9	10	12	7	18	9	8	10	12	11	12	11	9	10	10	14	12	11	8	12	9	8	12	11	10	11	13	17	12	10	10	13	13	12	12	9	12	12	11	16	12	20	14	10	14	12	21	18	19	16	15	15	14	15	15	16	15	17	15	16	15	15	17	17	14	19	16	20	22	26	22	29	33	2	0	6	2	6	2	1	9	2	3	22	14	4	8	19	13	37	29	6	82	14	6	28	40	21	30	51	14	3	8	48	12	34	6	11	3	13	29	34	5	12	32	67	16	15	36	10	12	36	16	34	21	33	30	28	59	63	59	11	40	46	83	73	73	68	52	24	24	58	31	60	68	67	48	77	56	18	77	70	38	63	39	67	83	86	62	84	87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-254.357269256828772	-263.408112637280112	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992812915531916	3	2	8	6	8	7	5	6	9	8	8	11	8	9	7	8	12	11	10	19	9	6	10	12	11	11	8	9	10	14	13	12	12	11	11	11	10	11	9	11	11	12	17	10	12	11	14	15	11	12	12	11	12	14	14	13	21	13	8	13	13	22	7	21	16	16	16	15	14	10	14	15	15	14	15	14	14	16	17	15	18	16	18	20	26	24	27	28	2	0	63	7	22	4	1	7	11	63	63	70	63	5	8	15	44	9	21	58	11	7	13	19	29	14	22	16	13	41	34	25	38	39	21	14	16	59	8	37	23	41	82	27	37	8	44	77	14	12	27	6	52	25	17	44	20	41	22	22	17	20	7	79	72	52	74	30	32	13	37	77	38	42	54	51	24	72	66	58	67	72	61	83	86	64	85	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-271.729107805816852	-280.779951186268192	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986714059073102	3	0	6	5	7	7	5	6	8	9	7	10	8	9	4	10	9	10	9	17	7	7	10	10	10	11	11	10	8	13	12	13	11	11	10	10	12	12	9	10	11	13	11	13	12	13	14	16	12	12	12	13	12	11	15	13	21	14	13	14	14	22	17	17	13	15	15	13	14	15	16	15	14	14	12	12	15	15	18	16	18	16	20	20	26	19	27	32	2	0	1	15	8	1	15	15	6	11	3	5	5	9	2	17	11	39	11	69	2	4	19	29	29	24	6	15	5	36	34	27	8	11	11	14	27	29	11	29	16	76	18	26	39	38	25	32	10	23	23	40	27	19	46	49	86	32	23	75	42	86	80	31	31	68	56	41	27	30	74	39	44	26	9	24	56	44	67	65	56	65	59	81	86	63	85	87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-276.554191884458362	-285.605035264909702	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999158410763171	4	3	7	6	8	7	4	5	8	9	10	11	7	8	7	10	9	11	8	18	9	7	10	12	8	12	11	9	10	14	12	13	12	9	10	8	11	11	9	10	11	11	15	12	11	13	11	15	10	12	12	14	11	13	14	12	19	10	13	14	14	21	16	19	16	15	12	13	14	12	14	13	17	15	16	15	15	17	15	17	16	15	16	22	19	24	30	31	2	0	4	2	22	4	2	1	4	19	39	10	8	4	2	19	6	29	7	42	9	4	39	58	22	53	28	15	8	14	12	37	29	4	22	4	19	58	9	15	49	5	32	35	16	39	58	35	28	37	40	51	3	18	56	23	78	34	33	47	38	73	32	20	71	68	53	29	51	34	68	41	66	29	60	58	59	81	55	49	26	72	32	65	75	62	86	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
