step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74
1	-1040.262317634631245	-1049.313161015082642	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.884702233202898	1	13	10	25	20	16	26	30	24	30	31	26	33	29	32	38	31	32	34	32	45	35	41	32	40	33	37	33	31	34	35	33	38	45	35	35	34	37	38	39	35	38	47	38	49	45	40	37	42	50	42	40	40	41	51	38	44	44	48	44	50	44	42	46	52	47	52	50	58	49	57	55	59	70	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-373.252752066178573	-382.303595446629913	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988108695505781	-4	13	6	22	14	19	25	32	22	33	30	26	30	28	32	33	28	31	32	29	42	36	42	30	37	32	39	35	24	19	28	35	35	42	35	34	24	35	42	41	37	37	39	38	46	45	41	40	41	53	43	35	35	44	40	38	38	45	45	45	50	37	38	44	54	46	48	48	57	48	58	44	50	69	0	3	1	30	3	5	9	6	6	29	9	30	7	29	12	14	6	7	9	7	33	15	42	37	7	17	28	14	5	2	30	13	18	8	24	20	6	13	63	10	12	18	29	20	53	55	20	13	18	58	27	29	9	53	22	24	22	43	27	55	64	11	10	41	67	56	38	47	67	44	67	56	62	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-401.190009633511863	-410.240853013963203	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980832445423560	0	17	11	28	20	19	23	27	20	30	34	28	21	31	24	40	30	33	33	28	50	28	40	24	39	36	23	28	26	36	28	36	35	44	26	32	33	38	31	40	35	31	47	24	49	45	41	38	38	36	43	31	42	41	52	35	42	42	49	48	41	40	36	45	50	45	49	51	46	48	53	57	56	52	0	1	1	15	3	3	5	9	3	44	29	7	3	7	13	28	2	28	9	15	66	13	39	2	41	29	5	9	6	12	15	52	52	11	6	12	29	11	12	22	10	8	58	13	53	10	22	18	39	10	16	29	30	18	69	8	25	36	43	54	4	12	12	62	32	48	32	41	20	47	46	65	69	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-406.013478401825068	-415.064321782276409	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998788410268138	0	14	10	24	22	9	18	30	12	33	33	21	26	24	13	38	30	35	23	19	46	32	44	27	38	34	31	36	29	37	23	29	32	37	35	26	18	29	38	42	36	35	45	39	50	38	41	40	45	49	39	40	40	29	51	33	45	45	42	43	46	42	38	45	49	49	48	42	60	48	57	44	53	62	0	3	1	7	7	1	3	13	1	8	33	7	12	37	3	32	15	38	2	2	16	5	52	4	24	29	19	56	5	26	9	4	31	19	19	31	15	4	54	35	5	32	46	17	49	10	11	56	29	53	33	27	18	2	47	12	38	35	16	16	26	56	11	44	22	48	62	17	61	68	50	39	64	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-393.755892592373925	-402.806735972825265	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997684976783342	5	13	11	20	17	17	28	27	26	23	26	25	32	22	34	34	21	30	36	25	48	33	39	29	37	30	33	34	23	34	36	32	40	44	34	39	30	38	34	36	34	38	36	42	52	40	34	22	40	48	39	41	38	39	37	35	31	35	45	42	49	42	44	48	46	50	46	48	54	45	50	48	60	63	0	1	1	5	3	3	12	48	14	3	14	2	10	3	11	48	1	10	15	14	52	57	16	4	35	29	8	8	5	37	32	17	30	19	37	47	20	39	7	57	13	8	12	43	70	13	20	3	9	15	32	19	35	35	39	18	8	57	55	15	38	28	42	63	34	40	62	42	71	51	51	52	64	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-393.278471537107180	-402.329314917558520	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995446611993855	0	12	8	20	15	19	18	27	25	28	23	26	29	17	27	41	30	32	37	25	38	34	40	34	39	20	39	28	33	32	39	30	41	43	37	33	36	36	35	40	29	35	38	40	44	43	42	21	43	48	38	40	41	36	55	40	40	40	50	43	45	35	41	48	45	45	41	51	61	50	59	57	56	68	0	3	1	14	3	5	3	26	4	14	7	48	12	3	6	13	8	17	32	6	10	26	42	15	42	14	18	12	26	28	13	9	62	32	29	13	41	18	7	12	20	41	22	26	35	39	35	5	40	44	12	39	24	15	66	38	41	22	52	62	44	20	51	53	19	39	54	67	45	33	65	45	44	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-391.679351780680747	-400.730195161132087	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989077680558733	4	9	12	28	20	19	23	33	19	23	31	24	32	27	33	36	31	25	35	32	39	26	30	28	34	35	35	27	28	31	33	23	39	42	34	34	35	36	20	38	37	38	40	38	42	35	32	40	41	51	43	41	33	35	48	38	37	45	43	40	53	45	44	47	47	45	44	49	48	45	59	48	54	54	0	1	2	10	3	3	39	22	2	6	7	3	9	2	18	24	18	39	22	28	31	9	3	10	47	12	29	7	32	10	23	6	13	26	17	32	24	8	2	20	11	47	38	35	29	9	29	47	30	58	40	25	4	47	56	19	53	21	38	23	72	34	38	43	42	60	27	47	59	13	73	33	55	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-387.114934350436556	-396.165777730887896	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.974877188320124	4	10	9	17	16	14	27	31	22	25	26	27	32	28	31	23	30	30	36	34	42	37	33	33	35	35	40	25	29	36	30	27	37	40	32	38	34	21	40	38	34	36	43	41	50	45	40	33	39	50	35	34	39	44	40	40	39	42	43	41	47	37	42	47	49	49	51	51	55	51	52	46	59	66	0	1	1	3	2	3	4	16	3	4	16	38	10	11	12	6	3	28	15	18	55	37	7	11	13	7	25	16	16	29	7	9	24	18	28	35	16	4	48	7	31	12	33	40	59	57	18	7	31	64	7	31	18	27	22	41	20	42	47	36	20	12	36	27	47	49	56	56	49	55	46	58	61	43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-388.724021964971485	-397.774865345422825	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993656831138179	2	10	13	21	19	18	23	29	24	29	34	24	29	29	33	40	28	25	29	37	44	34	41	33	36	29	36	37	31	34	32	32	33	45	34	37	22	33	37	41	32	30	50	35	48	44	38	36	34	39	28	36	37	44	51	34	35	45	41	37	46	42	41	40	45	43	51	34	56	45	58	54	55	52	0	1	2	3	2	2	3	9	6	37	8	5	12	9	10	30	4	12	37	42	28	12	35	42	31	9	29	38	12	42	14	12	26	23	4	68	6	12	26	17	12	9	59	4	50	44	19	15	13	30	12	32	13	20	53	17	33	39	56	26	39	20	20	36	47	52	40	26	43	23	55	35	63	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-381.594946589188112	-390.645789969639452	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996030630064284	4	9	12	22	17	12	23	25	26	27	27	28	32	28	32	35	26	19	32	32	38	32	42	33	37	32	36	32	27	28	38	34	39	43	35	30	25	37	31	36	33	35	46	35	42	41	38	36	45	52	29	37	41	35	46	40	46	39	48	46	49	43	43	48	54	37	50	48	57	47	55	58	58	66	0	1	2	3	2	2	3	6	3	7	5	37	30	5	12	19	18	6	37	9	20	11	54	37	22	30	4	7	37	18	29	39	42	24	12	9	4	42	17	29	30	36	47	4	13	20	36	12	48	23	29	30	15	10	24	28	21	36	23	40	24	25	21	35	34	9	55	49	57	34	60	61	64	59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
