step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73
1	-2716.339721170431858	-2723.195209121391144	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.830685265812585	0	1	2	2	3	4	4	4	4	4	5	7	9	6	6	7	8	9	10	9	9	11	10	12	10	11	11	11	12	12	12	14	12	13	13	14	13	14	16	14	14	14	15	15	15	15	18	17	19	20	21	20	21	21	21	21	22	22	22	24	23	23	24	24	25	25	26	26	27	30	28	30	30	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	3	3	4	6	7	5	5	6	6	7	8	7	7	8	8	9	8	8	8	8	9	9	9	11	9	10	10	11	10	11	12	11	11	11	11	11	11	11	13	13	14	15	16	15	16	16	16	16	16	16	16	18	17	17	18	18	18	18	19	19	20	22	21	22	22
500	-630.368384685140995	-637.223872636100396	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.252441082722591	-2	1	0	2	3	2	4	4	2	4	5	6	9	6	5	7	8	8	7	9	9	11	8	10	10	8	10	11	12	12	12	14	12	13	13	14	13	13	16	14	13	12	15	15	15	15	18	17	18	20	21	19	21	20	21	21	21	22	22	24	23	23	24	24	25	24	26	26	27	30	28	30	29	0	1	1	3	3	2	1	3	2	4	9	10	16	9	10	10	10	7	12	6	26	27	19	26	7	3	23	17	24	6	7	35	19	28	19	33	42	19	45	27	23	23	34	23	28	19	41	32	46	28	49	19	27	33	35	35	35	48	0	35	7	41	20	28	33	7	38	52	38	27	23	16	23	1	3	1	2	2	1	6	3	1	2	3	2	2	3	1	3	3	3	1	5	1	1	1	2	5	6	1	3	2	6	6	1	4	2	2	2	1	6	1	3	4	1	2	6	4	6	4	2	3	8	2	8	11	6	5	7	8	5	1	6	13	8	12	9	13	14	9	6	8	19	19	19	19
1000	-506.958077510835210	-513.813565461794610	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.246768221998679	0	1	1	2	3	4	3	4	3	4	5	7	7	6	6	7	8	9	10	9	9	11	9	12	10	11	11	10	12	12	12	14	12	11	11	14	12	14	14	14	14	14	15	15	15	15	15	16	17	18	21	19	21	21	20	21	22	22	22	23	23	23	24	22	23	25	26	26	27	30	28	30	30	0	1	1	2	3	2	3	3	2	2	10	15	10	9	10	7	10	12	23	2	16	15	15	26	16	18	28	23	25	6	26	35	23	19	23	22	28	34	27	33	37	28	41	38	40	39	38	32	34	35	32	32	39	48	35	32	48	52	0	19	49	48	50	20	22	54	35	51	57	32	32	68	33	1	1	1	1	1	3	1	3	2	2	1	1	2	3	2	3	2	2	1	5	1	4	2	1	2	2	1	1	2	5	1	2	3	1	1	2	1	3	3	1	2	3	1	1	1	1	1	2	3	5	3	4	5	5	5	4	4	2	1	11	5	5	6	7	10	4	11	3	5	12	12	3	18
1500	-459.579466593785241	-466.434954544744642	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.336018056975929	0	1	1	2	2	3	4	3	4	4	5	6	7	6	6	7	8	8	10	9	9	8	9	11	10	11	11	11	12	11	12	14	12	13	13	14	13	14	16	14	14	14	15	15	12	15	18	17	16	18	20	20	21	19	21	21	22	21	21	23	23	23	24	24	25	25	25	25	27	30	27	30	30	0	1	1	2	1	2	3	5	6	6	9	7	6	11	6	12	10	16	22	13	13	13	13	20	20	7	19	19	25	18	26	27	23	27	27	13	19	12	28	28	37	37	41	38	23	41	39	27	33	34	35	35	47	50	32	35	38	54	0	56	19	55	56	55	38	51	35	55	67	65	39	66	33	1	1	1	1	2	2	3	1	1	1	1	2	4	1	2	1	2	1	2	2	1	1	2	2	1	5	1	1	2	3	1	2	3	2	2	5	1	4	5	2	1	1	1	1	3	1	2	4	4	4	5	6	2	1	5	4	6	1	1	2	9	2	3	3	9	3	10	2	1	5	8	3	15
2000	-393.326324763710886	-400.181812714670286	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.481512974054475	0	1	2	2	3	3	3	4	4	4	5	7	9	6	6	7	8	9	10	9	9	11	9	11	10	10	11	10	11	11	11	14	12	12	12	14	12	14	15	14	13	14	14	15	15	15	18	17	17	17	21	20	21	21	21	19	22	21	22	24	21	23	24	24	25	25	26	26	26	30	28	29	30	0	1	1	2	3	2	1	5	6	3	9	15	15	9	10	10	10	16	23	16	16	19	15	26	16	20	23	23	13	18	16	35	23	19	27	33	28	19	40	28	28	37	33	41	33	33	49	27	44	35	28	32	52	56	48	50	58	56	0	53	52	57	57	55	35	63	64	63	66	64	63	68	50	1	1	2	1	1	2	2	1	1	2	1	1	3	2	2	2	3	2	1	2	1	1	1	1	3	1	1	1	2	1	2	1	3	1	1	1	2	2	1	3	3	2	2	2	2	3	1	5	2	3	7	5	1	1	4	2	1	1	1	2	1	1	2	3	9	1	2	2	1	5	4	3	11
2500	-358.519821152959935	-365.375309103919335	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.589506976136305	0	1	1	2	3	3	4	4	4	4	5	7	9	6	6	7	8	6	10	9	9	11	9	12	10	11	11	11	12	12	12	14	12	13	13	14	12	14	15	13	14	14	15	15	15	15	18	17	19	20	21	20	21	21	21	21	22	21	21	24	23	23	24	23	25	25	26	26	27	29	28	30	30	0	1	1	2	1	2	3	5	4	6	6	10	12	9	10	18	18	6	23	6	18	19	12	21	18	21	23	19	25	21	20	27	28	23	27	27	28	19	36	33	37	37	41	34	40	33	33	32	47	32	52	48	50	52	52	32	48	52	0	54	57	57	50	50	58	57	64	65	68	64	69	71	63	1	1	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	2	1	5	2	1	2	2	2	1	2	1	2	2	2	2	1	3	2	2	1	2	1	1	2	1	1	2	1	3	4	2	1	3	1	2	1	1	1	6	3	1	1	3	1	1	2	1	3	2	2	1	1	3	1	2	4
3000	-340.491245721070129	-347.346733672029529	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.658135212187139	0	1	2	2	3	3	4	4	2	4	5	5	9	6	6	7	7	8	10	9	9	11	10	10	10	11	11	11	11	12	12	14	12	12	13	13	13	14	16	14	14	13	14	15	15	15	18	17	19	18	21	20	18	19	21	21	22	22	22	23	23	22	24	24	25	25	26	26	27	30	28	29	30	0	1	2	2	3	2	3	5	2	6	7	10	16	11	12	11	10	16	13	17	16	23	15	21	16	20	19	23	25	18	26	35	28	19	27	23	28	34	36	36	36	33	36	38	40	36	33	32	47	48	50	50	32	53	50	32	55	51	0	53	57	56	57	53	63	64	64	65	65	67	69	57	71	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	1	2	2	1	2	1	2	2	1	1	1	4	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	3	2	1	1	2	2	2	1	1	5	1	1	1	3	1	1	2	4	1	1	2	1	2	4	1	6	1
3500	-439.814622159202088	-446.670110110161488	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.493436485840021	0	1	2	2	2	4	4	4	3	4	5	5	7	5	6	7	8	9	10	8	9	11	10	12	10	9	9	10	12	12	11	14	12	13	13	13	12	14	15	14	14	14	15	15	14	15	18	17	17	20	21	20	21	19	21	21	22	22	21	21	23	23	23	24	24	25	26	25	27	30	28	30	28	0	1	1	2	1	2	1	5	3	5	9	6	7	6	10	2	13	2	9	6	16	27	27	21	18	3	15	27	25	31	20	23	28	22	23	33	22	23	36	36	37	37	22	38	28	33	34	35	23	54	50	28	52	35	49	48	55	51	0	27	57	54	55	49	57	57	52	56	65	67	69	73	68	1	1	2	1	2	2	3	2	1	2	2	1	1	1	2	3	1	6	7	4	2	2	1	2	1	3	2	1	2	1	3	4	1	2	3	1	1	3	2	1	2	2	3	1	4	3	3	2	5	1	1	4	1	5	3	3	1	1	1	6	1	2	1	4	2	3	3	2	2	2	1	2	2
4000	-353.613625564054018	-360.469113515013419	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.574495051153110	0	1	2	2	3	3	4	4	4	4	5	7	9	6	6	7	8	9	9	8	9	11	10	12	10	10	8	10	11	12	12	14	12	13	13	14	13	14	16	14	14	13	15	15	15	15	18	16	18	20	21	20	21	21	21	20	22	22	21	21	23	23	24	24	24	25	26	23	27	30	27	30	30	0	1	1	2	3	2	1	5	6	6	9	15	17	9	10	6	7	16	27	16	17	23	19	20	20	16	12	19	26	21	26	33	28	23	23	37	28	33	36	35	42	22	37	38	40	41	34	23	39	32	56	47	33	56	48	48	50	51	0	52	53	52	57	53	68	68	64	57	68	67	65	63	71	1	1	2	1	1	1	3	1	1	1	1	1	1	2	2	2	3	2	1	1	1	1	1	2	2	3	1	1	1	2	2	2	2	2	3	1	2	2	2	1	1	2	2	1	1	1	3	3	2	6	1	2	5	1	3	2	2	1	1	1	1	1	2	2	1	2	2	1	4	2	2	4	2
4500	-365.349539596718500	-372.205027547677901	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.561664575379549	0	1	2	2	3	3	4	4	3	4	5	6	7	6	6	7	8	9	10	8	8	10	10	12	10	11	9	11	12	11	12	14	12	12	13	14	13	14	16	14	14	13	15	15	15	15	15	17	16	20	20	18	21	21	21	20	22	22	22	24	23	22	24	24	25	25	26	23	27	29	28	29	30	0	1	1	2	3	4	1	5	2	6	9	10	10	11	10	6	16	16	27	16	6	27	27	20	16	20	13	19	30	18	26	35	28	19	34	34	33	34	47	33	37	22	34	38	28	41	22	32	47	48	48	32	48	50	56	48	55	56	0	53	57	50	57	50	68	63	64	57	63	67	65	63	66	1	1	1	1	1	1	3	1	2	1	1	2	2	1	1	4	1	2	1	1	3	1	1	2	3	2	1	1	1	2	1	1	1	2	1	2	1	1	1	2	1	2	2	1	2	1	2	3	1	3	1	3	2	1	1	1	1	2	1	2	1	2	2	2	2	1	2	1	3	2	2	4	3
