step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62
1	-4214.488121618395780	-4221.343609569355067	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.610824048025293	2	3	4	3	4	5	8	7	7	7	10	9	8	10	11	12	11	12	11	14	12	13	15	13	15	15	17	14	17	17	16	15	16	16	16	17	18	18	18	18	18	19	18	18	19	19	18	21	20	22	20	20	21	21	22	23	23	26	25	26	29	30	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	3	4	4	3	4	5	5	5	5	5	6	5	6	7	6	7	7	8	6	8	8	7	7	7	7	7	8	8	8	8	8	8	9	8	8	9	9	8	10	9	10	9	9	10	10	10	11	11	12	12	12	14	14
500	-350.985180881714825	-357.840668832674226	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.595161874384982	2	3	5	4	5	5	6	7	8	7	9	9	8	10	11	12	10	12	12	14	13	14	15	13	16	14	15	15	17	17	17	15	16	15	15	17	19	18	18	19	17	19	18	19	20	19	18	20	20	22	21	19	21	21	21	22	23	25	25	27	29	29	0	1	2	2	0	4	5	4	6	7	10	8	7	6	12	13	13	11	13	16	13	24	11	16	16	7	16	16	19	27	35	16	26	16	22	22	28	28	30	33	28	20	36	27	35	36	20	26	41	24	45	36	39	49	34	39	53	48	56	48	0	0	1	1	1	1	1	1	1	1	2	1	1	2	1	3	1	1	2	2	2	1	2	1	3	1	2	3	2	2	3	1	1	2	1	1	1	2	2	2	1	2	1	3	1	2	2	1	2	2	2	6	1	2	2	1	3	2	1	3	2	4	1	1
1000	-287.037554742505336	-293.893042693464736	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.842530863243546	2	3	5	4	4	5	6	7	8	8	10	9	8	11	12	12	11	12	10	14	10	14	14	13	16	14	17	14	17	17	16	16	15	16	16	18	19	18	18	18	19	20	18	18	20	19	17	21	19	22	19	20	21	21	21	23	24	26	25	26	29	31	0	1	2	2	0	4	5	6	6	7	10	9	7	8	12	19	21	11	13	16	13	24	18	16	20	16	20	19	20	22	22	24	28	20	22	22	28	29	30	47	47	34	34	28	36	30	33	30	47	43	35	46	39	49	43	39	53	39	56	56	0	0	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	2	2	1	2	1	1	2	2	3	1	1	1	1
1500	-333.672689733234279	-340.528177684193679	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.804905393282544	1	2	4	3	4	5	6	7	7	7	9	9	8	11	12	12	10	12	11	14	12	13	16	12	14	13	16	15	17	16	16	16	16	15	16	18	19	18	19	17	17	17	18	19	17	18	18	21	20	22	19	20	20	21	20	23	24	25	24	26	28	30	0	1	2	2	0	4	5	6	6	7	7	9	10	8	12	13	13	11	13	26	17	17	18	19	24	19	20	19	28	22	22	24	26	26	20	28	32	29	31	16	16	34	28	32	30	35	32	30	41	55	45	46	28	49	32	48	53	56	56	48	0	0	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	2	1	1	2	2	1	1	1	1	2	1	2	1	2	1	1	2	2	2	1	1	3	2	1	2	2	1	1	1	4	2	2	2	1	2	1	1	1	1	1	1	2	1	1
2000	-309.323246491889449	-316.178734442848850	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.758831713377875	2	3	4	4	5	6	7	7	8	8	10	8	8	10	11	13	10	13	11	14	13	14	15	13	15	16	17	13	16	16	17	15	15	16	17	18	19	18	19	18	18	18	18	18	19	20	17	20	20	23	19	21	22	19	19	23	24	26	25	25	28	29	0	1	2	2	0	4	5	6	6	7	10	6	7	8	12	19	13	11	11	19	17	19	18	19	24	20	32	19	20	22	22	28	16	16	22	30	26	29	30	33	33	34	27	27	35	36	33	40	54	55	35	46	30	26	43	48	53	56	56	53	0	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	2	1	1	1	1	1	2	2	1	2	1	1	3	2	1	2	1	2	1	1	1	1
2500	-254.713191218915227	-261.568679169874599	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.904440041021312	1	2	4	3	4	5	6	7	7	7	9	9	9	11	11	12	11	12	11	13	12	14	15	13	15	16	14	15	17	18	16	14	16	16	16	17	18	19	19	18	19	17	18	17	19	19	17	21	20	21	20	20	21	22	22	24	23	26	26	26	29	31	0	1	2	2	0	4	5	6	6	7	10	9	10	8	12	19	13	11	13	16	17	16	18	19	27	16	16	19	28	22	22	20	32	27	22	22	20	29	30	33	47	34	34	28	35	36	33	30	41	43	30	46	30	49	50	48	53	56	56	56	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-313.376052308810245	-320.231540259769645	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.740919517785408	0	2	4	3	5	5	9	6	7	7	11	9	9	10	12	13	11	13	11	14	12	14	15	13	15	15	17	14	17	16	15	14	15	16	16	17	18	18	18	19	19	19	18	16	18	19	19	21	20	22	20	21	19	22	20	24	23	26	25	25	29	29	0	1	2	2	0	4	10	6	8	5	7	9	5	8	12	19	13	11	13	24	17	19	18	19	16	32	26	19	16	32	28	24	16	20	22	31	32	32	30	30	27	34	26	32	35	36	33	39	41	42	35	46	39	49	24	48	53	56	56	56	0	0	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	1	1	2	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	2	1	1	1	2	1	1	1	3	2	2	2	1	1	1	1
3500	-298.200957895574959	-305.056445846534359	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.779653866818235	2	3	4	4	4	6	9	7	8	7	9	9	8	10	11	13	11	13	11	15	13	13	15	12	15	16	18	14	17	17	16	14	16	14	16	17	19	18	18	18	18	20	19	18	19	18	17	22	20	21	21	20	21	21	23	24	24	26	25	26	30	30	0	1	2	2	0	4	10	4	6	5	10	9	10	9	12	24	13	11	13	16	7	19	18	17	32	24	20	24	20	22	22	24	28	24	28	35	26	29	30	47	47	34	30	26	35	36	33	39	41	43	22	46	30	49	50	48	53	56	51	56	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	2	1	2	1	2	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	3	1	2	1	1	2	2	1	2	1	1	1
4000	-314.504068818026155	-321.359556768985556	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.746310812189541	1	2	3	4	5	6	9	7	7	7	11	10	9	10	11	12	11	12	11	14	12	14	15	14	14	15	17	13	16	18	15	16	16	17	17	17	17	18	17	18	19	20	17	17	19	19	17	21	19	21	21	20	21	22	22	23	22	25	24	25	29	30	0	1	2	2	0	4	10	6	4	5	5	9	10	8	12	19	13	10	13	28	17	16	18	19	28	28	19	19	24	39	22	28	20	32	22	26	19	29	32	33	33	34	26	32	35	32	33	39	26	34	45	46	39	49	46	48	53	56	53	56	0	0	1	1	1	1	1	1	1	1	2	1	3	2	1	2	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	1	1	2	1	1	1	1	3	2	1	1	2	1	1	1	1	1	1	2	1	2	1	1	2	2	1	1	1	1	2	1	1	1
4500	-312.216011613372928	-319.071499564332328	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.728049024504817	0	3	2	4	4	5	8	7	7	6	10	8	9	10	11	12	11	12	11	15	12	13	15	13	15	16	17	14	17	17	17	16	15	16	16	18	18	18	18	18	18	19	18	18	19	19	17	21	19	21	21	21	22	21	22	23	23	25	24	26	29	29	0	3	1	2	0	4	10	6	6	5	13	9	10	8	12	19	13	11	13	16	17	19	18	19	22	16	34	16	34	33	33	24	19	28	22	35	20	34	30	47	33	26	28	26	35	36	33	39	32	43	35	36	30	49	50	48	53	56	56	53	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	2	2	1	1	3	2	2	2	1	1	1	1	1	1	1	1
