step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86
1	-975.313245961720213	-984.364089342171610	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.292568567862382	0	7	15	18	13	15	17	17	22	13	17	24	16	22	22	30	17	15	20	18	24	19	26	19	23	22	23	17	21	23	23	21	23	22	27	27	24	25	24	28	21	20	23	25	23	21	24	25	28	27	29	28	30	26	27	29	30	28	25	42	29	29	39	30	28	37	29	32	31	36	31	32	46	32	44	39	36	47	41	42	46	39	42	42	50	51	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-460.313917417119796	-469.364760797571137	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.862450916691828	3	6	13	15	14	10	13	19	25	6	13	27	15	16	18	29	9	9	21	21	27	19	28	18	23	21	22	21	17	26	24	13	22	24	22	27	15	28	23	33	21	23	22	20	27	20	21	18	26	29	29	28	32	28	25	28	17	31	23	43	26	30	31	25	31	35	27	30	27	31	33	31	40	25	44	36	34	41	42	40	45	39	40	37	51	45	0	1	2	6	1	10	18	11	41	1	10	19	18	6	7	33	10	2	15	32	27	17	35	37	13	5	5	7	37	5	46	2	5	13	24	59	10	61	24	64	11	3	57	18	15	14	37	3	28	41	46	44	61	26	26	49	11	43	26	69	41	67	11	48	14	69	33	55	43	42	35	46	76	33	82	72	12	26	35	72	76	12	38	68	79	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-439.555035341536041	-448.605878721987381	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998775098602410	-2	8	3	19	9	18	10	19	22	13	15	26	14	15	19	31	15	16	21	15	21	15	24	22	23	19	20	8	18	24	22	25	25	21	23	30	26	16	27	26	23	23	19	21	24	12	26	27	25	26	30	29	32	23	27	23	32	28	18	38	25	29	36	30	28	38	29	35	32	35	28	28	38	22	34	38	27	37	32	39	44	39	46	41	48	38	0	3	1	14	1	7	1	46	4	28	7	38	7	46	22	37	5	5	14	28	38	28	74	11	20	13	13	3	46	11	5	6	4	29	6	48	22	28	21	38	21	10	13	14	14	3	34	23	43	29	27	74	12	13	9	15	34	21	14	65	8	61	67	38	9	71	4	69	26	22	9	23	79	13	77	51	30	69	45	16	70	61	60	60	82	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-445.156403377202764	-454.207246757654104	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999591613417969	2	6	16	20	9	16	13	18	19	10	13	20	8	19	14	28	20	12	19	17	25	23	23	16	19	21	25	20	16	23	18	22	22	22	31	26	10	11	23	31	5	19	25	27	25	21	17	21	27	27	33	24	31	20	29	25	32	21	21	38	30	26	33	31	27	34	29	33	30	36	31	28	34	22	42	31	26	47	40	35	46	42	42	41	52	44	0	1	37	15	1	10	13	18	24	41	13	11	2	29	37	34	20	13	29	15	17	9	12	10	13	10	17	47	37	41	11	18	24	37	45	74	2	1	4	77	1	37	29	42	22	47	38	7	33	23	45	17	20	6	59	25	65	15	8	40	30	39	28	33	39	50	54	36	4	64	55	26	36	10	80	22	24	83	51	69	60	55	73	51	86	43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-455.612378250910751	-464.663221631362092	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985170442079088	-1	4	6	13	7	16	14	17	12	9	15	19	8	20	15	23	17	11	23	18	18	22	25	18	16	22	14	14	16	16	24	18	25	21	11	23	27	27	24	20	20	21	18	22	16	22	18	22	29	26	29	28	33	20	29	31	22	23	24	42	15	29	39	30	26	28	32	35	29	39	27	33	42	30	38	37	36	41	40	39	42	37	42	38	46	32	0	1	1	2	1	35	2	2	5	2	13	5	1	45	9	24	18	2	9	7	3	4	42	18	5	28	5	5	35	18	6	13	40	8	5	12	46	6	29	28	7	27	35	32	35	45	35	25	6	54	46	16	20	35	40	17	11	18	30	51	13	23	31	33	24	34	52	53	23	48	43	40	72	66	26	67	55	53	77	53	49	22	51	38	82	46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-437.598269379931480	-446.649112760382820	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991109506658294	1	7	7	11	13	17	9	15	23	15	18	23	15	25	22	28	16	13	15	17	19	17	24	22	24	22	24	10	20	24	25	20	20	23	30	27	19	27	20	26	14	23	22	26	18	18	19	23	24	26	29	23	27	23	22	25	30	30	19	43	29	28	29	28	19	30	32	34	24	39	30	30	48	28	42	39	29	33	35	26	43	37	39	39	46	47	0	1	1	2	3	19	3	18	45	1	7	18	3	65	10	55	3	28	28	4	7	4	20	2	13	8	10	3	10	33	29	2	41	45	25	19	41	59	18	33	3	21	4	41	5	7	13	39	22	19	9	13	42	4	46	37	25	69	5	76	47	20	42	27	18	43	23	52	5	80	49	31	61	43	70	35	27	71	61	20	82	51	35	66	84	75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-442.003531238823030	-451.054374619274370	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993948718609913	-1	8	15	13	11	15	14	17	24	13	18	24	11	23	23	27	17	16	15	1	24	16	29	14	22	24	23	14	9	19	22	22	24	19	24	16	26	21	24	26	19	8	21	20	23	15	26	22	27	22	26	25	26	29	26	28	29	27	25	38	26	26	29	31	25	35	29	33	16	34	29	25	41	32	32	33	34	43	42	31	37	27	39	44	37	49	0	1	29	1	1	13	2	2	34	2	5	69	20	6	41	18	7	24	2	1	34	2	12	2	36	46	41	2	20	28	6	8	28	4	22	13	30	6	19	3	24	20	44	13	36	13	8	46	27	7	48	11	50	44	6	45	12	30	50	67	30	38	12	35	69	26	52	82	2	53	35	18	75	37	61	55	58	64	62	72	68	12	74	83	77	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-460.122997964351555	-469.173841344802895	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996436623937805	-4	7	15	18	14	13	14	16	19	13	20	22	10	22	2	27	19	16	16	18	16	19	25	20	26	8	25	17	20	26	19	15	19	23	25	28	17	16	18	26	21	20	27	29	22	22	27	21	25	26	24	24	26	22	25	25	20	26	27	37	31	32	41	25	27	36	23	27	32	31	22	30	41	31	46	28	38	44	28	35	35	34	31	45	51	43	0	1	2	6	13	26	13	2	10	13	37	37	2	5	1	29	3	7	6	7	26	26	3	7	7	1	48	13	5	39	5	13	7	22	7	30	6	13	7	39	19	5	45	27	18	13	6	21	8	71	41	28	31	24	5	14	3	54	12	30	48	14	80	28	6	39	29	4	59	67	33	51	81	23	56	12	30	45	23	72	43	65	35	77	63	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-457.446388873165517	-466.497232253616858	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999463038743013	1	4	13	19	8	16	16	19	21	13	22	23	9	20	16	24	18	17	25	16	27	19	27	18	25	21	21	15	18	25	27	11	23	23	24	26	21	23	28	29	23	16	25	26	22	20	21	19	27	20	28	27	26	23	30	29	28	26	17	30	27	32	35	32	29	38	18	30	26	32	25	25	36	29	46	30	36	42	32	37	20	38	39	36	43	45	0	1	2	7	1	13	2	28	32	13	29	9	2	29	32	18	13	10	13	3	17	20	47	32	13	3	20	2	32	6	37	5	7	18	28	37	59	48	27	12	24	5	50	81	32	5	48	13	81	3	9	50	45	22	45	72	20	81	10	19	14	50	71	56	29	49	20	38	4	38	4	4	55	29	63	61	55	83	34	35	13	9	62	51	77	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-442.658529197991186	-451.709372578442526	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999232808076580	0	6	12	10	16	5	9	17	20	11	17	23	17	22	25	31	20	17	23	18	24	13	29	20	22	23	21	13	22	22	27	8	20	10	21	28	18	24	26	29	16	19	20	30	21	18	18	18	26	19	30	25	24	25	27	31	32	25	23	40	28	26	38	28	30	29	22	30	23	36	32	33	41	28	37	37	40	47	35	34	28	43	41	34	49	46	0	1	32	6	32	1	2	10	10	32	32	48	4	5	42	31	5	22	46	3	48	6	12	32	5	47	48	7	13	28	37	1	4	2	22	54	5	47	42	25	34	28	41	59	41	32	3	4	67	18	31	28	50	9	14	54	58	17	22	81	46	26	56	33	30	52	46	67	47	58	33	15	84	8	84	44	79	84	19	23	42	51	71	66	63	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
