step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86
1	-883.020016285028419	-892.070859665479816	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.897848078714108	0	7	2	5	10	7	8	9	9	9	11	11	12	9	11	10	13	10	11	10	13	11	10	19	11	13	12	12	14	14	12	17	14	15	13	13	13	15	15	13	13	14	17	15	13	15	14	14	18	14	14	14	14	15	17	16	15	17	15	15	14	16	16	16	16	16	18	18	18	16	18	17	18	19	17	19	18	19	23	18	22	25	20	20	21	24	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-243.668133818299879	-252.718977198751219	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995316544337920	0	7	1	5	10	7	8	8	10	8	12	12	12	10	9	10	13	10	12	8	14	12	10	19	8	11	13	12	14	15	12	18	15	14	13	14	13	16	15	13	13	14	15	16	12	15	14	14	16	15	14	14	15	15	16	15	15	18	15	11	14	17	15	15	16	15	19	18	18	16	18	16	13	20	18	19	17	18	23	18	22	26	17	16	20	23	0	4	1	3	7	4	4	4	7	4	9	5	14	6	7	20	5	25	5	6	27	15	7	62	4	23	31	2	35	45	5	66	27	31	60	17	19	17	35	31	11	18	52	48	9	48	11	20	21	27	12	37	61	40	13	42	40	46	29	14	31	44	34	42	42	61	49	84	62	47	50	50	45	55	33	78	30	70	83	36	32	71	50	63	32	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-257.362154135654578	-266.412997516105918	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983359045254053	-1	7	2	4	11	7	6	9	9	10	11	12	13	10	12	8	13	7	11	7	13	12	8	19	12	13	11	11	15	14	12	16	11	15	13	14	14	9	16	14	13	15	17	16	13	16	12	14	17	13	14	13	14	15	17	17	14	17	13	15	15	17	16	16	17	16	18	18	17	15	18	8	19	20	15	19	18	19	21	18	21	24	19	11	22	20	0	7	1	3	38	4	4	6	16	2	16	19	14	18	33	7	5	3	8	7	23	27	20	58	11	27	8	18	45	14	8	61	16	22	22	15	12	23	17	41	11	13	29	37	47	60	14	21	53	5	26	84	35	33	54	32	47	64	27	31	40	36	54	31	42	26	37	49	17	50	54	2	80	76	53	64	64	32	43	34	68	81	49	23	74	49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-253.042350022537448	-262.093193402988788	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993441549171565	1	8	3	4	9	7	9	10	10	10	10	10	10	9	10	8	14	10	12	10	14	11	10	18	12	14	12	12	14	15	12	18	13	15	12	12	14	15	15	13	13	15	15	16	14	16	12	14	17	15	14	14	13	15	17	15	15	17	14	12	13	14	16	16	15	16	17	16	18	12	16	17	18	20	17	19	17	11	21	16	21	26	19	19	18	23	0	4	1	3	16	4	6	7	16	2	2	7	2	16	7	6	22	5	9	5	41	7	14	67	10	28	18	11	27	31	11	59	47	26	12	9	60	53	45	22	70	40	40	37	60	52	7	5	50	48	10	35	22	21	44	28	51	51	33	15	70	10	41	45	41	26	66	39	34	11	38	71	66	67	47	32	10	5	74	62	83	44	73	42	22	74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-267.904554512768868	-276.955397893220209	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984797724639254	0	5	3	6	10	8	6	8	7	9	10	10	12	9	11	11	12	9	11	10	12	11	11	19	12	12	10	12	7	15	10	16	12	14	13	13	14	16	15	12	13	15	17	15	13	16	14	14	16	14	15	15	11	16	18	13	15	18	15	13	15	16	17	17	14	17	18	18	17	17	17	18	18	20	15	19	17	18	24	18	22	22	19	20	20	21	0	3	1	2	6	29	2	2	7	6	18	6	19	9	10	4	23	6	6	14	11	14	10	59	27	23	4	16	2	35	10	59	8	10	13	53	19	56	50	20	21	5	13	41	17	50	14	21	26	25	36	45	31	42	66	53	8	65	40	53	37	40	75	44	17	26	51	66	62	49	39	12	59	57	60	62	44	49	84	36	30	83	30	64	43	83	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-268.773930690199222	-277.824774070650562	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999797101942198	0	7	3	5	11	7	5	9	10	8	12	11	13	9	9	11	9	7	12	11	11	11	11	19	11	12	13	10	14	15	13	17	15	14	13	14	12	15	16	13	10	12	14	15	12	15	15	11	17	12	15	15	11	15	15	15	12	15	14	12	13	15	13	16	14	14	18	17	16	17	19	17	14	16	15	18	17	19	23	17	18	25	18	21	22	20	0	4	1	3	17	7	3	2	2	7	21	41	50	2	4	41	10	3	23	17	14	17	17	83	17	10	5	15	11	66	23	44	66	5	57	25	5	36	51	23	8	8	57	73	15	16	43	14	56	20	23	73	8	9	73	43	12	61	9	9	23	34	45	61	13	5	27	30	65	51	65	33	25	75	61	63	74	52	84	30	49	85	13	86	78	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-256.831811769751653	-265.882655150202993	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998297539101589	1	7	2	5	10	7	9	8	9	9	10	10	12	6	12	10	14	10	11	10	12	11	10	20	12	13	11	11	13	12	12	15	14	16	11	14	12	10	14	13	13	14	17	15	13	14	13	15	17	12	14	13	13	15	17	16	16	17	15	16	14	15	14	15	17	16	18	19	18	14	19	16	19	20	17	15	19	18	19	15	20	22	17	20	21	24	0	4	1	1	8	14	8	6	8	14	8	2	5	4	23	8	29	7	4	4	22	12	8	48	16	21	8	10	30	11	5	26	52	64	12	10	28	6	22	22	25	38	13	47	35	52	9	51	46	9	7	19	37	63	48	31	51	17	51	53	20	21	38	50	41	39	32	65	56	16	69	36	72	69	33	36	75	56	76	40	78	24	41	65	74	82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-242.669644226726291	-251.720487607177631	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991403368636731	0	7	2	5	10	7	8	10	3	10	12	12	13	9	11	11	13	11	11	11	13	11	9	20	11	12	12	12	14	12	12	17	13	14	13	14	11	14	16	12	13	12	14	15	13	15	13	15	19	13	15	12	14	15	17	16	15	18	15	16	14	16	17	16	16	17	19	19	19	15	17	18	17	19	17	19	17	20	21	13	21	19	20	21	18	19	0	9	1	9	14	9	2	7	3	23	37	20	11	6	8	14	25	7	10	2	20	10	2	75	5	5	5	18	27	8	25	15	42	17	6	27	23	12	53	5	20	10	45	35	23	29	42	47	57	18	50	8	27	41	36	29	13	63	61	70	52	27	44	70	16	51	62	77	55	80	38	63	57	63	51	32	60	32	69	8	65	32	69	86	48	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-249.904035784672942	-258.954879165124282	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.981064815127811	0	6	3	5	10	8	7	9	10	10	12	11	13	9	10	11	12	10	12	8	13	11	10	19	12	13	11	9	14	15	11	17	14	11	11	13	14	16	16	14	14	14	18	16	13	16	13	14	16	15	14	14	12	15	16	15	12	15	12	11	15	16	16	17	16	15	16	18	18	15	18	17	18	19	17	17	16	18	22	13	22	19	21	18	21	22	0	4	1	3	6	2	4	6	8	8	10	28	23	7	28	5	6	14	34	7	53	8	28	77	31	53	15	7	80	29	10	55	80	23	28	10	47	41	42	53	45	57	76	51	60	58	31	21	56	16	35	47	16	22	21	52	23	35	23	5	19	30	52	63	40	52	13	54	67	36	64	42	13	69	30	70	54	39	68	57	49	68	84	49	68	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-257.213351757691385	-266.264195138142725	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985082037249040	0	7	2	5	10	8	8	10	10	10	11	11	11	8	12	9	13	10	11	9	13	12	11	17	12	11	12	13	15	10	12	16	13	15	13	11	13	14	14	13	13	14	17	16	13	14	13	13	18	12	15	15	14	14	17	12	16	18	15	14	15	17	15	15	17	16	16	17	17	17	19	17	19	16	16	19	13	20	22	18	13	20	20	21	22	18	0	1	1	3	7	2	4	16	6	6	8	10	6	2	5	4	36	14	16	2	13	13	18	63	19	16	23	8	37	20	2	34	22	28	26	8	26	5	50	12	12	50	61	42	23	25	22	11	74	30	33	47	33	47	66	7	61	55	54	56	38	54	77	15	52	26	60	54	75	67	70	29	74	28	61	46	22	32	76	57	36	62	80	24	51	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
