step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71
1	-1881.266268221817199	-1888.121756172776486	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.087426465721227	3	3	4	3	5	6	5	7	9	10	11	11	11	12	12	13	16	13	16	14	15	17	18	20	19	20	20	21	23	22	22	23	24	26	25	27	27	27	31	28	33	32	31	30	33	33	33	33	33	35	34	35	34	35	37	38	38	40	39	39	41	40	41	41	41	43	46	46	45	46	51	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	4	4	4	4	5	5	5	7	5	7	6	6	7	8	9	8	9	9	9	10	10	10	10	11	12	11	12	12	12	14	13	15	15	14	14	15	15	15	15	15	16	16	16	16	16	17	18	18	19	18	18	19	19	19	19	19	20	22	22	21	22	24
500	-704.409448569998744	-711.264936520958145	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.105263157126923	0	3	5	3	4	6	5	8	10	7	11	11	12	12	11	14	16	12	16	14	16	16	17	21	19	18	20	21	20	20	21	24	24	26	25	27	28	26	32	28	34	31	31	29	31	33	33	34	33	36	34	36	34	35	38	38	39	40	39	39	41	40	41	42	40	43	47	47	46	46	51	0	1	2	1	2	2	5	5	6	4	9	10	8	10	1	14	6	6	18	15	16	14	15	20	15	9	9	23	6	21	15	30	29	22	22	22	30	29	29	30	29	26	26	29	31	38	26	26	31	22	31	26	31	26	29	26	31	29	26	41	38	40	36	30	40	26	29	29	29	31	36	1	2	1	2	1	2	1	2	3	2	1	2	2	2	6	2	4	2	2	2	1	2	4	4	4	4	7	3	7	2	5	3	3	6	5	8	5	4	9	5	8	8	7	4	6	5	8	8	9	13	7	9	7	10	14	14	12	13	11	3	9	8	8	13	5	13	16	16	17	15	14
1000	-597.173718525027425	-604.029206475986825	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.210205302530328	1	3	4	3	6	5	5	7	7	10	11	11	12	10	12	13	17	13	16	13	15	15	18	21	18	19	20	21	22	22	22	24	24	26	25	27	28	24	32	28	33	32	30	29	33	33	34	33	34	35	33	36	33	35	38	38	38	39	39	39	41	39	42	41	40	43	47	46	46	46	51	0	1	2	1	2	1	2	7	6	6	6	10	8	6	10	10	10	9	11	10	11	11	19	20	9	22	10	25	22	26	26	26	29	30	22	29	30	26	10	38	38	30	40	36	30	43	38	40	40	43	42	40	35	35	38	30	38	49	29	42	47	49	47	38	45	52	36	65	42	38	61	1	2	1	1	2	2	1	1	2	2	3	1	5	3	1	2	4	2	3	1	3	2	2	6	6	2	5	1	3	3	2	3	2	3	6	3	3	3	14	2	5	7	1	1	7	2	6	3	3	2	1	5	4	6	11	8	8	3	8	5	4	4	4	8	5	4	11	5	8	11	5
1500	-472.689878589364355	-479.545366540323755	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.390763241536510	2	3	5	4	5	7	4	7	10	11	12	11	11	11	12	14	17	13	16	14	14	17	18	20	20	20	19	21	23	21	22	23	24	26	24	27	27	27	30	28	33	33	29	30	34	34	33	32	33	36	35	36	35	35	38	38	38	40	39	38	41	40	39	41	41	44	47	45	45	47	51	0	1	2	1	7	1	2	5	6	6	6	6	8	6	9	14	18	9	9	10	12	21	19	14	19	22	23	27	30	22	22	31	22	29	30	22	31	26	40	33	30	40	30	40	40	48	40	38	40	39	44	47	42	40	38	36	41	59	49	48	62	52	44	42	45	61	42	63	66	41	66	1	1	1	1	1	2	1	1	1	3	2	2	2	2	1	1	2	2	2	2	2	2	1	5	2	2	1	1	1	2	3	1	5	2	1	4	3	3	1	2	7	2	3	2	3	1	2	2	3	3	3	1	1	3	7	6	4	1	3	3	1	2	4	4	2	2	9	3	1	6	4
2000	-482.816174248142886	-489.671662199102286	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.436228175488567	1	3	5	4	5	7	6	8	10	10	9	12	11	12	13	13	16	13	16	14	16	17	19	19	20	19	21	21	23	22	21	20	24	26	25	26	26	26	32	28	32	31	30	30	34	33	34	33	33	36	35	36	35	35	37	38	38	40	39	37	41	40	41	41	40	44	46	45	46	46	51	0	1	2	1	2	4	5	3	11	6	4	10	8	10	11	14	11	11	15	10	16	11	17	15	23	16	25	25	31	24	22	22	22	33	26	22	33	31	40	38	38	30	38	40	39	39	43	44	38	46	44	45	49	44	33	45	49	59	52	51	53	45	56	59	55	61	49	53	66	56	70	1	1	1	2	1	2	1	2	1	1	2	1	2	1	3	1	3	2	2	2	2	4	1	4	1	3	1	1	1	1	3	2	4	2	4	5	1	2	2	1	4	6	2	2	1	1	3	2	5	2	2	1	2	3	5	2	2	1	2	1	3	3	1	1	3	2	8	5	1	4	2
2500	-440.328428417175473	-447.183916368134874	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.513455365787880	2	3	4	3	5	6	6	7	9	10	10	11	11	12	12	14	15	14	16	14	16	18	17	20	20	20	20	22	23	23	22	23	24	26	25	27	26	27	31	28	33	33	30	30	34	33	33	33	32	34	35	35	34	36	36	39	39	40	38	39	41	40	42	42	42	43	46	46	44	47	52	0	1	2	1	2	3	5	5	6	6	6	6	5	10	9	14	15	9	15	10	14	21	15	14	23	22	23	27	26	22	26	26	30	22	30	30	31	30	40	38	38	49	36	40	38	43	44	44	40	39	50	36	49	38	49	42	53	42	42	54	57	55	58	55	56	62	38	64	57	68	70	1	1	1	1	1	1	1	1	1	2	3	2	2	1	2	1	2	3	2	2	2	2	3	4	1	1	3	1	1	3	1	2	1	3	1	2	2	3	2	1	2	1	1	1	3	2	2	1	2	3	1	3	2	3	2	4	2	3	2	2	2	4	1	3	2	2	7	3	2	1	3
3000	-430.678918404853448	-437.534406355812848	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.528203997152220	2	3	4	3	4	6	6	7	10	9	9	11	10	12	12	13	15	13	16	14	15	18	17	19	19	21	20	21	23	21	22	24	23	27	25	26	28	26	30	28	33	32	30	30	34	33	33	33	33	36	35	35	35	35	37	37	38	39	39	39	41	39	42	42	40	43	47	47	43	45	51	0	1	2	1	2	1	5	7	11	6	6	10	7	10	9	12	6	9	9	10	14	21	19	20	23	22	25	27	26	22	30	22	26	29	30	22	31	30	40	38	38	39	36	40	43	44	44	36	42	46	48	36	45	40	42	45	53	42	45	54	57	49	41	58	52	64	70	61	61	66	68	1	1	1	1	1	2	1	1	1	2	1	2	2	2	1	1	5	1	3	2	2	2	1	2	1	2	1	1	1	1	1	2	2	2	3	3	3	2	1	1	3	1	2	1	2	3	2	3	1	2	1	4	1	3	3	2	1	4	4	1	2	2	5	2	3	1	1	2	1	1	2
3500	-429.603100169061349	-436.458588120020750	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.549869945100109	1	3	5	3	4	7	6	6	9	11	11	11	11	13	10	13	16	14	15	15	15	18	16	20	20	20	21	22	23	22	23	24	24	27	25	26	26	27	31	29	33	33	31	30	33	33	33	34	34	36	34	36	34	34	37	38	38	40	39	38	42	38	40	41	42	43	46	46	45	46	50	0	1	2	1	2	1	5	5	6	6	6	6	7	10	6	11	18	15	10	10	16	21	9	20	23	22	23	23	26	22	26	30	22	29	22	33	31	29	36	38	40	38	36	38	38	43	44	44	47	47	47	49	42	36	53	49	42	55	52	47	62	52	52	55	57	61	69	66	61	64	67	1	1	1	1	1	2	1	1	2	3	2	2	3	1	2	1	1	1	4	2	1	2	4	3	2	1	3	3	2	2	1	1	3	2	3	1	2	3	2	1	1	3	2	1	3	2	2	2	1	1	1	1	1	4	2	2	3	1	3	2	1	2	2	2	2	1	1	2	2	2	2
4000	-432.266743278295280	-439.122231229254680	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.498840147582815	2	3	5	4	4	7	5	7	10	10	11	11	11	13	12	12	16	14	16	14	15	18	18	21	19	19	20	21	23	22	22	22	25	26	26	27	27	27	30	29	33	30	31	30	32	34	33	32	33	35	34	35	34	35	37	37	39	40	36	39	41	39	42	42	42	44	47	45	45	46	51	0	1	2	1	2	1	5	5	6	6	6	6	5	10	9	6	18	15	15	16	12	21	19	16	23	16	25	27	24	26	21	26	31	29	26	31	34	26	40	36	44	40	40	36	42	43	44	44	42	43	38	45	38	38	53	53	55	62	42	54	57	53	62	57	57	65	64	61	57	61	68	1	1	1	1	1	2	1	2	2	2	3	2	3	2	1	3	1	1	1	1	2	2	1	6	1	2	1	1	1	2	3	1	2	2	3	3	1	4	1	1	1	1	1	2	2	2	2	1	2	2	3	2	2	3	2	2	1	1	2	2	1	2	2	2	2	2	3	2	4	2	3
4500	-466.341264058480192	-473.196752009439592	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.502851468542000	2	3	5	4	6	7	5	7	10	10	11	12	12	13	13	14	16	12	16	15	16	18	17	17	20	19	19	21	23	22	22	24	24	26	24	27	27	26	32	27	34	33	30	29	34	33	31	33	31	35	35	35	34	35	38	39	38	41	36	38	42	41	39	41	40	44	46	46	44	45	51	0	1	2	1	2	1	2	7	6	6	6	10	7	6	9	10	9	9	9	10	14	6	18	14	23	21	19	27	26	26	26	22	31	26	26	22	31	35	43	38	47	49	38	30	49	43	40	44	44	39	48	36	42	47	53	53	59	52	49	51	57	42	52	57	57	64	65	56	65	61	68	1	1	1	1	2	3	1	2	1	2	2	1	2	2	2	2	3	1	3	3	1	4	4	2	2	1	2	1	2	1	2	3	1	4	2	3	2	1	1	1	2	1	2	3	2	2	2	2	1	1	1	3	1	3	2	2	1	2	3	1	1	4	3	2	1	2	3	3	2	1	2
