step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8
1	-175.006522598395264	-173.544440513876395	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.181664824154439	0	2	2	4	7	8	11	14	0	1	1	1	1	1	1	1	1	1	1	2	4	4	6	7
500	-51.105123306614075	-48.448061804563189	-2.657061502050888	0.000009994052270	0.000042611724463	4.263708384957452	0.271218639865115	1	2	2	3	8	8	10	14	0	1	1	3	4	1	5	0	1	1	1	1	3	4	2	1
1000	-46.632688640305275	-43.646931496555894	-2.985757143749384	0.000009957430344	0.000054013640968	5.424455818772479	0.309520099704143	0	3	2	4	6	9	10	14	0	1	1	3	3	5	5	0	1	1	1	1	2	1	2	1
1500	-46.729048911310684	-43.244816709275035	-3.484232202035648	0.000010005753200	0.000074935744753	7.489265750694278	0.574492405827158	0	2	2	4	6	8	12	12	0	1	1	3	4	5	6	0	1	1	1	1	1	2	1	1
2000	-45.523199043225283	-43.249116476557475	-2.274082566667810	0.000009913420361	0.000030592066603	3.085924482998852	0.536889019407471	0	2	2	4	8	9	11	15	0	1	1	3	3	4	5	0	1	1	1	2	3	3	1	1
2500	-49.118391119629329	-46.963308158562931	-2.155082961066397	0.000009994093789	0.000027520784854	2.753704881634684	0.534066292025233	-1	2	2	5	8	8	11	13	0	1	1	1	4	4	4	0	1	1	2	3	1	2	3	1
3000	-40.639353348141015	-38.967950815997405	-1.671402532143608	0.000009738735331	0.000014861402578	1.526009494309160	0.852610889464991	1	3	2	4	7	8	11	13	0	1	1	3	4	3	6	0	1	1	1	1	1	2	1	1
3500	-42.311358111446609	-40.057946120468564	-2.253411990978044	0.000010016477977	0.000030321436738	3.027155533904255	0.807315851044272	1	2	2	3	8	7	10	14	0	1	1	3	6	3	5	0	1	1	1	1	1	2	1	1
4000	-43.083809275607258	-41.508378666327673	-1.575430609279586	0.000009229973839	0.000011927782788	1.292287821920958	0.870638621141347	0	3	2	5	6	8	9	14	0	1	1	3	3	4	6	0	1	1	1	1	1	1	1	1
4500	-45.450357859731575	-43.425775236177479	-2.024582623554096	0.000009453281723	0.000022738905724	2.405398082017217	0.575335338848969	1	2	3	5	8	6	11	13	0	1	1	3	4	3	5	0	1	1	1	1	1	1	1	1
5000	-39.984042418586533	-36.915038486123457	-3.069003932463077	0.000010575023508	0.000060728564933	5.742641128377390	0.931720973727251	0	2	2	4	7	8	12	14	0	1	1	3	4	4	6	0	1	1	1	1	1	2	1	1
5500	-37.827688140263270	-35.018195128706836	-2.809493011556432	0.000013845273181	0.000066230033818	4.783584473392201	0.941320649068199	0	2	2	4	8	9	10	14	0	1	1	3	4	5	6	0	1	1	1	1	1	1	1	1
6000	-41.974147625713194	-40.467139049474156	-1.507008576239037	0.000020572241269	0.000023041883983	1.120047333787132	0.702117905601158	1	3	2	4	7	6	11	13	0	1	1	3	4	3	6	0	1	1	1	1	2	2	2	1
6500	-37.004657307101326	-34.304525248900610	-2.700132058200714	0.000024282299927	0.000107023806309	4.407482266182768	0.844700705608134	0	1	2	4	6	8	10	13	0	1	1	3	4	5	6	0	1	1	1	1	1	1	1	1
7000	-40.781784487721744	-38.912923967561220	-1.868860520160522	0.000031487658026	0.000063249754125	2.008715734704130	0.807658997389326	0	2	2	4	8	7	10	13	0	1	1	3	6	3	6	0	1	1	1	1	1	1	2	1
7500	-38.476189603278293	-36.997107941205073	-1.479081662073219	0.000039891248311	0.000041743622879	1.046435612976808	0.537346635256454	0	2	2	4	7	8	12	14	0	1	1	3	4	5	6	0	1	2	1	1	2	1	2	1
8000	-35.394778718325554	-33.252306891225324	-2.142471827100231	0.000039481356949	0.000107363285834	2.719341332966892	0.986247942718144	0	2	3	5	8	9	11	14	0	1	1	3	4	5	6	0	1	1	1	1	1	1	1	1
8500	-33.621558486128400	-31.852630778279934	-1.768927707848465	0.000045877968382	0.000080864612245	1.762602292499751	0.874853274853939	0	2	2	5	7	8	11	15	0	1	1	3	4	5	6	0	1	1	1	1	1	1	1	1
9000	-44.837945301980113	-43.445428408623812	-1.392516893356300	0.000066839955564	0.000052167910940	0.780489910559236	0.669315628276920	0	2	3	4	8	8	12	14	0	1	1	3	4	3	4	0	1	1	2	1	2	3	3	1
9500	-42.247169056698411	-40.804566638407529	-1.442602418290879	0.000066511141408	0.000022859515246	0.343694526387985	0.515242484493853	1	2	3	4	7	9	11	13	0	1	1	3	4	5	6	0	1	1	1	1	2	2	1	1
10000	-40.749754413471848	-39.375012194561279	-1.374742218910570	0.000052881980675	0.000037116264307	0.701869783126524	0.505895694663000	-1	2	3	5	7	8	10	15	0	1	1	3	4	4	6	0	1	2	2	1	1	2	1	1
10500	-40.256987490553868	-38.887000260955247	-1.369987229598624	0.000084337983753	0.000040576453727	0.481117189684102	0.926141560305260	0	3	3	5	7	8	12	15	0	1	1	3	4	5	5	0	1	1	1	1	1	1	1	1
11000	-49.470083134647602	-48.105014411825209	-1.365068722822390	0.000086526802672	0.000043942906872	0.507853121980293	0.491936216362874	-1	2	3	5	8	8	12	13	0	1	1	3	4	3	3	0	1	2	2	1	2	2	5	1
11500	-41.045119160121729	-39.670862224524207	-1.374256935597522	0.000043982970351	0.000030757258205	0.699299250580241	0.599779924811207	0	2	2	4	6	9	11	14	0	1	1	3	4	4	5	0	1	1	2	1	1	2	3	1
12000	-44.295186988730322	-42.226208665423499	-2.068978323306825	0.000038494219685	0.000097087164655	2.522123203178848	0.831729629241310	0	2	2	4	6	8	11	14	0	1	1	3	4	4	6	0	1	2	1	1	1	3	1	1
12500	-43.501886915105331	-42.096862788102904	-1.405024127002430	0.000056518039729	0.000046696916590	0.826230294142045	0.673985884194317	0	1	2	4	6	6	9	13	0	1	1	3	4	3	3	0	1	1	1	1	1	2	3	1
13000	-41.913771277518684	-40.236821350351292	-1.676949927167394	0.000051358559503	0.000079063176169	1.539435236000690	0.494867414291044	1	2	2	4	8	8	11	14	0	1	1	3	4	3	1	0	1	1	1	1	2	3	5	1
13500	-40.787036555805052	-38.974021831201441	-1.813014724603608	0.000017834943435	0.000033360953921	1.870538812874277	0.779920454868894	0	2	2	5	6	7	10	13	0	1	1	1	4	4	6	0	1	1	1	2	1	1	1	1
14000	-34.407302884800671	-33.021775236396593	-1.385527648404079	0.000020115179721	0.000015131462339	0.752240971705945	0.884243958521028	0	2	2	5	7	9	11	14	0	1	1	3	4	4	6	0	1	1	1	1	1	2	1	1
14500	-39.701699278555402	-38.042810539005401	-1.658888739550000	0.000033979729234	0.000050824007406	1.495715491328361	0.912306359641670	0	2	2	3	8	7	11	15	0	1	1	3	6	4	5	0	1	1	1	1	1	2	2	1
15000	-40.776666382662029	-39.266299095360935	-1.510367287301093	0.000041785056940	0.000047163977392	1.128728326474456	0.834186244369248	1	3	2	5	7	7	12	14	0	3	1	3	3	4	6	0	1	1	1	1	2	1	2	1
15500	-40.726211283204627	-39.224499771336667	-1.501711511867958	0.000033780821301	0.000037371383022	1.106289947442943	0.670989076885390	1	2	3	5	7	8	12	15	0	1	1	1	4	4	6	0	1	1	1	2	1	2	2	1
16000	-41.971508077192198	-40.598243230663115	-1.373264846529079	0.000031512022127	0.000021867012045	0.693926018338312	0.567473164858709	0	2	3	4	8	8	10	15	0	1	1	3	4	4	6	0	1	1	2	1	2	3	1	1
16500	-40.070041488419662	-38.702520535666437	-1.367520952753222	0.000045095999854	0.000022236072131	0.493083027394844	0.544476352554826	1	2	3	5	8	8	11	13	0	1	1	3	4	3	6	0	1	1	1	1	1	2	2	1
17000	-37.696809920978943	-36.297073044005771	-1.399736876973174	0.000076759050811	0.000061982427905	0.807493412825220	0.597549202678712	0	2	2	5	7	8	9	15	0	1	1	3	4	4	6	0	1	1	1	1	1	1	1	1
17500	-42.676981428171608	-41.242684084540961	-1.434297343630647	0.000061731681720	0.000056794599361	0.920023524031679	0.575197115577619	0	3	3	4	7	8	10	13	0	1	1	3	4	4	4	0	1	1	1	1	2	2	2	1
