step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99
1	-3274.575239177065669	-3281.430727128024955	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.652417818371719	-1	1	3	4	5	4	8	7	6	9	8	9	8	10	11	11	12	11	12	12	13	12	12	11	11	13	13	14	14	15	14	14	13	15	14	14	16	15	16	18	14	15	16	15	16	18	15	17	15	15	17	16	16	18	17	17	17	17	17	18	17	18	18	19	18	19	19	18	18	19	19	19	19	20	19	21	22	21	20	20	21	23	21	21	23	21	21	22	24	24	23	23	26	24	25	27	28	29	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	5	4	4	5	5	5	5	6	6	6	7	6	7	7	7	7	7	6	6	7	7	8	8	8	8	8	7	8	8	8	9	8	9	10	8	8	9	8	9	10	8	9	8	8	9	9	9	10	9	9	9	9	9	10	9	10	10	10	10	10	10	10	10	10	10	10	10	11	10	11	12	11	11	11	11	12	11	11	12	11	11	12	13	13	12	12	14	13	13	14	15	15	17
500	-1083.500346702882325	-1090.355834653841612	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.293333050064638	-1	1	4	4	4	3	9	8	6	9	7	7	8	10	12	11	13	8	10	11	13	12	11	12	10	13	14	13	15	15	12	14	13	16	14	11	13	14	17	18	15	15	15	15	14	17	15	18	16	16	17	16	17	19	18	17	17	18	18	17	18	18	18	20	17	19	20	19	18	19	19	20	19	20	19	22	23	21	20	19	22	23	20	21	23	22	22	22	25	24	23	24	26	24	26	26	28	28	33	0	1	1	6	6	2	12	5	4	4	4	3	4	4	25	12	13	12	6	6	9	13	4	13	9	12	14	15	25	18	18	10	9	23	14	0	18	11	10	33	15	19	15	27	15	25	10	23	42	36	50	11	43	38	17	29	43	15	39	14	35	36	31	19	45	56	16	25	49	65	42	37	30	12	31	1	13	42	7	53	12	18	12	46	72	28	36	22	30	7	15	36	27	26	31	49	30	69	0	1	1	2	1	1	1	1	2	1	2	2	2	3	2	2	3	2	1	4	3	3	3	2	2	2	3	2	1	4	4	3	2	3	2	2	1	3	3	5	4	2	2	1	1	1	5	4	2	1	5	1	3	1	3	5	1	2	4	1	3	2	3	3	7	3	2	4	4	1	1	3	4	2	8	5	13	12	3	7	1	9	9	9	1	1	7	6	7	9	8	9	9	6	10	9	5	7	6	1
1000	-721.736834121045717	-728.592322072005118	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.376392855838913	0	1	2	4	6	5	9	8	6	9	7	9	9	10	12	12	11	9	12	12	13	13	12	12	11	13	14	13	14	13	15	13	12	15	15	11	13	15	17	18	14	15	16	14	17	17	15	18	14	15	17	16	16	18	17	17	18	17	15	18	18	19	17	19	18	18	19	19	19	19	19	19	20	20	18	21	21	22	21	19	22	22	22	21	23	21	21	22	24	24	24	22	27	23	25	27	29	29	32	0	1	1	2	1	2	4	5	6	4	6	1	9	9	7	12	13	3	13	11	4	10	11	10	12	18	9	25	16	25	30	20	10	19	14	0	12	13	20	11	37	44	30	14	31	31	32	22	14	36	50	47	30	20	42	37	43	15	21	44	49	36	53	58	43	18	46	58	61	75	55	37	53	63	56	50	12	69	75	58	18	72	37	58	72	18	36	80	18	88	18	36	69	18	79	61	80	42	0	1	1	1	2	3	2	1	1	1	3	1	4	3	2	2	1	1	3	1	2	3	2	2	1	2	2	4	1	1	1	1	1	2	2	2	1	2	3	3	5	1	1	1	2	1	2	2	2	2	4	1	1	2	4	1	3	1	2	1	2	2	4	1	1	1	4	1	1	1	1	1	3	2	2	1	2	7	2	2	1	10	2	5	2	2	7	5	2	8	1	7	6	6	7	2	4	5	6	1
1500	-624.282485474829741	-631.137973425789141	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.468876500016805	0	2	3	5	6	4	9	7	6	9	8	9	7	10	12	11	10	12	13	13	12	12	11	11	12	13	13	14	14	15	15	14	13	14	14	14	16	15	16	18	15	16	17	15	16	18	15	16	15	16	16	16	16	17	17	17	17	17	17	19	16	19	18	18	18	20	19	19	17	19	19	19	19	21	16	22	23	22	20	19	21	23	21	20	23	21	21	22	25	24	23	23	27	25	26	27	29	29	31	0	1	1	6	4	2	3	5	6	13	6	3	4	11	7	7	6	7	23	6	11	17	6	10	7	7	14	15	7	18	7	22	10	17	10	0	7	23	17	38	15	23	30	14	29	18	32	21	27	36	36	19	30	22	35	28	53	20	20	20	49	36	53	30	31	31	28	58	49	75	55	37	57	63	31	62	63	69	65	57	75	81	67	68	67	75	50	80	56	88	65	76	69	73	91	49	88	78	0	1	1	2	1	1	1	3	1	1	1	2	2	1	1	2	1	2	2	1	5	2	1	3	1	2	2	2	1	3	1	2	1	3	3	3	1	3	2	3	2	2	4	1	2	1	4	1	2	1	1	1	1	1	2	1	2	1	2	2	2	1	3	1	2	1	3	1	1	1	2	1	1	1	2	1	1	4	4	1	2	4	1	1	1	2	4	3	2	5	2	3	1	5	3	2	6	5	4	1
2000	-591.969507592771492	-598.824995543730893	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.495717353748762	-1	1	4	4	5	3	7	8	6	10	8	9	8	10	10	11	12	11	12	10	13	13	13	12	11	14	13	14	15	15	14	15	13	14	14	14	16	15	17	17	15	16	16	16	16	18	15	18	15	15	18	16	17	18	17	17	18	17	16	18	17	19	18	19	18	20	17	18	19	17	18	19	20	20	16	22	21	22	20	20	20	23	21	21	23	21	20	22	24	24	23	23	26	24	26	28	29	28	33	0	1	1	6	6	2	3	5	4	4	9	7	9	4	7	15	20	15	10	11	13	10	6	14	12	7	14	25	16	18	15	4	11	19	14	0	7	11	33	59	7	27	30	35	18	25	10	32	14	36	36	19	43	21	49	30	30	31	32	42	49	50	37	46	37	46	18	30	61	75	49	41	43	37	31	62	63	61	75	46	75	70	56	68	46	70	51	80	86	88	37	87	69	88	65	69	94	93	0	1	2	2	1	1	1	2	1	1	3	1	2	2	3	2	1	1	1	1	1	2	1	4	1	1	4	2	1	2	2	2	5	3	2	2	1	5	4	2	1	4	1	1	1	2	4	2	1	3	1	3	2	1	2	1	1	2	2	1	1	1	2	1	1	1	1	2	2	1	1	1	2	2	3	1	1	2	2	2	1	1	2	2	1	2	3	1	1	2	1	3	2	4	1	4	4	3	2	1
2500	-552.701309108670671	-559.556797059630071	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.594130344994172	-1	2	4	5	5	3	8	8	7	9	8	10	7	10	11	11	12	11	13	13	13	12	11	11	12	13	13	14	14	15	14	13	11	16	14	13	14	15	15	17	14	15	17	15	16	19	14	18	15	14	18	17	16	19	17	17	17	16	17	17	17	18	18	18	18	19	19	18	18	20	20	19	19	20	19	21	20	22	21	20	21	23	19	20	24	22	21	22	24	25	21	24	26	24	25	28	29	30	29	0	1	2	6	6	2	3	5	4	13	4	3	4	11	7	7	9	12	23	33	33	6	4	9	18	12	14	25	16	25	18	23	10	21	14	0	18	19	20	39	15	14	53	22	31	45	22	21	14	36	36	38	31	40	35	31	30	31	21	44	42	50	30	53	15	41	45	58	49	75	55	37	57	63	65	62	63	49	70	57	75	67	37	68	65	70	62	80	75	88	67	87	69	88	82	69	94	96	0	1	2	1	1	1	1	2	1	1	2	2	3	1	2	2	1	2	1	1	1	1	3	2	2	1	1	2	1	2	2	2	1	1	2	1	1	2	2	1	1	2	2	1	2	1	1	1	2	2	1	2	2	1	1	2	1	1	1	2	2	1	2	2	1	3	2	2	1	2	1	1	2	1	1	1	2	1	3	1	2	2	2	4	1	3	1	1	1	2	2	2	2	3	1	1	5	3	1	1
3000	-536.357541894491987	-543.213029845451388	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.639364301361073	-1	1	3	5	5	3	8	7	5	10	8	9	8	10	12	11	12	11	12	11	14	13	12	11	10	14	12	14	14	14	13	14	12	13	14	14	15	16	16	18	15	15	17	16	16	17	15	17	15	16	16	16	16	18	17	18	17	17	17	18	17	18	17	18	18	20	17	18	18	20	20	19	19	20	18	21	22	21	20	19	22	22	20	20	22	20	22	22	24	24	23	22	26	25	26	28	27	29	33	0	1	1	6	6	2	3	5	6	6	4	7	4	4	25	12	20	25	10	13	33	23	9	11	7	16	24	18	16	31	18	22	20	20	27	0	31	19	32	22	25	27	30	14	31	37	20	33	35	36	36	19	30	52	35	45	30	30	47	44	49	50	30	45	45	41	18	58	61	75	55	56	57	63	46	62	63	69	75	57	70	65	56	68	46	75	50	80	70	80	82	62	69	88	82	93	94	96	0	1	1	1	1	1	1	2	1	1	3	2	1	2	3	1	1	1	1	1	2	2	1	2	2	1	2	1	3	2	1	1	1	1	1	1	1	1	3	1	2	2	1	2	3	2	2	2	2	1	1	1	2	1	1	2	1	1	1	1	1	2	2	2	1	1	2	3	1	1	2	1	1	1	1	1	2	3	2	1	1	1	2	1	1	2	2	2	2	2	2	1	3	3	1	2	2	1	1	1
3500	-569.252379229136068	-576.107867180095468	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590149194212729	-1	1	4	4	6	4	8	7	6	9	8	6	7	10	12	11	12	12	11	10	14	12	11	11	10	13	12	14	14	14	14	14	14	13	14	13	15	15	15	17	14	14	17	14	16	18	16	17	16	15	18	16	17	18	18	15	17	17	17	17	18	19	18	19	18	19	19	19	18	20	18	19	19	21	17	21	23	22	21	19	22	22	21	22	23	21	21	23	25	25	23	24	26	25	25	28	27	29	32	0	1	1	2	6	2	12	5	4	13	9	3	9	4	7	25	9	25	10	10	20	9	11	10	12	25	14	18	16	15	7	22	17	10	27	0	25	19	20	23	18	27	30	27	37	18	22	33	44	36	36	19	30	39	35	7	18	30	33	42	27	50	43	30	37	41	15	58	49	75	35	65	43	43	37	62	63	69	70	57	70	65	67	68	72	70	62	80	79	88	65	76	78	88	82	78	94	96	0	1	1	2	2	1	2	2	1	1	2	1	1	1	3	2	1	3	1	1	1	2	2	1	1	2	2	1	1	2	1	2	1	2	2	2	1	3	2	2	4	1	1	2	2	1	2	2	2	1	1	2	2	2	1	1	2	3	2	1	1	3	2	1	3	2	3	3	1	1	2	2	1	1	2	1	2	2	1	1	1	1	2	1	2	3	1	1	2	2	1	3	2	2	1	2	3	1	1	1
4000	-561.310226585382679	-568.165714536342080	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.648753953896390	0	1	4	4	5	5	8	7	7	9	7	9	7	9	10	11	13	11	13	12	13	11	13	12	12	13	14	14	13	15	12	14	14	16	15	14	15	15	17	18	15	14	15	15	16	17	12	16	16	15	17	17	14	18	17	16	15	18	17	18	17	19	19	19	19	19	17	19	17	20	20	19	18	21	19	21	22	22	21	20	21	22	21	21	23	21	20	22	23	23	21	24	26	25	25	26	27	29	31	0	1	2	2	4	4	3	5	3	6	6	3	6	9	12	7	11	15	6	13	22	9	20	14	15	12	14	31	16	53	18	20	22	42	14	0	18	23	32	39	25	14	53	14	18	31	10	21	14	36	36	38	31	59	49	37	53	30	33	27	42	50	53	58	56	46	45	58	35	75	55	56	57	63	37	62	63	61	70	73	75	91	37	58	83	75	62	80	79	80	72	87	78	88	82	78	94	96	0	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	2	3	1	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	3	1	3	2	2	2	2	4	1	1	2	1	1	1	1	1	2	2	2	1	2	2	1	2	1	1	1	2	1	1	1	2	1	2	1	1	3	1	1	1	1	2	1	1	1	1	2	1	2	2	2	2	1	2	2	1	2	1
4500	-540.373907997224023	-547.229395948183424	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.660080818138218	0	1	3	3	5	5	8	8	7	10	5	10	8	9	10	11	13	11	13	12	12	11	11	11	11	13	13	15	14	15	13	13	13	15	15	13	16	13	16	18	14	14	17	14	15	18	15	16	15	15	17	16	17	16	17	16	17	17	18	18	17	18	18	18	19	20	19	19	18	18	19	19	20	20	19	20	22	21	20	19	19	24	22	19	23	20	21	23	24	24	22	24	26	24	26	25	28	28	31	0	1	1	2	4	4	3	5	4	13	4	7	6	9	7	12	22	15	23	9	13	13	10	14	15	7	14	31	12	18	18	13	22	6	42	0	18	21	42	39	18	14	30	21	15	28	32	21	27	36	50	38	30	32	35	18	30	30	48	27	49	50	30	56	46	46	56	53	49	56	55	37	57	63	70	62	53	61	70	57	70	91	37	53	72	70	50	80	79	80	65	87	96	88	82	78	88	96	0	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	3	2	2	1	1	1	2	2	1	2	2	1	2	1	5	1	1	2	1	1	1	1	2	1	1	2	2	1	2	1	1	1	2	2	1	1	3	1	1	1	3	2	2	2	1	1	1	1	1	2	1	1	1	2	2	1	1	3	2	1	1	1	1	2	1	3	1	3	2	2	2	2	2	1	1	1	2	2	1	1
