step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16
1	-235.721329964563097	-242.576817915522469	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.298057821231508	-1	3	2	2	5	5	9	11	8	11	11	12	14	16	19	22	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	5	6	5	6	6	7	8	9	10	12
500	-91.057442464272583	-97.912930415231955	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.389191354797619	-1	4	2	1	2	3	9	10	8	12	11	12	12	16	18	22	0	5	1	1	1	1	6	9	2	7	7	7	7	7	14	0	1	1	2	1	2	2	3	1	2	2	1	1	2	3	1	1
1000	-78.094305146797566	-84.949793097756938	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.597914875601916	-1	2	3	1	6	5	10	11	8	12	12	12	11	16	20	22	0	1	2	1	6	2	9	9	5	8	9	9	9	11	14	0	1	1	1	1	1	1	1	2	1	1	2	2	2	3	2	1
1500	-79.236892120482935	-86.092380071442307	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.755371215427469	0	2	2	3	3	5	8	10	9	11	11	10	15	16	18	23	0	1	1	3	3	4	6	7	7	9	9	7	12	13	14	0	1	1	1	1	1	1	2	1	1	1	2	1	3	1	1	1
2000	-73.607010881298550	-80.462498832257921	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.779469063239051	-1	2	1	2	5	5	9	11	8	11	10	12	14	14	18	23	0	1	1	3	3	2	9	7	5	7	9	7	12	12	12	0	1	1	1	1	2	2	1	1	2	1	2	1	1	1	2	1
2500	-69.328632809083103	-76.184120760042475	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.842415299792295	-1	1	2	2	4	5	9	11	7	11	10	12	14	15	19	20	0	1	1	1	2	3	9	11	6	11	9	7	12	12	13	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1
3000	-66.346028559960331	-73.201516510919703	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.905615038767441	0	4	1	2	6	6	10	11	8	11	12	12	15	16	19	21	0	3	1	1	2	2	9	7	2	7	8	7	12	12	13	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
3500	-73.235688081361900	-80.091176032321272	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.874770602340772	-1	3	2	1	6	5	9	12	8	11	10	12	15	16	19	22	0	3	1	1	6	3	9	11	5	11	9	9	12	12	14	0	1	1	1	2	1	1	1	2	1	1	1	2	2	2	1	1
4000	-60.585308993570862	-67.440796944530234	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.886101552819955	0	4	2	2	6	5	9	11	8	11	9	12	14	17	19	19	0	3	1	1	6	3	9	11	5	11	9	7	12	13	14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-69.967291684410256	-76.822779635369628	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.722736757998805	0	2	2	2	4	5	9	10	6	11	11	11	15	16	19	22	0	1	1	1	3	2	9	9	5	8	9	7	12	11	14	0	1	1	1	1	1	1	2	2	1	1	2	1	2	2	1	1
5000	-69.379021385439216	-76.234509336398588	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.717926101606600	-1	2	3	2	5	5	10	10	8	11	11	12	14	16	17	23	0	1	2	1	2	3	9	9	6	8	8	7	12	13	12	0	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1
5500	-74.265392758723564	-81.120880709682936	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.653196747707037	-1	3	2	2	6	4	9	11	9	11	12	13	14	16	19	21	0	1	1	1	2	3	5	7	5	9	8	8	12	12	13	0	1	2	1	2	2	1	1	1	1	2	1	1	1	1	3	1
6000	-56.844723899232839	-63.700211850192211	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.979394297403627	0	3	2	2	4	6	10	10	8	12	12	12	14	16	18	21	0	3	1	1	3	5	9	9	6	8	8	7	12	13	13	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
6500	-70.121028140876959	-76.976516091836331	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.684284288012385	-1	2	2	3	5	5	9	10	8	11	12	12	15	17	19	22	0	1	1	3	2	2	9	9	5	8	9	8	12	12	14	0	1	1	2	1	1	1	1	2	1	1	2	1	1	3	1	1
7000	-58.889047048080954	-65.744534999040326	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.943917967357380	-2	3	2	3	5	4	10	9	8	11	11	12	14	16	19	22	0	3	1	3	3	3	9	9	5	8	8	7	12	13	14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-68.729793804653923	-75.585281755613295	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.690343032570854	0	4	2	2	6	5	9	11	7	12	10	13	15	16	19	22	0	1	1	1	6	2	9	11	6	11	9	7	8	13	13	0	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1
8000	-71.510587470212073	-78.366075421171445	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.772749348247648	0	3	2	3	4	6	10	10	8	11	12	12	13	16	18	22	0	3	1	1	3	3	9	9	6	7	8	9	7	13	12	0	1	1	1	1	1	2	2	1	1	1	1	2	1	2	2	1
8500	-74.897608764528940	-81.753096715488311	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.836651399927728	-2	1	2	3	3	4	9	11	7	10	11	12	14	17	19	23	0	1	1	3	1	3	9	7	5	9	7	7	12	13	14	0	1	1	2	1	2	1	1	1	1	2	1	1	1	2	1	1
9000	-67.066507184546396	-73.921995135505767	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.772360742398427	0	3	3	2	5	5	9	9	7	11	10	11	15	16	18	23	0	1	1	1	1	2	9	9	5	11	8	7	12	12	14	0	1	1	2	1	2	1	1	1	1	1	1	1	2	2	1	1
9500	-63.213325410710297	-70.068813361669669	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.885814107779442	0	4	2	3	6	6	9	10	8	11	12	11	14	16	19	21	0	3	1	3	2	2	9	7	5	8	8	9	12	13	14	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1
10000	-82.372712479224589	-89.228200430183961	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.568598696784333	0	2	2	3	5	6	10	12	8	12	11	11	14	17	20	23	0	1	1	2	2	5	9	7	5	11	9	9	7	13	14	0	1	1	2	1	2	1	2	1	1	1	3	2	2	2	2	1
10500	-57.935774664943338	-64.791262615902710	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.941311636236692	0	3	1	2	5	5	10	10	8	12	11	13	14	17	19	22	0	3	1	3	2	2	9	9	6	8	8	7	12	12	14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
11000	-76.120990527999936	-82.976478478959308	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.673668665087106	-1	3	2	1	5	6	8	11	7	12	10	11	14	16	19	23	0	3	1	1	1	3	9	7	6	8	7	7	12	11	14	0	1	1	1	1	3	1	1	2	1	1	1	1	2	3	2	1
11500	-65.092749223675099	-71.948237174634471	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.867966953190978	0	4	2	2	6	4	10	11	7	12	11	12	15	16	18	22	0	3	1	1	6	3	9	7	5	8	9	7	8	12	14	0	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1
