step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16
1	-281.257574695339372	-288.113062646298772	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.343719619324755	-1	2	3	2	5	3	6	6	6	7	10	11	12	15	17	20	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	4	4	4	4	6	6	7	8	9	11
500	-90.310409543478698	-97.165897494438070	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.357852387845308	-1	1	1	2	4	3	6	6	6	8	10	11	13	16	16	19	0	1	1	1	3	0	6	5	5	5	3	4	12	12	12	14	1	1	1	1	2	1	2	2	1	2	5	4	1	2	3	3
1000	-95.839170610364690	-102.694658561324061	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.358820709526526	-1	2	2	1	6	4	5	7	7	8	11	10	13	15	17	21	0	4	4	1	3	0	6	5	3	3	3	2	12	4	12	14	1	1	1	1	2	1	1	1	2	2	4	4	2	7	4	2
1500	-81.534175251866685	-88.389663202826057	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.692513009158401	0	1	3	3	5	3	4	7	6	6	10	11	13	15	17	20	0	1	1	2	3	0	6	10	4	5	10	2	12	12	12	14	1	1	1	1	1	1	1	1	1	1	2	4	1	2	3	2
2000	-90.363839830272198	-97.219327781231570	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.693553014289681	-1	2	3	1	6	4	6	6	7	7	9	11	13	14	17	20	0	4	2	1	3	0	6	3	5	3	9	9	12	12	12	14	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	3
2500	-91.919804825229349	-98.775292776188721	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.401756674444379	-1	1	3	2	5	3	5	6	7	8	11	10	12	15	16	20	0	1	2	1	3	0	6	5	3	5	9	4	1	12	12	12	1	1	1	1	1	1	1	1	2	2	2	4	5	2	3	5
3000	-91.171490195467953	-98.026978146427325	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.598361325751247	0	3	3	2	5	4	7	7	7	7	10	12	13	15	16	20	0	1	1	1	2	0	6	5	3	5	9	11	12	12	12	14	1	1	2	1	1	1	2	1	2	2	2	1	1	2	2	2
3500	-87.996206182603643	-94.851694133563015	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.521082760750744	-1	1	4	2	6	2	6	7	6	6	10	11	12	15	17	19	0	1	4	2	3	0	6	10	3	4	10	1	12	12	12	14	1	1	1	1	1	1	2	1	1	2	4	6	1	2	3	1
4000	-110.628004334620115	-117.483492285579487	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.635244963110656	-1	1	2	2	5	1	7	7	5	6	9	11	13	16	17	20	0	1	1	1	3	0	6	3	3	5	8	9	11	12	14	14	1	1	1	1	1	1	3	3	1	1	1	3	2	5	1	3
4500	-88.182236035092885	-95.037723986052256	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649785141277137	-1	2	3	1	5	3	6	7	7	6	9	12	13	15	18	19	0	1	4	1	3	0	6	5	5	3	5	10	2	12	12	15	1	2	1	1	1	1	1	1	1	2	2	3	5	1	4	1
5000	-84.104377532303360	-90.959865483262732	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.654798554117731	0	3	4	2	6	3	7	7	7	8	10	11	13	14	17	19	0	1	4	1	3	0	6	3	5	3	9	4	12	12	12	14	1	2	1	1	1	1	2	2	1	1	1	5	1	1	2	3
5500	-83.274835465486888	-90.130323416446259	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.646793245001267	-1	2	3	1	5	3	6	6	6	6	10	11	12	15	16	21	0	4	4	1	3	0	6	3	3	5	9	11	12	12	12	14	1	1	1	1	1	1	2	1	2	1	2	1	1	2	2	3
6000	-82.372763777859745	-89.228251728819117	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.610417950488774	-1	0	3	2	5	3	6	6	6	7	10	11	13	15	18	20	0	1	1	1	3	0	6	3	5	3	10	4	12	12	12	14	1	1	2	1	1	1	2	1	1	2	1	3	1	3	3	2
6500	-77.163822786385282	-84.019310737344654	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.658990112239515	0	2	3	3	5	4	6	7	7	7	10	11	13	15	16	19	0	1	1	2	3	0	6	3	5	5	9	4	12	12	12	14	1	1	1	1	1	1	2	2	1	1	2	3	1	2	2	2
