step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98
1	-3324.130103609804792	-3322.668021525285894	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.597025765185323	1	0	1	2	2	4	3	5	4	4	5	7	6	7	7	6	7	7	6	7	7	8	9	8	8	8	10	10	8	9	8	10	10	9	9	10	10	11	11	13	10	11	10	11	12	12	12	13	12	13	12	12	13	13	12	14	14	14	14	15	14	15	15	16	15	17	17	16	17	16	16	16	17	19	18	17	19	18	18	20	19	18	19	21	20	19	20	21	23	22	24	22	23	23	24	24	23	24	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	3	2	2	3	4	3	4	4	3	4	4	3	4	4	4	5	4	4	4	5	5	4	5	4	5	5	5	5	5	5	6	6	7	5	6	5	6	6	6	6	7	6	7	6	6	7	7	6	7	7	7	7	8	7	8	8	8	8	9	9	8	9	8	8	8	9	10	9	9	10	9	9	10	10	9	10	11	10	10	10	11	12	11	12	11	12	12	12	12	12	12
500	-1425.379497440536397	-1422.754336854021403	-2.625160586515007	0.000010009904757	0.000041628874061	4.158768247391551	0.290772702629647	2	0	1	2	3	3	2	5	5	5	5	8	4	7	7	6	7	8	4	6	7	8	10	9	8	8	10	10	7	8	6	10	8	8	6	11	11	11	10	14	11	12	9	10	12	12	13	12	12	12	12	12	14	13	10	15	15	12	14	15	14	16	12	16	15	18	18	13	17	17	14	16	18	17	19	14	20	19	18	20	20	18	20	21	19	17	20	22	23	22	25	22	23	24	23	25	24	24	3	0	0	2	2	3	0	3	1	1	6	20	1	10	5	19	8	16	4	8	13	21	14	16	16	2	34	16	19	21	9	13	20	9	6	24	28	27	16	31	31	11	18	16	19	33	34	36	17	34	21	23	41	24	29	41	41	25	41	29	51	55	9	51	15	56	53	32	19	1	55	57	68	55	62	58	47	31	35	63	63	68	68	58	46	55	69	48	58	58	63	55	82	19	43	86	69	80	1	1	1	1	3	1	1	2	2	2	1	1	2	1	2	2	1	1	1	1	2	1	2	1	1	3	1	2	1	1	1	3	1	3	2	1	1	1	3	6	2	3	1	2	3	2	2	1	1	1	2	2	2	4	1	3	2	4	2	6	1	2	3	3	4	1	2	2	8	7	2	1	3	2	2	1	4	8	8	5	7	2	5	5	3	6	2	4	8	5	11	8	2	14	7	5	4	2
1000	-773.593024589509582	-771.694854528623296	-1.898170060886330	0.000010038284600	0.000020899776730	2.082006793229148	0.405127830532805	2	0	2	2	3	4	4	5	4	4	5	8	5	8	7	6	7	7	5	6	7	8	10	9	8	8	10	10	8	10	8	10	10	9	9	10	10	12	11	13	10	10	7	11	12	13	11	13	13	14	12	13	14	13	12	13	14	14	14	15	13	14	15	15	16	16	18	15	17	16	15	16	17	19	19	16	19	18	19	20	18	18	19	21	19	19	20	20	23	23	25	22	22	23	24	23	23	24	2	0	0	2	1	3	0	3	1	1	6	3	1	15	10	19	13	3	1	3	13	13	22	16	16	13	21	34	19	22	16	35	8	13	43	24	43	27	10	41	31	43	16	25	29	18	9	36	38	34	3	17	31	14	19	31	46	34	31	45	12	55	55	47	58	56	56	50	55	64	48	1	68	63	33	58	76	59	68	81	55	68	68	64	60	69	73	76	58	83	69	55	76	85	92	86	69	89	1	1	1	1	1	1	1	2	1	2	1	5	2	1	1	1	1	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	3	1	1	2	1	3	1	2	2	1	1	2	2	3	2	1	3	4	3	2	3	4	2	1	3	4	2	3	1	2	2	1	1	2	1	5	1	1	7	2	2	4	1	1	4	2	2	3	2	4	3	2	1	1	3	6	3	8	5	3	3	1	3	3	1
1500	-1121.508720084452762	-1119.070542798130418	-2.438177286322332	0.000010136968663	0.000036181464999	3.569258838825925	0.597183777498724	2	0	-1	3	2	4	2	6	4	4	6	8	6	7	7	6	7	7	7	8	7	8	7	8	8	9	9	10	9	8	9	10	10	9	8	10	10	10	12	14	10	11	11	11	12	12	11	13	12	13	11	12	14	14	12	14	14	14	13	15	14	14	16	14	15	17	17	16	17	16	16	15	18	19	18	17	20	18	18	19	20	18	20	20	20	19	18	20	22	22	25	22	23	23	24	25	23	24	3	0	0	3	2	3	0	3	4	1	6	8	9	10	10	9	10	11	16	8	1	21	9	16	16	16	5	12	19	1	16	14	20	21	17	24	16	27	17	49	31	38	25	28	29	20	17	36	44	34	28	15	31	37	47	31	7	34	41	19	14	55	55	47	58	56	56	58	63	64	27	54	68	55	67	47	52	67	68	69	69	68	73	76	71	69	68	87	76	83	81	62	89	81	55	94	86	92	1	1	1	2	1	3	1	3	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	4	1	1	3	1	1	2	1	1	1	2	1	3	1	1	1	2	1	3	1	2	2	1	2	1	2	2	2	1	2	5	2	3	3	4	1	3	2	1	1	2	1	1	1	3	1	1	4	1	4	3	1	1	1	2	1	1	1	2	1	1	1	4	1	4	4	1	2	5	2	1	1
2000	-724.111037073545390	-721.860575487645178	-2.250461585900155	0.000010237279276	0.000030904343331	3.018804361819230	0.554053321425227	2	0	2	2	1	4	3	4	4	3	5	6	4	7	7	5	8	6	7	8	7	7	8	9	9	7	10	10	8	9	7	10	10	9	9	10	10	12	11	14	11	11	8	11	11	13	12	12	12	12	10	12	12	14	12	14	15	14	11	16	13	15	15	15	15	16	17	15	17	17	16	15	17	19	19	18	19	19	18	21	18	18	20	21	20	19	20	21	22	22	24	22	24	22	24	25	21	25	2	0	0	2	2	3	0	3	1	2	6	8	4	1	10	10	16	13	16	8	13	13	14	16	16	8	26	20	19	13	16	43	8	22	10	24	43	27	17	52	31	32	16	16	25	28	34	36	44	34	29	59	31	24	45	52	52	50	31	55	55	55	55	47	58	56	31	58	63	64	40	54	68	81	73	65	67	67	68	81	69	68	73	76	77	69	63	83	65	83	94	62	89	86	84	86	86	87	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	3	2	2	1	2	2	1	3	1	1	2	1	1	2	1	2	1	1	1	1	2	3	1	2	4	1	2	1	1	1	2	2	1	3	3	1	2	2	1	2	2	1	2	2	1	1	1	7	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	4	1	1	3	1	1	1	3	1	4
2500	-874.978528496087506	-872.467153996213597	-2.511374499873937	0.000010070927507	0.000038218461699	3.794929679595741	0.564344227179971	1	-1	0	1	1	3	4	4	5	4	5	7	6	7	7	6	4	8	5	6	7	8	9	8	8	9	8	10	7	10	6	10	10	7	9	10	10	11	11	14	8	11	11	10	12	12	12	13	12	11	12	12	13	13	12	15	14	14	13	15	14	15	14	15	16	17	17	16	17	17	16	17	18	19	17	18	20	19	18	19	20	18	20	20	20	20	21	21	22	22	24	21	23	21	24	23	23	25	2	0	0	2	2	1	0	3	1	4	4	8	5	10	10	17	5	20	17	3	17	21	15	16	16	18	9	41	19	22	19	41	20	17	7	24	16	27	17	53	31	44	32	16	29	33	34	36	25	34	25	18	42	25	19	59	55	50	9	15	18	55	55	47	58	56	31	58	63	64	63	68	72	63	36	65	82	67	68	69	80	68	73	76	18	80	61	48	84	83	86	62	84	74	84	86	94	89	1	1	1	1	1	1	1	1	2	2	2	2	2	1	2	1	1	1	1	2	3	1	1	1	1	1	2	1	2	2	1	1	2	1	2	1	1	1	2	1	1	1	1	1	3	1	2	1	2	2	2	1	1	3	5	2	1	2	3	4	2	1	1	1	1	1	7	1	2	1	1	1	1	3	3	1	1	1	2	1	1	1	2	1	5	1	3	3	1	1	3	3	1	1	2	2	1	1
3000	-731.345486017470307	-729.182418244157134	-2.163067773313126	0.000010335903954	0.000028687752150	2.775543607637932	0.601675169690352	2	0	1	2	2	5	4	5	5	3	4	7	6	7	7	7	7	6	5	6	8	7	9	9	9	8	10	10	9	9	9	8	8	10	9	10	9	12	11	12	10	11	11	11	11	13	12	13	11	13	13	10	12	14	13	14	14	14	13	15	15	15	16	16	15	18	16	17	17	17	15	16	16	20	19	16	20	18	18	19	19	18	20	21	19	18	18	20	23	22	23	22	23	22	24	25	23	24	2	0	0	3	2	11	0	4	11	2	4	4	2	10	2	19	4	1	1	4	13	18	15	16	16	15	18	29	16	22	16	10	12	35	13	24	16	27	9	41	31	22	37	16	29	20	34	36	1	34	24	12	41	44	28	41	25	50	53	45	42	55	55	47	58	40	56	73	55	64	41	58	58	63	82	65	66	67	68	69	69	68	73	76	27	69	50	65	84	83	86	62	58	86	74	86	94	53	1	1	1	1	1	1	1	2	1	1	1	2	3	2	3	2	2	2	2	2	1	1	1	2	1	1	2	1	1	1	1	3	1	1	1	1	1	1	3	1	1	1	1	1	1	3	1	2	3	1	2	1	1	1	2	1	2	1	1	2	3	1	2	4	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	3	2	5	1	2	2	1	1	3	2	3	2	2	2	1	5
3500	-792.902703502060376	-791.202551142187986	-1.700152359872410	0.000010593937328	0.000016903613560	1.595593124345599	0.668810266191380	0	-2	2	2	2	4	4	6	5	5	5	8	5	8	7	7	6	8	4	8	7	8	9	9	9	9	9	11	6	9	9	9	10	8	10	10	9	11	11	11	10	12	10	11	12	12	12	13	12	14	13	11	12	13	13	14	13	13	14	16	14	15	15	15	15	17	17	16	15	16	15	17	15	19	17	14	18	18	18	19	20	18	19	21	20	19	19	22	23	23	24	21	23	21	25	24	22	24	2	0	0	2	2	3	0	3	19	4	6	8	4	15	10	19	3	9	4	8	13	13	15	16	16	12	13	21	19	22	16	17	9	9	27	24	16	27	10	31	31	38	37	16	29	8	34	24	38	27	41	36	41	44	45	31	40	34	41	45	42	45	19	52	42	56	56	73	45	64	57	73	58	63	73	34	60	67	68	69	69	68	73	76	87	63	78	81	84	83	94	62	84	86	89	86	94	81	1	1	1	2	2	2	1	2	1	2	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	3	1	1	1	1	1	3	3	2	2	1	2	1	1	1	1	1	3	1	2	2	2	1	2	6	2	2	1	2	1	2	1	1	1	1	2	1	2	1	1	1	2	3	1	2	3	1	2	1	1	1	3	2	3	1	1	1	3	1	2
4000	-662.975287064501003	-660.925170718858908	-2.050116345642041	0.000011275132541	0.000027875700565	2.472316885268118	0.621815841090133	2	1	1	3	3	2	3	5	4	5	5	7	4	8	6	6	7	7	7	7	8	7	9	8	8	8	9	9	9	9	8	10	11	10	9	10	11	11	11	14	10	9	10	11	12	12	13	13	13	12	12	11	13	14	11	14	14	13	13	15	14	15	15	16	15	17	16	17	16	17	16	16	16	20	19	18	20	19	18	20	19	19	20	22	21	18	18	21	23	20	22	22	24	23	23	25	24	24	2	0	0	2	2	3	0	3	6	1	6	3	1	10	10	5	8	2	16	8	16	13	13	16	16	10	18	18	19	22	16	29	20	21	22	24	29	27	42	41	31	4	16	42	29	6	34	36	21	34	13	24	31	28	19	41	59	50	31	45	47	55	55	47	58	56	56	73	32	64	31	62	58	81	70	58	66	67	68	55	69	79	73	76	41	69	47	66	84	73	86	62	84	80	91	95	94	82	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	2	1	3	1	1	2	1	1	1	1	1	2	1	2	1	1	1	2	1	1	2	1	1	1	3	1	3	2	1	1	6	1	1	2	1	3	1	3	2	2	3	1	1	2	2	1	1	2	1	1	1	1	1	2	1	4	1	2	1	1	2	2	2	1	5	3	1	1	2	4	1	2	2	1	1	2	3	1	3	1	1	1	2
4500	-877.189508667375890	-875.424669634758061	-1.764839032617776	0.000013474524947	0.000023615913284	1.752634202505468	0.662625206991184	1	0	2	3	3	4	4	6	4	4	6	7	5	6	6	5	8	6	6	8	8	7	8	8	9	8	10	10	7	8	9	11	10	10	10	10	11	12	11	13	10	11	10	11	12	12	12	13	12	13	13	13	12	14	12	14	14	15	15	14	12	15	16	16	16	18	15	16	17	17	14	16	14	19	18	17	19	18	19	17	19	17	19	19	20	20	20	21	24	22	22	20	24	22	25	24	24	24	2	0	0	1	2	3	0	3	5	4	6	8	4	10	10	1	9	7	16	8	9	13	9	16	16	3	18	23	19	22	16	14	20	13	30	16	43	27	25	24	31	17	16	25	43	17	4	36	16	34	49	44	31	49	19	16	49	34	53	34	33	55	55	47	58	56	56	73	63	64	33	61	9	63	68	65	58	67	82	67	69	68	73	76	63	80	78	81	84	83	86	62	84	88	90	91	94	81	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	2	1	1	1	2	1	1	2	2	3	2	1	1	1	2	2	1	2	1	2	1	1	1	3	1	1	3	1	1	1	4	1	4	2	1	1	2	1	2	4	1	3	2	2	1	1	2	2	1	1	1	1	1	1	3	1	5	2	1	1	2	1	2	1	2	1	2	1	2	1	1	1	2	2	1	2	3	1	1	1	1	3
