step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12
1	-118.135774490959690	-116.673692406440807	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.245693804841545	1	2	2	5	6	8	9	12	13	15	20	17	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	4	6	6	7	10	8
500	-60.238846229257284	-58.863210065196647	-1.375636164060638	0.000009998442187	0.000007064039598	0.706514021557082	0.301595066274695	1	3	2	4	6	8	10	12	13	16	20	16	0	3	1	3	3	3	6	7	8	9	7	9	1	1	1	1	2	3	1	1	1	2	5	2
1000	-51.408940392659126	-49.966004770455910	-1.442935622203217	0.000010014487134	0.000003438384901	0.343341087209892	0.578974874168927	0	3	2	5	7	8	10	12	13	15	20	18	0	3	1	2	3	4	6	7	8	9	7	10	1	1	1	1	2	1	1	1	1	1	4	2
1500	-48.855713501433883	-47.247713799413447	-1.607999702020437	0.000010012467004	0.000002369002061	0.236605230280648	0.795354864786644	-1	2	0	5	7	7	8	11	13	15	20	18	0	3	1	2	4	4	6	7	8	9	12	10	1	1	1	1	1	1	1	1	1	1	1	1
2000	-48.238885149114402	-46.749566315900822	-1.489318833213579	0.000010150524298	0.000010899122453	1.073749703255961	0.955118811944684	1	3	2	6	7	8	10	12	13	15	19	17	0	3	1	3	3	5	6	7	8	8	12	10	1	1	1	2	1	1	1	1	1	1	1	1
2500	-58.981135817994478	-57.616670244851484	-1.364465573142993	0.000009982178402	0.000006327211087	0.633850731975997	0.521901282882010	0	3	2	6	5	7	8	11	13	14	19	17	0	3	1	2	2	5	2	6	8	8	12	10	1	1	1	1	1	1	3	1	1	2	1	1
3000	-47.906195865842648	-46.534313757476234	-1.371882108366413	0.000010234565269	0.000007022342158	0.686139760061418	0.848571491775859	0	3	1	6	6	8	9	12	13	15	21	17	0	3	1	2	2	5	4	7	8	8	12	10	1	1	1	1	1	1	1	1	1	1	1	1
3500	-42.214826793900833	-40.846536831873841	-1.368289962026989	0.000010676617766	0.000005222068053	0.489112579191221	0.819616765763702	1	3	2	5	7	8	10	12	13	15	20	17	0	3	1	2	4	4	6	7	8	8	12	10	1	1	1	1	1	1	1	1	1	1	2	1
4000	-46.822707416848630	-45.423934129104822	-1.398773287743804	0.000010397550544	0.000008359551452	0.803992384146507	0.804932931185573	1	3	2	6	6	8	10	12	13	15	20	17	0	3	1	2	2	4	2	7	8	9	12	10	1	1	1	1	2	1	3	1	1	1	1	1
4500	-52.178122449750191	-50.788911847373484	-1.389210602376709	0.000010776147022	0.000004558704093	0.423036553173356	0.616096725178355	1	3	2	5	6	8	10	11	12	16	21	17	0	3	1	2	3	4	6	6	8	8	12	10	1	1	1	1	2	1	1	1	1	2	2	1
5000	-59.213500173140076	-57.847493162067082	-1.366007011072994	0.000011014514566	0.000005526452585	0.501742727960354	0.767119006875156	1	3	2	4	6	9	8	12	13	16	20	18	0	3	1	2	2	2	5	6	8	8	8	10	1	1	1	1	2	2	1	2	1	1	2	1
