step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20
1	-422.216513652950596	-420.754431568431698	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.389467888330074	2	6	7	9	8	8	9	9	10	10	10	10	10	11	11	12	12	20	25	26	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	3	3	4	4	4	4	4	4	4	5	5	5	5	9	12	12
500	-173.923309849834737	-172.177931205454627	-1.745378644380117	0.000010052237983	0.000017141796551	1.705271659926129	0.501430839161687	3	5	7	9	9	9	10	10	11	9	8	10	9	11	11	12	12	21	25	26	0	1	1	3	1	11	2	11	10	3	1	2	3	6	11	2	12	16	16	0	1	1	2	1	3	1	2	1	1	1	3	3	1	1	2	3	1	6	6	1
1000	-190.203525858555111	-187.894090962240853	-2.309434896314267	0.000010025363681	0.000031955900538	3.187505366942675	0.466999231765554	3	5	7	9	8	7	8	10	11	10	8	9	10	11	11	10	12	20	25	27	0	1	1	3	1	1	2	11	10	3	1	7	3	6	11	12	7	12	16	0	1	1	2	1	2	2	2	1	1	2	3	1	1	2	1	1	2	4	9	1
1500	-200.284362559098128	-197.994636677439331	-2.289725881658788	0.000010010416319	0.000031339670061	3.130705962785346	0.450360295682571	3	6	6	9	8	8	8	9	9	11	7	10	11	11	10	11	13	20	24	27	0	1	1	3	1	11	2	11	3	3	1	7	3	6	11	2	16	2	16	0	1	1	2	1	2	1	2	1	2	3	2	1	3	3	2	3	2	6	9	1
2000	-187.859436487688185	-186.011624635941729	-1.847811851746445	0.000010036817995	0.000019636252670	1.956422113112253	0.527754279082457	3	5	7	8	7	8	7	10	9	10	8	11	11	10	12	12	13	20	24	26	0	1	1	3	1	1	2	11	3	9	2	7	3	6	11	12	12	12	16	0	1	2	3	1	2	3	1	1	1	1	2	2	2	1	2	1	1	5	5	1
2500	-197.839625958300218	-195.876603248656608	-1.963022709643623	0.000010150445012	0.000022801386872	2.246343568749632	0.406515442397615	2	7	7	9	7	7	9	10	9	10	9	11	10	10	12	11	13	17	24	26	0	1	1	3	1	1	2	11	3	3	1	2	3	6	11	7	16	7	16	0	1	2	2	1	2	2	1	1	1	3	3	2	2	2	2	1	1	2	5	1
3000	-195.381934509555748	-193.561626690461509	-1.820307819094228	0.000010217885013	0.000019296313609	1.888484122058422	0.666188291883911	2	6	7	9	9	7	8	10	10	9	9	10	10	10	11	13	12	20	25	25	0	1	1	1	1	1	2	11	3	3	6	7	3	6	8	12	12	16	16	0	1	2	2	3	4	2	1	1	2	1	1	1	2	2	1	1	1	4	5	1
3500	-189.597323679773922	-187.973280702891799	-1.624042976882117	0.000010670308486	0.000015057882372	1.411194661445175	0.375779443687878	3	5	6	9	7	8	9	10	9	11	9	9	11	10	11	12	12	20	26	26	0	1	1	3	1	1	2	11	3	3	1	2	3	6	11	12	12	16	16	0	1	1	1	1	2	2	3	1	1	2	4	3	2	1	1	2	2	4	6	1
4000	-175.343690118765835	-173.421709742203859	-1.921980376561973	0.000011176983427	0.000023940889771	2.141981324909469	0.402915655865132	3	6	7	9	6	8	9	10	11	10	9	10	9	12	12	12	13	19	26	26	0	1	1	3	1	1	2	11	10	3	1	2	3	6	8	2	16	16	16	0	1	1	2	1	1	3	2	1	1	2	3	1	1	2	1	3	1	5	7	1
4500	-181.822300658635299	-179.571858120683203	-2.250442537952095	0.000011727017320	0.000035400939119	3.018750476303643	0.761472548841946	3	7	7	9	8	9	9	10	10	9	9	11	11	10	11	12	11	19	24	26	0	1	1	3	1	2	2	11	10	3	1	7	3	6	11	7	2	2	16	0	1	2	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	6	5	1
