step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22
1	-571.237049771454735	-569.774967686935838	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.710296842167456	4	8	11	9	11	13	14	14	15	16	18	17	17	19	20	21	21	21	24	22	23	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	3	4	5	5	5	6	6	7	7	7	8	8	9	9	9	10	9	10	14
500	-233.276224139040210	-230.067690692830155	-3.208533446210049	0.000010046477894	0.000063285162482	6.299238713554033	0.523592890619490	5	8	12	9	11	13	14	14	15	16	16	18	16	19	20	22	21	21	23	22	23	30	0	1	2	2	2	5	3	3	5	2	8	10	3	11	13	14	13	15	2	14	8	14	1	1	3	1	1	1	1	2	2	4	1	2	2	2	2	3	3	1	7	2	4	4
1000	-219.031575427188073	-216.848719856662740	-2.182855570525338	0.000010056801012	0.000028460127198	2.829938383422198	0.622668998285902	5	8	11	9	11	13	13	14	15	16	17	18	16	19	20	22	20	22	24	22	24	28	0	1	2	2	2	5	5	3	5	2	8	10	3	8	13	8	13	15	16	14	16	16	1	1	1	1	1	1	1	1	2	5	2	1	3	2	3	3	2	1	1	1	1	2
1500	-221.316092008828662	-218.540815807147823	-2.775276201680846	0.000010138804285	0.000047289224731	4.664181633570343	0.583288971648797	5	9	12	10	11	13	13	15	14	15	17	17	18	20	20	21	21	22	23	22	23	31	0	1	4	2	4	5	5	4	5	3	8	10	8	8	13	8	13	15	2	14	16	21	1	2	1	1	1	1	1	3	1	2	1	1	2	3	2	3	1	1	5	1	2	3
2000	-222.830506360943474	-220.305149241127225	-2.525357119816257	0.000010180442390	0.000039080423661	3.838774599679486	0.571134469513625	4	8	11	9	11	13	14	14	14	14	17	17	17	20	19	20	21	21	23	20	23	31	0	1	2	2	2	5	5	3	4	3	8	10	3	8	13	11	13	15	2	11	14	14	1	1	2	1	2	1	2	1	2	1	1	1	3	3	1	2	1	1	5	1	2	5
2500	-224.151644052774515	-221.376478434939372	-2.775165617835132	0.000010242335934	0.000047768189072	4.663798314960829	0.462497016045336	4	9	11	8	12	13	14	13	15	16	17	18	17	20	20	22	21	21	24	23	23	29	0	4	2	1	3	5	5	4	5	3	8	10	4	11	13	14	13	15	2	14	16	14	1	1	1	2	1	1	1	2	2	3	2	1	3	2	1	1	2	1	8	2	1	5
3000	-225.188385398090134	-222.450923806636922	-2.737461591453218	0.000010474681750	0.000047492865550	4.534062865523211	0.445890798687318	4	9	12	10	11	14	14	15	12	16	19	18	17	19	20	21	20	21	25	22	23	31	0	1	4	2	2	9	9	9	1	3	8	10	3	8	13	11	13	15	9	14	16	21	1	3	1	1	1	2	1	1	6	2	2	1	3	2	3	2	1	1	8	2	1	4
3500	-219.347786414903652	-216.870880005945310	-2.476906408958351	0.000011163747500	0.000041170370007	3.687862879928754	0.378968521754390	4	9	11	9	11	13	13	14	14	15	17	17	17	19	20	20	21	21	24	23	23	32	0	1	2	1	4	5	2	4	2	9	8	10	2	8	13	11	13	15	8	16	8	21	1	2	1	2	1	1	2	3	3	1	1	1	2	2	2	2	2	1	4	1	4	5
4000	-222.432066958685283	-220.225422002060981	-2.206644956624304	0.000011886630686	0.000034421993868	2.895857941328073	0.471735852898219	5	9	12	10	12	14	14	13	16	16	15	17	16	19	18	21	21	21	23	22	23	31	0	1	2	2	2	5	5	1	5	2	8	10	2	11	13	11	13	15	3	14	16	21	1	2	1	1	2	1	2	4	2	4	1	1	3	2	2	2	2	1	5	2	1	3
4500	-216.688504518926948	-214.141202268701932	-2.547302250225004	0.000012764467353	0.000049884444042	3.908070949035513	0.613499864651097	3	8	11	10	12	13	13	15	16	15	16	17	17	19	20	21	20	21	24	23	23	31	0	1	4	2	3	5	5	3	7	3	8	10	3	11	13	14	13	15	8	16	14	21	1	2	1	1	1	1	1	2	2	2	1	1	2	2	2	2	2	1	4	1	2	4
5000	-192.513334669257205	-190.650831067748555	-1.862503601508648	0.000014763504697	0.000029422094023	1.992893599935795	0.584349343412940	5	8	11	9	12	14	14	14	15	16	17	18	18	19	20	20	22	21	24	22	24	31	0	1	2	2	3	5	5	3	5	3	8	10	2	11	13	11	13	15	3	16	8	21	1	1	2	1	1	1	1	2	2	2	2	1	6	1	1	2	2	1	5	1	4	3
5500	-204.688414552286247	-202.893990511316275	-1.794424040969970	0.000018529854640	0.000033815425409	1.824915848858650	0.387530366239492	4	8	11	10	11	13	14	15	15	16	17	17	17	19	19	21	21	21	24	23	23	31	0	1	2	1	2	2	5	4	7	4	8	10	10	8	13	11	13	15	7	14	16	14	1	2	2	3	2	3	3	2	1	3	1	1	1	3	1	2	3	1	5	2	1	7
6000	-199.334578699146874	-197.615989868203485	-1.718588830943390	0.000029988078972	0.000049188030833	1.640252811106082	0.539548782195696	3	8	10	9	11	14	14	14	15	16	17	18	17	18	20	21	22	22	25	22	21	31	0	1	4	2	3	5	5	3	3	3	8	10	10	8	13	8	13	15	14	11	14	21	1	3	1	1	1	2	1	1	2	4	2	1	1	2	1	2	3	2	4	2	2	5
6500	-159.675036848256212	-158.312731720505695	-1.362305127750511	0.000073931508961	0.000045082152631	0.609782665931299	0.732789398668084	4	8	12	10	12	13	13	15	14	17	18	18	17	19	20	21	20	22	23	23	22	30	0	1	2	2	4	5	5	2	3	8	3	10	8	8	11	14	13	15	14	16	11	21	1	2	2	1	1	1	1	4	1	1	4	1	1	1	2	1	1	1	2	1	2	2
7000	-168.799918287792423	-167.406342422015882	-1.393575865776551	0.000174691262920	0.000072286578914	0.413796189377689	0.393919563317897	5	8	12	9	11	13	13	14	16	15	17	16	16	18	20	21	21	22	23	21	24	31	0	1	5	1	2	4	4	4	8	3	5	2	8	5	7	9	13	15	11	9	6	20	1	2	1	2	1	2	3	2	1	1	3	4	1	3	2	3	2	1	3	3	5	6
7500	-165.452216164186211	-163.849903916827145	-1.602312247359079	0.000181265751859	0.000043326842369	0.239023874748708	0.436767565365524	5	9	10	10	12	13	15	14	14	16	18	17	18	18	20	21	22	22	23	22	24	31	0	1	1	1	3	4	5	1	5	3	5	4	4	12	10	12	11	15	12	11	16	14	1	2	2	3	1	1	1	4	1	3	2	5	5	1	3	3	2	1	3	2	2	6
8000	-163.722441865494631	-162.336855911573679	-1.385585953920941	0.000165303743349	0.000071318479143	0.431438984370109	0.476346448367608	5	7	11	7	12	13	14	14	15	16	17	17	16	19	20	21	19	18	25	22	23	31	0	1	1	1	4	3	2	3	7	7	8	3	3	8	13	9	18	3	20	5	14	11	1	1	3	1	3	1	3	1	1	1	2	2	2	2	2	3	1	4	2	4	3	6
8500	-170.371455269291033	-169.010378410940234	-1.361076858350794	0.000140344897252	0.000077784780589	0.554240176254660	0.289847648470616	5	8	11	10	11	13	15	14	15	17	18	17	17	19	19	20	22	20	24	22	24	32	0	1	1	2	2	1	8	4	1	3	6	4	9	2	9	2	13	15	16	5	3	16	1	1	3	2	2	4	1	2	6	3	2	4	1	5	2	6	2	1	2	6	8	7
9000	-175.841700686349128	-174.132527410620639	-1.709173275728483	0.000205459078841	0.000041239771332	0.200720121809101	0.304460073585946	5	7	11	9	12	13	14	14	16	16	18	17	16	19	20	20	20	22	23	21	23	30	0	1	2	2	1	3	4	1	1	2	7	8	7	10	10	4	10	13	5	14	15	8	1	1	2	1	4	1	2	3	5	5	2	1	1	1	3	4	2	3	5	1	1	10
9500	-166.223824679022613	-164.653974708233591	-1.569849970789033	0.000206201101398	0.000052360675322	0.253930143761790	0.539558603659833	4	8	10	9	11	13	14	15	15	16	18	17	16	18	20	20	20	22	21	22	23	31	0	1	1	2	2	5	6	5	6	8	8	4	3	9	14	7	11	15	13	19	8	14	1	1	3	1	1	1	1	2	1	1	3	4	5	2	1	2	1	1	2	1	3	6
