step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75
1	-4892.146271048913150	-4899.001758999872436	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.358236099640451	6	11	6	8	7	10	12	8	20	16	23	24	20	23	32	25	30	26	27	26	31	33	33	34	33	34	32	33	33	38	35	40	37	39	45	40	50	40	46	45	45	42	51	48	47	47	47	48	52	48	52	53	51	53	52	59	58	54	55	59	61	66	64	72	70	73	78	80	84	87	99	95	94	104	98	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	3	3	3	5	3	4	4	4	4	4	5	5	5	5	5	5	5	5	6	5	6	5	6	7	6	8	6	7	7	7	6	8	7	7	7	7	7	8	7	8	8	8	8	8	9	9	8	8	9	9	10	10	11	11	11	12	13	13	14	16	15	15	17	16
500	-709.764278006607583	-716.619765957566983	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.273129948892431	-1	10	7	7	4	8	14	2	17	13	24	11	20	25	27	26	30	24	26	25	28	33	33	31	30	35	30	18	34	37	29	37	37	38	43	40	46	30	44	41	39	43	48	46	45	46	44	49	52	38	51	49	52	51	48	49	57	55	54	56	57	62	63	69	69	68	77	80	81	87	102	96	92	106	96	0	1	8	0	1	0	8	1	4	8	9	5	9	9	13	2	18	13	9	0	13	13	28	8	11	19	13	0	19	13	28	18	18	17	9	19	28	28	23	23	31	23	23	36	23	41	28	38	43	38	21	34	28	55	23	31	56	54	46	45	50	48	42	41	47	28	23	23	64	63	0	0	0	0	37	1	1	1	1	1	1	2	1	2	2	2	1	1	1	2	1	2	2	3	1	2	2	2	5	2	1	2	1	2	4	2	3	3	1	5	2	7	2	3	2	3	2	3	1	2	1	5	2	1	1	6	2	8	1	4	4	1	1	2	2	5	3	5	7	5	13	6	10	2	7	1	1	1	1	9
1000	-660.511315920252628	-667.366803871212028	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.533425807324428	2	12	5	7	8	9	11	7	17	15	23	21	18	9	33	21	30	24	25	26	31	35	32	30	33	33	29	22	34	39	33	32	37	40	44	42	49	34	45	43	43	40	49	46	48	43	46	45	53	49	52	51	51	43	51	55	51	56	53	54	62	65	57	74	63	74	76	69	71	86	100	95	94	102	94	0	8	1	0	1	0	5	1	4	2	9	10	4	4	13	10	13	13	14	0	13	13	28	7	17	21	11	0	9	21	28	17	21	15	22	29	28	28	31	42	38	28	41	19	54	23	42	23	43	41	29	34	48	31	42	37	39	60	46	45	47	57	56	61	50	28	23	47	47	68	0	0	0	0	66	1	1	1	1	1	1	2	1	3	1	2	1	2	1	2	1	2	2	3	1	2	3	2	3	1	1	1	1	3	1	2	1	1	2	1	2	4	2	2	1	2	2	1	4	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	2	3	13	5	2	4	3	1	1	1	1	5
1500	-609.687676737888637	-616.543164688848037	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.555219478678019	-1	12	6	7	4	12	11	6	16	15	13	23	20	18	27	25	30	18	28	26	29	33	35	33	33	35	25	23	35	36	34	40	35	38	46	38	49	42	47	44	44	36	48	48	43	47	46	44	54	42	46	47	51	54	53	56	56	49	54	60	54	66	53	73	69	73	76	71	82	87	100	86	93	96	95	0	8	1	0	1	0	1	1	4	8	4	2	9	11	9	2	13	9	11	0	13	13	28	16	9	21	13	0	14	21	28	17	9	17	13	19	38	42	50	42	23	28	41	51	23	41	38	42	43	23	36	34	38	23	39	38	41	42	46	58	63	53	39	37	23	28	68	65	68	67	0	0	0	0	72	1	1	1	1	1	1	2	1	2	2	2	2	1	1	1	2	2	1	3	1	2	2	2	1	2	1	2	1	2	1	2	1	4	1	4	3	2	1	1	2	2	2	1	1	1	1	1	1	1	1	2	2	2	3	1	2	3	3	2	2	1	2	1	4	5	8	2	1	2	2	1	1	1	1	1
2000	-634.248776893797526	-641.104264844756926	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.532518817137036	4	9	8	7	6	11	10	7	19	14	16	23	22	20	32	21	29	27	29	21	25	31	32	32	25	35	30	23	33	35	35	42	38	42	46	38	49	39	44	43	39	39	50	46	45	44	44	43	53	47	54	50	44	51	53	57	59	55	52	57	60	67	56	68	67	73	72	73	86	89	96	87	88	102	95	0	5	8	0	1	0	5	5	4	1	4	2	11	11	13	8	21	11	25	0	13	21	28	2	14	18	21	0	19	27	28	18	27	21	33	25	53	23	28	31	23	28	38	29	42	41	28	28	43	53	36	34	38	47	48	53	39	45	46	45	39	47	48	47	61	37	47	37	67	69	0	0	0	0	72	1	1	1	1	1	1	1	1	2	2	3	1	2	1	2	2	1	2	1	1	1	2	2	2	2	2	1	1	1	1	3	2	1	3	1	4	1	1	3	1	2	2	1	3	1	1	4	3	1	1	2	2	2	2	2	2	3	2	2	3	2	4	2	4	1	5	2	3	2	1	1	1	1	1	2
2500	-594.856314724537697	-601.711802675497097	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.640825275391153	-2	5	5	8	8	6	10	9	19	13	20	24	17	23	33	25	29	25	22	12	33	31	32	35	26	36	23	22	36	40	33	40	35	38	45	34	47	33	45	45	44	38	45	46	45	43	44	49	48	41	49	51	50	51	51	56	58	54	56	60	56	66	63	70	71	70	77	73	83	89	98	93	93	102	99	0	1	1	0	2	0	2	1	4	1	13	2	4	11	17	10	27	9	11	0	17	13	28	16	19	21	9	0	14	26	28	17	22	22	21	25	47	28	38	38	23	28	42	36	42	31	50	40	41	31	44	34	37	45	37	31	53	45	46	58	39	53	42	63	61	53	66	66	67	69	0	0	0	0	72	1	2	1	1	1	1	1	2	2	1	1	3	1	1	1	3	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	3	1	1	2	1	1	2	2	2	3	2	1	2	2	2	1	1	1	1	1	2	1	1	1	2	2	1	3	2	3	2	3	2	2	3	2	1	2	1	1	1	1	1	1
3000	-578.621316086963134	-585.476804037922534	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.705143347747652	2	10	5	7	8	6	14	5	20	13	14	22	17	25	33	22	32	22	27	25	26	30	35	33	22	37	34	31	29	36	36	35	34	37	40	41	47	39	44	43	41	42	51	49	45	45	47	48	54	41	50	51	51	51	54	58	56	49	52	56	60	67	60	68	69	71	76	81	83	87	95	92	89	100	95	0	1	1	0	1	0	5	1	11	1	4	8	4	11	17	5	21	13	25	0	18	21	28	1	11	21	17	0	25	33	28	14	13	22	26	29	41	28	50	38	23	31	38	36	23	41	31	47	43	23	36	34	28	45	37	53	53	47	46	58	39	56	53	63	63	62	56	67	67	69	0	0	0	0	72	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	3	1	1	1	1	1	1	2	3	1	2	1	1	1	1	1	1	3	1	1	2	1	2	1	1	1	1	2	2	1	1	3	1	1	1	2	2	2	1	2	2	1	1	2	2	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1
3500	-603.251428306712796	-610.106916257672196	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.608785794396831	-3	9	8	4	5	11	6	7	17	13	25	17	21	19	30	28	29	27	26	19	29	32	32	34	31	33	32	24	33	37	36	39	35	34	44	36	49	35	42	46	44	41	50	48	42	47	38	48	54	49	50	55	45	54	52	55	60	51	55	57	61	66	61	72	70	71	76	80	85	86	97	86	95	103	96	0	5	5	0	1	0	1	5	4	5	9	10	4	4	13	10	9	14	13	0	13	21	28	12	19	11	17	0	19	26	28	18	27	17	26	9	42	28	38	31	38	47	53	36	38	53	31	31	43	40	44	34	28	45	50	47	48	47	46	54	39	55	48	63	61	62	66	67	68	67	0	0	0	0	72	1	1	1	1	1	1	2	1	2	1	2	1	4	2	1	3	1	2	1	1	1	1	2	3	1	1	1	1	2	1	2	2	1	1	3	2	2	3	1	2	1	1	2	1	1	1	1	2	1	1	1	2	4	1	1	2	1	2	2	1	5	3	2	1	2	1	1	1	1	1	1	1	1	1	2
4000	-603.434929577232651	-610.290417528192052	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.661682488800918	-2	9	1	8	3	11	13	6	21	6	22	15	19	22	31	24	28	25	29	23	32	28	32	31	34	26	30	27	31	36	38	37	34	40	43	38	45	41	45	41	43	39	51	47	39	44	47	43	48	46	51	52	47	52	54	58	58	51	55	59	60	57	63	70	68	74	69	80	83	80	98	89	94	103	95	0	10	1	0	1	0	2	5	4	5	4	2	4	13	17	8	13	11	14	0	9	18	28	16	14	13	22	0	11	26	28	22	9	21	30	29	42	28	31	23	23	23	41	25	28	41	23	23	41	31	44	34	42	47	38	37	50	45	46	54	37	53	48	61	61	62	53	67	68	67	0	0	0	0	72	1	1	1	1	1	1	1	1	2	1	3	2	2	1	1	3	2	1	2	1	3	1	2	2	3	1	1	1	2	1	2	1	1	2	1	1	1	2	1	1	2	1	2	3	2	1	4	2	1	1	1	3	2	1	2	1	2	2	1	1	2	2	3	2	2	2	3	1	1	1	1	1	1	1	2
4500	-592.518723381712334	-599.374211332671734	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629044786452992	0	3	5	9	9	7	11	6	17	7	19	25	22	22	32	24	32	27	28	21	28	34	32	30	32	30	32	27	34	38	36	40	36	38	44	35	49	39	46	45	41	38	51	48	45	45	44	45	53	49	44	49	50	49	54	57	52	50	53	55	55	65	66	68	62	66	78	78	78	80	100	91	92	104	98	0	1	1	0	2	0	8	2	4	2	4	7	4	11	13	10	13	13	14	0	9	21	28	16	14	13	21	0	11	26	28	21	27	22	27	9	47	28	31	42	23	28	41	51	38	41	28	31	41	23	29	34	47	45	37	31	38	45	46	58	39	50	61	61	56	39	50	66	64	67	0	0	0	0	72	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	2	2	1	2	1	1	1	1	1	2	1	1	1	3	1	2	2	1	1	2	3	1	2	2	2	2	2	3	1	1	1	2	2	2	3	1	2	2	1	1	3	1	1	2	2	1	3	2	2	1	3	3	3	2	1	1	1	1	1	2
