step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55
1	-12836.658795906530941	-12835.196713822011588	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.343739506889843	0	1	0	3	5	4	5	5	7	5	9	8	10	16	14	12	14	14	13	14	14	16	17	15	17	19	17	17	18	18	21	19	20	20	19	21	21	24	22	21	22	21	21	23	22	23	23	24	27	25	25	28	29	27	31	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	3	4	3	5	4	5	8	7	6	7	7	7	7	7	8	9	8	9	10	9	9	9	9	11	10	10	10	10	11	11	12	11	11	11	11	11	12	11	12	12	12	14	13	13	14	15	14	16
500	-504.480871557927912	-502.240030021490213	-2.240841536437680	0.000010025326292	0.000029992154221	2.991638710457250	0.250124143462891	-1	1	1	4	5	5	6	5	7	6	10	8	10	16	13	12	12	14	13	12	14	17	14	13	17	19	16	17	17	19	21	19	20	19	17	21	21	24	23	20	23	22	21	23	23	22	23	23	26	25	26	29	29	28	31	0	1	0	2	2	3	3	3	10	3	10	8	9	20	7	7	8	11	16	7	9	8	13	9	17	20	23	24	21	24	9	23	23	29	10	29	24	34	24	27	36	25	8	25	24	20	43	40	35	23	23	21	33	33	0	1	2	1	2	2	1	2	2	1	3	2	1	1	2	4	3	4	1	1	2	4	8	2	3	2	3	2	2	2	5	7	3	5	1	7	3	4	3	6	2	2	2	10	3	6	6	1	2	5	6	9	11	7	6	1
1000	-376.633737675104499	-375.101622230017256	-1.532115445087255	0.000010022191216	0.000011868843241	1.184256315350914	0.483442534096306	0	1	0	4	4	5	4	4	7	6	10	9	10	16	15	12	15	14	14	13	14	17	15	15	17	20	17	17	19	18	21	19	20	17	19	21	21	23	22	21	22	22	21	23	23	23	23	24	27	25	25	29	30	28	31	0	1	0	2	2	8	3	3	7	7	10	10	12	15	13	11	13	11	16	12	13	19	20	11	21	23	23	24	34	24	21	23	27	15	21	29	24	29	24	27	36	29	29	35	24	40	41	46	44	33	27	35	51	51	0	1	1	1	2	2	1	2	2	1	1	2	2	1	1	4	1	2	2	2	2	2	2	1	2	1	3	2	2	2	2	3	3	2	1	3	2	4	2	3	2	1	1	1	2	5	1	1	1	2	3	7	7	3	2	1
1500	-340.476905880608285	-338.555852818036669	-1.921053062571614	0.000010026468144	0.000021453011812	2.139637956638168	0.726501325436731	0	2	1	3	5	4	5	6	8	4	9	9	10	16	12	12	13	13	13	15	15	14	18	14	17	19	17	17	19	18	21	19	19	18	19	20	22	24	22	21	22	20	21	23	22	23	23	24	27	26	24	28	29	28	32	0	1	0	2	2	3	10	10	7	3	9	9	9	20	13	13	13	11	16	15	15	16	27	13	21	27	20	24	34	24	35	27	23	21	21	29	28	29	30	32	36	21	36	35	24	40	41	46	44	40	46	42	51	51	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	3	1	1	1	1	1	3	1	2	1	1	2	1	2	3	1	1	1	2	1	2	2	2	1	1	1	3	1	5	3	3	1
2000	-320.350532150153470	-318.675875340786376	-1.674656809367084	0.000010048043378	0.000015412549103	1.533885605693218	0.690255836199835	-1	0	0	4	6	4	4	6	5	6	9	8	10	16	15	12	13	13	13	14	14	15	18	15	17	18	16	18	19	17	22	18	20	17	19	21	20	25	21	22	22	21	21	23	22	24	24	23	26	24	25	27	29	27	31	0	1	0	1	1	3	3	7	3	7	7	8	10	20	17	13	13	11	13	13	11	19	27	21	21	27	20	24	34	24	42	27	32	21	21	34	28	29	30	26	36	35	34	35	39	32	41	40	44	40	50	49	51	51	0	1	1	1	2	3	2	2	1	2	1	3	1	2	1	1	2	1	2	2	2	2	1	1	1	1	1	1	2	1	2	1	1	1	2	3	1	1	3	2	2	1	1	2	2	1	4	1	1	2	1	1	1	3	2	1
2500	-314.843814601715962	-312.913732886537616	-1.930081715178356	0.000010296625276	0.000022266252894	2.162480647389292	0.714773343045872	1	2	1	4	6	2	5	5	7	5	8	8	10	15	12	11	14	13	13	14	14	17	17	16	16	19	16	17	17	19	22	19	20	19	19	21	21	24	22	20	22	20	22	23	22	23	23	24	27	25	25	28	30	27	30	0	1	0	2	2	3	3	3	10	3	9	9	10	17	9	13	13	15	16	15	15	19	27	15	21	27	20	24	17	24	42	27	27	29	25	29	28	29	28	32	36	25	36	35	30	40	41	46	44	46	46	49	51	51	0	1	1	1	1	2	1	2	2	1	2	1	1	3	1	2	1	2	1	1	1	1	2	1	2	2	2	2	1	1	2	2	2	2	2	1	2	2	4	2	1	1	2	1	2	2	2	1	1	2	1	1	1	2	1	1
3000	-303.520187573723319	-301.996585404024131	-1.523602169699162	0.000010450726034	0.000012150533140	1.162649666717281	0.722275810821806	0	1	1	3	5	5	6	4	7	4	8	8	10	16	13	12	14	12	13	15	13	16	18	15	17	19	17	18	18	18	22	18	20	20	19	21	21	24	21	21	22	21	22	23	22	23	24	24	26	24	26	28	29	28	30	0	1	0	1	2	10	3	3	7	3	9	9	9	17	13	13	21	13	16	15	7	16	27	21	21	32	20	24	21	24	42	27	27	29	25	34	24	29	30	26	36	35	36	35	30	40	41	33	44	46	50	49	51	51	0	1	1	1	2	2	1	2	2	1	2	1	1	2	1	1	1	1	1	1	2	3	2	1	1	1	1	1	2	2	2	1	1	2	2	2	1	3	2	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1
3500	-306.577334530135943	-304.922727473916552	-1.654607056219385	0.000010843208416	0.000016105913655	1.485345760913973	0.650356594004981	0	1	0	3	5	5	6	5	7	3	9	8	11	16	13	12	14	14	14	13	14	17	18	15	18	19	16	17	18	19	20	17	21	21	19	20	21	24	22	21	22	22	21	23	21	24	24	24	25	25	26	29	29	28	32	0	1	0	1	2	3	3	10	10	3	10	8	12	13	13	13	16	15	16	11	13	19	32	17	21	23	20	24	21	24	25	27	26	29	25	29	28	29	30	26	36	31	36	35	30	40	41	40	35	40	50	49	51	51	0	1	1	1	1	1	3	4	1	2	1	3	2	1	3	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	2	1	1	1	1	1	1	2	3	1	1	1	2	1	2	1	2	1	1	2	2	1	2	2	1	1
4000	-294.253409645982401	-292.781596082058570	-1.471813563923858	0.000011332171406	0.000011635462194	1.026763695753497	0.718401888440397	0	2	1	4	5	4	5	4	6	5	10	8	10	17	14	12	12	15	13	14	14	16	17	16	18	18	16	18	18	18	22	20	20	20	19	20	22	24	22	21	22	22	21	23	21	23	24	24	27	25	26	29	29	28	30	0	1	0	2	2	3	3	3	3	3	12	9	12	20	13	13	13	17	16	17	7	16	27	17	21	23	20	24	21	24	35	27	23	29	25	29	28	34	30	26	36	25	36	35	30	40	41	40	44	46	50	49	51	51	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	2	1	1	2	1	1	3	2	1	2	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	1	1	2	1	2	1	1	1	1	2	2	1	1	1	1	1
4500	-314.753808996680334	-313.029262932486176	-1.724546064194169	0.000011420588091	0.000018897602106	1.654696058978680	0.659919826850123	0	2	0	4	5	5	6	5	8	4	10	8	10	16	12	12	14	13	13	14	14	17	17	16	16	20	16	17	18	17	21	19	19	20	19	20	21	25	22	22	22	22	22	23	22	21	24	23	27	25	26	28	30	28	32	0	1	0	1	2	10	3	10	3	3	10	8	7	19	13	9	15	13	16	11	13	19	27	15	21	23	20	24	21	24	35	23	27	29	21	29	28	34	30	26	36	31	36	35	30	27	41	40	44	46	50	49	51	51	0	1	1	1	2	2	1	4	1	4	2	2	1	2	1	1	2	1	1	1	2	3	2	1	2	1	2	1	1	4	1	1	2	2	1	3	1	2	3	2	1	1	1	1	2	2	2	1	1	2	2	1	1	2	1	1
