step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18
1	-1797.166191812951183	-1795.704109728432286	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.578835696448761	1	2	3	3	4	4	5	8	7	8	9	9	10	11	10	11	13	14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	6	5	6	6	6	7	8	7	8	9	10
500	-70.200157378531173	-68.273184452856214	-1.926972925674953	0.000010024480023	0.000021598830511	2.154608564459580	0.844962703848193	1	2	3	3	4	4	5	7	6	8	8	9	9	11	10	11	13	14	0	0	2	2	3	4	5	3	7	9	8	10	10	15	12	0	15	17	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1
1000	-86.505710747926003	-84.343358575925308	-2.162352172000693	0.000009988777970	0.000027704713061	2.773583830349510	0.650925740593240	-1	2	3	3	4	4	5	7	5	7	9	8	9	11	9	11	12	14	0	0	2	2	3	4	5	5	5	9	8	10	10	15	12	0	15	17	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2
1500	-85.195493686151920	-83.080203797906037	-2.115289888245880	0.000009973099151	0.000026386841527	2.645801583488155	0.678809961867281	1	2	3	3	4	3	5	7	6	8	9	8	10	11	10	11	12	14	0	0	2	2	3	2	5	7	7	9	8	9	10	12	12	0	15	17	1	1	1	1	1	1	1	2	1	2	1	2	2	2	1	1	1	2
2000	-74.677119235090572	-72.784460004651422	-1.892659230439147	0.000009988084699	0.000020657182147	2.068182516510294	0.677961142732642	0	2	3	3	4	4	5	8	6	8	9	9	10	11	10	8	12	14	0	0	2	2	3	4	5	7	7	9	8	10	10	15	12	0	15	17	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2
2500	-78.295878811553408	-76.036264013726992	-2.259614797826413	0.000009899461506	0.000030141314995	3.044742885870923	0.666357780076345	-2	2	3	3	4	3	5	7	6	8	9	9	10	11	10	11	12	14	0	0	2	2	3	2	5	3	7	9	8	10	10	15	12	0	14	17	1	1	1	1	1	1	1	3	1	2	2	1	1	1	1	1	1	1
3000	-77.183307185414975	-75.567028626443857	-1.616278558971120	0.000009897756806	0.000013780683215	1.392303679110137	0.703709709518097	1	1	2	3	4	4	5	8	7	8	6	9	9	11	10	11	13	14	0	0	2	2	3	4	3	5	7	9	7	10	10	12	12	0	15	17	1	1	1	2	1	1	2	2	2	1	1	1	1	2	1	1	2	1
3500	-74.617328848572683	-73.005782696619875	-1.611546151952809	0.000009722983169	0.000013425251353	1.380774924709510	0.737207488686241	0	2	3	3	4	3	5	6	7	8	9	9	9	11	10	11	13	14	0	0	2	2	3	2	3	3	7	9	8	10	10	15	12	0	15	17	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1
4000	-71.655477897947705	-69.908868926411444	-1.746608971536267	0.000010228732017	0.000017473357576	1.708262328779239	0.859729806218201	0	2	3	3	4	4	5	8	7	8	9	9	9	11	10	11	12	14	0	0	2	2	3	4	3	7	7	9	8	10	10	15	12	0	15	17	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	2	2
4500	-85.009529988455157	-83.321749878190872	-1.687780110264284	0.000010534883331	0.000016493889264	1.565645175746669	0.612833653765793	1	1	3	2	4	2	5	8	7	8	9	9	10	11	10	11	13	14	0	0	4	2	3	2	3	5	7	9	5	9	10	15	12	0	12	17	1	1	1	1	1	1	2	4	1	1	4	2	1	1	1	1	3	1
