step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37
1	-3370.717695234853181	-3369.255613150334284	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.973142005919777	0	1	3	3	4	5	6	6	7	7	8	9	10	11	11	13	12	13	13	15	13	13	14	14	14	16	17	15	16	16	19	21	23	24	25	25	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	4	5	5	6	6	6	7	8	8	8	10	9	10	10	11	10	10	11	11	11	12	13	11	12	12	14	16	17	18	18	18	20
500	-749.724729427792681	-746.663713418752423	-3.061016009040271	0.000009984569019	0.000057028525949	5.711666256216279	0.219851317237631	0	1	2	3	4	3	4	6	7	5	8	6	8	11	10	13	11	13	13	15	13	13	12	14	14	15	17	14	16	16	18	21	23	23	25	25	27	0	1	2	3	4	3	6	6	7	7	12	10	12	12	13	17	15	13	17	17	15	17	15	15	18	15	16	13	15	13	15	0	0	1	8	18	1	1	1	1	1	1	1	1	3	2	1	2	1	1	5	2	2	1	4	2	4	2	2	1	4	1	5	3	5	6	7	5	1	1	15	17	11	21
1000	-651.169155384284522	-647.695162933044458	-3.473992451240098	0.000009952591146	0.000074075518309	7.442837470135734	0.345465551966767	-1	0	1	3	4	2	4	6	6	5	8	6	10	11	11	13	12	13	13	14	12	13	14	14	14	16	17	14	16	16	19	21	22	24	25	25	26	0	1	2	3	4	3	6	6	7	7	12	10	11	12	13	15	15	13	17	16	15	17	16	19	18	28	19	22	16	25	29	0	0	1	8	4	4	1	1	1	2	1	1	2	4	2	1	2	1	2	2	1	2	1	2	1	1	1	1	1	1	1	2	2	1	3	2	2	1	1	19	14	19	20
1500	-665.295183986427901	-662.026577170793644	-3.268606815634232	0.000010007308060	0.000065529116445	6.548126234715194	0.325104480942502	0	1	2	3	4	4	5	6	7	6	8	7	9	11	11	12	12	13	13	14	13	13	14	14	14	16	17	15	16	16	18	20	20	24	25	25	27	0	1	2	3	4	4	6	6	7	7	12	10	11	12	13	15	15	13	15	17	15	15	17	17	18	28	17	22	16	25	29	0	0	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	3	1	1	1	4	1	2	2	2	1	2	1	1	3	1	3	2	2	1	1	18	16	14	17
2000	-680.992914049776800	-677.771687548536988	-3.221226501239770	0.000010136317780	0.000064379360351	6.351355763179749	0.353076416497088	0	1	2	3	4	4	5	6	7	6	8	7	10	10	11	13	12	12	13	14	13	13	14	14	14	14	17	15	16	16	19	21	23	24	25	25	27	0	1	2	3	4	4	6	6	7	7	12	10	11	11	13	15	15	13	17	16	15	15	17	17	18	22	17	26	17	25	29	0	0	1	1	1	6	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	2	2	2	2	1	3	1	4	2	3	1	1	14	18	13	11
2500	-680.433281665118670	-677.331028122849489	-3.102253542269137	0.000010162405539	0.000059679717675	5.872597530960614	0.347606177835790	0	1	2	3	4	4	5	6	7	6	8	7	9	10	10	12	12	11	13	15	13	13	14	14	13	14	15	15	16	16	19	19	23	21	25	22	25	0	1	2	3	4	4	6	6	7	7	12	10	12	11	13	15	15	13	15	17	16	16	19	17	18	22	17	26	17	25	29	0	0	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	2	2	2	2	3	1	1	1	2	2	1	3	1	3	2	3	1	1	9	15	16	16
3000	-669.568038231200717	-666.498498063151146	-3.069540168049600	0.000010145084022	0.000058280706629	5.744723897873369	0.352182667675880	0	1	3	3	4	4	5	5	7	6	8	7	9	9	10	13	11	12	13	15	13	13	14	14	14	14	17	15	16	16	19	21	23	24	25	24	25	0	1	2	2	4	4	6	6	7	7	12	10	12	11	13	15	15	12	15	15	15	17	19	17	18	22	16	26	16	25	29	0	0	4	1	2	4	1	1	2	2	1	1	1	1	2	1	1	1	2	1	1	3	1	4	2	5	2	2	1	1	2	1	4	1	3	2	2	1	1	12	16	16	18
3500	-662.230735618234803	-658.799484468782111	-3.431251149452692	0.000010586379699	0.000076761208925	7.250940463931038	0.381188821529696	0	1	2	3	4	4	5	6	7	6	8	7	9	11	10	12	12	13	12	15	13	13	13	14	14	14	17	15	16	16	19	21	23	23	25	24	26	0	1	2	3	4	4	6	6	7	7	12	10	12	12	13	15	15	13	15	15	16	16	19	17	18	22	17	26	17	25	29	0	0	8	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	2	2	4	2	2	1	1	1	2	1	1	2	1	4	2	2	1	1	9	16	20	14
4000	-668.415808408884573	-665.176379999229539	-3.239428409655063	0.000011598281226	0.000074536714355	6.426531044106000	0.280505491474112	0	1	2	3	4	4	5	6	7	6	8	7	10	9	10	12	12	13	13	12	13	12	14	14	14	14	16	15	16	16	19	21	22	21	25	25	27	0	1	2	3	4	4	6	6	7	7	12	10	11	11	12	15	15	13	15	15	15	15	15	17	18	22	15	26	19	25	29	0	0	8	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	2	2	2	2	2	1	2	3	2	1	2	5	1	1	2	3	1	1	10	17	21	14
4500	-642.954792661636930	-640.242592479754990	-2.712200181881971	0.000013242953556	0.000058907338648	4.448202464583292	0.270756554005502	0	1	2	3	4	4	5	6	7	6	8	7	10	9	10	13	12	13	13	15	13	13	13	14	14	14	14	15	16	16	19	21	23	23	24	25	26	0	1	2	3	4	4	6	6	7	7	12	10	11	12	12	15	15	13	15	21	15	15	17	19	18	22	15	26	20	25	29	0	0	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	3	2	2	2	2	2	2	1	1	1	1	2	1	1	2	2	1	1	14	16	20	17
