step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103
1	-62932.361819079189445	-62930.899736994673731	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.688171827793064	-1	0	3	4	6	6	10	7	9	8	10	10	10	10	10	11	12	11	11	11	12	11	12	11	12	14	14	14	12	13	14	13	14	14	14	14	14	16	14	15	17	15	16	15	16	16	16	16	16	16	17	18	18	18	18	19	19	20	21	20	20	20	20	20	19	21	21	22	23	22	21	21	21	25	22	22	21	23	23	22	23	25	23	22	25	24	23	24	24	24	24	26	24	26	27	26	27	27	27	28	31	30	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	4	6	4	5	5	6	6	6	6	6	6	7	6	6	6	7	6	7	6	7	8	8	8	7	7	8	7	8	8	8	8	8	9	8	8	9	8	9	8	9	9	9	9	9	9	9	10	10	10	10	10	10	11	11	11	11	11	11	11	10	11	11	12	12	12	11	11	11	13	12	12	11	12	12	12	12	13	12	12	13	13	12	13	13	13	13	14	13	14	14	14	14	14	14	15	16	16	17
500	-2154.961811646347996	-2151.762876343635980	-3.198935302712079	0.000010038135682	0.000062838685412	6.259995621262527	0.208723385527815	-1	0	4	4	6	4	11	5	7	8	8	10	10	10	7	11	11	12	9	8	9	9	12	12	11	14	13	11	13	13	15	13	11	12	11	14	14	16	15	16	17	12	16	15	17	16	16	17	17	13	18	18	17	17	15	19	19	20	22	21	17	21	19	21	19	21	21	23	24	23	21	20	21	26	23	23	21	24	24	23	23	26	24	23	26	23	24	24	25	24	25	27	25	26	28	26	26	27	28	29	31	31	32	0	1	2	0	0	0	12	6	6	6	15	11	8	8	4	8	11	12	15	15	9	11	8	17	19	20	12	20	23	19	16	19	20	21	22	33	27	28	28	28	8	20	21	20	20	20	42	39	39	33	31	22	21	20	20	42	33	47	28	28	31	44	42	20	42	33	35	9	42	44	42	28	16	50	55	42	55	44	34	23	55	42	55	55	35	34	55	50	50	42	55	21	42	0	53	55	42	0	42	50	42	0	42	1	1	2	1	1	1	1	1	2	2	1	1	2	3	2	3	2	2	1	1	1	1	5	1	1	2	2	2	1	2	2	3	2	2	1	2	1	2	3	5	11	4	2	7	5	4	2	1	2	2	3	9	4	5	5	5	6	3	9	9	1	4	4	13	5	9	6	12	10	8	5	8	9	11	4	10	4	6	7	8	5	8	6	5	11	5	8	8	9	9	8	14	10	1	9	7	12	1	13	12	16	1	16
1000	-1716.016563156220400	-1713.339580852279369	-2.676982303941120	0.000010109455415	0.000043772986648	4.329905504539432	0.236132862830827	-1	0	3	4	5	3	11	6	8	8	10	9	10	11	7	11	11	11	10	10	12	8	12	12	12	15	14	12	13	13	14	12	11	13	11	14	15	17	15	15	18	12	15	12	16	17	15	17	16	16	18	19	16	18	15	18	18	20	22	21	20	21	19	21	20	21	21	20	23	22	21	22	21	25	22	23	19	23	24	22	23	26	24	22	25	25	23	24	24	25	25	26	25	25	27	26	27	28	28	28	30	30	33	0	1	2	0	0	0	12	6	6	6	15	4	8	8	4	8	15	12	15	15	9	15	16	17	19	36	12	20	23	25	16	19	20	9	22	20	12	28	28	28	8	33	21	33	20	36	42	39	39	42	31	35	34	44	42	50	44	47	48	28	51	54	55	42	42	44	35	9	44	44	47	28	31	55	55	42	55	44	68	73	63	75	55	55	35	53	55	55	55	55	44	53	42	0	53	55	55	0	55	77	55	0	55	1	1	2	1	1	1	1	2	3	2	2	3	2	3	2	2	2	1	1	1	2	1	1	1	2	1	2	1	1	1	2	1	1	4	3	2	2	3	2	3	9	1	2	1	3	2	1	2	1	1	1	8	3	2	3	1	2	2	4	7	2	2	3	9	4	7	4	9	6	6	4	7	5	6	4	6	3	5	3	1	3	2	6	3	9	5	5	7	5	7	6	9	7	1	9	9	9	1	11	8	14	1	13
1500	-1453.377545452139657	-1450.785647011995707	-2.591898440143924	0.000010083084988	0.000040843893703	4.050733852879914	0.292255551616808	-2	0	2	5	6	4	11	7	9	7	9	10	10	10	8	9	11	12	10	10	12	11	12	12	12	12	15	13	13	13	14	14	11	15	12	14	13	16	14	15	18	12	16	13	16	17	16	17	16	15	17	18	15	18	15	16	16	20	22	19	19	20	20	20	19	22	21	22	24	21	20	22	20	26	22	22	20	24	24	22	22	25	22	23	25	22	23	24	24	24	25	26	23	25	27	27	28	27	27	28	31	31	33	0	1	2	0	0	0	12	6	6	6	15	11	8	8	4	8	11	12	15	15	9	11	16	17	19	20	12	20	23	25	16	19	20	21	22	26	12	28	28	28	23	33	21	33	33	36	42	39	39	42	31	35	21	44	42	50	44	47	48	28	51	54	55	42	56	57	52	53	57	44	47	49	31	64	63	55	55	57	68	73	55	75	64	76	35	53	63	64	64	55	57	53	64	0	53	64	55	0	55	64	55	0	64	1	1	2	1	1	1	1	2	2	2	1	1	2	3	2	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	2	1	2	1	1	1	2	1	2	6	1	2	1	3	2	3	2	1	1	2	6	2	2	2	1	2	2	2	3	2	2	3	8	2	5	2	6	6	5	3	4	3	4	1	6	2	6	1	1	4	2	2	1	9	4	2	3	2	8	4	8	2	1	8	6	8	1	8	6	13	1	10
2000	-1254.829576509447861	-1252.144237769465462	-2.685338739982323	0.000010221775632	0.000044544737707	4.357827769998162	0.379747994994821	-1	0	3	4	6	6	10	7	9	8	10	7	11	10	8	11	11	10	9	11	11	12	12	12	11	14	12	12	13	14	13	13	14	14	14	15	14	16	14	15	18	12	16	14	17	16	13	17	17	15	18	16	17	18	15	19	16	20	21	19	20	20	20	20	19	21	22	21	24	22	21	22	20	26	22	22	22	23	24	22	22	26	23	23	25	25	23	23	24	24	24	27	23	27	28	26	28	26	27	29	32	29	32	0	1	2	0	0	0	12	6	6	6	15	4	8	8	12	8	11	12	15	15	9	11	16	17	19	20	12	20	23	25	16	19	20	21	22	26	27	28	28	28	29	20	34	20	33	36	42	39	39	42	31	35	21	44	42	50	44	47	48	39	51	54	55	42	42	57	52	53	57	57	47	49	51	81	63	42	64	57	68	73	55	75	75	76	52	53	81	81	64	55	66	53	64	0	68	64	64	0	64	64	76	0	76	1	1	2	1	1	1	2	1	2	2	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	2	2	2	1	1	1	2	2	2	2	1	2	1	1	1	1	3	2	1	2	2	2	2	2	2	1	3	2	3	2	2	3	7	3	4	2	2	5	3	3	4	1	2	1	5	2	6	1	1	3	2	1	1	4	4	1	1	2	7	2	6	2	1	6	4	5	1	5	5	9	1	7
2500	-1116.323463812147565	-1113.716768452942006	-2.606695359205478	0.000010266756533	0.000042079539012	4.098620521334382	0.594666804516950	-1	0	4	3	7	7	10	8	9	9	10	8	11	11	9	11	11	11	10	11	11	11	10	12	12	14	14	12	12	13	15	13	14	14	13	15	14	16	15	15	16	12	15	16	16	16	17	17	17	16	18	18	18	18	17	19	17	20	22	20	19	21	19	20	20	21	22	21	24	21	22	21	21	25	22	21	21	24	23	23	23	26	23	23	24	25	23	25	24	23	25	26	25	27	27	25	28	27	28	28	29	31	33	0	1	2	0	0	0	12	6	6	6	15	4	8	8	12	8	11	12	15	15	9	11	8	17	19	20	12	20	23	19	16	19	20	21	22	26	12	28	28	28	29	20	21	33	33	36	50	39	39	42	31	35	43	44	42	50	44	47	48	49	51	54	55	42	56	57	52	53	66	57	58	49	61	81	63	55	64	57	68	73	63	75	75	64	67	68	64	81	76	64	78	53	90	0	68	64	89	0	96	90	89	0	76	1	1	2	1	1	1	1	1	2	1	1	2	2	2	1	1	1	2	1	1	1	1	1	1	2	2	3	1	2	2	2	1	1	2	1	1	3	2	2	2	2	1	2	1	1	1	1	2	2	2	2	2	2	1	3	2	1	1	2	1	1	2	2	6	1	3	2	1	2	2	1	2	1	1	1	4	1	6	1	1	2	2	1	1	1	2	2	1	2	2	1	5	1	1	3	3	2	1	3	4	2	1	6
3000	-1032.190605300148263	-1030.042496812655372	-2.148108487492812	0.000010596247292	0.000028977357099	2.734681090512159	0.728912381094631	-1	0	3	3	6	6	10	7	9	8	10	8	10	10	9	10	11	10	10	11	11	11	11	12	12	14	14	12	13	13	15	13	14	14	15	15	13	16	14	15	17	12	17	15	15	16	17	16	16	16	17	18	18	19	18	18	18	20	20	19	20	20	20	20	20	22	22	21	24	22	22	21	21	25	22	22	21	23	23	23	23	24	23	23	25	24	24	22	24	22	24	26	24	25	25	24	27	28	28	29	31	28	31	0	1	2	0	0	0	12	6	6	6	15	4	8	8	12	8	11	12	15	15	9	11	16	17	19	20	12	20	23	25	16	19	20	21	22	26	12	28	28	28	29	20	34	33	33	36	50	39	39	42	31	35	43	44	50	50	44	47	48	49	51	54	55	55	56	57	52	53	66	57	58	60	61	81	63	64	64	57	68	73	88	75	75	76	67	68	81	63	76	77	78	53	90	0	79	90	89	0	96	96	97	0	97	1	1	2	1	1	1	1	1	2	2	1	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2	2	3	2	2	1	2	2	2	2	2	1	2	1	1	1	1	1	2	3	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	3	2	2	1	2	1	1	1	1	1	1	1	3	1	1	1	2	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	3	3	2	1	3
3500	-966.827265234928063	-964.536472676972380	-2.290792557955632	0.000011342670904	0.000035545312248	3.133769157910143	0.702811165838569	-1	0	3	3	6	6	10	8	10	8	10	8	11	10	9	11	11	12	11	11	12	12	13	12	12	14	14	14	13	13	14	13	13	14	14	15	13	17	15	15	18	15	16	16	16	16	17	17	17	17	17	18	18	19	19	19	18	19	20	20	20	20	20	20	20	21	21	21	24	22	21	21	21	26	22	22	22	23	22	22	23	25	23	23	25	23	23	24	25	24	24	27	25	26	27	26	27	26	27	29	30	28	32	0	1	2	0	0	0	12	6	6	6	15	4	8	8	12	8	11	12	15	15	9	11	16	17	19	20	12	20	16	25	16	19	20	21	22	26	12	28	28	28	29	33	34	33	33	36	42	39	39	42	31	35	43	44	50	50	44	47	48	49	51	54	55	55	56	57	52	53	57	57	58	60	61	81	63	64	64	57	68	61	63	75	75	76	67	68	63	81	76	77	78	86	90	0	79	90	89	0	96	99	97	0	101	1	1	2	1	1	1	1	2	3	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	3	2	1	1	1	1	1	1	1	1	2	2	1	1	3	1	1	2	2	1	1	2	2	1	1	3	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	2	2	2	1	1	1	2	1	1	1	3	1	1	1	2	1	1	2	1	1	1	3	1	1	3	1	1	2	1	1	1	1	1	2	1	2
4000	-922.132620911927461	-919.939644674389228	-2.192976237538247	0.000013128298762	0.000037519520421	2.857911836225167	0.840464498414910	-1	1	3	3	6	5	10	8	9	7	10	8	11	10	9	11	11	11	11	11	13	12	12	12	12	13	14	13	13	14	13	14	13	14	14	14	14	16	15	16	16	15	16	16	15	15	17	17	16	16	17	17	18	18	18	19	20	20	20	19	20	20	20	20	20	21	21	22	23	22	22	21	21	25	21	22	22	23	24	22	22	25	23	23	24	24	23	24	24	24	24	26	25	26	27	26	27	27	27	29	30	29	33	0	1	2	0	0	0	12	6	6	6	15	4	8	8	12	8	11	12	15	15	9	11	16	17	19	20	12	20	23	25	16	19	20	21	22	26	12	28	28	28	29	33	34	33	33	36	42	39	39	42	31	35	43	44	50	50	44	47	48	49	51	54	55	55	50	57	52	53	57	57	58	60	61	88	63	64	64	57	68	73	63	75	75	76	67	68	81	81	76	77	78	86	90	0	79	90	89	0	96	99	97	0	101	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	2	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	3	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2
4500	-922.610723590837551	-920.391587297363685	-2.219136293473864	0.000015162446018	0.000044436635891	2.930703650155940	0.688464951293102	0	1	3	4	7	5	11	7	9	8	10	8	11	11	9	10	11	11	11	11	13	12	12	12	12	13	14	12	13	13	14	14	13	14	15	14	14	15	13	16	17	15	17	15	17	16	17	17	15	16	17	19	18	17	18	19	19	20	21	20	19	20	20	19	18	21	22	22	22	23	21	22	21	25	22	21	21	22	24	23	22	26	24	23	24	24	23	24	25	24	25	26	25	27	27	26	27	26	27	28	29	29	32	0	1	2	0	0	0	12	6	6	6	15	4	8	8	12	8	11	12	15	15	9	11	16	17	19	20	12	20	23	25	16	19	20	9	22	26	7	28	28	38	29	33	21	33	33	36	42	39	39	42	31	35	21	44	50	65	44	47	48	49	51	54	55	55	50	57	52	53	57	57	58	60	61	81	63	64	64	57	68	73	63	75	75	76	67	68	81	81	84	77	78	86	90	0	79	90	89	0	90	99	97	0	101	1	1	1	1	1	1	2	1	2	2	1	2	1	2	1	1	1	1	2	1	2	1	1	1	1	2	3	1	1	1	2	2	2	3	1	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	2	2	2	2	1	1	2	1	2	3	2	1	1	1	1	1	1	3	1	2	1	1	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	2
