step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25
1	-2634.178162350223829	-2632.716080265704932	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.692086826819578	0	5	5	6	7	9	11	11	14	11	15	12	12	14	16	16	15	14	14	15	17	16	17	17	20	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	4	5	6	6	7	6	8	6	6	7	8	8	8	7	7	8	9	8	9	9	10
500	-176.288860184579107	-174.306369181826312	-1.982491002752798	0.000009992978683	0.000022946943620	2.296306671828284	0.480101483420253	-1	3	5	5	7	9	12	11	15	11	14	12	12	15	17	16	16	12	15	15	16	14	18	17	20	0	0	2	2	3	5	6	6	7	5	12	6	8	7	9	9	10	6	22	12	12	5	17	21	9	1	1	1	1	1	2	2	1	2	1	1	2	1	2	2	1	2	2	1	2	1	6	1	1	3
1000	-160.670576914500572	-158.726379212841749	-1.944197701658824	0.000010040701550	0.000022072636198	2.198316132314027	0.644507883905830	1	4	5	6	6	10	11	11	15	12	14	12	13	14	15	16	15	14	15	16	17	16	17	18	20	0	0	2	2	3	5	5	5	7	5	12	5	8	10	7	9	10	7	11	10	20	6	17	12	16	1	1	1	1	1	2	3	3	2	3	1	2	2	1	2	1	2	1	1	2	1	2	1	3	2
1500	-150.091594747923807	-148.105710338751237	-1.985884409172584	0.000010024329132	0.000023106547916	2.305046812733458	0.679345866795942	1	4	6	6	8	10	12	10	14	12	14	12	12	15	16	16	15	15	15	15	17	16	17	18	19	0	0	2	2	3	3	5	5	6	5	12	6	8	10	6	9	10	10	12	12	20	18	17	20	16	1	1	1	1	1	2	2	1	2	2	1	1	1	1	3	1	2	2	2	2	1	1	1	1	2
2000	-163.866873992310019	-160.471670587652568	-3.395203404657442	0.000010020002289	0.000071056397163	7.091455182498269	0.574704858381195	0	5	6	7	8	9	12	11	14	11	14	12	12	14	16	17	16	14	15	14	18	15	17	17	19	0	0	2	2	3	5	6	6	6	3	12	6	8	10	7	9	18	10	11	12	20	6	17	15	16	1	1	1	1	1	1	1	1	2	3	1	2	1	2	1	1	2	2	1	1	2	2	1	1	1
2500	-147.445665281062617	-145.683747445090745	-1.761917835971878	0.000009981020323	0.000017422032941	1.745516227427325	0.829675010936626	1	4	6	6	8	10	12	11	14	12	14	11	12	14	15	16	15	14	15	15	17	16	18	17	20	0	0	2	2	3	5	6	5	7	5	12	5	8	10	9	9	10	10	11	12	20	6	17	12	16	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	2	1	2	2	3	2
3000	-168.799398655161013	-167.344330545193259	-1.455068109967765	0.000010127067664	0.000009928197135	0.980362476479178	0.520585326976263	0	3	5	5	7	8	10	10	14	10	15	11	12	13	16	16	15	13	13	15	15	15	17	18	21	0	0	2	2	3	5	6	5	7	5	12	6	8	10	7	9	10	10	5	12	12	7	17	21	16	1	1	1	1	2	1	1	2	1	1	2	1	1	1	3	1	2	2	3	2	2	3	1	2	2
3500	-157.171585982780073	-155.241810858137939	-1.929775124642123	0.000010337208526	0.000022345984812	2.161703979950984	0.810812145482961	0	5	6	7	8	9	11	9	14	10	13	10	12	14	14	16	15	13	15	15	17	16	17	18	20	0	0	2	2	3	5	5	5	5	6	5	5	8	10	7	15	18	10	11	12	20	15	17	20	16	1	1	1	1	1	1	1	1	3	1	2	1	2	1	1	1	1	2	1	2	1	1	1	1	3
4000	-154.072288027885349	-152.559378590628228	-1.512909437257127	0.000010194140716	0.000011573186321	1.135278258680695	0.809578974181543	0	4	6	6	8	7	10	10	15	10	14	12	12	14	16	16	15	12	14	14	17	14	18	15	21	0	0	2	2	6	3	5	5	22	5	12	5	8	10	22	9	10	10	12	12	20	7	17	12	16	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	2	1	2
4500	-154.919472651364060	-152.911088340528863	-2.008384310835201	0.000010326523366	0.000024404044341	2.363239153717695	0.755788080267760	0	3	5	7	8	7	10	11	15	11	15	13	12	15	15	17	15	13	15	14	17	16	17	18	20	0	0	2	2	6	3	5	7	7	6	12	5	8	18	7	9	18	10	12	12	12	15	17	12	9	1	1	1	3	1	1	1	1	2	2	1	2	1	1	2	1	1	2	1	1	2	1	1	2	2
5000	-150.728425537749899	-148.830314235689968	-1.898111302059918	0.000010199665297	0.000021234267879	2.081859282710311	0.720648681285614	-1	5	6	7	8	10	12	11	14	11	13	12	13	15	14	17	15	13	15	15	17	14	18	17	20	0	0	2	2	3	5	6	3	7	6	12	5	8	18	6	9	15	10	11	12	12	7	17	12	16	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	1	1	1	2	2	1	1	2	1
5500	-152.307330729239112	-150.335800906975635	-1.971529822263469	0.000011451698218	0.000025974039647	2.268138677022014	0.748026164628898	-1	5	6	6	8	10	11	11	14	10	14	12	12	14	16	16	13	12	15	15	18	14	16	17	20	0	0	2	2	3	5	5	5	7	5	7	7	8	18	7	9	18	10	11	12	20	6	17	12	16	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	2	1	2	2	2	2
6000	-148.032540915065084	-146.405622549031449	-1.626918366033642	0.000013803418608	0.000019575783534	1.418183718875095	0.601737975127914	0	4	5	7	7	9	11	9	15	11	14	12	12	13	16	17	16	14	15	15	17	17	17	18	20	0	0	2	2	3	5	6	5	7	6	12	5	8	10	7	9	10	10	11	12	12	18	17	20	16	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	3	2	1	3	3	1	1	2	2
6500	-170.164168707407782	-168.768557075118309	-1.395611632289463	0.000025254243854	0.000020008755340	0.792292790701930	0.506826560113634	1	3	6	6	8	10	11	11	14	11	12	11	12	14	17	16	15	14	13	14	17	15	17	17	21	0	0	2	2	3	5	5	5	12	6	12	6	8	10	9	6	7	10	12	12	12	6	17	9	16	1	1	2	1	1	1	1	2	2	1	1	1	1	2	1	3	2	2	1	2	3	2	2	2	3
7000	-147.527884269682175	-146.158564990426470	-1.369319279255705	0.000052727790592	0.000025528242882	0.484151575389083	0.743360108805063	1	4	6	6	8	10	11	11	14	12	15	13	13	12	17	17	15	14	14	16	15	16	17	17	19	0	0	2	2	3	5	5	6	3	5	12	7	8	6	18	9	10	7	12	10	12	7	22	12	9	1	1	1	1	1	2	1	1	3	2	1	1	2	1	1	2	1	1	1	2	1	2	1	1	3
7500	-134.833463003757544	-133.464766044270306	-1.368696959487227	0.000078698862281	0.000038334712760	0.487106314493587	0.697886280818271	-1	4	5	6	7	9	12	11	14	11	16	12	13	15	17	16	15	14	14	15	17	16	17	17	19	0	0	2	2	3	5	6	6	7	6	19	6	8	5	22	6	18	5	7	12	12	7	17	20	15	1	1	1	2	1	1	2	1	1	1	1	1	1	3	1	4	1	3	2	2	2	1	1	1	1
8000	-147.142930911850300	-145.773933282139410	-1.368997629710877	0.000081683176408	0.000039670451593	0.485662450175793	0.578494567512979	-1	4	5	6	7	9	10	11	14	10	15	12	13	14	14	15	15	11	13	14	16	17	17	17	20	0	0	2	2	3	5	5	7	5	4	19	7	8	7	10	6	15	6	12	12	20	11	17	12	22	1	1	1	2	1	1	2	1	3	2	2	2	1	2	1	2	1	1	1	1	1	1	1	3	1
8500	-148.697373401023185	-147.336080235500276	-1.361293165522916	0.000097825776750	0.000053663292820	0.548559843862613	0.650174809047032	0	5	6	6	8	9	11	11	13	11	15	12	12	15	14	16	15	14	14	14	16	16	17	16	21	0	0	2	2	3	5	6	5	6	5	20	6	8	10	6	15	10	10	12	12	9	9	12	12	16	1	1	1	1	1	1	2	1	2	2	1	2	1	2	2	2	2	1	1	1	2	1	1	3	2
