step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84
1	-803.095777686838119	-812.146621067289516	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.837318220104503	12	3	-1	3	1	8	7	3	10	7	12	8	6	7	9	6	14	10	6	20	12	12	8	11	10	9	12	17	11	14	22	25	25	14	22	23	17	19	26	23	19	21	22	29	28	24	22	22	25	28	29	27	31	25	37	25	38	24	27	30	27	34	32	36	32	31	38	44	36	38	37	32	37	36	44	35	45	41	43	38	44	40	43	45	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-432.162893918107272	-441.213737298558613	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996324806732895	13	1	-5	5	-2	2	7	4	9	9	8	9	5	5	11	6	15	11	9	17	14	12	7	0	12	13	12	13	7	5	21	20	26	11	25	15	16	16	28	26	18	15	22	27	23	25	17	16	12	20	32	25	31	21	37	22	26	15	27	24	23	31	29	34	32	21	33	40	32	36	28	27	38	34	44	37	43	34	42	30	33	36	42	39	14	3	0	24	3	3	14	5	13	24	2	6	5	2	24	6	7	23	6	22	14	4	6	3	29	10	12	10	2	6	49	15	32	23	54	27	4	13	61	58	15	13	20	54	31	54	15	12	14	10	44	45	57	37	39	20	17	10	22	38	21	71	44	65	41	37	40	70	52	65	61	37	67	35	64	57	80	56	51	60	57	80	78	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-431.150347681134917	-440.201191061586258	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997172222952018	11	2	-12	3	-1	5	9	1	5	10	15	3	9	6	8	-4	14	10	5	22	15	13	9	13	10	6	-7	15	12	15	22	18	23	10	22	21	16	21	25	21	15	15	19	20	24	21	20	24	21	28	27	28	32	23	21	20	36	20	28	27	27	34	31	31	31	30	35	44	35	38	32	22	32	32	44	30	42	36	44	38	46	37	41	47	4	16	0	5	27	5	2	16	27	16	23	2	4	8	4	27	13	14	16	47	14	25	5	9	14	12	3	1	15	7	37	13	38	16	42	11	25	28	20	22	6	7	7	17	20	21	23	43	17	55	46	48	56	56	28	18	74	11	20	36	28	59	56	28	39	59	36	82	53	65	28	37	52	55	62	56	71	65	80	69	62	64	70	75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-443.047887147423580	-452.098730527874920	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997162688179957	7	4	-4	4	-3	10	8	5	8	8	8	3	8	5	-1	3	17	7	4	15	10	12	4	13	15	6	0	15	12	16	16	25	24	8	18	21	21	19	16	24	21	23	22	32	26	14	23	22	28	21	27	28	32	25	36	22	31	23	25	23	13	32	29	30	27	27	38	42	36	38	38	33	30	35	41	34	44	40	29	41	46	40	33	46	27	27	0	3	3	1	4	5	27	16	16	3	2	15	5	3	9	16	15	6	26	4	15	2	61	3	3	11	26	11	34	35	12	14	34	24	61	11	29	41	46	38	18	63	50	26	29	46	47	11	33	36	79	56	54	20	58	50	11	37	7	56	39	37	28	56	53	62	83	73	79	64	47	49	76	48	69	60	47	72	67	63	47	75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-439.524162164009169	-448.575005544460510	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993692659048619	5	4	-6	0	-4	5	10	2	13	8	14	5	10	10	8	5	9	13	3	22	14	10	7	9	9	10	10	20	14	12	17	23	24	10	20	18	13	17	16	26	18	24	25	16	24	23	21	23	24	31	26	20	29	19	32	27	39	23	30	18	27	32	15	19	18	30	38	47	31	33	39	31	39	29	39	35	47	39	38	39	41	32	45	42	5	3	0	3	3	4	16	5	26	2	27	19	1	19	4	4	2	19	4	16	1	6	8	19	8	6	16	29	22	2	2	22	39	8	29	9	19	27	10	48	17	44	38	24	63	26	22	38	8	58	54	26	28	27	51	31	62	52	43	11	21	45	23	34	9	48	53	73	46	40	61	51	70	35	62	82	78	82	45	62	51	32	84	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-445.274237347320707	-454.325080727772047	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996743999430682	13	-4	-12	5	0	7	2	-3	11	3	13	6	5	3	10	2	13	8	4	18	14	14	7	7	10	6	14	14	-6	1	24	22	22	0	22	17	21	17	26	22	20	18	14	28	28	22	18	16	25	19	26	29	30	14	35	22	33	22	17	34	24	30	22	28	28	32	32	39	33	37	31	32	25	32	41	32	45	38	40	42	41	32	36	48	26	3	0	30	2	5	5	29	6	8	16	8	34	8	30	29	24	19	34	22	6	12	10	30	13	8	14	13	3	29	46	54	1	2	1	24	17	25	43	54	11	22	1	63	50	50	43	12	46	12	63	27	65	24	73	28	64	36	25	45	27	49	47	43	56	35	58	45	44	55	40	61	22	31	78	41	75	69	55	67	60	37	71	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-441.842277221884444	-450.893120602335784	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996971435232001	12	-1	-5	6	1	3	10	3	9	9	14	7	2	5	8	8	14	11	5	21	10	13	8	7	6	13	13	13	-2	4	12	20	23	14	20	19	20	17	19	26	14	18	16	31	26	27	23	19	24	20	28	17	34	23	32	22	31	26	28	26	29	29	26	38	28	28	37	29	36	39	37	35	32	37	35	32	46	36	45	24	43	28	45	48	21	3	0	2	3	29	30	29	6	14	24	8	3	13	13	5	15	23	2	27	25	23	29	6	29	30	23	14	3	3	8	1	42	12	19	4	34	1	18	38	25	26	8	47	34	11	11	43	50	27	54	18	82	32	45	41	45	38	31	37	52	10	56	75	40	32	76	56	45	62	65	37	58	65	60	20	69	11	78	37	72	80	59	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-429.859338828252760	-438.910182208704100	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998199784569243	9	3	-4	-1	2	0	7	1	7	8	9	4	4	5	8	7	14	8	3	22	12	15	10	10	9	10	12	18	14	13	24	26	22	13	19	25	15	23	25	25	19	17	21	28	31	27	23	20	24	17	21	28	24	15	29	27	42	21	25	30	21	27	28	38	31	33	33	46	31	40	37	28	32	34	42	34	48	44	41	37	39	28	39	46	14	3	0	3	3	3	2	3	3	5	19	6	6	6	2	6	14	4	3	15	6	7	13	5	8	16	9	26	13	16	11	28	42	23	54	50	9	41	41	22	15	26	8	35	38	58	37	16	24	25	24	53	29	1	33	37	59	24	20	72	34	49	59	69	31	46	52	74	38	66	40	49	44	33	44	46	57	81	66	65	49	59	65	56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-435.593138901514521	-444.643982281965862	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989185084042226	-5	1	-8	-2	2	6	-1	3	12	10	7	10	4	7	9	5	15	9	7	19	8	16	9	11	9	4	16	15	13	17	19	27	16	11	24	17	19	11	22	22	15	20	25	21	28	24	21	21	24	25	22	23	32	19	40	24	31	20	27	25	22	34	31	38	32	28	40	44	25	30	35	31	36	38	29	31	37	40	42	34	40	38	40	42	3	4	0	3	1	5	3	1	7	6	2	11	4	4	5	4	18	8	13	9	1	18	6	26	26	7	18	15	23	6	41	58	10	6	17	38	34	7	36	30	15	17	36	15	52	33	17	11	31	15	9	31	54	41	60	30	50	17	41	27	33	59	69	43	17	30	56	82	61	29	57	60	53	60	56	28	80	62	82	50	53	70	80	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-432.735859142032723	-441.786702522484063	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.975976293631897	11	-2	-7	1	0	7	0	3	10	9	14	9	8	9	12	9	9	10	4	14	11	3	9	13	11	13	13	15	14	15	23	25	24	9	19	27	15	12	27	23	16	23	25	26	21	20	25	19	26	29	20	27	28	20	23	18	38	19	23	28	18	27	29	36	33	33	38	40	31	40	37	30	35	38	40	29	40	43	44	36	41	39	36	46	19	3	0	2	2	4	3	5	4	2	34	8	22	22	34	5	4	22	2	18	16	2	22	14	4	22	23	9	14	38	48	46	20	5	27	20	19	5	35	20	23	58	58	11	29	30	51	26	41	47	17	56	45	10	56	21	42	26	15	38	26	31	31	53	33	31	32	32	47	74	73	55	69	73	36	11	72	69	70	72	67	50	66	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
