step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98
1	-1047.501260128245576	-1046.039178043726679	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.721916578852895	0	2	3	3	4	5	4	4	6	6	5	6	6	7	9	8	9	10	9	11	9	10	11	10	11	12	11	11	11	11	12	11	11	12	12	11	12	11	13	12	12	14	12	13	14	13	13	13	13	14	14	15	14	15	15	15	15	15	15	17	17	16	16	16	16	16	16	17	17	17	18	20	18	18	18	17	18	18	18	19	20	20	20	20	19	19	21	20	21	21	22	23	24	25	27	27	26	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	2	3	3	3	3	3	4	5	4	5	5	5	6	5	5	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	7	6	7	7	7	7	7	7	7	7	8	7	8	8	8	8	8	8	9	9	8	8	8	8	8	8	9	9	9	9	10	9	9	9	9	9	9	9	10	10	10	10	10	10	10	11	10	11	11	11	12	12	13	14	14	13	14
500	-643.795295322416905	-642.424102233282042	-1.371193089134892	0.000010010897722	0.000006828558095	0.682112462255404	0.260734444237921	0	2	3	3	4	5	5	5	5	7	5	6	6	7	9	9	9	11	8	11	7	9	11	10	12	11	10	12	11	9	12	11	12	10	13	10	12	11	14	10	11	13	12	12	14	13	13	14	13	13	12	15	15	16	16	15	15	14	16	16	17	15	14	15	15	17	16	17	16	17	18	20	19	18	18	16	18	18	19	19	21	20	20	19	19	20	21	21	22	20	22	24	24	25	27	28	25	28	0	1	2	1	4	1	1	2	2	2	3	1	2	1	13	2	6	2	2	27	3	6	17	4	30	21	13	27	15	5	2	2	21	2	29	13	2	12	27	2	1	44	22	1	29	40	2	15	5	1	13	21	1	40	1	1	1	1	2	2	2	1	8	2	19	25	36	56	32	48	2	23	50	21	66	40	2	2	10	30	49	22	1	1	1	44	84	54	1	71	1	42	71	53	0	82	0	2	1	1	1	1	1	2	3	2	1	3	2	3	2	3	2	3	2	5	4	1	3	2	1	3	2	2	3	1	1	2	5	5	4	3	1	2	4	2	2	3	6	1	2	6	1	1	7	2	5	6	3	3	7	5	6	5	6	7	10	7	7	5	3	9	4	2	4	1	4	2	7	4	5	6	1	3	9	8	6	7	3	6	10	11	9	4	1	2	12	1	11	8	3	4	1	3	1	13
1000	-747.298592002808164	-745.384846124597402	-1.913745878210810	0.000009994199118	0.000021199636832	2.121194162877860	0.256791320953526	1	2	3	4	4	5	4	4	7	5	6	7	6	7	10	8	9	9	10	8	9	10	11	11	10	13	11	11	10	8	11	11	12	11	12	11	11	11	12	13	12	14	12	13	14	12	12	13	14	13	15	15	14	14	15	15	15	16	15	18	18	16	16	17	14	15	16	17	18	17	19	20	18	18	18	17	18	18	18	20	19	20	21	20	18	20	21	20	22	21	23	24	24	25	26	26	26	28	0	1	1	2	2	2	2	2	2	2	3	2	2	2	1	10	14	5	5	5	1	30	22	20	30	24	2	5	4	5	1	2	18	5	19	18	17	18	14	18	5	32	22	1	34	24	2	34	1	1	50	12	5	13	2	1	1	2	1	21	1	49	26	2	17	39	56	57	2	40	23	85	64	68	41	13	1	5	13	1	1	1	30	1	2	76	50	78	1	85	56	89	89	85	0	68	0	77	1	1	1	1	1	2	1	1	4	1	1	2	2	1	2	2	1	2	3	2	3	1	1	2	1	2	4	4	2	2	4	3	1	4	1	1	2	1	2	2	3	1	1	4	2	1	6	1	6	6	1	3	6	4	5	7	8	4	8	5	6	1	2	10	2	1	1	1	8	2	5	1	1	1	5	5	8	8	7	9	8	7	10	11	8	3	4	1	12	1	4	1	1	3	1	6	1	7
1500	-889.195546063159100	-887.492105233530992	-1.703440829628081	0.000010035112803	0.000016091859665	1.603555433872779	0.300299867390452	1	3	3	2	5	5	5	3	6	4	5	6	5	7	10	8	7	8	9	11	9	8	12	10	10	12	12	11	11	11	12	11	9	12	12	11	13	10	13	12	13	14	12	13	15	14	14	13	13	15	14	16	14	14	16	15	15	16	15	17	16	16	15	16	16	16	15	16	18	18	19	20	17	18	18	18	17	18	18	18	20	20	21	19	20	19	21	20	21	20	20	23	24	23	27	27	26	28	0	1	4	1	1	1	3	1	1	4	3	2	2	9	2	5	5	2	2	33	2	2	25	21	16	20	28	21	19	5	1	18	17	21	25	2	1	11	15	38	20	22	22	5	34	32	28	1	21	6	35	54	16	2	2	29	1	18	2	34	1	49	49	2	27	53	51	30	2	51	30	78	50	64	59	65	2	56	61	2	37	46	1	2	1	78	74	78	22	73	2	89	68	69	0	93	0	96	1	1	1	1	2	2	1	1	3	1	1	2	1	1	4	2	2	4	2	1	2	1	1	1	1	1	1	1	1	2	6	2	1	1	1	4	6	3	1	1	1	3	2	5	2	2	3	6	2	5	1	1	3	4	5	3	6	4	7	4	7	2	1	7	3	1	1	2	6	3	2	1	1	1	1	1	7	1	1	9	3	4	10	9	9	1	3	1	9	2	7	1	4	2	1	2	1	1
2000	-589.091283633383000	-587.558598576940540	-1.532685056442509	0.000009998902412	0.000011855665151	1.185696655701149	0.373696737383833	1	3	4	4	4	5	5	5	6	6	5	5	6	7	8	8	10	9	9	11	9	10	11	10	11	11	11	11	11	11	11	9	12	10	12	11	13	10	14	13	13	13	12	13	15	12	12	12	13	15	14	16	13	14	14	13	16	15	16	18	18	17	15	16	16	16	17	16	17	16	17	20	19	17	19	17	18	17	18	19	20	18	19	19	17	18	21	20	21	21	20	22	24	26	27	27	27	28	0	1	1	1	1	2	2	1	1	1	2	2	2	2	7	2	32	2	2	5	2	5	5	32	8	15	15	2	14	22	1	2	15	2	20	2	27	6	31	2	1	36	22	24	23	20	13	2	27	2	56	40	2	5	41	2	50	41	2	47	1	37	17	5	30	24	66	51	56	22	30	29	30	34	67	41	50	51	49	2	49	50	1	1	1	66	82	69	2	84	2	89	92	86	0	93	0	96	1	1	2	2	2	1	1	2	2	3	1	1	1	2	2	3	1	4	4	4	3	3	4	1	3	1	2	3	2	1	4	3	2	3	1	5	1	3	2	4	5	1	2	1	2	1	2	2	1	4	1	1	6	4	1	5	1	2	6	3	8	2	1	7	2	2	1	1	2	3	4	5	6	4	1	2	2	1	3	9	4	2	11	9	6	1	2	1	10	1	5	1	1	4	1	2	1	1
2500	-540.400576130184390	-538.908382740122420	-1.492193390061990	0.000010013102508	0.000010827621432	1.081345309661366	0.385833242114828	1	3	3	3	5	5	5	4	6	6	4	7	7	6	9	6	7	10	9	12	10	10	11	10	11	11	10	12	11	10	12	11	12	12	13	12	12	11	13	12	12	12	12	13	14	13	12	13	13	14	14	15	15	15	16	15	15	15	15	16	17	16	16	15	16	17	14	17	17	16	17	20	18	18	18	18	18	19	18	20	21	21	19	20	19	19	20	20	21	21	22	24	25	26	24	28	26	29	0	1	1	1	2	2	4	1	2	2	1	1	2	2	5	1	6	2	2	27	2	2	9	13	13	2	2	27	6	12	5	1	24	2	30	24	15	6	26	2	1	11	22	43	37	41	5	34	15	22	1	31	2	2	27	32	50	1	12	25	2	41	26	2	67	54	26	53	13	41	22	83	71	57	53	56	1	65	71	64	51	77	1	71	2	59	57	78	1	83	88	89	92	91	0	93	0	96	1	1	1	1	1	2	1	1	1	1	2	2	3	1	2	3	1	3	3	1	3	3	1	1	2	5	3	1	3	1	4	6	1	3	2	1	1	4	1	5	6	5	1	1	1	1	4	1	2	3	6	2	5	7	3	2	1	7	4	3	9	2	2	6	1	1	1	1	4	1	4	1	1	1	1	2	6	3	1	4	4	2	8	3	7	3	2	1	8	1	1	1	1	2	1	2	1	1
3000	-667.002305420938569	-665.377191623626004	-1.625113797312546	0.000010017538802	0.000014162774836	1.413797851521635	0.455825592838509	1	3	2	4	4	5	5	4	5	6	5	4	7	8	9	8	10	11	9	11	8	8	11	10	11	12	11	11	11	9	13	11	11	11	12	10	12	11	14	11	13	15	11	14	14	13	14	12	13	15	15	15	14	16	15	15	14	15	15	17	18	15	17	16	15	16	17	16	17	15	18	20	16	18	18	16	17	18	19	19	20	20	20	19	19	19	22	19	22	22	21	23	24	26	27	27	26	28	0	1	1	3	3	1	5	3	1	1	2	1	1	1	5	10	30	15	1	1	13	2	22	10	10	15	13	21	5	1	1	13	21	1	16	13	27	14	43	7	26	18	1	29	16	25	48	15	28	57	47	30	5	42	26	40	30	25	2	24	21	20	65	1	41	45	27	27	32	32	50	79	24	27	66	39	1	56	31	64	20	75	22	77	1	45	82	78	76	79	88	43	89	52	0	93	0	96	1	1	1	1	1	2	1	1	1	4	1	1	4	4	1	1	1	2	5	7	1	2	1	2	3	1	3	2	2	4	6	3	1	5	2	2	1	2	2	3	1	3	4	2	3	1	1	2	1	1	1	3	5	1	1	2	3	2	5	4	7	2	1	8	1	1	2	3	3	2	1	1	2	2	1	1	5	3	3	2	4	1	10	1	9	2	1	1	4	2	1	6	1	6	1	1	1	1
3500	-859.811360770455394	-857.905486977585383	-1.905873792869985	0.000010142671237	0.000021313478125	2.101367344665138	0.452463064718401	1	3	4	3	4	5	4	5	6	6	4	7	5	8	9	9	9	9	9	12	8	10	11	10	11	12	12	10	12	11	12	12	12	13	12	11	12	12	13	12	10	12	11	13	15	12	11	14	13	15	14	14	14	15	14	15	13	14	14	16	17	15	16	15	16	16	15	15	16	17	18	21	18	18	19	17	16	18	18	18	20	20	20	21	18	19	22	21	22	22	22	24	24	24	28	27	25	29	0	1	4	1	4	1	4	2	1	5	1	2	2	1	2	2	8	5	5	21	2	5	17	17	12	5	28	5	14	2	5	18	5	47	21	2	5	15	23	1	13	23	1	43	39	21	2	34	2	30	29	37	17	26	41	32	22	18	5	47	38	24	52	1	45	27	31	29	32	47	22	66	5	66	17	56	50	63	50	77	49	80	23	77	12	17	82	56	85	83	88	85	89	91	0	93	0	96	1	1	1	1	1	2	1	1	2	1	1	2	2	3	3	3	2	2	4	2	2	2	2	1	1	7	1	2	2	3	4	2	4	1	2	5	4	3	1	4	2	1	4	2	1	2	4	1	6	2	1	1	3	1	2	1	1	3	6	3	2	3	1	6	1	3	1	2	2	3	4	2	6	2	4	1	1	1	2	1	5	2	6	3	7	4	1	3	2	1	1	4	1	1	1	1	1	1
4000	-578.568508178994193	-576.614965128743393	-1.953543050250804	0.000010615118751	0.000023588111288	2.222124108197864	0.464471839772965	1	3	2	3	5	6	3	5	7	7	5	6	6	6	9	8	9	10	8	10	10	9	12	10	11	13	11	9	11	11	13	9	12	11	13	9	10	10	13	11	12	15	11	13	14	12	13	14	14	15	14	15	12	15	14	15	16	15	15	17	16	14	16	17	15	17	16	17	18	17	18	20	19	17	19	17	17	18	17	19	20	20	20	20	18	18	21	19	22	21	20	24	24	26	27	27	26	29	0	1	1	1	4	1	3	2	11	3	3	1	1	1	2	1	19	13	2	13	28	5	21	12	10	41	32	1	15	12	2	1	15	28	34	1	32	28	15	1	27	49	22	22	20	22	34	34	37	1	44	41	2	6	41	29	22	1	31	45	49	5	42	57	26	35	45	65	56	26	43	39	39	55	68	46	57	32	39	77	49	71	77	77	2	58	71	15	71	85	88	89	89	91	0	89	0	96	1	1	1	2	2	3	1	1	2	2	1	2	3	3	3	3	1	2	2	2	1	3	1	2	3	1	1	4	1	2	4	4	2	1	1	5	1	1	2	5	1	1	1	2	2	1	1	2	2	5	1	2	3	4	1	3	5	6	1	2	1	4	1	1	1	2	1	1	2	2	4	3	5	2	1	2	1	4	2	1	3	1	2	2	8	1	1	3	2	1	1	1	2	3	1	4	1	1
4500	-739.818695236719464	-738.181330015696744	-1.637365221022702	0.000011414397347	0.000016477252677	1.443549946257120	0.439958117725580	0	3	2	3	5	6	4	4	7	6	5	7	6	7	9	8	8	10	9	12	9	9	11	11	11	12	11	11	10	11	12	12	10	10	12	10	12	12	13	12	13	13	11	14	15	14	14	14	12	13	14	15	13	16	15	15	15	15	16	18	17	16	16	15	16	16	15	18	18	17	18	20	18	18	18	17	17	18	18	18	21	19	20	20	19	19	21	21	21	21	21	24	25	25	28	26	25	28	0	1	1	3	8	2	3	1	2	2	1	4	2	2	1	10	5	2	2	5	2	2	19	34	29	5	13	33	4	2	12	36	21	2	15	13	34	9	14	17	28	29	2	17	38	25	35	34	15	5	36	31	2	32	21	1	50	51	46	55	49	32	16	1	47	36	35	58	21	50	22	52	1	45	23	67	50	2	49	17	49	12	46	77	17	39	71	78	57	85	78	89	92	82	0	73	0	96	1	1	1	1	1	2	2	2	2	2	3	2	2	2	4	1	1	2	2	2	4	4	2	1	1	3	1	1	3	4	2	1	1	3	2	3	1	2	2	3	1	1	3	2	2	2	1	2	2	4	1	2	5	2	3	7	1	1	1	1	2	1	5	6	1	4	1	1	7	2	5	3	7	2	5	1	1	6	3	4	5	7	3	1	9	2	2	3	4	1	2	2	1	5	1	2	1	1
