step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77
5000	-622.002572471231701	-620.563444401907191	-1.439128069324527	0.000016866899587	0.000015760383019	0.934397156829173	0.502470620913364	-1	2	1	3	3	6	5	6	7	8	9	9	12	11	13	14	15	15	17	16	16	15	16	18	18	17	18	18	20	20	22	22	22	23	26	24	25	25	24	25	26	25	26	26	28	30	28	30	30	30	32	29	29	29	31	32	32	33	30	34	33	33	31	30	35	35	34	35	36	36	36	38	35	42	39	40	42	0	1	1	2	3	3	2	5	3	9	9	8	14	9	14	13	13	13	13	14	15	15	15	21	15	17	21	20	27	28	0	27	2	9	27	32	33	34	34	34	34	0	37	38	41	43	44	52	44	38	45	38	33	33	37	53	64	50	33	54	54	44	59	54	57	56	64	55	55	54	73	54	54	54	73	70	72	1	2	1	1	1	2	3	1	4	1	1	2	1	2	2	1	2	2	2	2	2	2	3	1	2	1	1	2	2	1	1	2	9	7	2	1	2	2	1	1	2	1	1	1	1	2	1	1	3	4	2	2	3	3	3	2	1	2	3	3	2	2	1	1	1	2	2	2	2	5	1	6	3	9	2	3	2
5500	-547.399969691534579	-546.021357977185858	-1.378611714348681	0.000024640195180	0.000017771456406	0.721238459170534	0.567037322566169	-1	1	2	3	5	6	4	6	6	7	9	10	13	11	13	14	14	16	17	15	16	16	16	18	19	17	17	19	19	21	23	22	23	23	26	26	24	25	24	24	26	26	27	26	28	29	28	31	29	30	30	30	28	29	32	32	32	32	32	34	34	32	34	31	34	34	33	35	36	33	35	38	36	42	38	40	41	0	1	1	2	3	3	4	3	3	9	9	8	14	11	14	13	15	13	15	17	17	17	14	21	13	20	13	26	27	28	0	27	6	6	29	32	34	31	34	31	34	0	33	38	41	43	37	53	38	47	41	53	34	33	38	48	64	49	53	70	54	49	56	54	57	59	57	62	58	54	70	54	54	54	73	72	72	1	1	2	1	1	2	1	2	2	1	2	3	1	1	1	1	1	1	1	1	1	2	2	1	3	1	2	1	1	1	1	2	9	6	3	2	1	1	1	1	1	1	2	1	1	1	3	2	2	1	2	1	2	3	3	1	1	2	2	1	3	2	1	1	1	2	1	1	2	3	1	4	3	8	1	1	2
6000	-521.486173000897338	-520.092627835698522	-1.393545165198851	0.000061337827805	0.000025385166792	0.413858261706692	0.504779065985342	0	1	2	3	5	5	5	7	8	7	10	9	11	12	14	15	14	16	17	16	15	15	16	18	18	18	18	18	19	20	22	22	22	23	24	25	24	26	25	26	27	27	28	27	28	29	29	31	30	29	31	29	27	29	31	32	32	32	30	33	33	31	34	30	35	34	35	34	34	35	35	38	37	43	39	40	41	0	1	1	2	3	3	2	5	10	6	9	8	11	13	14	15	13	13	17	17	14	17	13	20	17	20	17	20	24	28	0	27	5	19	32	32	34	37	34	31	31	0	33	38	41	33	53	52	38	44	45	41	34	34	38	59	64	49	53	64	54	38	56	54	64	59	57	55	49	60	60	60	71	54	54	72	72	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	2	3	2	1	2	1	2	1	2	1	1	1	1	1	1	2	8	4	1	2	1	1	1	2	2	1	2	1	1	3	1	1	2	1	1	1	2	3	2	1	2	1	1	2	2	2	1	1	2	2	1	2	2	2	1	2	1	7	4	1	2
6500	-505.441217463146813	-503.698675799680586	-1.742541663466254	0.000156712223354	0.000029956247161	0.191154502944453	0.611987932085003	-1	1	2	2	4	5	3	7	7	9	9	8	13	10	12	13	14	16	15	17	16	16	16	17	18	17	19	18	19	20	20	22	23	21	25	25	25	25	23	25	26	26	28	26	29	29	27	30	30	31	31	28	30	29	31	30	32	32	32	34	34	33	34	31	35	34	33	34	37	34	35	38	36	40	37	41	42	0	1	1	2	3	3	2	6	6	9	3	8	14	6	14	14	15	15	15	19	17	19	16	21	22	17	25	26	26	28	0	27	2	6	32	27	39	31	31	31	37	0	38	37	41	38	40	52	40	43	49	41	52	33	37	52	64	55	52	57	57	59	38	54	57	59	64	37	68	54	70	57	70	72	60	74	72	1	1	1	1	1	2	1	1	1	1	4	1	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	10	7	2	2	1	3	2	2	1	1	2	1	2	2	1	1	2	2	1	1	1	1	2	1	1	1	2	1	1	1	5	1	1	1	1	4	1	2	1	3	2	1	2	1	2
7000	-489.177793787722806	-487.406864746679673	-1.770929041043142	0.000157204689063	0.000028875449494	0.183680586543269	0.675827265492358	-1	1	1	3	5	5	4	7	6	8	9	9	13	12	11	15	15	14	16	16	17	16	17	17	19	18	17	18	20	21	21	22	24	23	24	24	25	24	25	26	26	25	28	27	28	30	29	29	29	31	30	29	30	29	31	32	32	33	31	34	32	32	32	34	35	34	34	36	33	35	36	37	37	42	39	38	41	0	1	1	2	1	3	4	9	1	5	6	8	14	15	6	15	13	14	11	18	17	18	18	13	21	17	15	20	20	25	0	27	19	31	32	32	38	34	38	31	34	0	37	40	41	43	40	31	38	45	45	40	52	33	48	53	54	44	53	57	54	43	53	57	57	48	57	58	48	60	70	70	71	73	72	72	76	1	1	1	2	3	1	1	1	3	1	2	1	1	1	2	2	1	1	3	1	1	2	1	3	1	2	3	1	2	1	1	2	5	1	1	1	1	1	1	2	1	1	2	1	2	1	2	3	4	2	2	1	1	3	1	1	2	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1
7500	-467.292597343436341	-465.445175105088879	-1.847422238347471	0.000152428353794	0.000025306743584	0.166023859434254	0.676300154964066	-1	1	1	2	5	6	4	6	7	7	9	10	13	12	13	14	14	16	15	17	16	16	16	18	18	16	19	17	18	20	22	21	23	23	25	25	25	26	24	25	26	27	26	25	29	29	28	30	30	31	32	30	30	29	31	31	31	32	31	33	33	33	33	34	34	34	34	34	36	35	35	38	36	43	38	39	41	0	1	1	2	3	3	4	5	5	6	9	8	11	11	11	13	15	13	9	13	17	19	15	21	21	14	20	15	26	20	0	27	26	31	32	27	31	44	34	34	34	0	33	34	40	43	43	38	38	52	53	44	41	33	45	52	54	47	48	54	54	55	59	60	60	59	54	49	62	64	60	65	70	67	73	60	76	1	1	1	1	2	2	1	1	1	1	1	2	1	2	2	1	1	2	3	2	1	1	1	1	1	3	1	2	2	1	1	1	3	1	3	3	1	1	1	1	1	1	2	1	2	2	1	2	2	1	1	2	2	3	1	1	2	2	1	2	1	2	1	1	1	2	2	2	2	1	1	3	1	3	1	2	2
8000	-481.201025155531966	-479.405822198967485	-1.795202956564505	0.000161389927473	0.000028681272684	0.177714143209748	0.658214026640126	-1	1	0	3	4	6	5	5	7	9	9	9	10	13	11	15	15	13	16	16	17	16	16	17	19	16	19	18	19	20	22	22	22	24	24	25	25	24	23	24	26	24	28	27	26	30	28	31	31	29	32	30	29	29	31	31	30	32	32	34	34	32	33	33	35	34	34	35	35	36	36	38	37	42	38	41	41	0	1	1	2	3	8	4	3	5	9	9	5	9	11	9	18	14	11	17	17	17	14	18	17	17	13	26	20	14	20	0	27	26	31	32	32	38	31	33	33	34	0	37	31	34	47	38	53	50	45	52	37	44	33	41	53	54	52	56	57	64	56	52	57	64	59	57	52	58	60	60	60	71	77	73	70	70	1	1	1	1	2	1	1	2	2	1	1	3	2	2	2	1	1	2	1	1	1	2	2	1	2	3	2	1	4	2	1	2	3	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	6	3	1	1	1	1	2	1	1	1	2	1	1	2	3	1	1	1	3	1	1	1	3	2
8500	-471.638883432499085	-469.944029288943000	-1.694854143556073	0.000129283712412	0.000026518291409	0.205117032258377	0.598466831623030	-2	-1	1	2	3	5	4	5	6	8	6	8	12	12	13	14	14	15	15	16	16	17	16	15	18	16	19	18	18	20	21	23	22	23	25	24	25	25	24	25	26	25	27	27	28	28	28	29	29	30	30	29	28	30	31	32	31	33	30	33	34	31	33	34	35	35	35	35	37	35	34	39	36	39	37	39	41	0	1	1	2	3	5	4	5	5	6	3	6	10	11	9	14	15	13	13	17	15	24	15	13	17	13	29	20	24	28	0	29	31	31	27	29	33	33	33	31	34	0	38	31	41	43	38	38	33	38	45	37	33	38	49	52	54	62	48	57	54	53	56	57	57	59	54	50	58	60	60	57	71	60	71	65	76	1	1	2	2	1	2	1	1	2	2	3	2	1	3	2	1	1	1	2	1	1	1	2	2	2	2	1	1	1	1	1	3	1	2	2	3	1	2	1	1	1	1	1	2	1	1	1	2	1	2	1	2	4	3	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	1	1	5	1	3	1	2	1
9000	-446.954675852971093	-445.253072316848318	-1.701603536122761	0.000134737511183	0.000027354563682	0.203021144163205	0.522978092561727	0	1	2	3	4	6	5	7	7	8	9	9	12	13	13	15	16	15	16	16	16	16	17	18	20	17	19	18	18	20	21	22	23	24	25	25	24	26	24	25	25	27	26	25	28	29	28	30	31	29	31	29	27	28	31	32	30	32	32	33	33	33	33	33	34	35	34	35	36	36	34	39	36	40	38	40	41	0	1	1	2	3	5	4	3	5	6	9	8	11	13	13	14	13	15	15	18	13	14	13	21	24	18	18	21	19	26	0	29	31	31	29	25	33	33	33	31	31	0	34	33	38	41	38	53	53	38	44	53	38	34	45	52	54	55	52	57	54	47	56	57	60	52	54	55	58	71	61	73	71	60	60	70	72	1	1	1	1	1	1	1	3	2	1	2	1	1	1	1	1	2	2	2	1	2	2	2	1	1	1	2	1	1	2	1	2	1	3	3	2	1	2	1	2	2	1	1	2	1	2	1	2	2	1	3	2	1	2	1	1	1	1	2	2	3	3	1	2	1	2	3	2	2	1	1	2	1	2	3	2	1
9500	-429.670109640439136	-427.742000306717102	-1.928109333722055	0.000137174039904	0.000020641572615	0.150477252323720	0.779270905575957	0	1	1	3	4	6	3	7	8	7	9	9	12	13	11	15	14	15	15	16	17	16	16	18	18	18	18	18	19	20	21	23	22	23	25	26	25	25	24	25	27	26	25	26	28	29	28	30	30	30	31	29	29	29	32	32	31	33	31	33	32	32	33	33	34	34	35	35	35	34	35	38	36	42	38	40	42	0	1	1	2	3	3	2	6	10	6	9	8	15	15	11	15	13	13	14	17	17	17	14	21	17	18	19	19	28	25	0	29	31	31	32	32	33	33	33	34	38	0	39	33	41	44	38	52	52	45	45	44	47	44	48	59	54	49	48	54	54	49	52	54	57	53	57	49	53	57	60	70	61	72	60	72	76	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	2	1	2	2	2	3	2	2	2	2	1	2	2	3	2	1	1
