step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86
1	-2788.298759979947590	-2795.154247930906877	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.765691905247616	1	1	4	3	4	3	3	4	5	5	4	7	4	6	5	5	7	8	9	7	8	8	7	7	9	9	9	9	11	9	9	10	12	10	11	12	12	13	14	15	16	14	16	15	16	16	17	17	17	18	18	18	18	19	21	19	19	21	21	19	20	21	21	21	21	22	21	21	24	22	23	24	24	24	25	26	26	26	29	30	32	32	33	36	38	39	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	3	2	3	2	2	3	4	4	3	4	4	3	3	4	4	4	4	5	4	4	5	6	5	5	6	6	6	7	7	8	7	8	7	8	8	8	8	8	9	9	9	9	9	10	9	9	10	10	9	10	10	10	10	10	11	10	10	12	11	11	12	12	12	12	13	13	13	14	15	16	16	16	18	19	19
500	-715.051266190172782	-721.906754141132183	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.303039125878250	-1	1	5	3	3	3	2	4	4	6	4	7	5	6	5	6	7	8	10	7	8	8	8	7	9	10	10	10	12	10	10	10	10	11	12	12	12	13	13	15	13	13	16	13	14	16	17	17	14	18	19	19	15	17	19	19	19	18	22	19	20	22	21	21	22	23	22	22	24	23	23	23	25	23	25	25	26	25	30	30	32	33	33	36	39	39	0	1	7	7	2	7	1	6	5	6	7	8	9	3	6	9	15	4	20	15	15	9	16	15	15	10	23	11	28	16	23	8	17	19	24	26	28	37	19	42	19	17	49	20	34	53	42	35	38	49	25	45	42	17	41	40	41	21	17	45	55	39	44	56	54	35	52	44	20	64	44	44	35	65	20	51	66	58	58	58	71	58	69	75	75	58	1	1	2	1	1	1	2	1	1	2	1	2	1	1	1	1	1	3	2	2	2	2	1	1	2	3	1	4	1	2	1	5	2	1	4	1	1	1	1	1	2	2	2	3	1	1	2	3	1	3	5	3	1	5	3	2	4	6	7	2	1	3	5	2	3	5	1	4	9	1	4	6	5	1	8	4	1	3	8	8	4	11	5	7	9	14
1000	-564.686805953032604	-571.542293903992004	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.494206685924140	0	1	4	3	4	1	3	5	4	6	2	7	3	6	5	5	8	9	9	6	8	8	7	7	9	9	10	10	11	9	9	11	13	10	12	11	11	14	14	14	16	15	17	15	16	15	17	18	18	18	18	18	19	20	19	19	18	21	19	20	21	20	22	20	20	22	22	21	24	22	23	25	24	24	26	27	27	26	26	30	32	33	34	37	37	39	0	1	6	1	13	1	2	1	13	11	6	4	2	3	11	13	20	12	20	15	20	16	16	20	20	4	22	19	25	16	22	18	19	19	28	12	34	35	17	37	40	40	34	35	34	40	42	38	38	38	39	45	45	39	51	45	43	51	44	52	62	43	65	45	39	43	52	43	61	64	19	62	43	51	43	72	75	74	74	79	78	71	80	80	83	79	1	1	1	2	1	1	2	2	1	2	1	2	1	1	2	1	2	1	2	1	1	2	1	1	2	2	1	1	1	2	1	1	1	1	2	4	1	1	2	2	1	1	4	2	2	1	1	3	2	2	2	1	2	3	1	1	1	2	2	2	1	2	1	2	3	2	2	2	2	1	5	3	3	3	4	1	1	1	2	2	3	5	2	5	2	9
1500	-470.412862134075681	-477.268350085035081	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.619357223593360	0	1	5	4	3	4	2	5	6	6	4	7	4	6	6	5	5	8	10	7	8	8	7	8	9	9	10	9	11	8	9	10	13	11	11	11	12	14	14	15	17	14	16	14	17	16	16	16	17	18	17	18	19	20	20	19	20	22	21	19	19	20	21	21	22	22	22	22	23	23	23	25	23	24	25	26	26	26	29	31	33	31	34	35	37	39	0	1	7	7	2	7	1	4	13	6	7	8	5	7	17	13	11	12	24	17	17	16	16	15	20	18	23	17	19	16	23	18	15	28	21	18	34	37	19	42	35	37	38	35	40	42	38	38	43	38	44	45	45	44	51	45	48	62	55	52	44	44	55	56	44	44	52	44	66	64	61	65	65	71	71	73	74	74	78	79	78	79	80	83	84	82	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	1	1	1	1	3	1	2	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	3	2	2	2	1	1	1	3	3	1	1	4	3	2	3	1	1	2	2	1	1	2	2	1	2	2	1	3	2	1	1	1	4
2000	-464.574230372800002	-471.429718323759403	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.699296438097359	0	1	4	2	3	2	3	5	5	4	4	7	4	6	6	5	5	9	9	7	9	8	8	7	10	8	9	10	10	9	9	11	13	11	11	13	12	14	15	14	16	15	17	15	15	16	18	18	15	19	18	19	18	19	21	19	19	21	20	19	20	21	22	21	22	22	20	21	24	21	23	25	24	24	23	27	26	26	29	30	33	32	33	36	39	40	0	1	6	1	2	1	4	4	13	6	6	8	5	3	17	13	11	26	15	17	20	16	13	17	24	12	16	19	17	16	23	26	25	28	28	18	34	28	28	37	37	40	49	25	40	38	38	41	34	49	44	45	45	39	44	41	48	51	51	45	17	54	54	56	58	59	52	54	68	56	65	68	54	71	61	73	74	74	77	79	71	80	82	82	84	84	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	2	1	2	2	1	2	1	1	3	1	1	2	1	2	1	1	2	1	2	4	2	1	1	1	2	6	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	1	4	1	1	2	2	2
2500	-418.774588799132005	-425.630076750091405	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.843225814825628	0	1	4	2	3	3	2	5	5	5	4	7	4	6	5	6	7	8	9	6	8	7	7	6	9	9	8	8	11	10	10	10	13	10	11	12	11	13	14	14	16	15	15	15	17	17	18	18	17	18	18	18	18	19	21	19	20	21	21	20	20	22	21	22	20	22	21	21	25	22	23	24	25	25	26	27	27	27	29	31	32	33	34	37	38	39	0	1	7	2	2	7	1	4	13	6	6	4	5	3	11	9	20	8	28	15	20	9	16	15	20	12	16	20	19	22	23	26	25	28	19	18	34	37	35	37	40	40	38	38	42	42	42	41	43	41	49	45	45	39	54	45	48	65	51	52	39	68	54	56	54	59	60	54	62	56	58	68	54	71	71	73	74	74	77	79	78	80	82	82	82	84	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	2	1	2	2	1	2	1	1	1	1	1	2	1	1	2	2	1
3000	-453.190447999654680	-460.045935950614080	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.724242238969518	0	1	3	4	3	3	3	3	5	5	4	6	4	6	5	5	6	8	8	7	8	7	7	7	10	10	9	10	12	9	9	10	13	10	12	12	12	13	14	15	17	14	16	15	16	17	18	18	18	19	18	17	18	19	20	19	19	22	22	20	20	22	21	20	22	23	22	22	25	21	24	24	25	24	25	26	26	27	29	30	32	33	34	35	38	39	0	1	1	1	2	1	1	1	13	3	3	4	5	7	11	13	15	14	20	15	15	16	16	15	17	18	23	19	19	22	23	12	25	24	28	18	34	34	38	42	34	37	34	39	40	42	43	43	43	49	44	45	45	39	44	45	48	55	51	52	44	55	54	45	55	59	60	61	51	64	58	55	72	65	71	73	74	65	77	79	78	80	82	82	84	85	1	1	2	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	2	1	1	2	2	1	2	1	1	2	1	3	1	1	2	2	1	1	1	2	1	1	2	2	2	1	1	1	2	3	1	1	2	2	1	1	1	3	1	1	2	1	2	1	1	1	3	1	1	2	1	1	2	1	1
3500	-447.943415061968153	-454.798903012927553	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.844584303529163	0	1	4	2	5	3	2	4	5	5	5	6	3	5	6	4	7	9	10	7	8	8	7	8	8	8	9	9	11	9	9	10	11	10	12	12	12	13	14	15	15	13	17	15	16	17	16	18	16	19	18	16	18	19	22	19	20	21	18	18	20	22	21	21	20	22	21	21	24	23	23	23	24	24	25	27	26	27	28	30	32	32	34	36	37	40	0	1	7	1	7	1	1	7	13	6	7	8	2	3	11	13	15	26	25	15	20	16	5	15	15	12	22	25	28	9	23	26	25	28	28	32	34	34	28	42	37	37	49	39	38	42	38	41	38	43	44	40	40	39	54	45	48	65	44	52	54	54	51	56	51	51	45	54	55	56	58	68	62	65	71	73	74	74	74	79	78	80	82	82	84	85	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	1	2	1	1	1	2	3	2	1	2	1	2	1	1	2	2	1	1	1	1	1	1	2	2	1	1	2	3	1	1	2	1	1	1	3	1	2	1	2	2	1	2	1	2	2	1	2
4000	-476.807824585815979	-483.663312536775379	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.780833984883016	0	1	4	2	3	3	2	5	5	4	4	7	4	7	5	6	8	8	9	6	9	9	8	8	9	9	10	10	12	9	10	11	12	9	11	11	13	14	13	15	16	14	16	15	16	16	17	17	15	15	19	19	18	18	20	20	19	21	21	17	21	21	21	21	19	23	20	21	24	22	23	25	25	23	25	26	27	26	29	30	32	31	33	35	38	39	0	1	2	1	2	2	1	4	13	6	6	8	5	3	3	13	20	12	20	15	15	16	16	20	15	18	23	19	19	13	23	18	17	20	19	26	34	34	35	42	37	28	38	39	37	42	42	43	37	37	29	60	45	44	54	42	48	51	55	45	54	55	39	47	44	59	60	51	38	56	58	68	68	65	71	73	74	74	77	79	78	80	82	82	84	85	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	1	2	1	1	1	1	4	2	2	2	1	1	1	2	2	1	1	1	2	2	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	3	2	2	1	1	1	4	1	1	1	2	2	1	1	2	2	1	1	3	1	1	2	1	1
4500	-468.548419169518638	-475.403907120478038	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.688187764378395	0	1	1	2	2	3	3	5	3	5	4	7	4	6	6	5	8	8	9	7	9	9	7	8	9	10	9	10	11	9	10	11	13	11	11	12	12	14	13	15	17	14	16	16	16	17	17	18	18	16	19	19	18	20	19	19	19	20	21	18	20	22	21	21	22	23	22	21	22	23	23	25	24	24	25	26	26	27	28	30	32	33	34	35	39	39	0	1	1	1	2	3	3	4	5	6	6	4	9	6	11	9	15	12	15	15	15	16	16	15	15	18	23	19	19	23	23	18	25	19	28	12	34	34	28	34	38	37	34	38	37	40	42	38	43	39	25	60	45	44	44	45	48	38	40	40	55	55	55	56	61	54	52	51	61	64	58	62	62	71	71	73	71	74	77	79	78	80	82	80	84	84	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	2	3	1	1	1	1	2	1	2	2	2	2	5	1	1	2	2	1	1	2	3	1	1	2	1	2	2	1	2	1	1	1	2	1	1	1	1	1	2	2	1	1	2	2	1	3	2	2
