step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110
1	-2633.151367633477548	-2640.006855584436835	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.587327487546655	-1	1	1	1	3	3	2	3	3	5	4	5	6	6	6	6	6	7	9	9	8	9	8	9	9	9	11	11	11	12	12	11	12	11	13	14	12	13	12	13	15	16	15	14	15	15	15	16	15	15	17	16	16	16	17	15	18	18	16	17	16	17	18	18	18	19	19	19	19	19	18	19	19	19	20	19	20	23	21	22	21	25	23	23	23	23	26	27	29	29	32	34	33	35	35	37	37	36	37	40	37	38	39	40	42	41	45	45	47	49	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	3	4	4	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	7	7	6	7	6	7	8	7	7	7	7	8	9	8	8	8	8	8	9	8	8	9	9	9	9	9	8	10	10	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	11	10	11	12	11	12	11	13	12	12	12	12	14	14	15	15	17	18	17	18	18	19	19	19	19	21	19	20	20	21	22	21	23	23	24	25
500	-1084.431248492701116	-1091.286736443660402	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.224740977410781	-1	2	2	1	3	4	3	4	4	5	4	6	5	7	6	7	6	8	9	7	7	9	7	10	10	10	11	11	12	12	11	10	12	10	14	13	12	13	13	14	16	17	15	14	14	12	15	17	15	14	17	17	15	16	17	15	17	19	13	17	16	17	16	19	19	19	17	20	20	19	18	17	17	18	20	20	21	23	20	20	21	25	21	23	23	24	27	28	28	30	33	33	33	35	35	37	37	37	37	40	37	38	40	41	42	42	46	45	48	50	0	1	1	1	4	5	1	2	1	2	1	8	8	2	13	10	1	11	7	13	6	17	15	22	16	23	34	10	7	21	13	11	20	23	17	23	24	24	34	46	25	63	59	46	29	8	10	10	15	36	21	54	37	45	40	50	50	30	21	44	45	47	14	63	53	53	31	66	15	55	30	31	17	40	31	73	53	37	46	53	63	62	61	76	83	56	31	51	48	24	63	68	59	0	86	65	0	0	67	36	29	63	31	33	64	79	29	46	0	67	1	2	2	2	1	1	3	1	3	2	2	1	1	2	1	1	3	2	3	2	2	1	1	1	2	1	1	2	5	4	3	3	3	1	6	3	1	2	1	2	2	1	1	1	1	5	6	5	4	1	4	1	2	1	2	1	1	5	4	2	2	1	4	2	2	2	4	1	6	1	2	3	6	2	6	2	4	5	6	2	3	5	2	2	1	5	9	6	5	11	10	8	11	1	6	9	1	1	11	19	12	13	17	20	10	15	22	14	1	24
1000	-905.047363150435331	-911.902851101394731	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.230083313710942	-2	0	1	2	3	4	1	3	3	6	4	5	6	6	6	5	4	7	10	9	7	9	8	9	9	9	11	11	11	13	10	12	9	10	12	15	12	14	13	14	14	16	15	13	13	16	14	16	14	16	18	17	16	14	18	15	18	18	16	17	15	17	18	17	17	19	16	19	19	20	18	20	18	19	20	19	20	23	22	23	21	25	24	23	23	23	25	27	28	28	32	33	34	35	33	36	36	37	38	40	36	37	40	41	43	40	44	45	46	50	0	1	1	7	7	1	1	1	7	5	9	8	9	12	2	11	7	3	10	6	13	15	15	10	16	18	23	33	18	22	6	26	12	13	22	35	31	31	27	37	16	30	10	25	22	45	15	47	29	29	40	6	41	18	33	10	10	25	49	35	22	54	43	27	43	23	9	5	51	64	45	29	65	63	52	50	35	62	21	64	37	85	36	50	41	76	56	84	13	87	87	79	81	0	10	89	0	0	67	68	83	31	89	81	54	91	67	95	0	96	1	1	1	1	1	3	1	3	1	1	1	1	2	1	3	1	1	4	2	2	1	2	1	1	2	1	2	2	2	2	2	2	3	3	2	1	1	3	1	1	5	1	5	2	1	2	6	1	2	3	3	7	1	4	4	4	6	6	1	3	3	2	1	3	1	6	7	8	1	1	2	4	1	1	1	1	5	3	10	3	3	1	5	4	6	2	5	3	9	2	4	5	6	1	13	4	1	1	15	10	5	14	11	17	11	4	20	8	1	10
1500	-934.830206396556264	-941.685694347515664	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.338676044358277	-1	1	0	1	3	3	1	3	3	5	3	4	7	6	5	6	6	8	9	8	8	8	8	8	10	9	10	11	11	12	12	10	11	12	13	15	12	13	13	13	15	14	15	13	14	14	15	15	15	15	17	15	17	16	16	15	17	17	16	17	15	17	17	19	17	19	19	18	18	20	15	20	20	19	20	20	21	23	19	22	21	26	24	23	22	22	26	26	29	28	32	35	34	36	34	38	37	36	37	39	37	35	39	40	41	40	44	46	47	49	0	1	1	1	2	7	1	4	4	4	2	9	6	5	9	15	9	13	21	16	14	16	3	17	22	23	15	13	22	13	25	23	22	27	29	45	23	28	27	24	44	44	37	16	33	31	44	29	23	4	40	25	34	22	34	31	50	36	43	61	44	30	52	35	49	55	49	38	40	50	33	33	31	62	51	10	54	37	29	65	56	62	69	59	48	76	86	57	86	84	81	33	81	0	87	101	0	0	50	74	41	70	50	50	32	93	83	102	0	70	1	1	1	1	1	1	2	1	1	3	1	1	2	2	2	1	2	1	1	1	1	1	4	1	2	1	2	2	1	4	1	1	2	1	1	1	3	1	1	2	1	1	2	3	1	1	1	3	3	7	2	3	2	4	2	2	1	2	1	1	1	3	1	3	1	2	2	3	2	2	3	5	4	1	2	6	2	5	4	2	4	4	4	6	4	1	2	3	3	3	5	14	7	1	6	1	1	1	15	9	11	5	12	11	13	5	9	6	1	16
2000	-901.678666753359494	-908.534154704318894	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.331281999109543	0	2	2	1	2	4	2	3	4	4	5	5	6	6	6	6	6	7	9	10	9	9	8	10	10	9	11	11	11	12	13	11	12	12	13	14	12	12	13	13	15	16	15	14	16	14	15	16	12	15	17	15	15	14	16	15	18	19	16	17	17	18	18	18	17	20	19	19	19	18	18	19	20	19	20	19	20	24	22	22	21	24	23	23	23	23	26	26	28	30	32	35	33	35	35	38	37	36	37	40	37	35	39	40	42	42	46	45	48	48	0	4	1	1	4	4	4	2	4	2	9	5	8	9	2	6	10	5	10	11	4	16	15	9	16	15	21	18	13	21	2	26	20	21	21	30	25	21	27	18	30	46	49	25	10	20	22	36	14	24	36	54	46	31	15	29	24	35	56	54	46	29	50	30	24	76	63	65	51	30	44	62	56	50	51	59	35	85	66	74	56	83	79	70	62	76	84	21	87	87	90	27	84	0	90	102	0	0	13	29	88	64	58	84	91	93	102	102	0	29	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	2	3	2	1	3	2	2	1	2	3	2	4	1	1	1	2	1	1	2	1	3	2	1	3	3	5	2	2	2	2	3	2	1	1	1	5	4	5	5	1	2	3	5	2	2	4	1	1	1	1	2	1	1	2	2	2	2	2	1	1	2	4	1	1	3	4	2	2	7	2	2	1	10	5	1	2	2	1	1	16	9	6	7	11	9	4	5	6	4	1	15
2500	-867.711276814896109	-874.566764765855510	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.397118094331339	-1	1	2	1	0	3	0	3	4	5	4	6	6	7	6	6	5	8	9	9	7	8	8	9	8	9	11	9	10	12	11	11	12	10	13	15	13	13	12	12	15	16	15	14	15	15	16	16	13	15	17	15	17	17	17	13	18	19	17	17	17	17	19	18	16	19	19	20	19	20	18	19	19	19	20	20	20	23	19	22	22	26	24	22	23	23	26	26	28	28	31	34	33	35	35	37	37	36	36	39	37	37	38	40	42	41	45	45	48	49	0	5	7	1	1	4	1	2	1	8	3	10	11	17	9	9	8	17	13	13	16	16	7	15	15	15	34	9	26	16	21	26	10	17	25	31	18	10	34	19	31	41	49	23	30	38	30	30	13	56	40	56	52	35	45	23	43	36	52	31	44	44	71	18	56	49	42	38	46	45	44	30	65	47	69	79	44	62	65	73	49	68	75	66	48	81	59	54	83	87	90	72	90	0	92	91	0	0	70	94	90	88	13	88	96	93	102	102	0	31	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	1	2	1	2	2	1	1	4	2	1	2	1	2	1	2	2	1	3	3	2	2	3	4	1	2	2	1	1	2	1	1	2	2	4	1	4	2	1	1	1	2	3	2	1	3	2	2	1	7	2	4	1	3	3	3	2	4	1	2	1	1	2	3	1	2	4	3	1	2	3	1	4	4	2	1	1	5	4	1	1	2	1	1	4	3	5	8	17	8	2	4	3	5	1	15
3000	-823.039321456784933	-829.894809407744333	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.433768064864247	-1	1	1	2	3	3	0	3	3	5	4	5	6	6	5	6	7	7	10	10	9	8	7	9	7	9	12	12	10	12	10	12	12	11	14	14	12	12	12	14	15	16	13	15	13	13	14	16	15	15	18	16	13	15	18	16	16	18	16	18	14	17	17	18	18	19	19	19	19	18	18	19	19	18	21	19	19	22	21	22	21	24	23	23	23	23	27	27	29	29	30	33	33	34	35	37	36	37	37	41	38	38	40	40	42	42	46	46	48	50	0	1	1	1	1	4	1	2	1	5	3	4	7	9	6	6	10	13	23	22	16	13	3	15	16	17	34	18	22	22	16	26	20	13	16	38	25	3	23	24	25	24	31	61	25	10	30	31	43	11	40	33	19	35	56	53	38	54	10	25	46	41	56	59	43	49	54	52	40	56	30	30	59	59	51	70	48	62	63	65	76	71	32	81	41	63	84	84	88	50	56	91	90	0	92	95	0	0	64	94	87	24	46	74	99	96	99	99	0	74	1	1	1	2	2	1	1	1	2	1	1	2	4	1	1	1	1	1	2	1	2	1	3	2	1	1	1	2	1	4	3	1	1	2	4	1	2	5	2	2	3	3	2	1	3	4	2	4	1	6	2	1	1	1	2	2	2	2	5	5	1	1	1	2	2	2	2	2	3	1	2	3	2	1	1	1	2	2	2	2	1	2	3	1	4	2	2	3	1	4	6	1	1	1	1	1	1	1	11	3	5	16	18	10	2	3	4	5	1	16
3500	-909.281609049345661	-916.137097000305062	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.405818255377550	-1	2	2	0	4	3	1	3	3	6	5	4	7	7	6	7	6	7	7	10	8	8	6	10	10	9	11	11	11	12	11	12	13	9	13	14	13	14	12	14	16	15	15	15	15	14	15	17	16	15	16	15	15	15	18	13	17	18	17	17	16	18	18	18	18	19	19	20	17	20	19	20	19	19	20	19	20	22	21	22	20	26	23	24	23	24	25	26	30	29	33	35	34	35	35	38	38	36	35	41	37	38	39	40	42	41	45	44	48	49	0	4	7	1	7	7	1	1	7	12	6	9	17	6	12	11	2	10	1	21	2	11	11	9	5	13	34	19	11	22	20	19	14	15	25	56	19	28	34	21	25	37	27	29	37	39	30	30	29	37	19	39	35	35	32	24	13	35	43	24	54	41	61	10	33	51	49	67	10	74	63	55	49	41	40	59	35	62	73	73	43	65	70	76	78	68	81	80	81	86	81	89	90	0	91	94	0	0	21	96	95	31	31	90	94	92	99	99	0	5	1	1	1	1	3	2	1	2	1	2	1	1	1	2	1	1	2	1	4	1	3	2	1	3	3	1	2	2	3	2	1	2	3	2	2	1	2	2	1	4	3	2	2	2	1	1	2	1	3	1	5	2	1	1	3	1	4	2	1	4	1	1	1	5	5	1	2	1	5	1	1	2	3	2	3	1	3	2	1	2	2	3	1	3	1	3	3	2	5	2	7	3	2	1	1	2	1	1	11	2	1	11	13	8	3	3	4	4	1	23
4000	-870.384725041624506	-877.240212992583906	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.407887331789972	-1	1	2	0	4	3	1	3	4	5	4	5	7	5	4	5	5	8	10	10	7	9	8	9	10	10	11	10	11	11	13	12	13	11	12	15	13	13	12	14	16	15	15	14	15	16	15	15	15	12	18	16	16	15	17	13	18	19	16	16	16	18	17	18	18	19	20	19	18	19	19	18	19	19	21	19	21	23	21	22	21	26	22	23	24	23	24	26	30	29	33	35	32	36	35	38	37	35	37	41	38	39	37	39	42	42	45	43	47	48	0	1	4	1	4	7	1	2	4	4	4	6	17	5	4	6	2	15	5	15	10	16	3	14	16	17	13	18	12	22	22	26	32	13	16	37	34	18	27	24	29	30	21	31	24	47	30	30	13	25	24	31	38	22	33	14	56	45	29	25	44	20	31	19	59	51	30	32	10	38	24	31	57	14	53	50	52	62	59	53	76	68	30	79	78	74	81	69	57	87	90	89	90	0	93	89	0	0	67	94	94	67	74	95	104	91	100	102	0	67	1	1	2	1	2	1	1	1	3	3	2	1	2	1	2	1	2	2	3	3	1	2	2	2	4	2	1	1	4	1	2	1	1	3	2	1	1	3	1	4	3	2	5	1	3	1	2	2	3	1	4	2	1	3	2	4	3	2	2	2	1	2	2	4	1	1	4	2	6	3	3	4	1	6	3	4	2	3	2	3	1	3	5	1	1	2	1	3	5	3	3	2	2	1	1	4	1	1	13	3	1	14	11	3	2	5	2	2	1	15
4500	-836.054538998825024	-842.910026949784424	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.354448275337414	-1	1	1	1	3	3	2	4	2	5	5	4	5	6	5	6	6	6	9	9	9	8	8	9	9	10	11	12	12	13	11	10	12	11	13	15	13	12	12	12	15	16	15	13	14	15	16	16	15	16	18	17	16	17	17	16	19	19	16	17	16	17	17	17	16	18	18	19	19	17	17	19	19	18	21	19	18	23	21	22	21	25	23	23	22	24	27	27	29	28	33	34	33	35	32	38	38	36	37	39	37	39	40	40	42	39	45	45	47	49	0	1	1	1	9	9	2	9	4	12	1	7	2	5	2	9	8	8	8	16	12	2	10	16	13	23	3	10	20	24	17	13	31	11	15	21	22	13	23	19	37	21	10	24	6	33	37	45	31	31	31	46	49	25	61	46	49	60	31	37	25	48	34	47	24	37	50	60	13	44	37	52	43	53	40	37	64	70	57	57	76	62	47	81	35	57	84	70	87	81	95	82	95	0	37	86	0	0	36	94	98	31	88	95	94	90	105	99	0	31	1	2	1	1	1	1	1	2	1	1	3	2	2	1	2	2	1	2	3	2	2	3	2	2	2	2	4	4	2	2	3	2	1	3	4	3	2	3	3	2	1	3	7	3	5	2	1	1	2	3	5	2	1	4	1	1	3	1	3	2	3	1	3	1	3	3	1	2	7	2	2	1	1	1	4	3	1	4	2	2	1	4	3	1	5	4	2	5	1	3	1	4	1	1	9	7	1	1	9	3	1	10	8	3	4	5	2	3	1	26
