step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87
1	-947.967102871105340	-957.017946251556737	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.227701927792090	-1	2	4	4	4	6	5	5	5	4	4	6	6	7	7	7	7	7	6	8	8	9	8	8	8	14	8	10	9	9	9	10	9	11	10	9	9	12	10	14	10	10	12	11	10	12	14	11	14	11	12	11	13	14	13	15	14	14	12	14	15	17	15	14	16	17	20	17	16	16	17	18	17	18	19	18	20	19	19	19	22	25	21	22	23	25	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-291.706580118469617	-300.757423498920957	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.849622018698842	0	1	3	2	5	4	6	5	2	4	5	6	6	8	4	7	6	6	5	5	5	6	8	8	7	13	7	9	10	9	7	9	10	12	6	9	9	13	11	14	10	10	13	11	11	12	14	11	13	11	13	10	13	15	13	9	14	13	12	9	15	16	15	15	15	17	21	17	15	16	16	17	13	17	17	18	20	19	16	14	23	24	20	23	24	24	26	0	1	2	1	15	4	11	4	1	4	10	4	11	15	9	8	8	20	2	2	6	11	35	20	10	45	6	5	1	18	12	25	37	41	5	24	7	59	33	60	14	23	41	28	33	22	39	18	41	23	50	36	44	50	52	24	30	48	39	31	55	57	50	36	49	40	69	44	38	49	54	69	29	71	64	74	68	75	65	51	67	67	68	77	81	81	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-278.396828964289000	-287.447672344740340	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994995227420485	-1	2	5	5	4	5	3	6	6	5	4	6	5	4	6	6	8	7	7	9	8	9	5	9	9	9	8	10	8	9	9	10	9	7	7	9	9	11	10	14	11	8	12	8	9	9	14	9	15	11	12	10	13	14	12	16	15	14	12	9	16	16	15	15	16	18	16	18	12	16	18	19	17	18	15	18	20	16	18	19	21	22	22	21	23	25	26	0	1	11	14	7	14	2	23	6	2	2	5	2	7	11	10	12	14	15	19	6	10	2	18	35	13	9	37	19	34	35	46	18	3	12	23	23	28	36	33	31	16	24	19	10	19	33	8	33	26	18	27	33	31	34	54	53	33	52	27	57	57	40	41	47	78	69	59	30	40	70	64	61	56	58	53	72	48	64	57	79	84	79	76	84	83	83	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-259.906866521331608	-268.957709901782948	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996117343984131	0	3	4	5	4	6	2	5	6	1	4	5	7	5	7	7	7	8	6	9	5	10	8	7	9	13	9	10	8	10	9	10	9	10	10	7	9	12	8	15	11	9	12	12	11	12	12	12	13	11	11	12	13	15	13	15	11	15	13	13	14	17	10	15	13	16	20	14	16	13	17	16	16	18	18	17	18	19	18	20	22	26	21	22	23	25	23	0	10	10	11	7	4	1	7	3	1	7	7	19	1	2	3	4	8	12	16	11	39	13	5	16	48	36	36	6	36	17	29	18	18	25	9	5	45	6	38	37	6	30	42	25	35	35	42	52	18	35	35	31	65	20	50	27	44	52	44	59	56	15	38	48	68	75	59	40	46	49	61	65	73	12	56	52	75	71	54	67	87	67	67	80	85	83	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-271.690567641711311	-280.741411022162652	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997644633510829	0	3	5	3	4	4	6	5	4	5	5	6	6	7	7	8	7	8	5	7	6	9	9	8	9	12	8	10	8	9	8	7	9	9	11	10	9	10	7	13	9	10	11	12	10	12	12	7	15	12	5	9	14	14	11	13	14	14	9	14	15	16	14	14	16	16	20	18	14	11	18	15	17	19	20	18	20	19	19	16	19	24	22	18	22	26	28	0	1	9	1	4	2	10	4	4	9	5	6	9	51	19	15	21	8	2	11	19	31	11	20	39	22	21	52	32	29	9	7	4	31	52	52	32	23	10	16	19	41	52	41	22	37	70	9	44	28	5	27	47	35	23	26	37	40	15	42	54	64	50	44	54	49	73	58	44	36	80	30	49	60	66	58	79	73	65	58	71	75	79	53	84	82	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-265.746087644496413	-274.796931024947753	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995789407544583	-1	2	4	4	0	6	4	5	6	5	3	6	7	7	8	7	7	7	7	8	9	9	8	9	8	12	7	10	9	8	9	8	10	11	10	8	10	10	10	14	9	10	10	11	10	12	15	9	13	12	11	8	13	10	13	15	15	13	12	15	16	15	14	14	16	14	20	16	16	15	17	18	17	16	20	18	13	19	19	16	22	25	17	22	23	24	25	0	5	11	5	1	10	1	3	7	11	2	10	9	7	7	3	8	8	6	27	14	6	13	18	6	23	11	29	19	14	23	12	27	29	17	17	29	25	15	39	16	32	30	21	20	14	44	19	51	38	54	19	54	48	18	46	38	50	24	46	56	63	49	37	63	26	68	64	64	20	60	40	61	47	76	62	34	83	80	50	73	81	58	83	67	67	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-269.702934134813916	-278.753777515265256	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980395364132180	0	3	2	4	4	6	6	5	5	5	3	6	7	8	7	8	7	8	6	9	9	9	9	9	6	15	7	11	9	9	8	10	10	8	7	7	8	13	10	13	9	11	13	9	10	12	15	11	14	12	12	10	13	15	14	16	14	14	11	13	15	17	15	15	16	16	11	16	17	17	16	18	18	18	18	14	19	17	20	17	22	23	19	22	23	20	28	0	1	1	3	3	9	9	1	11	5	1	5	8	12	12	2	4	25	5	35	31	18	34	35	5	57	4	27	36	17	9	21	41	1	25	9	7	46	34	29	19	34	67	31	27	33	24	15	22	45	39	24	48	67	59	41	24	59	39	29	55	71	52	53	55	60	21	40	51	63	64	62	65	68	64	48	78	61	73	43	75	81	55	79	84	83	82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-269.283032836886832	-278.333876217338172	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987933186017338	0	3	4	5	4	6	5	2	5	3	4	7	7	7	7	5	6	6	7	7	7	9	8	8	8	14	8	11	10	10	8	10	8	12	11	8	6	13	10	13	8	9	13	12	10	12	15	11	12	10	11	9	14	14	14	16	11	14	6	11	15	17	15	14	16	17	17	16	15	15	15	19	18	17	20	19	16	20	12	20	19	24	21	20	23	26	28	0	1	2	8	1	16	8	1	11	1	8	6	4	18	7	11	7	4	6	59	11	19	6	12	59	44	6	30	25	25	59	19	18	32	20	2	3	57	23	35	14	18	35	39	3	15	58	42	39	31	52	15	60	50	36	71	17	34	9	39	79	70	38	30	34	71	55	47	27	64	49	67	56	63	74	61	26	81	48	54	74	80	61	77	78	82	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-266.209309625183948	-275.260153005635289	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999767188767659	0	1	3	4	4	6	4	5	5	3	5	7	6	7	7	7	7	8	4	9	8	7	8	9	9	14	8	11	8	10	10	11	9	10	11	10	10	11	9	12	11	11	13	12	10	12	13	11	13	12	12	11	14	14	6	14	10	13	12	10	16	17	16	10	15	16	21	13	15	14	11	19	16	18	18	19	21	18	20	17	22	24	19	21	23	18	27	0	1	1	2	3	11	3	4	3	1	10	55	19	9	13	55	55	9	10	16	6	13	22	27	11	43	12	34	6	39	18	39	16	29	21	12	25	12	22	41	36	64	36	30	23	48	41	33	28	34	39	34	44	71	3	37	24	59	30	27	60	61	44	15	50	43	72	64	52	37	25	26	58	53	62	75	76	62	75	63	86	78	75	79	76	61	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-268.763898201979430	-277.814741582430770	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999449539083839	0	2	4	4	1	5	2	6	6	4	4	5	5	6	6	8	7	7	5	3	7	10	8	9	8	15	8	10	8	8	9	9	9	12	10	9	8	13	10	12	9	9	13	11	8	12	14	11	13	9	12	11	13	14	12	14	12	13	12	10	15	18	16	12	16	14	20	17	11	16	17	18	18	18	20	18	17	18	18	18	23	23	21	21	24	25	27	0	1	7	2	1	11	1	20	12	2	20	3	20	20	10	21	12	19	10	7	14	17	6	29	6	54	8	23	11	3	25	17	9	25	24	10	11	13	24	69	17	23	33	28	4	16	48	25	44	29	28	31	51	55	32	51	27	55	45	25	58	71	28	33	33	35	78	26	41	43	63	77	43	63	73	61	58	65	65	66	83	67	62	80	47	82	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
