step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111
1	-11722.038960782676440	-11720.576878698157088	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.995243543381087	0	3	4	3	3	5	5	4	4	4	5	4	4	6	5	6	5	5	6	6	6	7	6	6	6	6	6	7	8	9	8	10	8	9	8	8	8	7	8	7	8	9	8	9	8	9	9	10	10	9	10	9	10	10	10	9	10	10	10	10	12	11	11	11	11	10	12	12	13	12	11	11	14	12	11	12	12	12	15	13	13	13	13	13	14	14	14	13	14	15	15	14	15	16	14	15	17	17	16	16	16	18	18	19	19	19	20	21	21	23	24	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	2	2	2	3	2	2	3	3	3	3	3	3	3	3	4	3	3	3	3	3	4	4	5	4	5	4	5	4	4	4	4	4	4	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	6	6	5	6	6	7	6	6	6	7	6	6	6	6	6	8	7	7	7	7	7	7	7	7	7	7	8	8	7	8	8	7	8	9	9	8	8	8	9	9	10	10	10	10	11	11	12	12
500	-885.180533346058837	-883.152062371045758	-2.028470975013058	0.000010005932433	0.000024169848174	2.415551807465496	0.485688017310206	1	3	4	2	4	4	5	4	4	5	6	3	3	6	5	6	5	5	6	6	7	7	7	6	7	7	7	7	8	9	8	11	8	10	6	8	7	7	6	8	8	10	8	9	8	9	10	10	11	8	10	9	10	9	8	8	11	10	11	10	13	8	10	9	11	10	12	11	12	12	11	11	15	12	9	11	10	12	15	13	12	13	13	14	14	14	15	13	11	15	15	15	15	17	14	16	16	18	17	15	17	19	18	19	19	19	17	21	22	24	25	0	1	0	0	13	2	3	12	4	1	3	4	1	18	4	12	1	13	7	7	9	3	39	4	14	13	9	20	2	10	3	52	15	54	17	18	19	20	4	24	9	24	28	10	35	38	27	64	28	10	14	14	35	35	37	20	40	40	27	9	34	37	35	21	50	13	60	28	34	66	17	34	74	55	55	56	56	63	44	41	62	63	72	75	78	45	68	66	62	42	89	53	78	68	0	55	35	66	89	49	0	89	81	95	38	89	49	95	81	68	107	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	3	1	1	1	2	2	1	2	1	2	2	1	2	2	2	1	1	1	1	2	1	1	3	1	2	2	1	3	1	1	2	1	2	1	3	1	2	1	1	2	2	1	2	2	2	1	2	1	1	4	1	2	1	2	3	1	2	3	1	1	2	1	4	3	3	2	2	3	1	2	2	3	1	2	2	3	2	3	1	5	6	4	5	2	1	5	5	1	5	5	3	4	9	8	8
1000	-731.943414181135836	-730.102224291812490	-1.841189889323314	0.000010047837199	0.000019493063266	1.940025786708294	0.572281423160990	0	2	3	1	3	5	5	5	4	5	6	4	5	5	6	7	5	3	6	6	6	6	6	5	6	6	7	7	8	10	8	10	8	8	9	8	9	8	8	7	8	8	9	8	8	9	9	10	9	10	10	7	9	10	10	9	11	10	10	11	12	10	12	9	12	11	12	11	13	12	12	10	15	12	11	13	12	12	15	13	12	11	13	13	13	12	13	14	11	15	15	14	15	17	14	16	16	15	17	14	17	19	19	19	20	18	18	21	21	24	25	0	1	0	0	2	18	3	12	4	1	3	4	5	18	12	4	5	1	7	7	9	3	12	12	14	5	9	20	10	44	3	52	15	17	45	6	19	20	23	24	9	9	28	10	17	20	27	64	28	10	52	14	17	17	37	20	40	40	27	41	34	37	45	21	50	72	59	28	72	72	17	53	55	55	37	56	56	35	50	41	62	53	53	75	78	45	68	34	62	60	89	72	85	87	0	81	45	83	89	87	0	81	81	95	100	89	100	95	81	107	105	1	1	1	1	1	1	1	1	2	3	2	2	1	1	2	2	2	1	1	1	2	2	2	1	1	2	2	1	2	2	2	2	1	2	1	2	2	1	1	1	2	2	1	2	1	2	1	1	1	2	2	1	2	2	1	2	3	2	1	2	2	1	2	1	1	1	1	2	1	1	4	1	2	1	1	2	2	2	3	2	2	1	2	1	1	2	1	3	1	2	2	2	1	2	1	2	3	2	5	1	1	4	5	2	5	3	2	4	5	4	5
1500	-689.887704621960438	-688.052154480036393	-1.835550141924022	0.000009996006244	0.000019253123231	1.926081553005929	0.631430371832393	0	3	3	2	2	6	5	4	4	4	5	4	4	5	4	6	5	5	6	6	6	7	6	6	6	7	7	8	7	8	9	10	8	7	8	8	8	8	8	7	9	8	9	10	7	9	9	11	11	10	11	8	11	10	10	10	10	10	10	11	12	10	11	9	11	11	12	12	10	12	12	11	14	12	12	12	12	12	15	14	12	13	13	14	14	14	14	14	14	15	15	14	15	17	14	15	17	17	17	13	16	18	17	18	19	18	21	21	22	22	24	0	1	0	0	1	18	3	4	4	2	3	4	5	5	4	4	5	2	7	7	9	11	4	4	14	5	21	20	10	10	3	52	15	17	45	6	19	20	23	24	21	9	28	10	17	38	21	64	28	30	32	14	34	34	37	20	40	40	47	27	66	37	45	42	50	13	59	28	17	53	69	34	55	55	55	56	56	45	50	27	62	53	53	75	78	63	28	53	81	41	81	69	85	87	0	81	82	45	81	49	0	81	81	95	100	99	105	95	102	105	105	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	2	1	1	1	1	2	2	2	1	3	1	1	2	2	2	2	2	1	1	1	1	2	1	1	1	2	1	2	1	1	2	1	2	1	1	2	2	2	1	2	2	2	1	2	1	1	2	1	1	4	1	2	3	1	2	2	2	1	1	1	1	2	2	2	2	1	1	1	2	2	2	1	2	2	3	2	1	1	1	2	2	5	3	1	1	2	2	2	4	1	1	4	2	2	5
2000	-699.673445532164351	-698.016387038539506	-1.657058493624838	0.000010047476394	0.000014983632778	1.491283202860954	0.624355175055686	1	3	2	2	2	6	5	5	4	4	4	3	4	6	5	5	6	4	7	6	7	7	6	6	7	7	7	7	8	9	8	11	8	9	9	9	8	7	9	8	9	9	8	9	8	9	8	11	9	10	10	8	9	10	10	10	11	11	10	10	12	10	11	8	11	10	13	12	14	12	12	10	14	12	12	13	12	12	15	13	11	12	13	14	13	13	13	12	13	16	14	13	16	16	15	15	17	17	16	15	15	18	17	19	19	19	21	22	21	22	25	0	1	0	0	1	18	3	4	4	1	3	4	5	18	12	4	13	1	7	7	9	3	4	4	14	13	9	20	10	10	11	52	15	17	45	6	19	20	23	16	9	47	28	10	17	38	9	64	28	44	52	25	17	53	37	20	40	40	47	9	63	37	17	21	50	17	59	28	72	17	66	17	55	37	55	56	56	35	50	21	62	66	53	75	78	35	49	34	81	80	81	66	85	87	0	89	82	69	81	87	0	81	96	95	100	81	105	95	106	105	105	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	1	2	2	1	1	1	2	2	1	2	3	2	2	2	2	1	2	1	1	2	2	3	1	1	4	1	1	2	2	2	1	2	1	2	1	1	2	2	2	2	2	1	1	2	1	1	2	1	2	2	3	1	2	2	2	1	2	1	2	2	4	1	2	2	1	1	2	1	1	2	2	2	1	2	2	1	1	3	2	2	1	1	3	1	2	4	3	1	4	2	2	5
2500	-698.542253075408553	-696.712665595745534	-1.829587479663042	0.000010020610191	0.000019152978750	1.911358528653094	0.574505300292275	0	3	3	2	2	3	4	4	4	5	6	3	4	5	5	7	6	5	6	5	6	7	5	5	6	7	7	7	7	10	9	10	8	9	9	8	9	8	9	7	8	9	8	9	7	10	10	11	11	9	10	7	9	10	10	8	10	9	10	10	13	10	11	9	12	9	13	12	14	12	12	11	15	11	11	13	12	11	15	12	12	13	13	13	12	14	14	13	14	15	15	13	15	16	14	15	18	17	17	15	17	18	17	19	18	17	19	22	18	23	25	0	1	0	0	1	1	3	12	12	1	3	4	6	6	12	12	13	6	7	7	9	3	4	4	14	5	9	7	10	10	3	52	15	45	45	6	19	20	23	24	21	9	28	10	17	20	21	64	28	29	52	14	17	17	37	20	40	40	42	21	53	37	35	27	50	17	59	28	53	26	34	34	37	55	37	56	56	54	50	41	62	54	17	75	78	35	28	72	81	47	81	72	85	87	0	89	82	69	89	87	0	89	96	95	100	89	105	104	91	107	105	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	2	2	1	1	3	3	2	2	1	2	2	2	2	3	1	2	2	1	3	1	3	2	2	2	1	2	1	2	2	1	2	2	1	1	2	2	1	1	1	2	2	1	2	3	3	2	1	4	1	2	3	2	1	2	3	1	1	3	2	1	2	3	1	1	2	2	1	2	1	1	1	2	1	2	1	1	2	1	2	3	1	1	2	2	2	5
3000	-648.487311994819947	-646.808723245014676	-1.678588749805297	0.000010245048777	0.000015812221716	1.543401311258021	0.663975376756218	1	3	4	2	3	3	5	5	4	4	6	4	4	5	5	7	5	5	7	6	7	7	6	7	7	5	6	8	7	10	9	10	8	10	8	8	8	8	9	8	7	9	9	8	7	8	8	11	11	10	11	8	11	10	9	9	11	10	10	8	11	11	11	10	12	10	12	13	13	11	11	11	13	11	11	13	11	12	14	13	13	13	13	14	14	13	14	13	15	14	15	14	16	16	14	16	16	18	17	15	16	16	18	19	20	18	21	20	22	22	24	0	1	0	0	1	1	3	12	4	1	3	4	5	6	12	4	5	6	7	7	9	3	4	4	14	5	9	20	10	10	7	52	15	17	45	18	19	20	23	12	9	41	28	10	17	20	27	64	28	44	32	14	17	17	37	20	40	40	60	4	54	37	45	16	50	17	59	49	66	34	34	17	55	55	55	56	56	34	50	42	62	63	54	75	78	35	49	63	81	47	81	54	85	87	0	81	82	69	81	87	0	89	96	95	100	91	105	104	106	105	105	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	3	1	2	1	1	2	2	2	2	1	2	2	1	2	3	2	1	2	3	1	1	1	1	2	2	2	1	1	2	1	1	1	1	2	1	1	2	2	2	1	1	2	1	1	3	1	1	2	2	1	2	1	2	1	1	1	3	1	1	1	2	1	1	2	2	1	1	2	1	1	2	2	1	1	2	2	2	1	1	1	1	2	3	2	1	1	1	1	2	3	2	1	1	2	1	2
3500	-654.345908587729127	-652.702820389784165	-1.643088197944929	0.000010573347478	0.000015409925342	1.457431090290431	0.681101559294883	0	2	4	1	3	5	5	2	4	3	5	4	4	6	6	6	6	4	6	6	5	7	7	7	7	6	6	7	9	8	8	10	8	9	8	8	8	7	7	7	8	9	9	10	9	9	10	11	11	10	11	8	10	10	9	8	9	10	10	9	13	10	11	8	12	10	12	13	14	12	12	12	14	12	11	12	13	12	15	13	13	13	13	13	13	13	14	12	15	16	15	13	15	15	14	15	17	17	16	15	16	18	17	19	19	19	20	21	22	23	25	0	1	0	0	1	18	3	4	4	2	3	4	1	18	12	9	5	2	7	7	9	3	4	9	14	5	21	20	30	10	11	52	15	17	17	6	19	20	12	12	27	21	28	29	13	38	41	64	28	30	52	25	17	17	37	38	40	40	60	27	53	37	35	9	50	17	59	28	72	53	53	66	55	55	55	56	56	35	50	60	62	63	72	75	78	35	49	53	81	42	81	53	85	68	0	81	82	54	81	68	0	89	96	95	100	89	105	104	106	105	105	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	2	1	1	1	1	2	3	1	1	1	1	1	1	3	1	2	1	2	1	2	1	1	2	1	1	2	1	1	3	1	1	2	3	1	2	1	3	2	1	1	2	2	1	2	2	1	2	2	1	2	1	2	2	1	1	1	2	1	1	2	2	2	2	2	2	1	1	2	1	2	2	1	2	4	1	2	2	1	1	1	2	3	2	1	1	2	1	2	3	1	1	1	2	2	2
4000	-657.795406526436295	-656.165972924442599	-1.629433601993655	0.000011055506498	0.000015746298590	1.424294634848222	0.684268786940302	0	3	3	2	3	6	4	5	3	4	6	3	4	5	5	6	6	4	7	6	7	6	7	6	7	7	5	7	7	9	9	11	9	9	8	8	8	8	9	7	8	9	9	7	9	7	9	11	9	10	10	8	10	11	10	8	11	11	10	11	12	10	12	10	12	10	12	13	14	13	10	10	14	12	11	12	12	12	15	12	13	13	12	13	13	14	15	14	15	16	16	15	15	16	13	16	16	18	17	17	17	18	17	18	18	19	21	21	21	22	24	0	1	0	0	1	18	3	12	4	1	3	4	5	18	12	4	5	5	11	7	27	3	16	12	14	13	9	20	10	44	22	52	15	17	17	44	19	20	23	4	9	27	28	10	35	20	27	64	28	44	52	25	17	17	37	20	40	40	27	47	54	37	35	47	50	17	59	49	66	54	17	17	55	55	55	56	56	34	50	47	62	63	72	75	78	63	49	66	81	60	81	34	85	68	0	89	82	69	81	94	0	89	96	95	100	102	105	104	106	105	110	1	2	1	1	2	2	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	2	2	2	2	1	1	1	2	1	1	2	2	1	2	1	1	2	1	2	1	2	1	2	3	1	1	2	2	3	1	1	1	2	1	1	2	1	2	2	1	2	2	3	1	1	2	2	2	2	2	2	1	1	1	1	1	3	2	1	2	2	3	2	2	1	1	2	1	4	1	1	2	1	2	1	1	2	2	1	2	1
4500	-620.184314526772027	-618.675944063320685	-1.508370463451394	0.000013265150868	0.000014904340251	1.123571107430151	0.678628142539199	1	3	2	2	3	4	4	4	4	5	4	4	4	6	6	3	6	5	6	5	6	7	4	6	7	7	6	7	8	9	9	10	9	8	8	8	8	8	8	7	8	9	8	10	9	9	8	11	10	10	11	8	9	11	10	9	10	11	10	9	13	11	11	10	11	10	12	12	14	13	11	11	14	11	11	12	12	12	15	13	13	13	13	13	14	14	14	14	15	16	15	15	16	16	14	15	17	16	17	16	15	18	17	19	18	20	21	21	22	23	25	0	1	0	0	1	1	3	4	4	1	3	16	5	18	12	4	5	6	7	7	9	3	16	4	14	13	9	20	10	10	22	52	15	17	17	18	19	20	23	16	9	21	28	10	35	20	9	64	28	29	52	25	34	17	19	20	40	40	47	27	17	37	35	42	50	17	59	28	66	53	53	17	37	55	55	56	56	54	50	42	62	35	66	75	78	63	68	83	81	42	81	66	85	68	0	81	82	69	81	87	0	81	96	95	100	102	105	104	106	107	110	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	2	1	1	3	1	2	1	2	1	1	2	2	2	1	2	1	1	2	1	2	2	1	2	2	1	2	1	2	2	1	1	1	2	1	1	3	1	2	2	2	1	1	4	1	2	1	1	2	1	2	2	2	1	3	2	1	1	2	2	1	2	2	1	2	2	1	1	2	2	1	1	2	1	2	1	2	1	1	2	1	2	1	1	2	1	2	1	1	2	1	1	1	1
