step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40
1	-465.382221210566399	-472.237709161525800	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.230732295283860	0	2	4	4	6	6	6	6	7	7	8	9	9	10	10	12	12	11	10	10	10	11	12	15	14	15	14	13	14	14	14	14	15	18	18	17	17	18	18	19	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	4	4	4	5	5	5	5	6	6	6	5	5	5	6	6	8	7	8	7	7	7	7	7	7	8	9	9	9	9	9	9	10
500	-227.609864947380345	-234.465352898339717	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.327823081546388	0	3	4	5	6	5	6	6	7	7	8	9	6	10	9	11	13	11	11	10	11	12	12	15	15	16	15	13	11	13	13	14	15	18	19	17	18	19	18	19	0	1	2	1	3	2	3	4	6	8	13	13	6	13	10	10	19	3	13	7	10	14	5	14	23	20	21	22	7	29	18	15	18	26	5	29	30	30	30	30	1	1	1	3	1	1	2	1	1	1	1	2	1	2	1	2	2	3	2	2	2	1	3	2	2	3	2	1	3	1	1	3	2	1	5	4	3	4	2	5
1000	-221.335217637933766	-228.190705588893138	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.631748720401157	0	3	4	5	6	6	6	6	7	8	8	9	8	10	10	11	12	11	10	11	10	11	12	16	13	15	14	13	14	13	15	12	14	17	18	17	17	18	18	20	0	1	2	3	3	2	3	3	4	3	4	13	5	13	9	15	11	21	13	7	5	14	10	13	12	16	18	22	5	15	25	21	23	7	34	30	26	34	21	35	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	3	2	1	1	4	1	3	1	1	4	2	2	1	1	5	1	2	1	1	3	1
1500	-231.977656205131922	-238.833144156091294	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.680894312698727	1	3	3	5	7	6	6	7	8	8	8	7	9	11	11	13	12	11	9	10	10	11	12	15	14	16	13	12	15	15	14	13	15	18	18	18	16	18	19	20	0	1	1	3	2	2	4	3	7	7	12	2	12	19	10	9	2	12	12	10	9	13	18	9	14	16	20	22	23	15	23	15	18	30	30	37	27	33	30	30	1	1	1	1	2	1	1	2	1	2	1	2	1	1	2	2	5	1	1	1	1	1	1	3	1	1	2	1	2	2	1	2	2	1	1	1	1	1	2	3
2000	-201.587385140783653	-208.442873091743024	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.734600493042281	1	3	4	5	6	6	6	6	8	8	8	10	8	10	10	12	13	10	9	9	11	10	12	15	14	15	13	11	14	14	15	14	15	19	18	17	17	19	18	18	0	1	2	3	2	4	3	3	8	8	2	13	5	11	10	10	28	5	13	4	7	13	19	18	18	16	21	12	21	9	16	16	29	35	36	27	32	40	30	36	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	3	1	1	1	2	1	1	1	2	3	1	2	1	1	1	2	1	1	2	1
2500	-220.029399243548454	-226.884887194507826	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.613054234914059	0	3	4	4	6	6	6	6	8	7	8	10	8	11	11	11	13	12	10	10	9	11	13	14	11	15	12	14	13	14	14	15	15	17	17	17	18	18	18	18	0	1	1	1	3	3	3	3	10	5	4	13	3	13	10	10	14	12	13	10	5	12	22	13	20	29	15	23	9	5	21	27	24	5	21	30	36	30	30	31	1	2	2	1	1	1	1	1	1	1	2	1	2	1	2	2	1	1	1	1	1	1	1	3	1	1	1	1	1	3	2	2	1	4	6	1	1	2	2	2
3000	-178.803857531927491	-185.659345482886863	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.748747739092965	0	2	4	4	6	7	7	6	7	8	8	8	8	10	10	13	12	12	10	10	10	11	12	15	14	15	15	13	15	15	14	15	15	18	17	17	17	19	18	17	0	1	1	2	4	5	8	4	5	8	4	9	5	13	9	21	19	6	13	10	10	14	22	13	17	16	18	12	16	10	21	16	15	30	29	30	26	40	30	30	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	3	1	2	2	2	1	3	2	1	1	1	1	1	1	1	1	1
3500	-190.961188558515602	-197.816676509474973	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.895726341535948	-1	1	3	4	7	6	6	6	8	7	7	9	10	10	11	12	12	11	11	10	10	11	12	15	15	15	14	13	15	14	13	14	15	19	18	17	17	18	19	19	0	1	2	3	7	4	3	3	7	8	6	5	9	12	21	21	20	20	13	8	10	14	15	23	17	30	17	22	31	9	15	18	31	36	29	30	26	36	37	36	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1
4000	-209.436204896947231	-216.291692847906603	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.579174244144455	0	2	5	4	6	7	6	5	8	7	8	10	9	10	10	11	13	12	11	11	10	12	12	14	14	15	13	12	13	15	14	15	15	17	17	15	17	18	19	19	0	1	2	2	1	2	2	2	8	5	5	13	4	5	10	10	13	9	13	10	10	13	12	23	29	18	9	14	20	15	21	16	25	23	21	21	30	25	37	38	1	1	2	1	2	2	2	1	1	1	1	1	2	2	2	2	2	2	1	2	2	1	1	1	1	2	3	1	1	4	2	2	1	3	4	3	1	2	1	1
4500	-209.728374242186248	-216.583862193145620	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.604087805896013	-1	2	4	4	6	5	7	5	7	7	9	8	9	10	10	11	12	11	10	9	11	11	13	14	14	14	15	13	14	15	15	15	15	18	16	16	17	19	16	20	0	1	2	1	2	4	8	3	2	3	4	4	12	13	10	10	21	8	13	7	10	14	12	13	17	16	17	22	20	17	21	16	18	36	21	30	26	31	25	33	1	1	1	2	1	1	1	1	2	1	3	2	1	1	1	2	1	2	1	1	2	1	3	3	1	2	2	1	3	3	2	2	2	1	3	1	1	2	2	3
