step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40
5000	-220.638544236370848	-219.047782428074385	-1.590761808296473	0.000010590233409	0.000014084767821	1.329977090901372	0.632787523467365	0	2	1	0	2	3	4	3	5	4	6	5	3	4	4	5	7	6	5	7	7	10	8	7	8	10	7	10	10	10	11	12	11	12	12	12	15	14	16	17	0	1	0	0	1	1	2	2	13	4	2	14	3	5	5	14	18	13	13	6	15	24	18	19	6	13	18	23	23	27	23	17	29	24	28	31	32	35	36	35	1	1	1	1	2	2	2	1	1	1	2	1	1	2	1	1	1	2	1	2	2	1	1	1	2	2	1	1	1	2	1	2	1	2	1	1	1	2	1	2
5500	-197.690452983310337	-196.246960090435181	-1.443492892875164	0.000015451045367	0.000014635113496	0.947192448709349	0.765047177632733	1	2	1	0	3	3	3	3	5	3	5	5	4	5	5	6	7	6	5	7	6	9	8	7	8	9	8	10	9	10	11	10	11	12	12	13	14	15	16	15	0	1	0	0	1	1	2	2	13	4	2	5	3	5	5	14	18	13	13	6	15	27	17	19	6	17	24	23	18	22	23	26	29	26	28	31	32	35	31	35	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	2	2	1	1	1	2	2	2
6000	-204.698758858029294	-203.201213290350779	-1.497545567678501	0.000025006836152	0.000007411413509	0.296375497656924	0.713504028965199	0	2	1	1	3	4	3	3	5	2	4	5	4	6	4	6	5	6	5	8	7	9	7	8	7	10	9	9	9	11	12	11	11	12	12	13	14	13	16	16	0	1	0	0	1	1	2	2	13	4	5	5	3	15	5	5	13	17	13	25	15	18	17	18	6	13	18	23	23	22	23	17	29	26	28	24	34	35	31	38	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	3	2	1	1	1	3	2	2	1	2	2	1	1	2	2
6500	-201.602833062775545	-199.757646812974798	-1.845186249800745	0.000033630032658	0.000005599247574	0.166495454553826	0.757095678193326	0	2	1	0	2	4	3	3	5	2	6	4	3	5	4	5	6	7	4	6	7	9	8	7	9	10	9	10	9	11	10	12	11	12	12	14	14	14	17	15	0	1	0	0	1	5	2	2	13	4	2	5	3	5	5	5	19	13	13	12	14	17	17	19	20	17	24	23	23	13	23	24	29	18	28	31	22	35	31	35	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	2	1	2	1	2	1	1	1	2	1	2	2	2	1	2	2	1	2	2
7000	-177.495241016214720	-175.738678136840775	-1.756562879373932	0.000056692565781	0.000010623744035	0.187392189589513	0.754104246030072	0	2	1	2	2	4	3	1	4	4	5	5	3	4	4	5	6	5	6	7	6	9	7	7	8	9	8	11	9	10	12	12	10	10	13	14	14	14	16	15	0	1	0	0	1	1	2	1	13	4	2	14	3	2	5	5	18	13	13	6	14	24	13	18	20	18	19	26	23	26	23	34	29	24	28	31	32	35	36	35	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	2	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1
7500	-192.985616117277431	-191.105600314861334	-1.880015802416102	0.000107064568436	0.000017067535468	0.159413480272525	0.699787374834352	0	1	1	1	2	3	2	3	4	4	4	5	6	4	4	6	7	6	5	7	7	9	8	8	7	10	10	10	9	11	12	10	11	10	13	12	14	15	16	17	0	1	0	0	1	1	2	2	3	4	2	5	19	5	5	6	19	19	9	12	14	18	13	17	6	13	22	23	17	32	23	9	23	24	28	26	36	35	33	31	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	2	3	1	1	1	1	1	1	2	2
8000	-191.631599334712547	-189.063627897366956	-2.567971437345598	0.000075632144361	0.000006178884242	0.081696536492184	0.875577413092201	0	2	-1	1	2	3	4	1	3	2	4	4	5	5	3	5	6	6	4	8	6	9	8	7	9	9	8	10	10	10	12	12	12	13	13	11	14	14	17	16	0	8	0	0	1	1	2	1	3	4	2	5	19	5	5	5	19	19	9	6	12	24	18	13	6	13	17	26	23	22	36	13	29	32	28	28	26	32	31	38	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	1	2	2
8500	-176.847785760293021	-175.266684317871153	-1.581101442421854	0.000058087463940	0.000014436882848	0.248536979733214	0.742771372374275	1	2	1	1	3	3	3	3	2	3	5	5	4	5	4	5	6	6	5	6	6	8	8	8	9	10	10	9	10	11	11	10	11	11	11	12	13	14	16	16	0	1	0	0	1	1	2	2	3	4	2	5	9	5	5	5	13	19	13	6	15	17	17	19	20	24	18	23	23	22	22	22	29	26	28	31	32	28	31	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	2	1	1	1	1	2	3	2	2
9000	-172.068922887823817	-169.755786597384514	-2.313136290439298	0.000078525105421	0.000007971111959	0.101510363035675	0.860783139744387	1	2	2	1	3	4	4	3	4	4	5	5	6	4	4	6	7	6	5	7	7	9	8	7	8	10	7	10	10	11	10	9	11	12	12	13	14	14	16	17	0	1	0	0	1	1	2	2	3	4	2	14	19	5	5	14	18	19	9	6	15	9	17	19	20	18	9	23	23	22	23	24	29	32	28	29	34	35	36	35	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2
9500	-202.405590669137950	-200.938064352601316	-1.467526316536620	0.000087768215650	0.000028072053982	0.319843052228437	0.826199272519199	-1	1	1	1	3	4	3	2	3	3	5	4	6	3	4	5	7	6	5	8	6	10	8	8	8	9	8	11	10	11	10	12	12	13	14	13	14	14	17	16	0	1	0	0	1	5	2	2	3	4	2	5	19	1	14	5	18	19	9	5	15	24	13	19	12	17	18	23	23	26	13	22	29	17	34	23	32	28	37	35	1	1	1	1	2	1	2	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	3	2	2
10000	-178.731452162296677	-177.054198203941439	-1.677253958355238	0.000076486865450	0.000016122657348	0.210789882071357	0.769529939080252	0	2	1	1	4	3	4	1	3	3	4	4	5	3	4	5	7	7	6	6	6	9	8	7	8	9	10	11	9	9	11	10	11	12	13	13	14	15	15	16	0	8	0	0	14	1	2	1	3	4	2	6	9	1	14	14	13	13	9	11	15	24	13	9	20	13	22	23	23	17	23	17	29	18	28	31	32	35	31	28	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	2	1	2	2	1	2	3
10500	-186.047964047345573	-184.631646053989158	-1.416317993356411	0.000048751139579	0.000018316882281	0.375722135706788	0.794003345148874	-1	2	0	2	3	3	3	3	4	3	5	4	5	6	5	6	7	6	6	6	6	8	8	8	7	9	9	11	9	10	11	10	12	12	13	13	14	14	13	17	0	1	0	0	1	1	2	2	3	4	6	5	9	12	6	5	13	13	13	6	15	19	18	13	6	19	9	23	23	22	23	24	29	32	28	31	34	35	31	35	1	1	1	1	2	2	1	1	2	1	2	1	1	1	1	2	1	1	1	2	1	1	1	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	3
11000	-210.717033299069101	-207.389498009200878	-3.327535289868227	0.000114289234890	0.000005458260908	0.047758311737855	0.631924884580731	0	1	2	2	3	3	3	2	3	4	4	5	4	6	4	4	6	7	6	4	4	9	9	6	8	9	8	10	8	10	12	11	11	12	14	14	15	15	17	15	0	1	0	0	1	1	2	2	3	4	2	21	9	15	1	1	13	13	13	1	5	17	29	13	11	13	17	26	19	26	23	22	23	23	33	23	32	35	34	28	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	2	1	2	1	2	1	1	1	1	1	3	1	1	1	1	2	1	1	2	1	2	1	1	2	3
11500	-202.680393490131195	-201.228931101919102	-1.451462388212098	0.000051878416472	0.000017360872032	0.334645373010040	0.702121022482335	-1	2	1	1	2	3	4	3	3	4	5	4	5	2	4	4	7	6	6	7	6	8	8	7	8	10	9	10	10	10	11	9	10	12	14	13	14	11	15	16	0	1	0	0	1	1	6	2	3	4	7	14	9	1	6	5	18	13	13	6	15	9	19	13	6	19	22	23	23	13	29	17	23	32	38	32	34	23	31	38	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	2	1	2	2	1	2	1	2	1	1	1	2	2	2	1	1	2	2
12000	-185.616207890218220	-183.937344485808154	-1.678863404410057	0.000056398658196	0.000011858277841	0.210258155438021	0.799463119571127	1	2	2	0	3	3	4	3	3	3	6	5	4	5	4	4	6	6	6	6	6	9	8	8	8	10	10	11	9	11	12	10	12	12	13	10	15	14	14	16	0	1	0	0	1	1	2	2	3	4	7	5	9	5	5	5	13	13	13	14	15	24	19	18	20	17	22	36	24	26	36	24	29	27	23	23	34	35	23	38	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	2	1	1	1	3	1	1	1	3	2
12500	-180.173581037379364	-178.390464161297217	-1.783116876082156	0.000049272993337	0.000008900614250	0.180638797180482	0.670103292872817	1	2	1	1	2	3	4	3	3	3	4	4	5	4	4	6	7	7	6	5	6	8	9	7	9	11	9	9	10	10	11	10	12	13	13	13	15	12	16	17	0	1	0	0	1	1	2	2	3	4	2	5	9	5	5	14	9	13	13	6	15	18	19	13	20	19	22	17	23	17	23	17	29	23	28	31	26	28	36	38	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	2	1	1	1	2	1	2	1	2	2	1	2	1	2	2
13000	-176.367176640106180	-174.895562248536578	-1.471614391569606	0.000035528546320	0.000011239713597	0.316357260886667	0.739705029280152	0	2	0	1	2	3	3	3	4	4	6	4	6	5	5	6	6	7	5	7	6	8	9	7	7	9	10	10	10	10	11	8	11	12	14	14	14	12	15	17	0	1	0	0	1	1	2	2	3	4	2	5	19	5	5	5	19	13	9	6	15	17	24	19	6	24	22	32	23	22	23	24	29	32	38	31	34	28	31	35	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2
13500	-179.637745884957013	-177.712858047219186	-1.924887837737838	0.000065545859567	0.000009900572881	0.151048028760530	0.751165807680858	-1	1	2	1	3	4	3	3	4	4	5	3	5	5	4	5	7	7	5	8	6	8	9	8	9	10	10	10	7	9	11	9	11	11	13	14	15	14	17	16	0	1	0	0	1	5	2	2	3	4	2	1	9	15	5	5	13	13	9	6	15	18	29	13	6	32	24	23	13	22	23	13	29	17	28	31	34	35	37	35	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	2	1	1	2
14000	-157.965423154146862	-155.895601869664034	-2.069821284482836	0.000054548974638	0.000007015434762	0.128608004253175	0.910120036324580	1	2	0	1	3	3	3	3	3	3	5	5	6	5	5	4	6	7	4	5	6	8	8	7	8	11	9	10	10	10	10	10	11	13	13	12	13	14	16	17	0	1	0	0	1	1	2	2	3	4	2	5	19	5	5	5	19	13	9	6	15	24	13	13	20	24	22	23	23	22	23	17	29	26	28	31	32	35	36	38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2
14500	-176.148974962211042	-173.234698232035271	-2.914276730175764	0.000094457156307	0.000005943808412	0.062925972411016	0.883953040487236	1	2	1	0	3	4	3	3	3	4	5	4	4	6	5	5	6	6	5	8	6	8	8	8	9	9	10	10	10	11	11	9	11	12	13	13	14	15	16	16	0	1	0	0	1	1	2	2	3	4	8	5	9	5	5	12	9	13	13	6	15	19	17	13	14	19	17	18	23	32	23	13	29	26	28	31	34	35	36	38	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1
15000	-181.133039186172113	-179.128413517024825	-2.004625669147289	0.000114392612806	0.000015779912578	0.137945206346696	0.777060061477195	1	2	1	1	2	3	4	3	4	3	5	5	6	4	4	5	7	7	5	7	6	8	8	7	8	10	9	10	9	11	12	11	11	12	12	13	12	15	16	17	0	1	0	0	1	1	2	2	3	4	2	14	19	5	5	14	19	13	9	6	15	18	13	19	6	9	24	23	23	26	23	24	23	17	22	31	19	37	36	38	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	3	1	1	1	1	1	2	1	2	2	1	3	1	2	1
15500	-166.231292393657384	-164.435203105170302	-1.796089288487090	0.000066737473772	0.000011846110675	0.177503132879402	0.801831427932624	1	2	2	1	3	4	3	3	4	3	5	4	5	5	5	5	7	6	6	7	7	8	8	8	7	10	10	10	9	10	11	10	12	12	14	14	14	15	13	16	0	1	0	0	1	1	2	2	3	4	2	5	9	5	5	5	18	13	13	6	15	19	17	18	6	18	22	23	23	22	32	19	29	26	28	39	32	35	31	38	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	1	1	1
16000	-194.035628460584007	-192.429389285991732	-1.606239174592286	0.000079707272125	0.000018918384621	0.237348288510144	0.730605283774317	1	2	2	0	3	4	3	3	4	1	6	5	5	5	5	5	6	7	6	7	4	10	7	8	8	10	9	11	9	10	9	11	12	12	13	13	15	14	17	16	0	1	0	0	1	1	2	2	3	4	2	5	9	5	21	5	13	13	13	6	5	27	17	19	11	17	19	23	23	24	23	19	26	19	32	23	32	26	31	35	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	3	1	3	4	2
16500	-166.987385549470673	-164.580704568092330	-2.406680981378342	0.000057880529983	0.000005408886113	0.093449146285641	0.841175723993170	1	2	2	2	3	4	3	3	4	4	5	5	5	4	5	5	7	7	6	7	4	9	8	8	8	10	10	10	10	11	11	11	12	12	13	13	13	15	16	16	0	1	0	0	1	1	2	2	3	4	2	5	9	5	21	14	13	19	13	6	5	19	18	13	6	19	24	23	23	22	26	19	29	26	28	31	34	35	36	38	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	3	1	1	2	1	1	1	1	1
17000	-184.909330572978121	-183.123105562379266	-1.786225010598846	0.000072559380700	0.000013051846284	0.179878137852075	0.794646618590369	1	2	1	1	3	2	4	3	3	3	4	5	4	4	5	5	6	7	6	6	4	7	9	6	8	9	9	10	10	10	11	11	11	11	13	13	14	14	17	16	0	1	0	0	1	1	2	2	3	4	2	5	9	5	21	5	13	17	13	6	5	13	24	13	20	18	22	23	23	26	23	24	29	19	32	26	34	31	36	38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	3	1	3	1	2	1	1	2	2
17500	-164.050535081376779	-162.399760845608625	-1.650774235768167	0.000078740772200	0.000017318657834	0.219945237387054	0.941856964408534	1	2	2	0	3	3	4	3	3	3	3	4	6	5	4	5	7	6	5	4	6	10	9	7	8	10	10	11	9	11	11	11	11	12	12	13	14	15	16	16	0	1	0	0	1	1	2	2	3	4	2	5	19	5	5	5	19	19	9	6	15	17	18	19	14	13	24	26	24	22	23	17	29	27	28	31	34	35	36	35	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2
18000	-183.686309269968319	-181.291356514528701	-2.394952755439629	0.000084401518954	0.000007967834182	0.094403919274090	0.767667261668072	0	1	1	1	3	3	2	3	3	3	4	5	4	6	4	5	7	7	5	8	6	8	8	6	9	9	10	11	9	10	12	11	11	12	13	13	13	15	15	15	0	1	0	0	1	1	2	2	3	4	2	6	9	1	6	11	19	24	13	6	15	24	17	19	20	17	22	23	23	18	23	17	29	26	28	23	28	28	36	35	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	2	1	1	1	1
18500	-205.794735052633939	-204.225756227485789	-1.568978825148159	0.000062076711586	0.000015789746751	0.254358620936054	0.611709433633422	1	2	1	1	3	3	4	3	4	2	6	5	4	5	5	6	6	6	5	7	6	8	7	8	9	8	10	8	9	11	11	10	11	11	12	13	14	15	16	16	0	1	0	0	1	1	2	2	3	4	2	5	3	5	5	14	13	9	13	6	15	18	13	19	11	19	23	19	28	26	23	17	28	13	23	31	24	35	36	35	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	2	1	1	2	2	1	2	2	2	1	2	1	2	2	4	2	1	2	2	2	2
19000	-167.428543887769280	-165.953124753432149	-1.475419134337144	0.000059173951029	0.000018533497714	0.313203654514620	0.803678061255308	1	2	2	1	2	3	3	3	4	3	4	4	5	4	4	5	7	7	6	7	7	9	8	8	6	11	9	11	9	10	11	10	11	12	13	13	14	14	17	16	0	1	0	0	1	1	2	2	3	4	2	5	9	5	5	5	19	19	13	6	15	19	18	17	6	18	13	23	23	27	23	17	29	22	31	31	34	35	36	38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	2	2	2	2	1	1	2	2	1	1	1	1	1	1	2	1
19500	-211.389771086893376	-209.775169397306939	-1.614601689586436	0.000088159724488	0.000020617245644	0.233862410111893	0.647225285992338	0	3	1	1	4	4	4	2	3	4	4	5	6	4	3	5	5	6	6	7	6	9	9	7	8	10	9	11	9	11	12	10	11	12	12	11	15	15	17	16	0	1	0	0	1	1	2	1	3	4	2	15	9	1	1	14	9	17	17	6	15	19	24	18	12	18	19	32	13	17	36	18	29	18	28	23	32	35	31	23	1	1	1	1	2	2	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	2	1	3	1	1	2	2	1	3
20000	-199.716305875823480	-197.452382513106983	-2.263923362716489	0.000072296623673	0.000007677920840	0.106200268424316	0.665192938900480	-1	1	1	1	3	3	3	2	3	2	4	4	4	6	5	4	7	6	5	7	6	9	8	8	8	10	10	9	9	9	11	11	11	12	10	13	13	14	16	16	0	1	0	0	1	1	2	2	3	4	2	6	9	6	5	5	18	13	13	21	16	13	17	19	14	18	19	23	23	17	23	28	23	24	28	31	32	35	36	38	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	3	1	1	1	2	2	1	1	1	1	1	1	2	1	2	1	2	2	2
