step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40
20500	-209.986282934756559	-207.584165447514948	-2.402117487241617	0.000090175284297	0.000008460142376	0.093818860032355	0.841703429372058	0	2	1	0	2	3	3	3	4	2	6	4	5	4	4	4	6	7	6	8	6	8	8	8	8	9	8	10	10	11	12	9	11	13	12	14	14	14	15	17	0	1	0	0	1	1	1	2	3	4	7	5	9	5	2	5	13	13	13	6	7	19	18	17	12	17	17	32	23	22	32	17	23	26	28	31	32	28	36	35	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	1	3	1	1	2
21000	-179.007930968289600	-177.147689980028588	-1.860240988261003	0.000054246529298	0.000008862049896	0.163366209985265	0.872001930642799	1	2	1	1	3	4	3	3	3	2	5	4	4	5	4	6	6	6	5	7	6	8	8	7	8	9	10	10	10	10	11	10	11	11	14	14	13	12	16	16	0	1	0	0	1	1	2	2	3	4	2	5	9	5	5	6	19	19	13	6	15	17	17	17	6	18	17	26	23	22	23	23	29	18	38	31	32	28	23	38	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	1	3	2
21500	-161.212097196058807	-159.795621028756273	-1.416476167302541	0.000057120808857	0.000021448827180	0.375499360205315	0.924358977412473	1	2	1	2	3	3	4	3	3	4	4	5	6	5	5	5	6	7	6	7	7	7	8	5	9	10	10	10	9	9	11	10	12	13	13	13	14	12	15	17	0	1	0	0	1	1	2	2	3	4	2	5	24	5	5	5	24	13	24	15	15	17	17	9	20	13	22	23	23	22	23	18	29	32	38	31	34	28	36	38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2
22000	-191.983794149351354	-190.151611427347802	-1.832182722003550	0.000090266146797	0.000015280880902	0.169286952462425	0.719750804551738	1	2	2	2	3	4	4	3	3	4	5	5	6	4	5	5	7	5	6	6	6	8	9	4	8	9	10	10	8	11	11	11	12	11	11	14	14	13	15	16	0	1	0	0	1	1	2	2	3	4	2	5	18	5	14	5	13	24	24	1	15	24	29	9	20	17	22	23	17	22	23	17	29	19	28	23	26	35	31	35	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	3	2	1	2	2	1	1	2
22500	-199.394073510406031	-197.881644462758516	-1.512429047647521	0.000062619083304	0.000017926534256	0.286279091136273	0.634406316814300	0	1	0	0	2	3	3	2	4	4	4	4	5	3	4	6	7	5	6	6	7	8	6	8	9	11	10	11	9	11	10	11	11	12	13	13	13	14	15	16	0	1	0	0	1	1	2	2	3	4	2	5	9	5	5	5	19	9	18	6	15	23	9	19	20	24	22	29	23	17	24	19	29	27	28	31	30	36	34	38	1	1	1	1	1	2	1	1	3	2	2	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	1	2	2	1	2	1	1	1	2	1	1	2	1
23000	-175.767610690991233	-173.325369454857452	-2.442241236133772	0.000079305929181	0.000007188607424	0.090644009828026	0.755959461204108	1	2	0	1	3	3	4	3	2	3	6	5	5	5	4	6	6	6	6	7	6	8	8	4	8	10	9	11	9	11	11	12	11	11	13	13	14	14	16	16	0	1	0	0	1	1	2	2	3	4	2	5	24	5	5	14	13	24	13	6	15	19	18	9	6	22	22	26	19	22	26	17	29	24	28	31	26	35	23	38	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	4	1	3	1	1	1	1	4	1
23500	-179.108475930915233	-177.713238477598992	-1.395237453316228	0.000068412256713	0.000028082721378	0.410492545156896	0.823034767828763	1	2	1	0	2	3	4	3	3	3	3	4	5	6	4	5	6	7	6	7	7	8	8	6	8	10	9	11	10	10	11	11	12	12	13	13	14	14	16	16	0	1	0	0	1	1	2	2	3	4	2	5	9	1	5	5	13	17	13	6	15	17	17	13	20	24	22	26	23	22	23	18	29	19	31	23	22	35	38	38	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	2	2	2	1	2	3	1	1	1
24000	-208.578747482201607	-206.355954605773491	-2.222792876428113	0.000079796735870	0.000008808834783	0.110390916201375	0.751349090448208	-1	1	0	1	3	3	4	2	4	3	5	4	6	5	5	6	7	7	5	7	7	8	7	8	9	11	8	10	9	10	10	11	12	11	14	13	11	14	15	17	0	1	0	0	1	1	2	2	3	4	2	5	19	12	5	6	13	13	9	6	15	17	19	13	21	24	17	23	23	19	23	19	29	18	23	31	13	26	32	38	1	1	1	1	2	2	1	1	1	1	3	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	2	3	1	2	3	2	2	1	2	2
24500	-160.820085519389124	-158.645920336493077	-2.174165182896038	0.000054927929862	0.000006355125489	0.115699344667283	0.874271640161026	0	1	1	0	3	3	4	3	3	3	4	5	6	4	4	5	6	6	5	6	6	8	7	7	8	10	9	10	9	9	11	11	10	12	12	14	14	14	17	16	0	1	0	0	1	1	2	2	3	4	2	5	19	5	5	5	19	19	9	6	15	24	18	19	20	18	22	23	23	22	23	24	29	26	28	31	34	35	36	38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	2	1
25000	-192.839437655624891	-191.167313624933911	-1.672124030690977	0.000090792212154	0.000019293605009	0.212502862864254	0.752653608088086	0	1	1	1	2	3	3	3	2	3	5	4	5	5	4	5	6	6	4	7	6	8	7	7	6	10	10	10	9	10	11	11	10	12	13	13	15	15	16	16	0	1	0	0	1	1	2	2	3	4	2	5	19	5	5	5	13	19	9	16	15	13	13	13	6	19	13	23	22	22	28	18	29	17	34	28	26	35	31	38	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	2	1	1	3	2	2	1	1	1	2	1	2	1	2	3	2	2	1
25500	-190.138484084412198	-188.168744243033188	-1.969739841379024	0.000062048782376	0.000008899431541	0.143426368748463	0.642294021406379	0	2	1	0	2	3	3	3	3	3	6	3	6	5	4	5	7	7	4	7	5	9	8	6	9	10	10	9	9	11	11	12	12	12	11	13	14	13	16	16	0	1	0	0	1	1	2	2	3	4	2	5	19	5	5	5	13	19	9	6	15	23	24	19	14	17	22	18	23	22	28	13	29	17	28	31	32	35	31	38	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	2	1	2	1	1	2	1	1	2	1	1	1	1	1	3	2	3	1	1	1	2	2	2
26000	-174.168204256341255	-171.962889387316721	-2.205314869024539	0.000080533896017	0.000009040148155	0.112252710990933	0.848790316509938	1	2	0	1	3	3	3	3	3	2	6	5	5	6	4	5	6	6	5	8	6	9	8	8	7	10	10	10	9	8	11	11	11	10	11	13	15	14	17	16	0	1	0	0	1	1	2	2	3	4	2	5	9	12	5	5	19	19	9	14	15	18	17	18	6	22	22	23	23	17	23	26	29	17	28	34	32	35	36	38	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	2	1
26500	-188.666284329191882	-186.643790882419950	-2.022493446771918	0.000068556494997	0.000009273965691	0.135274793311874	0.796448746710042	-1	2	1	1	2	3	3	3	4	3	6	5	5	5	4	6	5	6	6	6	6	9	8	8	7	11	8	9	10	10	11	10	12	12	13	13	14	14	16	16	0	1	0	0	1	1	5	2	3	4	2	5	9	5	5	5	9	9	13	5	15	17	19	13	6	18	17	23	23	19	23	13	32	26	28	31	34	28	36	38	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	2	1	1	1	2	1	2	1	1	2	2	1	1	1	1	2	2	1	1	2	1	1	2	2	1
27000	-197.079688943004101	-195.580833038784704	-1.498855904219404	0.000070120776013	0.000020717239453	0.295450801195408	0.742178726942488	0	1	1	1	2	4	3	2	5	3	5	4	3	4	4	6	7	7	5	5	6	8	8	7	9	10	9	10	10	9	10	10	12	12	12	13	14	14	15	16	0	1	0	0	1	1	2	2	13	4	2	5	3	5	1	5	19	9	13	15	15	13	19	19	6	22	18	23	18	18	23	17	29	17	28	31	32	35	31	38	1	1	1	1	1	2	2	1	1	1	2	1	1	2	2	2	1	1	1	1	2	2	1	2	3	1	1	1	2	1	1	1	1	2	1	2	2	1	2	2
27500	-194.852158529692502	-193.219509554756570	-1.632648974935932	0.000062186543179	0.000014097458934	0.226696294951283	0.637975734954911	1	2	1	1	2	4	4	3	5	3	6	4	2	5	5	5	6	6	5	6	6	9	8	7	8	10	8	10	9	10	11	12	11	11	13	12	14	14	16	15	0	1	0	0	1	1	2	2	13	4	7	5	3	5	5	5	13	13	13	1	15	18	18	13	11	9	19	29	18	18	23	34	29	26	28	31	34	31	36	31	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	2	2	2	1	1	1	3	1	2	1	1	2	3	2	1	1	1	2	1	2	2	2	2
28000	-211.517767320843461	-209.580411931317116	-1.937355389526343	0.000089658996538	0.000013346623718	0.148859838203265	0.704161839336022	1	2	1	2	3	4	4	3	4	4	4	4	3	3	4	5	7	5	5	7	7	10	9	7	8	10	8	9	6	11	10	11	11	12	12	13	14	15	15	15	0	1	0	0	1	1	2	2	3	4	2	14	3	1	5	14	18	9	13	6	15	23	13	18	6	18	19	19	19	26	18	17	29	32	31	31	32	35	18	35	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	2	2	1	2	1	1	1	2	2	1	1	2	1	2	4	1
28500	-207.349201910159877	-205.736562070700558	-1.612639839459333	0.000085530367350	0.000020071443367	0.234670374850910	0.840833657535455	0	2	2	2	3	3	3	3	5	4	6	4	3	2	5	5	6	5	4	5	6	8	8	6	8	11	10	10	9	10	10	12	11	11	13	13	15	14	15	17	0	1	0	0	14	1	2	2	19	4	2	14	3	1	5	6	19	13	13	6	15	19	24	19	6	27	22	23	9	24	23	27	23	31	22	29	27	35	36	38	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	2	2	1	2	2	1	3	2	3	1	1	2
29000	-182.277813295720165	-180.139373051125375	-2.138440244594799	0.000066271400207	0.000007943901511	0.119869226933016	0.805765477057839	1	2	1	1	2	4	3	3	5	3	4	4	4	4	4	5	7	5	6	7	5	9	9	8	8	10	10	9	10	9	11	12	12	12	13	13	14	14	16	17	0	1	0	0	1	1	2	2	13	4	2	5	3	5	5	14	19	13	18	6	15	24	13	19	6	24	24	13	23	24	23	17	29	29	23	31	34	28	31	39	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	2	1	1	2	1	1	1	2	2	1	2	1	1	2	3	1
29500	-215.123919996508363	-212.924927389903075	-2.198992606605279	0.000102234535203	0.000011546233977	0.112938685094582	0.562316061187347	0	1	-2	0	3	3	4	2	5	3	5	4	3	5	4	6	7	7	4	8	6	9	8	7	9	9	8	10	9	10	11	10	11	12	13	14	14	14	16	16	0	1	0	0	1	1	2	2	13	4	2	5	3	1	5	5	19	19	13	11	15	17	13	19	20	17	18	23	23	27	32	9	28	22	28	31	34	33	23	28	1	1	1	1	1	2	2	1	1	2	2	1	2	2	1	2	2	2	1	2	1	1	2	1	1	1	1	1	1	1	1	3	1	2	3	2	1	1	4	3
30000	-179.330142190900034	-177.075555327420574	-2.254586863479466	0.000069691762296	0.000007466003954	0.107128930419282	0.843371545176307	1	2	1	1	3	3	3	3	5	3	5	4	4	5	5	4	7	6	5	8	7	10	8	8	6	11	8	10	9	11	11	10	10	12	12	14	14	14	15	17	0	1	0	0	1	1	2	2	13	4	2	5	3	5	5	5	19	19	13	6	15	27	18	17	6	17	13	23	23	32	29	19	29	17	28	31	34	35	32	38	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	1	1	3	1	2	1	1	1	1	2	2
30500	-197.428944020372597	-195.308723213419682	-2.120220806952929	0.000075473321433	0.000009214659352	0.122091610341331	0.625890453118980	0	1	1	2	3	2	3	3	5	4	5	5	3	5	4	4	7	5	6	7	6	9	9	7	8	9	10	11	8	11	11	10	11	13	13	13	15	15	17	16	0	1	0	0	1	1	2	2	13	4	7	5	3	5	1	5	18	13	13	6	15	18	29	18	20	17	22	9	19	13	32	18	29	26	28	31	32	35	32	35	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	1	3	1	4	1	2	1	2	1	2	2	1	4	2
31000	-174.411029188173103	-172.025134027702364	-2.385895160470736	0.000068620702605	0.000006529377286	0.095151711334093	0.702359714960901	1	2	2	1	2	3	3	3	5	2	5	4	4	5	4	5	6	7	5	6	6	9	8	7	8	9	10	10	10	10	11	11	11	12	13	13	13	15	16	16	0	1	0	0	1	1	2	2	13	4	2	5	3	5	5	5	13	19	13	6	15	24	19	19	20	17	22	24	23	24	23	27	29	17	28	34	22	35	36	35	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1	2	1	2	1	1	1	2	2	1	2	1	2	2
31500	-204.794476384888384	-202.992356950092073	-1.802119434796302	0.000104574143690	0.000018413392291	0.176079780726854	0.644199339492377	0	1	1	2	4	2	3	2	3	3	5	4	5	3	5	5	7	6	4	7	6	10	9	8	8	11	9	10	10	10	11	12	11	13	12	13	15	14	16	16	0	1	0	0	1	1	2	2	3	4	7	14	9	1	5	14	13	19	9	2	15	19	17	19	6	9	17	19	23	24	23	23	23	22	23	31	24	35	31	38	1	1	1	1	3	1	1	1	1	1	1	1	2	2	1	1	2	1	1	2	1	2	1	2	2	3	1	3	1	1	1	1	2	2	1	1	4	1	3	1
32000	-206.906339266939426	-205.390393275519983	-1.515945991419456	0.000063116369329	0.000017926031458	0.284015567571861	0.686471938876924	0	1	1	0	3	3	4	3	4	2	6	3	5	5	4	6	7	7	6	6	6	9	9	8	7	10	9	9	10	11	11	10	12	11	14	14	15	12	14	16	0	1	0	0	2	1	2	2	3	4	7	1	9	1	12	15	13	13	13	6	15	19	17	13	14	23	18	18	23	18	23	9	32	19	38	31	27	28	31	38	1	1	1	1	1	1	2	1	2	2	1	1	1	3	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	2	1	3	1	2	2	1	2	1	2	2
32500	-185.376381949327595	-182.999504823108452	-2.376877126219148	0.000068170632914	0.000006537935253	0.095905450393218	0.857272740280976	0	2	0	1	3	3	4	3	4	3	6	4	5	5	4	5	6	7	5	7	6	8	7	7	8	10	9	10	9	11	11	12	11	11	12	13	14	15	16	17	0	1	0	0	1	1	2	2	3	4	2	5	9	6	6	5	19	13	9	5	15	19	13	19	20	17	22	23	23	26	26	24	29	24	28	31	26	35	31	35	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	2	1	1	1	2	2	2	1	1	3	2	2	2
33000	-181.081933713692990	-178.858649210422669	-2.223284503270333	0.000074797633182	0.000008253116080	0.110339267827162	0.788677587674435	-1	2	1	1	3	4	3	3	2	3	5	4	5	5	4	6	6	5	4	7	6	8	8	8	9	9	9	10	8	11	11	10	12	11	13	14	13	15	16	17	0	1	0	0	1	5	2	2	3	4	2	5	19	5	5	14	19	19	9	6	15	18	17	18	20	24	22	23	17	22	23	19	29	26	28	26	34	35	36	38	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	1	1	1	1
33500	-199.319757232599898	-197.939532335374253	-1.380224897225635	0.000056756756675	0.000025282156715	0.445447523722370	0.753908319429161	0	2	-1	1	1	4	4	3	4	3	6	4	6	4	5	4	7	6	5	7	7	8	8	7	8	9	10	11	10	10	10	11	12	12	13	13	14	14	16	17	0	1	0	0	1	1	2	2	3	4	14	5	9	5	5	5	18	19	9	5	15	17	18	13	12	24	22	23	23	22	23	17	29	13	28	31	32	33	36	35	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	2	2	2	1	1	1	2
34000	-200.388718876974991	-198.822308199829848	-1.566410677145140	0.000074075085649	0.000018935907807	0.255631264430667	0.776007701483405	0	1	1	1	3	2	2	2	3	3	3	5	6	6	4	5	6	6	5	7	7	9	8	7	7	11	9	10	10	10	12	10	11	13	12	13	14	15	17	17	0	1	0	0	2	1	2	2	3	4	2	1	19	5	1	5	19	19	9	12	15	19	18	17	12	18	18	24	24	24	28	13	22	24	28	31	32	35	36	35	1	1	1	1	2	1	1	1	1	1	1	3	1	2	2	1	1	1	1	1	2	2	1	1	1	2	1	2	1	2	1	2	1	2	1	1	2	1	2	2
34500	-208.727512051687484	-206.824862637370472	-1.902649414317009	0.000078013419902	0.000012099434116	0.155094266236644	0.754805483096233	0	2	0	0	2	3	3	3	3	4	5	4	5	5	4	6	7	6	5	6	6	8	9	7	6	11	10	10	9	9	12	11	11	12	13	12	13	15	15	16	0	1	0	0	1	1	2	2	3	4	2	5	9	6	5	14	19	13	9	6	15	13	9	19	6	24	22	29	9	22	26	24	29	13	32	32	26	29	36	38	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	2	1	2	2	1	2	3	1	2	2	1	1	3	1	1	2	1	3	2	1	1	2	2	1
35000	-220.529966059834777	-218.628873923861505	-1.901092135973274	0.000088452274441	0.000013744136178	0.155384768397418	0.745699839055471	0	2	1	2	2	4	3	3	3	4	4	5	6	4	3	6	7	5	4	7	5	10	8	8	8	9	10	10	10	8	11	11	11	11	13	13	15	13	16	17	0	1	0	0	1	1	2	2	3	4	2	5	19	5	5	14	19	19	9	16	15	13	18	19	6	13	26	17	17	19	24	13	23	18	31	31	28	28	36	29	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	1	1	3	2	1	2	2	1	2	2	2	2	2	2	2	1	1	2	2	1	3
35500	-200.690433062193364	-198.672598836065049	-2.017834226128314	0.000064364443288	0.000008751157999	0.135962614632752	0.694684147654020	0	2	-1	1	3	2	4	3	2	3	5	4	6	5	3	5	7	7	4	7	6	8	8	8	9	9	10	10	10	10	11	11	12	13	12	14	12	15	15	15	0	1	0	0	1	1	2	2	3	4	2	5	19	12	6	5	9	13	9	5	12	19	13	19	20	13	24	24	23	18	24	23	29	18	28	37	18	35	31	35	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	3	1	1	3	1	3	1	3	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	1
36000	-177.311638602293982	-175.229055782625380	-2.082582819668600	0.000060616637874	0.000007692507726	0.126904229530008	0.762650052105295	0	2	0	1	2	3	3	3	4	2	4	4	5	5	4	6	7	6	6	7	5	8	9	7	8	11	9	10	8	11	11	10	11	10	12	13	14	14	17	16	0	1	0	0	1	1	2	2	3	4	2	5	9	5	5	12	13	13	13	6	15	18	29	13	20	17	22	23	19	34	23	19	29	13	28	31	32	35	36	35	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	1	2	2
36500	-179.015324227486843	-176.830565837708320	-2.184758389778534	0.000054010720807	0.000006184670102	0.114508194096822	0.784998784784507	0	1	1	1	2	3	3	2	3	3	3	4	5	4	4	6	7	4	6	6	6	7	8	7	7	9	9	10	10	8	12	10	12	12	13	13	14	15	15	16	0	1	0	0	1	1	2	2	3	4	2	5	18	5	5	14	19	9	18	6	15	19	19	19	20	24	22	23	23	22	23	26	29	17	28	34	34	35	36	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	2	2	1	1	1	2	2	2
37000	-185.451568314582488	-183.281031764563920	-2.170536550018577	0.000094863940846	0.000011014842423	0.116112005520700	0.827729042531772	0	1	2	1	2	3	3	2	4	3	5	3	5	4	4	6	7	6	6	6	6	8	8	7	9	10	9	10	9	10	12	9	11	11	14	14	15	13	17	16	0	1	0	0	1	1	2	2	3	4	2	1	9	12	6	14	19	13	13	15	15	19	18	13	20	18	24	27	23	22	26	24	29	32	28	31	31	28	31	38	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	3	2	2	2	2	2
37500	-218.414180231836895	-216.964426468175446	-1.449753763661452	0.000064424689313	0.000021668367002	0.336336383359611	0.665111119799521	-1	1	1	0	3	4	2	3	3	3	4	5	6	4	4	3	7	7	5	8	7	10	8	8	7	10	10	11	10	10	12	10	12	10	12	13	15	14	17	16	0	1	0	0	1	1	2	2	3	4	2	16	19	5	5	2	13	13	9	25	15	13	18	13	11	19	24	23	24	17	26	9	32	17	32	23	32	28	31	38	1	1	1	1	2	3	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	3	1	1	1	3	2	2	1	2	1	4	1	1	1	3	3	1	2	1
38000	-189.155598013118805	-187.169055596238309	-1.986542416880489	0.000089702324975	0.000012624763623	0.140740651107831	0.824195243722955	0	2	2	0	3	2	3	3	3	3	5	4	6	2	5	4	5	7	6	7	7	9	8	8	8	7	9	11	10	11	11	9	11	12	13	13	15	14	17	16	0	1	0	0	14	1	2	2	3	4	2	14	9	1	5	14	9	19	17	2	11	24	13	17	20	19	19	24	24	32	18	23	29	22	28	24	34	35	36	35	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2
38500	-208.014752724657285	-205.983776041233313	-2.030976683423960	0.000063555797712	0.000008518859554	0.134037489273685	0.583491373404371	1	2	1	0	3	4	4	3	4	3	6	5	5	2	4	5	6	7	6	7	7	10	8	8	7	9	9	10	9	11	11	11	10	10	12	13	14	11	16	16	0	1	0	0	14	1	2	2	3	4	2	5	9	1	5	5	13	13	13	1	15	24	19	9	6	18	17	17	23	22	24	13	29	19	23	34	24	28	36	38	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	4	2	1	1	3	1	2	1	3	1	1	1	3	1	2	2	1	2	1	2	2
39000	-176.981761522092910	-175.417238082848286	-1.564523439244632	0.000052408777777	0.000013446816052	0.256575646723602	0.841705773840300	0	2	2	1	2	2	4	3	3	4	5	4	4	5	4	6	7	7	6	7	6	9	8	6	9	11	8	10	10	10	11	11	10	12	13	14	15	14	16	16	0	1	0	0	1	1	2	2	3	4	2	5	9	5	5	15	19	13	13	6	15	17	24	13	20	17	17	23	23	22	28	24	23	32	31	31	34	35	26	38	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	3	1
39500	-179.048110949738629	-177.245417084025775	-1.802693865712843	0.000056017441457	0.000009856005293	0.175945295554632	0.797311750119175	1	2	0	1	3	3	3	3	2	3	5	4	5	6	5	5	6	6	4	6	7	9	8	7	8	10	8	10	9	10	11	11	11	11	13	12	13	15	16	17	0	1	0	0	1	1	2	2	3	4	2	5	19	5	5	5	13	13	9	6	15	18	19	19	6	18	17	22	17	22	23	18	29	26	29	23	34	35	36	38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	2	2	2	1	1	2	1	2	2	1	1	2	2	1	1	2	1
40000	-200.337871919626650	-197.373394100441061	-2.964477819185602	0.000066914441092	0.000004064540678	0.060742354137425	0.660769104524065	0	2	1	2	2	2	4	3	3	3	4	5	5	4	4	5	5	6	4	6	5	8	8	7	9	10	10	9	10	10	10	10	12	9	13	13	13	14	17	15	0	1	0	0	1	1	2	2	3	4	2	14	19	5	5	5	19	13	9	6	15	24	18	17	6	17	22	17	23	23	23	18	29	18	28	31	13	35	32	35	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	4	3	1	2	1	1	1	2	1	2	1	2	3	1	4	2
40500	-190.862725068371503	-188.513046675196989	-2.349678393174527	0.000073114019507	0.000007182441654	0.098236175524961	0.851675616470850	1	2	0	1	2	4	4	3	4	3	6	4	6	4	3	5	6	7	5	8	6	8	8	7	9	9	10	10	9	10	10	11	12	12	13	12	13	15	15	17	0	1	0	0	1	1	2	2	3	4	2	5	19	5	5	14	9	17	3	11	15	17	13	19	6	17	22	23	23	26	23	13	29	24	28	31	26	35	34	38	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	3	1	1	1	1	1	2	2	2	2	2	2	1	1	1
41000	-189.886082917937756	-188.387851703755643	-1.498231214182115	0.000056202804029	0.000016629888753	0.295890730726712	0.682260655000736	1	2	1	1	3	4	4	3	4	3	6	5	6	5	4	5	6	6	5	7	6	9	8	8	8	10	10	11	9	11	12	9	10	12	12	14	13	14	16	17	0	1	0	0	1	1	2	2	3	4	2	5	19	5	5	5	19	19	9	6	15	19	13	13	6	24	24	23	23	17	29	19	29	19	28	17	18	35	31	36	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	1	3	1	2	1	4	1	3	3	1	2	2
41500	-196.438835435974823	-194.447820741083916	-1.991014694890901	0.000057611362603	0.000008067913975	0.140040325562211	0.719298741512993	1	2	1	1	3	3	4	3	2	4	4	4	6	6	4	5	6	7	4	7	6	9	7	7	9	9	10	9	9	10	12	11	10	13	12	14	15	14	14	16	0	1	0	0	1	1	2	2	3	4	2	5	19	5	5	5	19	17	9	6	15	24	13	9	6	19	22	23	23	26	26	18	29	18	17	31	32	28	32	35	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2	1	1	1	3	2	2	1	1	1	1	1	2	1	2	2	1	2	3	1	2
