step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61
10000	-331.398748515272246	-329.973886258074572	-1.424862257197675	0.000319233474234	0.000116291936925	0.364284908415815	0.344903844201406	-1	5	1	3	4	5	7	7	6	8	8	8	9	10	8	10	13	10	12	12	13	13	15	13	15	17	15	17	18	17	20	18	17	17	19	17	16	20	19	18	18	20	19	20	19	20	21	20	21	23	22	20	23	24	25	21	24	28	26	26	25	0	3	1	1	3	5	2	4	4	3	2	2	6	12	2	10	11	11	4	10	2	14	8	4	17	24	3	11	17	10	40	4	24	19	30	10	15	10	25	15	1	39	30	18	1	21	42	25	4	46	29	15	3	23	49	32	3	60	0	51	44	1	2	1	2	1	1	2	2	1	3	2	2	2	1	1	2	2	1	4	2	4	2	4	4	1	2	7	5	2	4	1	7	3	2	1	3	6	4	2	5	10	1	1	5	8	3	1	2	8	2	2	6	11	5	2	2	10	1	1	2	2
10500	-353.224394469033257	-351.835582923015863	-1.388811546017401	0.000868713729368	0.000368270663016	0.423926375934686	0.375205865242334	0	4	3	5	4	2	6	6	5	7	8	8	9	10	9	9	12	11	11	12	12	12	14	15	16	17	16	17	16	17	19	17	17	20	18	18	17	20	18	19	18	19	17	20	20	19	18	21	21	21	21	21	22	23	25	23	24	28	25	26	27	0	6	1	5	3	1	6	2	3	2	5	1	1	13	6	10	18	3	15	10	6	1	11	5	23	24	13	22	19	16	47	3	21	29	33	13	24	41	28	30	22	26	24	2	1	13	33	32	4	21	46	30	20	13	52	50	21	54	0	2	55	1	1	1	1	1	1	2	1	1	2	3	3	5	1	3	1	1	3	1	2	5	5	2	5	1	1	4	2	2	4	1	8	2	3	1	4	1	1	1	1	2	1	1	8	12	4	1	2	8	6	1	2	6	7	2	1	8	3	1	11	1
11000	-324.139320892960995	-322.437731730432233	-1.701589162528747	0.000926876831691	0.000188179690316	0.203025562709031	0.307397509505870	0	4	2	4	5	4	6	6	6	8	7	8	8	9	10	11	12	10	12	12	12	13	15	16	14	17	16	17	15	16	19	19	17	19	18	18	18	20	20	19	17	20	19	18	18	20	20	21	21	23	21	19	23	24	24	24	24	27	26	25	28	0	3	1	1	6	3	6	4	4	3	6	2	8	13	4	3	16	2	15	11	5	21	25	4	21	20	16	16	18	16	22	30	12	16	33	6	14	37	6	17	16	29	19	6	4	30	32	9	14	39	41	27	4	16	18	37	2	2	0	42	52	1	1	1	2	1	1	1	1	1	3	1	2	1	1	3	4	1	4	1	3	4	1	1	8	1	4	3	3	4	3	3	3	3	5	1	7	4	2	8	3	3	2	4	7	8	3	1	8	6	1	3	2	9	6	7	3	9	10	1	2	6
11500	-384.869375321783878	-383.148655649419425	-1.720719672364468	0.000598744269387	0.000118136415182	0.197306965966412	0.325971200444990	0	4	3	5	5	5	6	6	5	7	7	9	8	9	10	12	13	8	12	13	10	14	15	15	16	17	13	18	17	17	20	17	18	19	18	16	19	20	18	19	17	19	18	18	19	20	20	20	19	23	22	21	24	24	25	23	24	27	24	27	27	0	1	1	3	3	3	2	2	1	1	2	2	11	11	4	14	13	4	18	19	12	19	19	4	22	20	1	3	15	24	37	25	8	19	24	6	15	39	30	33	13	12	24	4	2	13	14	43	2	30	28	44	23	22	46	36	6	6	0	2	55	1	2	2	1	1	1	1	1	3	4	2	3	1	1	3	1	2	2	2	1	1	2	1	5	1	2	7	8	4	1	1	1	5	2	1	6	4	2	1	1	2	4	1	7	9	7	5	1	7	4	1	1	3	3	2	3	10	12	1	9	1
12000	-343.115774419118623	-341.617266612107699	-1.498507807010948	0.000512006669421	0.000151398191044	0.295695740087997	0.264479091699287	0	4	2	3	5	4	7	7	6	7	8	9	9	9	6	10	11	12	10	12	12	13	14	15	15	17	15	17	17	15	18	18	17	19	18	19	18	19	19	19	18	20	17	19	19	19	18	21	22	24	21	21	23	23	26	22	25	28	25	24	27	0	3	1	1	2	1	4	3	1	3	2	2	15	7	6	9	10	19	11	12	8	8	20	6	11	30	1	6	23	4	14	16	25	26	26	2	1	41	29	37	29	37	24	2	2	19	10	29	30	3	44	26	23	21	18	47	4	4	0	6	21	1	1	1	1	1	2	2	2	3	2	2	1	1	1	1	2	2	1	1	1	3	2	1	4	3	1	7	6	2	5	5	5	1	1	1	8	8	1	1	1	1	2	1	5	7	6	5	2	5	9	1	2	7	3	6	2	13	11	1	11	9
12500	-339.836931030449989	-338.141943335675421	-1.694987694774582	0.000499714609794	0.000102479046673	0.205075146221649	0.316722569348039	-1	4	2	5	5	4	6	6	5	8	6	6	9	9	9	12	12	11	11	11	10	13	14	15	14	18	16	16	17	17	19	18	14	20	18	19	18	19	20	18	19	18	18	19	19	21	20	19	22	23	21	22	24	23	26	23	24	27	25	26	28	0	3	1	3	3	3	2	3	3	11	1	6	5	9	3	4	13	2	7	11	14	12	20	22	14	33	17	2	25	18	40	3	16	4	13	21	12	14	22	23	2	27	16	11	20	31	15	27	40	6	21	44	20	3	57	23	3	20	0	53	57	1	1	2	2	2	1	1	2	2	1	4	1	2	2	3	4	2	4	3	2	1	4	1	1	2	2	4	5	2	3	1	8	1	7	5	5	6	4	5	3	7	1	3	6	5	1	6	2	2	10	6	1	8	12	1	5	12	8	1	1	2
13000	-340.092587436622466	-338.592352621434486	-1.500234815187974	0.000621883333593	0.000183135644495	0.294485532257526	0.321168409898122	0	5	3	3	4	5	7	6	6	6	7	8	8	9	9	11	10	11	11	12	9	13	14	15	15	16	16	17	15	17	20	18	17	16	19	18	19	20	19	19	19	20	18	19	19	21	18	21	22	24	19	22	22	23	24	24	23	28	25	25	27	0	3	1	1	1	3	1	3	4	2	10	1	4	4	2	14	21	6	12	8	11	18	20	13	22	22	6	13	8	26	34	3	13	1	19	13	16	36	30	24	2	43	11	1	3	2	14	35	29	25	13	45	13	2	41	43	9	57	0	3	50	1	1	2	1	2	1	4	1	1	1	1	4	3	3	2	1	1	4	1	3	1	1	1	4	1	2	6	5	4	1	2	5	4	5	4	3	3	1	1	2	8	1	5	10	6	8	2	1	4	7	4	1	6	10	2	3	8	3	1	6	2
13500	-374.445354002388967	-372.570648275366239	-1.874705727022745	0.000547485922155	0.000087848466044	0.160457945107981	0.322860419558798	0	5	2	4	5	5	7	6	5	7	6	9	9	9	10	10	12	11	11	10	13	12	14	15	14	16	16	17	16	16	18	18	16	18	18	19	18	19	20	19	18	20	18	20	18	18	20	21	22	23	21	21	22	23	25	22	24	27	25	26	27	0	3	1	3	3	1	6	1	3	6	3	11	5	8	3	6	19	2	14	7	12	16	22	6	5	7	4	6	7	22	5	25	21	2	19	19	25	28	26	41	3	32	16	17	30	23	33	37	22	1	34	30	10	3	29	39	17	38	0	30	55	1	2	1	1	2	3	1	3	2	1	3	2	2	2	4	2	1	3	1	1	2	1	1	4	5	4	5	7	4	2	6	3	2	9	3	3	2	1	3	1	5	1	5	6	1	3	1	2	5	10	2	2	7	9	4	1	8	4	1	4	1
14000	-364.222303292026879	-362.240662398304892	-1.981640893721960	0.000609555735591	0.000086261353289	0.141515120361095	0.311635700700082	-1	4	2	4	4	4	6	6	5	8	7	5	8	10	9	9	12	11	11	12	12	13	15	15	15	18	16	16	16	17	20	19	16	19	19	18	18	19	19	19	18	20	18	20	18	20	21	21	20	23	21	22	23	22	25	23	22	28	24	25	28	0	3	1	1	1	3	3	3	3	4	8	4	6	8	2	11	12	2	9	9	8	2	18	4	14	28	3	3	20	33	22	2	3	6	23	2	18	24	8	22	6	40	30	3	3	6	45	37	29	6	20	27	13	20	51	49	6	20	0	3	55	1	1	3	4	3	1	2	2	1	2	1	1	2	2	3	1	4	2	2	5	3	5	2	6	2	1	3	9	2	1	3	5	6	6	2	6	3	2	5	3	8	1	1	7	7	6	1	1	3	8	3	2	9	4	3	1	8	9	1	8	2
14500	-354.093601810856626	-352.629849131159688	-1.463752679696928	0.000384817809085	0.000124356002806	0.323155529369627	0.417037232007616	-1	4	2	3	4	5	6	7	6	7	8	9	8	10	10	11	12	10	11	12	12	14	13	16	15	17	15	16	17	17	20	18	18	18	17	19	18	20	19	19	18	20	18	20	20	21	20	22	21	21	20	21	23	23	25	22	24	27	24	26	28	0	1	1	1	1	4	2	2	1	6	2	1	8	8	1	13	3	4	12	18	13	21	13	11	19	28	4	4	27	22	41	6	30	30	7	21	19	37	37	33	4	41	12	6	22	30	32	42	2	3	18	28	22	11	31	43	3	44	0	57	51	1	2	2	2	3	1	1	2	4	1	2	5	1	2	6	2	4	3	1	1	3	1	3	3	2	1	4	6	1	2	1	6	1	1	5	2	3	1	1	1	9	1	5	9	3	2	1	1	4	6	4	3	3	7	3	2	9	3	1	1	3
15000	-410.772258721532978	-409.159795015637258	-1.612463705895715	0.000774597736348	0.000181831554307	0.234743203826365	0.457254799158083	0	5	3	5	4	4	7	5	6	6	7	9	9	8	10	10	12	12	12	12	13	13	14	13	16	16	16	17	18	17	18	18	17	17	18	18	16	19	20	16	18	19	18	19	17	21	21	22	21	24	21	22	21	24	24	23	21	28	25	25	28	0	3	1	1	1	1	2	3	4	6	10	2	3	9	4	7	9	10	16	7	16	7	17	10	11	23	13	2	27	21	10	37	23	16	13	6	20	31	43	14	6	45	37	4	24	22	32	42	3	25	25	39	6	34	52	37	15	55	0	51	53	1	1	1	2	1	2	1	1	1	1	1	3	2	1	2	1	3	3	1	2	1	3	2	3	4	1	3	5	1	3	6	1	2	3	3	6	2	1	2	3	7	1	1	5	1	4	1	1	9	5	3	1	4	5	1	4	4	2	1	2	2
15500	-361.237933880668152	-359.771585890064216	-1.466347990603958	0.000500245033656	0.000160512297402	0.320867348204740	0.276792396359782	-1	4	2	3	5	5	7	6	6	7	7	8	7	10	9	9	12	9	11	13	12	13	15	15	16	18	16	16	16	15	20	19	17	19	17	18	18	20	20	19	18	20	18	17	20	20	19	20	20	23	22	22	23	24	25	23	24	27	26	26	26	0	1	1	3	2	2	2	4	2	4	5	4	9	5	6	9	8	6	10	3	7	18	3	4	9	3	2	13	17	1	28	1	18	2	30	6	29	23	20	22	22	36	23	7	20	20	37	35	1	29	36	37	6	3	52	19	6	35	0	2	45	1	2	2	1	1	1	1	2	1	2	1	3	1	2	2	2	2	2	2	6	2	3	6	4	4	6	5	2	1	9	2	9	4	7	2	4	1	3	3	4	3	1	2	5	2	5	1	1	12	5	2	2	9	9	1	7	8	2	1	7	2
16000	-336.006604102884353	-334.642509780285820	-1.364094322598545	0.000364609130888	0.000187796347663	0.515062108306236	0.337296121652948	0	3	2	5	5	3	7	6	6	8	8	8	8	8	7	11	12	12	10	13	12	13	15	15	15	17	15	16	16	17	17	18	17	19	19	18	18	20	20	19	16	20	19	18	18	21	21	21	21	24	21	21	23	23	25	24	23	28	26	24	27	0	3	1	2	1	3	1	2	4	3	8	6	7	5	6	8	5	6	11	4	19	16	22	11	20	15	2	20	7	16	22	4	24	25	29	2	10	22	43	25	18	40	31	6	25	26	26	33	1	40	33	21	7	2	46	37	2	25	0	25	34	1	1	2	1	2	1	4	2	1	3	1	3	1	2	2	1	3	6	1	5	1	1	1	2	1	4	5	2	5	3	2	4	1	4	1	7	5	4	1	2	2	1	1	9	1	2	2	2	12	4	2	4	9	7	2	3	10	7	1	5	4
16500	-435.684017961205768	-434.148488312260042	-1.535529648945702	0.000500013830549	0.000136083010975	0.272158493748299	0.316026402672796	0	4	2	5	3	4	6	6	5	6	6	8	9	8	9	11	11	11	11	12	9	12	14	14	15	17	15	16	17	17	19	17	18	19	19	17	18	20	19	19	18	19	19	19	20	20	20	21	21	23	21	20	22	23	25	24	24	26	25	26	27	0	5	1	2	1	5	6	1	3	1	6	3	5	7	9	15	12	1	12	15	4	15	15	7	22	21	1	1	25	23	41	1	23	1	26	23	25	32	41	20	18	41	20	1	20	20	20	26	23	20	39	35	2	2	51	51	4	40	0	49	40	1	1	1	1	2	1	1	3	2	2	1	2	4	1	2	1	1	5	1	2	2	1	2	3	2	4	9	6	1	1	1	5	1	5	1	1	2	2	1	4	4	1	4	8	3	3	4	2	3	6	1	1	10	8	2	1	10	4	1	2	5
17000	-318.726408667892883	-316.927746873412786	-1.798661794480087	0.000642222293864	0.000113604833299	0.176893319313691	0.289101187551611	-1	5	3	4	5	5	6	7	5	7	8	8	7	9	7	10	13	11	11	11	12	13	14	16	15	17	17	17	16	17	20	18	17	19	18	17	17	19	20	20	18	19	18	19	19	21	21	22	20	23	22	21	23	24	25	23	25	26	26	27	27	0	1	1	1	3	3	2	6	3	2	9	2	3	2	4	3	13	1	11	16	16	21	12	4	3	24	2	6	20	23	9	25	7	22	16	2	23	22	45	36	23	43	26	4	2	26	49	34	30	19	44	34	3	20	47	28	13	33	0	6	31	1	3	2	2	1	2	1	1	2	1	2	1	2	2	2	4	3	6	2	1	1	1	3	6	6	1	6	7	3	1	7	2	6	3	5	6	1	4	1	1	2	1	1	7	5	2	1	2	2	4	1	1	8	9	2	3	10	5	1	8	4
17500	-350.170653484973343	-348.792770049052592	-1.377883435920723	0.000674573533012	0.000305131925044	0.452333081734209	0.345845757771125	-1	5	3	5	3	4	7	6	5	4	8	9	9	9	10	12	12	10	11	11	12	13	15	14	16	18	16	17	16	18	17	19	18	19	18	17	18	18	19	18	18	18	15	19	19	20	20	22	21	23	22	21	23	23	26	23	24	26	25	27	28	0	3	1	1	1	5	3	4	3	1	6	1	3	3	14	14	18	3	2	11	2	20	19	2	17	29	2	21	19	4	3	31	12	3	36	14	27	28	3	29	3	19	19	2	4	38	32	47	42	47	42	41	3	30	39	41	4	3	0	47	50	1	1	3	3	2	1	2	1	1	2	1	5	4	3	1	1	1	3	3	2	3	1	2	5	2	1	6	5	2	7	6	2	5	5	1	4	1	1	7	1	6	4	3	7	4	1	1	1	2	1	2	1	11	3	4	2	10	10	1	3	2
18000	-318.366259505298103	-316.876066348204347	-1.490193157093738	0.000555502556485	0.000167597287070	0.301703898773729	0.272620197496421	0	3	3	5	5	4	6	5	5	7	8	6	8	10	10	11	12	11	12	12	12	14	14	15	15	17	17	16	17	17	18	16	17	18	18	18	19	19	20	19	19	19	17	18	19	18	20	20	21	23	20	21	23	23	25	23	24	27	25	26	27	0	1	1	3	1	2	1	3	2	6	12	2	3	6	4	15	16	6	15	10	11	4	16	4	16	19	2	3	2	18	24	3	14	3	20	3	34	31	33	27	17	22	22	14	3	29	19	45	35	23	46	44	29	1	49	38	3	26	0	4	60	1	1	1	1	2	1	3	1	1	1	1	2	3	3	3	1	1	5	2	3	2	5	1	5	2	2	4	6	5	3	2	5	4	7	3	8	1	1	1	1	4	2	1	3	8	1	4	1	1	4	1	3	5	13	2	2	9	5	1	9	1
18500	-351.386503600116839	-349.746385642855330	-1.640117957261513	0.000664919077653	0.000148850824449	0.223863067629908	0.298726021265316	0	4	2	4	5	4	5	6	6	6	8	7	8	9	9	11	12	11	10	13	12	13	14	15	15	18	16	18	16	17	18	17	17	19	18	17	19	19	20	20	18	20	19	20	20	21	19	20	19	24	21	19	23	20	24	23	24	28	23	25	28	0	3	1	3	2	3	4	6	2	3	6	1	9	4	6	11	7	6	3	4	9	19	8	4	22	18	2	6	24	18	3	2	25	17	24	6	29	33	30	7	1	1	23	17	26	2	23	32	22	22	40	41	3	16	33	29	1	24	0	16	44	1	1	1	1	1	1	1	1	1	2	2	3	1	3	2	1	3	4	3	6	3	2	3	5	1	4	5	8	1	2	7	6	1	3	1	10	1	1	2	6	7	9	3	4	1	9	3	2	3	7	1	1	9	3	4	4	11	9	1	8	5
19000	-332.409340101840939	-330.781645448721122	-1.627694653119808	0.000236622954923	0.000054096083362	0.228617225154277	0.371798231560451	-1	3	2	4	5	4	6	6	5	7	7	9	8	7	9	12	13	11	12	13	13	13	14	15	14	17	17	17	17	16	19	17	17	18	18	16	17	18	19	19	16	18	18	19	19	20	20	22	21	24	22	22	22	23	25	23	24	26	25	26	28	0	1	1	3	4	3	6	6	6	4	2	9	4	7	2	7	11	4	2	18	16	12	16	12	10	17	2	24	23	5	41	3	4	6	41	10	23	22	30	27	3	37	22	2	2	19	26	34	2	37	31	17	13	3	23	51	4	3	0	46	60	1	2	1	2	1	2	1	1	1	1	2	2	2	1	4	4	3	3	4	1	1	1	1	3	3	2	4	1	2	7	1	7	4	5	1	5	2	3	2	1	7	1	2	7	8	3	1	1	8	5	1	4	6	8	6	1	10	12	1	4	1
19500	-370.459716547319147	-368.730034811844973	-1.729681735474186	0.000518173610633	0.000100906318990	0.194734577213823	0.338409980339857	-1	5	3	3	4	4	6	6	4	5	7	8	8	8	9	11	11	11	10	13	11	14	14	15	15	17	16	17	17	17	19	18	18	19	19	17	18	19	19	19	19	18	19	19	19	21	21	20	22	21	21	21	22	23	25	23	23	27	25	27	27	0	5	1	1	1	1	3	6	1	3	10	6	2	9	7	5	7	2	7	19	2	13	15	1	12	22	22	3	24	20	22	4	22	16	24	2	24	16	20	26	4	26	36	3	16	33	45	27	14	37	24	37	4	6	2	39	16	23	0	54	52	1	1	2	2	2	2	1	1	3	1	1	2	1	2	3	4	2	4	2	2	3	3	2	8	4	2	1	6	1	2	2	8	2	4	2	6	2	4	2	1	7	1	1	8	4	2	1	2	7	1	3	1	8	8	9	2	5	6	1	2	2
20000	-357.243133182379381	-355.878945129845476	-1.364188052533886	0.000459823894137	0.000236497011058	0.514320839072811	0.349982294645706	-1	1	3	4	5	4	5	6	6	7	6	9	9	10	9	12	11	10	12	13	13	13	12	15	15	16	16	16	16	17	19	18	17	18	17	18	18	20	19	18	18	20	19	19	20	19	21	21	20	22	19	22	23	22	25	23	23	28	24	26	26	0	1	1	2	2	3	2	3	3	6	7	1	3	15	3	8	11	3	15	6	10	17	6	2	16	21	4	11	23	27	19	11	21	23	16	3	22	44	35	14	29	11	27	3	29	3	46	39	29	33	24	41	13	2	31	48	11	6	0	49	52	1	1	1	1	3	1	2	1	2	2	1	4	3	1	2	2	3	3	1	6	3	1	3	6	1	1	7	6	2	1	4	6	2	2	4	8	2	1	1	4	1	6	2	6	2	4	1	2	1	4	1	2	9	10	3	1	9	11	1	3	2
20500	-328.272500752001463	-326.022050925580800	-2.250449826420649	0.000647571464339	0.000069642800689	0.107544579284745	0.326276942580620	-1	3	1	5	4	4	6	6	6	7	8	9	8	8	10	11	13	11	11	11	13	14	13	16	13	16	16	17	17	18	19	18	18	20	18	18	17	20	19	19	17	19	18	18	19	20	21	22	22	22	20	20	23	23	25	24	24	27	26	27	27	0	3	1	3	2	3	1	6	4	2	7	3	3	7	3	7	18	6	4	10	7	18	8	19	16	11	19	6	9	27	29	6	22	31	26	4	23	43	24	24	21	44	5	13	35	27	44	28	35	33	35	18	4	13	24	47	2	4	0	2	43	1	1	1	2	1	1	3	1	1	2	1	3	3	2	7	3	1	2	3	2	3	2	4	3	1	4	2	6	5	1	1	7	2	1	1	8	2	1	1	2	2	1	7	5	1	2	2	3	2	2	1	4	9	6	4	1	9	9	1	10	5
21000	-367.766809034936045	-366.188461075293560	-1.578347959642473	0.000500406543204	0.000125018177329	0.249833218663404	0.375918508966305	0	5	3	3	5	4	6	6	6	7	8	8	8	9	10	11	13	10	11	12	12	13	14	15	15	18	16	16	15	16	19	16	18	19	19	17	18	20	20	18	18	19	19	17	18	20	18	21	21	22	21	21	22	23	25	22	24	26	22	26	28	0	1	1	1	3	4	2	2	6	1	8	1	9	5	2	14	21	2	13	3	10	19	20	2	18	23	4	2	20	17	36	2	14	3	13	10	14	42	43	17	25	40	16	5	6	4	30	37	29	4	45	45	34	13	11	39	13	31	0	6	50	1	1	2	1	1	1	1	1	1	2	1	5	1	2	3	1	1	3	1	4	3	1	2	5	2	2	6	4	1	1	1	3	3	8	5	3	4	1	1	2	1	1	4	7	6	8	1	1	2	9	2	2	2	4	7	2	7	3	1	7	3
21500	-328.130420911063538	-326.573308637145772	-1.557112273917785	0.000782790830862	0.000203808847951	0.260361823255943	0.390589993648888	-1	5	2	4	4	5	5	6	6	8	6	9	6	9	8	11	13	12	10	11	10	13	15	15	16	18	16	17	16	18	20	18	18	18	17	17	18	19	20	18	17	19	17	18	17	18	20	20	21	21	22	21	23	24	26	23	23	26	24	24	27	0	3	1	1	3	1	4	4	1	4	5	5	6	4	6	13	16	13	13	14	13	16	11	4	21	36	17	13	23	45	34	6	27	13	21	13	10	41	37	45	19	44	14	3	1	4	40	33	37	14	28	45	3	22	48	35	14	13	0	28	54	1	2	1	2	1	3	1	2	3	2	1	3	1	2	1	2	2	4	1	1	2	1	4	5	2	1	1	5	1	1	1	7	1	6	3	5	6	1	1	1	3	1	3	5	7	7	2	1	1	6	2	2	9	7	3	3	6	9	1	2	2
22000	-417.843255233114803	-416.373738432606729	-1.469516800508072	0.000502251391107	0.000159782671441	0.318132859898084	0.421195818347349	-1	5	1	5	4	2	7	5	5	6	8	8	8	10	8	11	13	11	10	11	12	14	14	16	15	18	14	17	16	18	20	18	16	20	19	18	19	19	19	20	18	18	16	20	20	19	21	20	21	23	20	22	24	23	26	22	24	27	23	27	25	0	6	1	5	3	3	3	3	3	5	9	3	2	1	10	12	18	4	13	9	6	16	16	1	5	14	14	29	14	24	39	21	11	26	21	13	14	24	25	21	20	25	25	15	29	14	45	26	29	42	39	44	56	1	57	43	14	25	0	56	59	1	2	1	1	2	1	2	2	2	1	2	3	2	5	1	3	1	3	1	4	6	1	2	7	6	4	2	1	3	1	1	4	4	1	3	7	4	2	2	2	3	2	1	5	2	3	1	1	4	3	1	1	1	12	2	4	6	7	1	4	1
22500	-338.233323321597879	-336.797371283717666	-1.435952037880219	0.000515972714267	0.000181099023594	0.350985659874369	0.373360186564545	0	2	3	5	5	4	5	5	6	7	8	9	8	9	8	12	12	8	11	13	11	14	15	14	14	18	17	17	18	17	19	18	17	19	18	15	18	16	19	19	16	19	18	17	19	21	18	20	21	23	21	21	21	24	25	23	25	26	25	26	26	0	1	2	3	2	2	6	1	3	3	1	1	6	5	6	14	21	6	4	3	9	17	9	11	19	27	20	18	36	25	44	19	36	30	23	2	20	16	2	20	6	38	38	13	11	47	36	34	30	36	42	47	13	3	56	46	19	50	0	4	52	1	1	1	1	2	1	1	3	1	3	4	4	2	2	2	1	1	2	3	6	2	1	4	2	2	1	3	2	1	2	1	3	2	2	1	6	2	2	8	3	4	2	1	4	4	2	2	1	2	4	1	2	3	9	1	1	8	2	1	7	3
23000	-372.344442563176585	-370.779340823161135	-1.565101740015451	0.000510258156314	0.000130771730379	0.256285428779837	0.333288504443457	0	5	2	4	3	5	6	6	4	6	7	9	9	8	9	10	12	11	11	11	12	13	13	16	15	17	17	16	18	16	19	19	18	20	17	19	18	17	19	19	18	20	18	18	19	18	20	20	20	23	22	22	24	23	26	23	23	27	25	27	26	0	1	1	1	1	1	4	2	1	4	9	4	10	3	1	4	15	3	15	10	14	18	8	2	23	5	2	3	17	17	24	16	25	2	28	4	28	18	27	35	11	46	24	4	6	11	44	7	16	37	19	34	11	45	57	27	13	25	0	38	50	1	3	2	2	1	3	1	1	2	1	2	3	2	4	3	3	1	4	1	3	2	1	3	6	2	7	6	6	3	2	1	5	1	6	1	7	1	3	2	1	6	1	1	9	10	6	1	8	4	2	4	2	8	2	1	3	5	5	1	6	1
23500	-404.450538002837391	-402.770992545863976	-1.679545456973433	0.000533699858917	0.000112094918543	0.210033629707251	0.320445194152190	-2	5	3	5	4	5	7	6	6	7	8	9	8	9	10	11	12	10	11	11	12	14	13	14	16	17	15	17	17	16	20	18	17	19	19	18	18	19	20	19	18	19	18	19	19	18	20	21	21	20	21	20	21	24	26	23	25	26	24	27	26	0	1	1	1	1	5	4	2	1	1	10	2	9	4	3	10	2	1	4	2	20	15	4	19	16	25	14	1	27	15	38	1	24	13	16	14	6	43	46	24	6	23	25	4	14	6	19	39	40	3	50	19	2	14	38	34	28	25	0	50	9	1	3	2	3	4	1	1	1	5	3	1	1	1	2	3	2	4	5	3	2	1	2	3	1	3	1	3	6	1	3	1	8	2	6	3	5	6	1	1	2	7	2	1	6	8	5	4	1	1	5	1	4	5	7	2	2	5	4	1	3	8
24000	-367.676470024718526	-366.202193971553527	-1.474276053164979	0.000500494223715	0.000157226370470	0.314142227861755	0.346914551892506	-1	5	3	5	4	5	6	5	5	7	8	8	9	10	9	11	12	12	12	12	13	13	14	15	15	18	16	18	17	16	18	18	17	17	18	19	19	20	19	19	18	19	18	19	19	21	19	22	20	22	20	21	21	23	25	23	24	26	25	26	27	0	1	1	1	1	1	1	3	1	4	7	4	7	10	1	2	13	6	9	7	19	14	21	17	22	30	16	6	22	17	22	2	20	20	23	2	18	26	29	19	23	13	30	10	3	30	34	46	3	37	31	39	2	6	57	47	4	43	0	37	31	1	3	2	3	3	4	4	1	2	1	1	2	2	1	4	3	3	3	3	3	1	2	1	1	1	1	3	6	2	2	2	5	3	2	3	6	4	1	1	3	2	5	1	5	6	2	1	1	6	1	1	1	5	7	1	1	10	2	1	3	5
