step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61
5000	-451.999960657654640	-448.794431132446846	-3.205529525207786	0.000017152409953	0.000107836197302	6.286941461742439	0.307974595554891	-1	5	2	5	5	3	4	6	5	7	5	6	8	9	10	11	12	12	10	10	12	14	15	15	16	18	16	17	18	17	17	16	17	19	18	18	19	19	19	20	17	19	17	19	18	20	20	20	21	23	21	22	23	20	26	24	22	27	25	27	27	0	1	1	7	7	3	1	11	6	2	3	3	2	9	6	9	20	3	7	3	8	20	10	2	23	27	6	3	27	20	25	4	19	2	33	13	33	21	24	35	13	18	18	14	13	2	39	20	2	6	33	31	13	2	33	57	17	11	0	20	36	1	3	1	1	1	1	2	1	1	1	1	2	1	2	3	2	1	6	4	4	3	3	3	4	1	1	7	7	1	3	1	5	3	5	1	5	1	3	2	1	4	3	3	3	6	6	1	5	5	11	2	3	9	5	5	2	5	9	1	9	5
5500	-750.774438900465157	-748.560612972262788	-2.213825928202335	0.000025694043868	0.000074920496448	2.915870185069945	0.378929042523148	-1	5	2	5	3	5	6	7	4	8	8	8	9	10	9	12	12	11	9	12	13	13	14	13	15	17	17	18	16	17	20	18	16	17	18	19	19	19	19	19	18	19	18	20	18	20	20	21	21	24	21	21	23	22	26	24	25	27	24	26	27	0	5	1	9	3	3	1	2	1	6	8	3	2	8	6	6	13	3	3	15	10	16	16	19	2	33	17	1	17	21	16	6	10	3	22	20	45	22	34	25	29	33	25	14	2	16	32	36	21	19	39	35	9	14	48	51	53	32	0	46	57	1	1	1	1	1	2	4	1	2	1	1	3	3	2	3	4	1	6	3	2	3	1	1	2	3	1	3	10	2	2	4	6	3	6	3	4	1	4	1	2	1	2	1	7	6	3	1	1	3	9	2	1	7	5	2	2	1	5	1	3	1
6000	-473.906394228228237	-472.122100932536853	-1.784293295691396	0.000048203002188	0.000086771320399	1.800122740486795	0.308768348017286	0	4	2	5	4	5	7	6	5	7	8	8	8	9	9	12	12	11	11	12	12	13	13	15	15	17	17	17	16	18	19	19	18	20	18	16	18	18	20	19	18	19	18	18	20	20	18	21	20	23	22	19	23	23	23	24	24	27	26	26	25	0	3	1	3	3	1	4	5	2	6	8	3	8	5	4	2	15	3	15	8	12	9	19	4	7	14	2	25	14	36	36	27	21	25	7	4	27	24	41	41	6	19	29	2	3	16	20	14	2	6	49	41	16	6	37	33	6	40	0	47	57	1	2	1	2	1	2	1	2	1	1	1	4	1	2	2	3	1	7	1	3	3	3	1	4	5	4	8	2	3	1	2	1	3	2	7	5	1	2	1	1	5	3	1	7	4	6	2	5	5	8	1	1	3	8	2	2	10	4	1	6	1
6500	-479.099091051186463	-477.732782719735440	-1.366308331451034	0.000228150976990	0.000148164818631	0.649415665826833	0.316632736981832	-1	4	1	3	4	5	6	7	5	6	7	8	8	8	10	12	12	11	12	12	13	12	14	14	15	17	16	18	17	17	19	17	17	19	19	19	18	19	19	19	18	19	18	19	19	20	21	21	21	23	21	21	23	23	25	23	23	27	26	26	26	0	4	1	3	4	5	4	4	4	2	1	1	10	7	11	9	13	11	14	2	17	18	15	4	17	21	14	2	24	23	8	14	5	29	22	3	27	23	21	12	27	41	22	1	4	14	33	44	2	17	33	45	9	3	51	44	14	4	0	20	57	1	1	1	1	1	1	2	2	1	1	3	5	1	1	1	3	2	2	2	3	1	1	2	5	1	1	6	8	2	2	6	3	6	1	3	7	1	2	3	4	1	1	3	7	6	7	2	1	8	7	2	1	7	10	1	3	8	9	1	5	2
7000	-347.169517585069741	-345.727927734177740	-1.441589850892000	0.000495506994984	0.000170838562544	0.344775279206776	0.307036096429371	0	3	2	5	3	2	5	7	5	8	7	9	6	10	9	12	13	12	11	12	12	13	13	16	16	16	16	17	16	17	18	18	17	18	18	17	18	19	19	18	17	20	18	19	19	19	20	21	21	23	21	21	23	22	25	24	21	27	25	26	27	0	6	1	6	1	1	2	4	1	2	3	2	9	4	6	12	11	4	13	5	12	8	18	4	23	19	4	2	10	9	41	30	2	4	23	11	30	36	28	10	25	28	33	4	37	11	41	40	28	26	21	32	1	4	18	44	9	6	0	4	42	1	1	1	2	2	1	1	2	2	2	2	3	1	3	4	2	2	4	3	5	1	2	1	5	2	3	5	7	5	7	1	1	8	5	3	6	1	1	1	4	1	1	1	6	1	6	1	1	4	5	4	1	12	8	5	2	6	10	1	10	3
7500	-363.534179061205748	-362.133830071491388	-1.400348989714346	0.000310407989404	0.000124458909784	0.400952662406966	0.385046270202328	-1	3	2	5	4	5	7	5	5	8	7	8	8	10	7	11	13	11	11	12	12	13	14	14	15	17	17	17	18	18	19	17	17	20	19	18	18	18	20	19	19	20	18	19	19	21	20	19	22	22	20	21	23	23	25	22	24	24	25	26	27	0	1	1	2	2	1	4	2	1	2	9	4	9	12	2	8	19	4	14	10	6	15	14	4	18	19	6	17	28	24	32	13	10	4	37	14	17	17	14	20	4	4	22	10	3	4	45	43	4	39	37	47	42	4	46	42	15	49	0	3	26	1	2	1	1	1	2	1	1	3	2	1	2	2	1	2	3	1	2	1	1	5	3	2	5	2	2	6	2	1	2	1	4	4	7	1	3	2	3	5	3	4	6	2	5	5	4	1	1	6	1	1	1	2	8	1	1	9	1	1	7	5
8000	-370.199483702875398	-368.731718442156080	-1.467765260719340	0.000408482122399	0.000130565767785	0.319636431132124	0.307541621362112	0	5	2	3	4	5	6	7	6	7	8	7	8	9	10	12	12	11	12	12	12	13	14	14	13	17	17	17	17	16	20	18	17	19	18	19	18	20	20	19	18	19	19	18	19	19	20	20	21	24	22	22	23	23	26	23	23	27	24	26	28	0	5	1	1	3	4	4	6	4	4	10	2	12	13	3	11	14	6	15	3	15	17	16	4	2	19	2	12	21	21	37	6	22	25	17	6	29	34	29	35	4	21	33	4	26	16	26	32	1	42	31	38	14	1	54	10	6	39	0	25	53	1	1	1	1	1	1	2	1	2	3	1	1	1	1	4	2	1	4	1	4	1	1	1	5	5	3	6	5	3	3	2	7	2	4	3	8	1	1	2	1	5	4	1	6	2	5	2	1	9	3	1	1	8	9	2	8	6	3	1	6	3
8500	-338.213364604970764	-336.737617104105141	-1.475747500865650	0.000665308475798	0.000208198586707	0.312935419102990	0.295277725302020	0	4	2	5	5	3	7	6	6	8	7	9	9	10	9	12	11	12	11	12	12	13	14	15	15	16	17	16	17	17	19	16	17	16	16	17	18	20	19	18	18	18	18	19	19	20	21	20	21	21	21	22	24	23	23	23	25	27	25	26	27	0	3	1	6	1	1	3	3	1	2	2	4	7	11	1	12	5	4	4	4	14	17	18	4	22	13	24	6	25	28	36	17	25	2	16	21	29	27	34	21	22	7	18	11	35	40	42	7	1	25	27	47	1	19	33	39	2	13	0	28	55	1	1	1	1	2	1	2	2	3	1	1	3	1	1	5	1	3	3	2	5	1	1	1	5	1	3	1	6	1	1	1	1	1	5	2	3	1	1	2	3	2	5	2	6	2	1	1	6	12	4	2	1	12	7	4	2	11	8	1	6	2
9000	-371.022722411556458	-369.596836817954056	-1.425885593602374	0.000444441233720	0.000161327822268	0.362990222391901	0.307910982018730	0	4	2	5	5	3	7	7	6	8	7	7	8	10	10	11	12	12	11	11	12	14	15	15	16	17	15	16	18	17	20	17	16	18	19	17	19	19	20	19	18	19	18	18	18	21	20	22	20	22	21	21	24	23	26	24	23	28	24	25	27	0	6	1	1	6	3	4	6	2	6	5	6	9	4	10	12	15	3	10	10	7	17	6	4	13	21	2	4	11	17	40	14	22	4	22	14	18	33	44	27	14	36	26	6	4	22	35	29	14	25	41	28	1	3	33	42	3	39	0	22	51	1	1	1	3	1	1	1	2	1	2	1	2	1	3	1	2	1	5	1	1	3	1	6	5	3	4	6	5	6	3	1	4	1	5	4	4	3	3	1	2	4	1	1	7	8	6	1	2	5	4	1	3	11	11	4	3	10	4	1	4	3
9500	-402.517224565920174	-401.010874852348820	-1.506349713571333	0.000464272254561	0.000134777475512	0.290298363056786	0.325010458407843	-1	5	2	5	4	4	6	6	5	6	6	9	7	9	10	10	10	9	12	12	12	13	14	15	15	17	15	16	18	17	20	16	16	18	17	18	18	20	19	19	16	19	19	19	17	20	20	21	21	22	21	22	23	22	26	23	24	27	25	26	27	0	6	1	3	3	3	4	2	3	4	9	11	5	7	2	11	12	2	10	6	15	8	22	16	22	25	14	1	25	14	29	3	21	6	5	12	25	32	8	16	16	26	22	16	6	43	27	32	4	28	34	47	2	21	46	34	3	41	0	46	40	1	1	2	2	1	1	1	1	1	1	1	2	2	1	2	3	1	2	3	5	1	3	1	2	1	1	2	9	1	4	1	7	2	6	7	6	2	2	6	5	2	1	3	4	7	1	2	3	9	3	1	1	10	4	3	2	9	6	1	4	4
