step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73
1	-753.118377215553892	-762.169220596005289	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.303513963303394	10	8	13	30	34	39	35	43	37	39	40	43	43	49	53	46	50	49	51	46	47	50	56	51	53	55	56	57	62	58	56	64	57	58	61	64	70	65	64	68	67	69	69	69	69	73	73	73	68	68	72	77	74	77	78	84	85	94	91	88	92	89	93	97	99	97	98	98	104	97	101	102	98	2	0	2	3	3	5	3	10	5	5	9	6	7	6	6	7	8	8	9	9	20	7	12	17	18	14	24	18	12	20	18	22	27	24	18	29	34	34	35	18	35	26	34	34	34	11	34	34	34	34	35	36	34	34	35	53	28	40	55	53	60	60	60	60	60	60	59	60	60	60	60	60	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-650.934047411869301	-659.295537922703829	8.361490510834532	0.000010016723091	0.000027437694536	2.739188683381311	0.901870115960702	9	5	14	30	33	40	36	44	35	38	44	45	44	48	51	39	46	49	48	45	49	51	57	49	52	52	56	56	56	55	54	57	59	55	51	63	72	63	66	69	61	60	73	67	65	72	76	71	64	68	73	75	72	70	77	78	68	92	84	83	94	90	91	95	96	95	94	95	105	96	96	101	101	2	0	2	3	4	5	4	10	5	5	9	6	7	6	6	7	10	8	9	9	20	16	12	17	18	14	24	25	12	21	18	22	27	24	18	29	38	34	41	25	35	26	38	38	34	11	48	44	34	34	35	36	38	34	39	53	28	40	55	53	60	60	60	62	62	62	59	62	73	62	62	66	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-646.971068070137449	-655.748150055313772	8.777081985176290	0.000009994255645	0.000016825363686	1.683503432722399	0.978502359870140	9	4	11	21	30	38	26	42	35	34	42	46	46	46	50	39	43	52	39	45	48	50	53	50	55	52	53	60	60	55	60	59	59	53	59	65	71	63	64	66	68	60	67	70	69	63	71	63	67	65	71	75	72	73	80	83	65	83	86	85	93	91	88	98	99	100	93	96	105	95	98	105	90	2	0	2	3	4	5	4	10	5	5	9	6	16	6	6	7	10	8	9	9	20	16	12	17	18	14	24	25	23	20	25	22	27	24	18	29	48	34	35	18	39	26	38	48	34	11	38	34	48	34	39	36	34	48	41	53	28	40	55	53	73	60	60	62	60	62	59	62	63	63	63	71	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-635.034657819577660	-643.620780070734895	8.586122251157244	0.000010072699316	0.000021513258619	2.135798750959106	0.992594649821920	12	4	15	24	31	39	35	46	37	43	44	43	42	49	45	47	47	49	47	43	50	48	55	52	53	56	55	61	60	59	56	60	60	58	58	64	63	64	62	69	69	63	67	68	67	52	73	65	62	69	72	72	76	67	75	85	84	83	93	83	88	89	92	98	100	94	100	100	104	93	102	105	99	2	0	2	3	4	5	4	10	5	5	9	6	7	6	6	13	10	10	9	9	20	13	12	17	18	14	24	25	23	21	18	22	27	24	25	29	34	34	35	31	39	26	34	34	34	11	54	34	34	48	39	36	44	48	39	53	28	40	55	53	60	60	62	62	73	63	59	63	73	62	63	63	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-639.591339345986739	-648.428014704419411	8.836675358432652	0.000010210707586	0.000015180585246	1.486731954500197	0.986598799217506	10	5	17	30	33	41	33	42	38	38	41	45	43	47	47	47	45	48	52	44	47	51	50	49	52	55	55	56	52	55	58	61	59	57	56	68	66	62	59	70	64	63	67	68	70	49	73	62	67	67	64	74	77	60	79	82	70	84	87	82	93	93	87	95	98	89	96	95	93	100	100	103	97	2	0	2	3	4	5	4	10	5	5	9	6	7	6	6	13	10	8	9	9	20	16	12	17	18	14	24	25	12	21	25	22	27	24	18	29	38	34	35	18	39	26	38	38	48	11	44	34	34	38	39	36	48	34	41	53	28	40	55	53	66	66	60	66	62	60	59	66	63	62	62	73	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-632.860626983499628	-641.763727410377214	8.903100426877581	0.000010166761062	0.000013581033646	1.335826972055114	0.997323096128251	11	7	15	26	31	40	31	43	35	37	43	45	37	51	50	43	48	51	48	41	49	50	51	51	54	58	56	58	58	55	54	57	61	58	60	63	64	62	63	68	69	63	72	66	71	58	71	73	69	68	75	75	71	65	76	79	73	81	89	85	92	91	88	101	98	96	99	98	105	98	95	105	100	2	0	2	3	4	5	4	10	5	5	9	6	7	6	6	13	10	8	9	9	20	16	12	17	18	14	24	18	23	21	18	22	27	24	31	29	34	34	35	31	35	26	44	34	54	11	34	44	44	54	39	36	38	34	35	53	28	40	55	53	60	63	60	71	63	60	59	66	73	66	62	66	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-632.180328049764853	-640.957360790504367	8.777032740739498	0.000010498353824	0.000016392925518	1.561475807868871	0.988989903744566	12	3	15	26	31	40	34	42	36	34	41	45	44	46	50	39	47	48	51	41	50	49	51	51	55	57	54	61	57	50	56	54	59	59	61	64	67	64	63	68	69	72	65	71	66	65	69	63	68	67	69	81	77	79	78	86	78	75	87	85	93	91	92	96	93	98	95	101	100	95	99	101	96	2	0	2	3	4	5	4	10	5	5	9	6	16	6	6	7	8	8	9	9	20	7	12	17	18	14	24	31	23	20	18	22	27	24	25	29	48	34	35	25	35	26	34	38	38	11	34	34	38	48	39	36	38	44	39	53	28	40	55	53	60	60	60	60	60	62	59	73	73	62	62	73	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-632.507321120354391	-641.044748374285518	8.537427253931099	0.000010962537057	0.000022304561120	2.034616713529260	0.955185901693021	11	9	15	31	31	37	34	43	35	39	44	45	40	49	53	47	41	47	50	39	47	50	54	50	53	57	56	57	62	57	56	63	59	57	57	65	68	62	60	69	69	69	68	70	67	68	74	64	70	67	71	75	77	74	77	82	77	87	86	83	96	89	91	97	101	93	99	95	103	96	97	101	98	2	0	2	3	3	5	3	10	5	5	9	6	7	6	6	13	10	8	9	9	20	16	12	17	18	14	24	18	23	21	18	22	27	24	25	29	38	34	35	31	39	26	38	38	34	11	48	34	38	38	41	36	44	34	41	53	28	40	55	53	62	60	60	63	63	62	59	63	63	66	62	71	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-630.740810706046773	-639.768338749502846	9.027528043456021	0.000011210731273	0.000007091079015	0.632526000539000	0.970377929781217	12	8	14	24	30	38	36	44	36	39	44	44	45	47	48	42	43	48	47	42	47	48	53	50	51	55	54	57	64	57	56	63	57	61	58	67	74	64	63	68	66	69	71	71	68	58	69	72	70	66	74	75	78	66	76	81	74	81	88	83	93	85	91	95	97	91	95	93	95	99	94	100	98	2	0	2	3	4	5	4	10	5	5	9	6	7	6	6	7	10	10	9	9	20	13	12	17	18	14	24	18	23	21	18	22	27	24	25	29	48	34	35	31	35	26	38	54	38	11	54	34	34	34	41	36	48	34	41	53	28	40	55	53	60	60	62	63	66	60	59	60	62	71	60	71	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-616.474998578353961	-625.114377530468118	8.639378952114166	0.000012136675700	0.000018182114753	1.498113256279433	0.998358801681852	11	6	14	28	33	41	29	44	38	39	43	45	35	47	48	44	45	47	47	44	49	51	53	51	54	52	54	60	60	52	53	60	60	59	64	65	68	64	67	63	67	63	66	62	70	63	74	74	72	68	72	75	77	73	80	87	78	92	93	86	89	89	92	94	95	91	101	101	106	98	97	98	95	2	0	2	3	4	5	3	10	5	5	9	6	7	6	6	13	10	8	9	9	20	16	12	17	18	14	24	31	23	20	18	22	27	24	31	29	38	34	35	25	35	26	34	34	44	11	38	38	44	38	41	36	48	38	35	53	28	40	55	53	60	60	62	60	63	60	59	66	71	66	66	63	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5000	-617.476929183828702	-626.094743373615984	8.617814189787333	0.000013785815105	0.000015778926715	1.144576986917152	0.997990486821716	12	6	12	22	35	39	34	44	37	40	44	43	40	52	46	40	45	47	46	45	48	47	52	51	57	57	54	55	56	57	60	53	60	58	59	64	70	61	65	63	63	66	71	70	66	68	72	65	67	68	73	71	75	73	78	86	76	80	86	86	89	88	92	95	96	98	94	94	97	93	101	104	95	2	0	2	3	4	5	4	10	5	5	9	6	7	6	6	7	10	10	9	9	20	16	12	17	18	14	24	18	23	21	25	22	27	24	18	29	38	34	35	25	35	26	48	48	38	11	38	34	38	34	39	36	48	34	39	53	28	40	55	53	62	60	62	62	62	63	59	60	63	62	73	62	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-613.673584889681479	-621.915009683780227	8.241424794098764	0.000017998002512	0.000018474147495	1.026455434856428	0.929578178388064	12	8	16	27	33	38	36	45	36	39	40	46	47	50	52	41	41	48	52	43	45	49	51	49	54	55	55	57	57	60	55	56	59	56	60	63	68	58	67	63	66	63	70	66	65	50	75	77	68	63	69	72	74	73	75	81	77	83	95	83	94	88	91	96	96	95	101	99	98	90	90	105	92	2	0	2	3	4	5	4	10	5	5	9	6	7	6	6	7	10	10	9	9	20	7	12	17	18	14	24	18	23	21	18	22	27	24	25	29	38	34	35	31	35	26	44	38	38	11	54	44	34	34	39	36	44	44	41	53	28	40	55	53	71	60	60	71	71	71	59	60	62	60	62	62	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-543.391873971505674	-548.578476184556962	5.186602213051274	0.000048690117470	0.000016020795158	0.329035869908776	0.991818555082302	7	3	15	26	31	37	35	41	36	39	41	42	44	47	47	39	46	49	42	40	48	49	53	49	53	56	55	61	60	55	57	59	62	58	62	63	72	67	65	66	69	69	68	62	67	49	74	65	71	69	72	70	73	78	75	82	67	81	82	85	90	89	91	97	95	100	90	99	96	93	99	92	95	2	0	2	3	3	5	4	10	5	5	9	6	16	6	6	7	8	10	9	9	20	16	12	17	18	14	24	18	23	21	18	22	27	24	25	29	38	44	35	31	39	26	48	34	34	11	38	34	44	48	35	36	48	38	39	53	28	40	55	53	60	60	60	62	63	73	59	73	60	60	63	62	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-524.513580216281298	-525.233315343167078	0.719735126885780	0.000090264547511	0.000016676334357	0.184749548046587	0.999648090650145	8	4	11	25	30	38	36	40	34	35	43	44	39	45	53	46	45	47	49	42	45	47	54	52	49	53	56	58	62	58	56	67	59	55	60	67	68	60	65	68	70	66	71	64	63	52	71	74	69	67	71	74	76	73	76	84	78	93	88	83	95	89	91	99	103	94	97	99	103	95	97	104	91	2	0	2	3	3	5	4	10	5	5	9	6	7	6	6	13	8	8	9	9	20	13	12	17	18	14	24	25	23	20	25	22	27	24	31	29	34	34	35	31	39	26	44	34	38	11	44	38	44	38	39	36	54	44	41	53	28	40	55	53	62	60	60	73	71	63	59	63	66	73	73	66	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-525.287868776570804	-524.446446443837999	-0.841422332732783	0.000107099508267	0.000023805297699	0.222272707728170	0.994063743820624	12	3	13	26	31	41	30	41	36	38	41	45	40	50	48	48	47	50	51	42	48	52	56	50	54	56	53	60	57	60	57	64	59	58	56	63	70	64	62	63	69	64	72	69	70	66	70	66	62	67	73	76	72	74	77	86	77	85	93	85	95	89	91	90	95	94	98	101	104	98	100	103	95	2	0	2	3	4	5	4	10	5	5	9	6	7	6	6	13	8	10	9	9	20	13	12	17	18	14	24	18	23	21	18	22	27	24	18	29	48	34	35	31	35	26	44	48	34	11	38	34	34	34	39	36	44	44	41	53	28	40	55	53	62	60	60	60	63	63	59	60	66	66	63	63	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-536.270612866629222	-537.481031589916029	1.210418723286807	0.000088761384392	0.000032165762240	0.362384638999707	0.990891148679618	15	10	16	30	27	36	37	41	36	35	41	41	42	47	49	44	47	47	46	44	48	49	50	53	50	56	58	56	64	52	55	65	61	61	57	67	72	64	63	61	68	70	65	72	70	65	73	69	66	68	72	75	74	78	78	79	63	78	86	84	89	93	89	95	94	94	95	95	107	93	97	94	101	2	0	2	3	3	5	4	10	5	5	9	6	7	6	6	7	8	8	9	9	20	16	12	17	18	14	24	18	23	21	18	22	27	24	25	29	38	34	35	31	39	26	34	34	34	11	48	38	34	34	35	36	34	48	39	53	28	40	55	53	60	63	60	62	60	63	59	60	66	60	62	60	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8000	-526.207284995655414	-524.951535201508591	-1.255749794146862	0.000110988636529	0.000023672124738	0.213284219700215	0.975160185893838	7	1	13	22	31	37	37	44	37	39	42	44	41	50	47	44	43	49	41	43	49	44	51	47	54	56	52	59	58	50	54	57	58	60	59	62	72	65	65	70	68	68	69	65	72	66	71	73	72	70	75	73	71	70	78	79	76	86	91	87	94	91	93	96	94	101	99	92	107	95	95	106	100	2	0	2	3	4	5	4	10	5	5	9	6	7	6	6	7	10	8	9	9	20	7	12	17	18	14	24	18	12	20	18	22	27	24	31	29	38	34	35	25	35	26	38	34	38	11	44	54	44	38	41	36	44	34	39	53	28	40	55	53	60	60	60	63	62	63	59	60	73	62	62	71	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
