step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101
1	-3378.029441207768286	-3383.968638426853431	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.775644801722184	0	2	1	1	3	3	2	4	3	4	5	3	4	7	5	5	5	6	5	4	4	7	6	6	6	5	6	5	6	8	8	7	7	7	6	6	7	8	9	8	7	7	7	8	9	9	10	9	9	8	10	9	9	9	10	9	9	10	9	10	9	10	10	11	12	14	12	12	13	11	12	14	12	12	13	14	14	15	14	13	14	16	14	14	16	17	15	17	17	17	18	17	18	19	20	21	22	23	24	26	29	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	3	2	2	4	3	3	3	3	3	2	2	4	3	3	3	3	3	3	3	4	4	4	4	4	3	3	4	4	5	4	4	4	4	4	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	7	6	6	7	6	6	7	6	6	7	7	7	8	7	7	7	8	7	7	8	9	8	9	9	9	9	9	9	10	10	11	11	12	12	13	15
500	-887.803395114650243	-893.742592333735502	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.478916625883700	-1	3	1	1	2	3	2	2	3	5	6	4	3	8	5	6	5	6	4	3	4	7	7	5	7	6	6	5	6	8	7	7	6	7	5	6	7	7	9	9	7	8	8	8	8	9	10	9	9	8	10	9	9	10	9	8	10	11	9	10	8	9	9	11	12	14	12	13	13	11	11	14	12	12	14	14	14	15	15	13	15	16	15	15	17	17	15	17	17	18	19	17	18	20	20	21	22	24	25	27	29	0	1	1	1	3	7	3	3	1	5	6	7	7	23	5	24	7	6	9	5	3	1	8	7	36	12	13	13	24	7	28	24	5	18	20	12	26	13	20	45	21	31	34	34	8	28	16	33	34	9	35	26	29	63	27	23	8	46	22	37	32	50	61	53	22	56	58	59	60	62	50	54	56	22	52	64	54	70	70	57	35	54	54	57	54	54	54	83	56	72	92	54	54	54	85	93	85	93	0	0	81	1	2	1	1	1	1	1	1	3	2	2	1	1	1	1	1	1	2	1	1	2	5	3	2	1	1	1	2	1	2	1	2	2	1	1	2	1	2	3	1	2	1	1	1	4	2	2	2	1	3	2	2	2	1	2	1	3	1	1	2	1	1	1	2	4	3	1	3	1	1	1	2	2	2	4	2	3	2	2	1	9	3	2	2	3	4	2	1	5	2	2	3	4	4	1	2	2	4	1	1	10
1000	-935.852702730640999	-941.791899949726258	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.600868095613835	-1	2	2	1	3	3	2	3	4	4	5	4	3	7	6	5	6	7	6	4	5	7	6	6	6	5	6	5	6	8	8	7	7	5	6	7	7	7	10	9	7	7	8	8	10	8	10	9	9	8	10	9	10	9	11	7	8	10	9	11	8	11	10	12	12	14	11	12	11	12	10	13	12	13	13	15	14	14	14	12	14	17	14	15	15	16	14	17	18	17	18	16	18	20	20	21	22	23	24	26	29	0	1	4	1	7	7	1	7	1	5	6	6	3	17	5	5	6	17	4	5	13	8	8	10	12	12	13	13	20	33	5	5	16	6	20	12	26	28	61	57	13	5	34	34	23	28	24	33	34	35	35	37	61	17	27	23	4	46	31	37	27	50	61	39	8	45	46	59	37	59	59	54	56	57	69	77	64	70	70	57	62	72	47	74	87	53	39	76	80	83	85	83	86	88	93	86	96	94	0	0	65	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2	2	1	1	1	2	2	1	1	2	1	1	1	1	2	1	2	2	1	2	2	2	1	3	1	2	1	1	1	2	1	1	2	2	1	3	1	1	2	1	3	1	1	3	2	2	2	2	1	1	2	2	2	1	1	2	1	2	2	3	1	3	1	1	3	2	2	4	1	1	1	1	2	1	2	1	1	1	1	7
1500	-868.413463930940679	-874.352661150025938	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.668796294165712	0	3	1	1	3	3	2	5	3	5	5	4	3	7	5	5	5	5	6	4	5	7	7	7	6	5	5	6	6	8	7	8	7	7	6	6	8	8	6	9	7	8	7	8	8	9	11	7	9	8	10	10	9	9	11	9	10	11	9	10	9	9	10	11	12	15	13	11	11	12	12	15	12	11	13	14	13	14	14	14	14	14	14	14	16	17	15	17	17	16	17	18	18	19	21	21	23	23	24	26	30	0	1	1	1	7	3	3	4	4	5	6	6	7	11	5	5	6	6	9	5	13	8	8	10	12	12	13	13	20	48	15	16	16	18	20	12	26	28	20	23	13	31	18	34	8	28	32	5	18	35	35	37	39	39	27	45	45	46	50	37	39	50	39	61	45	45	46	59	60	62	62	77	56	23	69	63	64	70	70	74	70	54	61	74	83	76	54	87	80	82	76	85	85	86	85	94	94	96	0	0	87	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	2	2	2	2	1	2	1	2	2	3	1	1	1	1	1	2	1	2	1	2	2	2	1	1	1	2	1	2	3	1	2	2	1	1	2	1	2	3	2	1	2	3	1	2	1	1	1	1	1	2	1	2	2	1	1	9
2000	-811.046313611518258	-816.985510830603516	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.686514850864582	0	2	2	1	3	3	1	5	3	4	5	4	3	7	6	5	5	5	6	5	5	6	6	6	6	5	6	6	7	8	8	7	7	6	6	5	7	9	8	9	8	7	8	8	7	8	9	10	9	8	10	9	9	9	9	10	9	10	10	9	10	10	11	12	12	14	12	12	12	12	12	14	12	11	14	14	14	14	14	14	14	16	13	14	16	16	15	17	17	18	17	16	18	19	20	21	22	22	23	26	28	0	1	7	1	7	7	1	4	1	5	6	6	7	4	16	5	6	6	9	10	13	8	3	10	36	12	13	13	20	16	28	16	16	18	20	12	26	28	20	8	27	15	34	34	8	28	29	30	34	35	35	37	39	39	28	45	23	46	50	37	39	50	39	63	45	74	58	59	52	62	62	64	8	57	69	54	54	70	70	56	70	72	63	74	72	77	54	76	80	72	85	76	85	88	93	88	96	94	0	0	14	1	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	2	1	2	1	1	1	3	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1	1	2	2	1	2	1	2	2	1	1	1	1	2	1	3	2	1	3	3	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	2	1	1	7
2500	-940.664577693781098	-946.603774912866356	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.728241785693636	-1	2	2	0	3	2	1	4	3	4	6	3	3	5	6	4	5	6	5	4	5	7	6	6	5	6	7	5	6	5	8	8	8	7	6	7	7	9	8	8	7	8	8	8	8	8	10	9	10	8	11	9	9	10	9	10	9	11	10	10	10	10	11	11	12	15	10	12	12	11	12	12	12	13	14	14	14	14	13	12	13	17	14	15	16	17	15	18	16	17	18	18	18	19	19	20	21	21	25	24	29	0	4	7	1	3	7	1	1	1	5	6	6	7	7	5	5	12	6	9	5	13	8	9	10	12	12	7	13	20	16	15	23	16	18	20	25	26	28	4	22	13	15	18	34	8	28	33	33	18	35	35	37	39	53	27	45	23	67	50	52	53	50	61	54	57	45	46	59	60	50	62	54	56	57	69	72	64	70	70	56	70	83	54	74	77	76	83	76	80	72	85	85	85	76	88	77	88	96	0	0	82	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	3	1	1	1	1	1	2	1	1	1	1	2	4	1	2	2	1	1	2	1	1	1	3	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	3	1	1	1	3	1	2	1	1	1	1	3
3000	-858.517478506369912	-864.456675725455170	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.636220458621497	0	2	2	1	3	3	1	5	1	4	6	4	3	7	5	5	5	5	5	5	4	7	7	6	6	5	5	5	7	8	8	7	7	7	7	7	6	8	8	9	8	6	7	8	9	9	10	8	9	7	11	8	7	10	10	10	10	10	10	10	9	10	10	10	11	13	12	12	12	11	12	13	12	12	13	15	14	15	14	13	14	16	15	15	16	17	16	15	18	18	18	17	18	19	21	19	22	23	24	26	29	0	4	7	1	7	7	1	7	1	5	6	6	7	28	5	5	6	6	9	10	13	8	8	10	12	12	13	21	20	27	42	16	8	18	20	25	26	13	53	23	13	15	18	18	8	7	53	19	34	20	35	37	20	61	28	45	8	46	50	37	39	50	39	53	45	22	46	59	60	62	62	54	56	57	69	72	64	70	70	73	70	54	72	74	76	76	72	39	80	72	85	54	86	61	93	88	82	96	0	0	94	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	2	1	3	1	1	2	1	2	1	1	1	2	1	3	1	2	2	1	2	1	2	1	3	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	3	1	2	1	2	2	2	2	2	1	3	1	5	2	3	2	2	1	1	5
3500	-606.100650492599016	-612.039847711684274	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.774344516886017	0	2	2	2	3	3	1	4	2	4	6	4	4	6	6	5	6	6	6	4	5	8	6	6	6	6	6	6	6	7	7	8	7	7	6	7	8	8	8	8	7	8	7	8	9	9	9	10	10	8	10	9	9	10	11	10	8	10	9	11	10	10	10	11	13	12	12	12	13	12	13	14	13	11	14	15	13	15	14	13	15	17	14	14	13	17	16	17	17	18	19	16	16	20	20	19	22	23	24	26	30	0	1	7	1	7	3	1	4	1	5	6	6	7	8	8	5	6	6	9	5	13	23	8	10	12	12	13	13	20	8	16	17	16	17	20	25	26	28	29	23	27	16	18	34	22	28	29	5	34	35	35	37	39	39	41	45	23	46	50	52	53	50	29	53	45	57	46	59	60	62	62	54	56	57	69	54	64	70	70	56	70	83	64	74	54	76	72	72	80	87	93	85	85	88	93	88	96	94	0	0	100	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	3	2	1	2	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2	2	2	1	2	1	2	1	1	2	2	1	2	2	1	1	2	2	1	2	1	2	2	1	1	1	2	1	1	3
4000	-609.912666733703645	-615.851863952788904	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.717713158124667	-1	2	2	1	3	4	1	3	3	4	5	3	3	7	5	5	6	7	5	5	5	8	6	6	7	4	6	5	6	8	8	8	8	6	6	6	7	8	7	8	6	7	8	8	9	8	10	10	9	8	9	9	9	9	10	8	8	10	10	10	9	10	10	11	12	15	12	12	12	11	13	13	10	12	13	13	15	15	14	13	14	15	14	14	15	17	15	17	17	17	19	16	17	19	19	21	22	23	24	27	29	0	4	4	1	7	12	1	4	4	5	6	7	3	23	5	5	6	34	9	10	13	23	8	10	12	12	4	13	20	16	15	5	21	6	20	12	26	13	20	8	21	5	34	34	40	28	29	15	34	35	35	37	20	39	41	23	23	46	50	52	39	50	39	54	45	45	58	59	60	62	62	54	56	57	69	54	64	70	70	73	70	83	53	74	76	77	76	64	80	53	88	85	85	76	93	88	96	96	0	0	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	1	1	1	2	2	1	1	2	1	2	1	3	1	2	1	1	1	1	2	2	1	1	2	1	3	1	2	1	2	1	2	1	1	1	1	1	1	3	1	2	2	1	2	2	1	2	1	2	2	2	2	2	2	1	2	1	1	1	1	4	2	3	2	1	1	3	1	2	1	2	1	1	1
4500	-631.834935440371510	-637.774132659456768	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.685670371640157	-1	2	2	1	3	3	1	5	3	4	6	4	3	8	5	4	5	6	4	5	5	8	6	6	6	5	7	5	6	8	7	8	6	6	7	6	6	7	9	7	7	8	7	9	8	10	10	9	9	8	10	8	9	10	10	10	9	11	10	10	7	11	10	12	12	14	12	12	13	12	13	12	12	11	14	14	13	14	14	12	14	15	13	14	16	17	15	17	18	17	19	16	18	19	20	20	22	23	24	26	30	0	1	7	1	3	7	1	4	4	5	6	6	3	8	5	5	6	6	9	10	13	8	8	10	12	12	16	13	20	33	15	8	16	6	20	12	26	13	61	8	13	15	34	18	23	13	35	33	34	29	35	17	61	39	27	45	8	46	50	37	20	50	53	54	45	45	58	59	60	62	62	54	56	57	69	64	53	70	70	56	70	72	72	74	77	87	72	54	80	87	85	76	53	77	93	93	94	94	0	0	99	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	2	1	2	1	2	1	2	2	1	1	1	1	3	1	2	2	1	2	2	2	1	1	1	2	1	1	2	1	1	1	1	3	4	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	2	1	2	1	1	2	3	3	1	1	1	3	3	1	1	1	2	1	1	3
