step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76
5000	-430.725097947488564	-437.580585898447964	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.565457548740254	0	1	4	5	6	6	8	8	9	8	10	9	9	7	12	10	12	10	11	13	11	12	10	13	13	15	14	15	13	14	14	16	17	15	15	16	16	17	16	17	15	15	15	15	17	18	17	18	17	17	19	18	19	20	18	17	20	20	19	16	20	20	21	22	21	21	22	22	22	21	22	22	23	26	25	27	0	1	1	2	4	3	5	5	3	14	6	7	14	1	10	6	8	8	12	22	11	10	6	17	5	19	14	11	21	15	29	19	19	25	31	22	19	32	28	27	21	30	30	23	31	34	36	39	43	60	37	38	28	47	25	30	31	50	49	17	33	33	49	45	39	31	52	49	32	56	57	58	50	56	37	73	1	1	2	2	1	1	1	1	3	1	2	1	1	3	2	2	2	1	1	1	1	2	2	1	3	2	3	3	1	1	1	2	2	1	1	2	3	1	1	2	2	1	1	3	2	2	1	1	2	1	2	1	3	1	2	1	2	1	1	2	1	2	2	3	2	2	2	3	3	2	1	2	3	3	4	2
5500	-427.834956920251102	-434.690444871210502	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.537674672351782	0	1	4	3	7	8	6	9	8	7	10	10	9	10	12	11	13	10	11	13	11	12	13	14	14	13	13	13	14	13	14	14	16	14	15	15	16	17	17	15	18	15	15	15	18	17	16	17	17	18	19	18	19	20	18	18	18	19	19	19	21	20	21	23	23	19	21	22	21	23	20	22	23	27	24	27	0	1	1	2	7	3	3	5	3	3	9	5	10	3	10	11	19	5	12	22	11	10	11	17	19	12	14	11	21	15	21	19	18	19	27	30	25	26	28	29	40	30	30	11	31	26	15	28	30	25	37	26	39	30	34	49	31	5	49	50	51	17	56	71	53	31	52	59	51	56	57	51	19	70	51	72	1	1	2	1	1	2	1	1	2	2	1	2	1	3	2	1	1	1	1	1	1	2	2	1	2	1	1	2	2	1	2	2	2	2	1	1	1	2	2	1	2	1	2	3	2	2	2	2	2	2	2	2	1	3	2	1	2	6	1	1	1	3	2	2	2	2	3	2	1	3	1	2	5	2	3	2
6000	-459.607646833870547	-466.463134784829947	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.570939714517579	0	2	5	4	7	7	6	8	8	8	9	9	9	9	11	10	12	11	10	9	11	13	13	14	14	14	13	14	14	14	15	15	18	15	15	15	15	18	16	16	18	16	16	17	18	18	17	17	15	17	18	18	18	20	18	17	19	18	20	18	19	20	21	22	23	20	22	20	20	22	22	22	23	27	25	28	0	1	2	2	7	3	4	5	6	3	3	5	10	6	10	9	12	8	8	10	11	15	16	17	19	12	6	16	21	15	27	19	17	19	27	30	19	26	28	21	27	36	20	23	31	25	36	39	30	26	37	26	28	43	26	30	31	19	49	50	32	25	56	45	28	35	38	49	26	56	66	17	26	63	72	75	1	1	1	1	1	2	2	1	1	2	2	1	1	2	2	1	2	1	1	1	1	1	1	1	2	3	5	1	1	2	1	2	2	3	1	1	3	2	1	2	2	1	2	2	2	1	2	1	1	2	2	2	2	2	1	1	2	3	3	1	2	2	2	2	3	2	2	3	2	4	1	4	6	2	1	2
6500	-458.783856362241750	-465.639344313201150	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.526877195804429	0	2	5	3	7	7	6	9	9	7	9	8	8	10	11	10	12	9	11	12	11	9	12	14	13	15	13	14	13	13	14	14	18	14	15	16	15	17	15	17	16	16	16	16	17	15	17	18	17	17	18	19	18	18	18	17	20	20	19	18	21	18	21	21	22	21	21	22	19	21	23	22	24	27	26	25	0	1	1	2	7	3	2	5	3	3	6	5	10	11	10	11	7	7	5	22	11	10	11	12	8	34	21	9	21	22	27	17	7	17	27	30	25	25	28	29	21	30	30	9	31	34	36	6	30	8	37	38	39	43	46	42	31	37	49	50	17	26	56	45	53	31	33	59	37	43	64	60	32	63	17	72	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	3	3	2	1	1	1	2	2	2	1	2	3	1	1	1	1	7	1	1	1	1	2	1	2	2	2	2	3	2	1	1	5	1	4	2	1	2	1	2	1	2	3	1	1	5	2	2	2	2	3	2	2	2	3	1	2	4	3	6	1
7000	-438.480725801194808	-445.336213752154208	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.544773330781867	0	2	4	4	7	7	9	9	9	7	9	8	10	10	11	10	11	9	11	12	12	12	11	14	13	14	13	14	13	14	15	15	19	15	16	17	15	17	16	16	17	15	15	16	17	18	17	16	17	19	18	16	19	21	19	18	20	20	20	19	20	20	20	22	20	21	20	21	19	22	22	21	24	27	26	27	0	1	1	2	1	3	12	12	6	1	6	5	10	6	10	11	8	5	7	10	16	10	11	7	19	19	6	16	21	20	27	19	12	26	31	30	17	32	28	29	29	15	15	15	31	34	30	28	43	32	37	26	39	43	46	43	35	25	43	32	37	60	56	35	39	45	52	59	32	56	45	51	46	70	51	75	1	1	2	1	4	1	1	1	1	4	1	1	2	1	3	1	1	2	1	3	1	3	1	2	1	1	3	2	1	1	1	2	4	1	1	2	1	1	1	2	2	3	2	3	1	2	2	1	1	3	2	2	2	2	1	1	3	3	2	2	2	1	1	3	2	1	3	1	2	2	3	1	3	2	4	1
7500	-462.284436000215862	-469.139923951175263	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.521556397575302	0	2	4	5	6	8	8	8	8	8	9	9	10	7	11	11	12	10	11	12	10	10	12	14	14	13	13	14	13	14	15	15	18	12	16	16	16	17	17	17	17	15	16	16	17	17	14	15	17	18	19	19	19	21	18	17	19	19	19	19	19	21	20	23	22	21	20	22	22	23	23	22	24	27	26	27	0	1	2	2	4	14	5	5	4	4	1	5	10	4	10	6	19	8	12	22	6	10	6	5	19	18	21	23	23	22	27	19	25	19	11	47	25	25	3	29	29	30	47	11	31	32	15	28	42	24	32	50	28	43	26	43	35	26	47	37	33	25	56	45	23	35	52	59	33	49	57	33	72	70	60	73	1	1	1	1	1	1	2	1	1	1	4	2	1	1	2	2	1	1	1	1	1	1	2	4	2	2	1	1	1	2	2	2	2	1	3	1	1	1	7	2	1	1	1	4	1	1	2	1	1	2	3	1	2	1	2	1	2	2	1	2	1	5	2	2	4	2	1	2	2	2	2	2	1	2	3	2
8000	-424.413339350308547	-431.268827301267947	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.581356447930657	0	2	4	4	5	8	9	7	8	6	9	9	10	11	8	10	12	11	12	12	11	11	12	14	12	14	12	14	13	13	14	15	18	14	15	14	15	17	15	17	18	15	16	17	18	17	17	18	16	18	18	18	18	21	17	18	19	19	19	20	17	20	20	22	22	21	20	21	20	22	22	22	23	26	24	26	0	1	1	2	4	4	8	5	3	3	9	5	6	11	10	11	8	8	18	15	9	15	11	18	18	19	21	23	14	20	27	19	46	12	27	30	25	32	23	27	9	30	30	23	31	26	36	39	42	61	25	38	28	43	37	49	31	32	49	51	25	18	56	57	48	31	52	59	51	56	45	51	72	56	50	73	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	1	3	2	1	2	1	1	2	2	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2	5	1	1	2	2	2	2	2	1	1	2	1	3	2	1	1	2	2	2	2	2	3	1	2	3	3	2	1	1	2	2	2	1	5	2	1
8500	-407.001951372562473	-413.857439323521874	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.603237348579242	0	1	5	4	6	7	9	7	7	7	8	10	8	9	10	10	13	11	12	11	10	13	12	14	13	14	13	14	13	14	15	16	18	14	14	17	16	17	16	16	17	15	14	16	18	18	16	17	16	18	18	19	19	18	19	18	20	19	20	19	20	21	21	23	22	21	21	21	20	22	22	22	23	26	25	27	0	1	1	2	3	3	8	5	3	3	3	7	10	3	10	3	7	8	8	15	14	20	11	7	18	25	11	23	21	15	27	25	37	19	27	47	19	32	23	29	29	43	22	27	31	34	42	28	30	24	37	38	39	43	32	49	45	37	49	32	32	37	49	57	39	31	52	59	32	56	66	58	72	49	73	75	1	1	2	2	1	1	1	1	1	1	2	1	1	2	2	1	3	2	2	1	1	1	3	2	1	1	3	1	1	2	1	2	1	1	1	1	2	1	2	2	2	1	1	1	2	2	1	1	1	2	1	1	3	3	2	1	1	1	3	2	2	3	3	2	3	2	1	1	2	2	1	1	1	4	1	1
9000	-434.670705892403532	-441.526193843362933	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.556526577087653	1	2	5	4	6	8	8	8	8	7	7	9	10	10	11	9	11	10	11	12	11	13	13	15	13	13	12	13	13	15	15	15	17	15	15	15	16	17	16	15	18	16	13	16	14	17	17	18	17	18	18	18	17	20	19	18	19	19	20	19	20	20	20	22	22	21	20	22	21	22	23	22	23	28	22	27	0	1	1	2	4	3	5	5	1	3	3	7	9	11	10	11	7	7	7	13	3	20	16	12	8	17	21	6	21	43	21	17	24	26	21	43	24	32	28	29	40	30	15	23	27	34	36	53	43	24	7	24	6	30	51	30	45	50	49	50	33	32	49	35	48	45	52	49	50	56	57	33	60	70	61	73	1	1	2	1	1	2	2	1	3	1	1	1	1	2	2	2	2	1	1	1	3	1	2	3	2	1	1	3	1	1	2	3	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	2	1	5	2	4	3	1	2	2	1	1	1	2	2	2	4	1	4	1	3	1	2	2	3	2	3	1	3
9500	-442.932661748545854	-449.788149699505254	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.637347942741070	0	1	4	4	5	9	8	9	9	8	7	10	10	10	11	11	12	10	11	13	11	13	12	13	13	15	12	14	13	14	13	15	18	14	15	17	14	17	16	15	17	16	15	15	17	18	15	17	17	18	17	18	18	20	18	18	18	19	19	19	20	20	20	22	21	21	22	21	21	23	22	23	22	27	25	25	0	1	1	2	3	11	5	7	11	3	3	7	10	10	10	3	12	7	7	15	9	15	11	12	19	19	14	14	14	10	14	12	32	17	16	47	24	25	28	29	29	30	22	16	31	51	22	28	43	26	19	38	39	47	34	49	27	33	49	33	17	60	56	45	48	31	52	59	61	56	57	58	58	70	46	73	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	3	2	1	1	1	1	2	2	2	1	1	2	2	1	3	1	2	2	1	2	2	1	2	2	2	2	1	1	2	2	1	1	2	1	2	3	1	2	4	2	1	3	1	1	1	3	1	2	3	2	4	2	2	1	2	2	2	1	2	3	2
