step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105
1	-601.875949688708715	-600.413867604189818	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.112383677928911	1	2	5	6	7	8	8	8	9	10	12	11	10	11	10	12	13	13	11	11	13	13	13	14	15	16	14	14	14	15	15	16	15	16	14	15	16	17	15	15	17	17	16	18	18	16	16	16	17	17	19	19	19	19	18	20	18	18	19	19	20	19	20	21	21	21	21	24	23	22	22	22	22	23	23	24	24	24	24	26	25	26	26	28	29	29	32	30	31	32	32	32	34	34	34	34	36	37	38	40	40	40	41	42	45	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	4	4	4	5	6	5	5	5	5	6	6	6	5	5	6	6	6	7	7	8	7	7	7	7	7	8	7	8	7	7	8	8	7	7	8	8	8	9	9	8	8	8	8	8	9	9	9	9	9	10	9	9	9	9	10	9	10	10	10	10	10	12	11	11	11	11	11	11	11	12	12	12	12	13	12	13	13	14	14	14	16	15	15	16	16	16	17	17	17	17	18	18	19	20	20	20	20	21	22
500	-563.991961920242375	-562.630934227328453	-1.361027692913935	0.000009994025565	0.000005836967931	0.584045727435391	0.183485458432070	0	2	6	4	6	8	9	8	9	11	13	11	10	11	10	12	13	13	11	11	13	13	13	14	16	16	15	11	15	15	16	16	14	16	13	16	16	17	15	15	17	18	17	18	19	14	15	17	17	17	19	16	18	18	18	20	19	19	20	18	20	19	20	20	20	20	22	24	24	21	22	22	22	23	23	25	25	22	23	27	24	27	26	29	29	30	33	30	31	32	32	33	34	32	33	34	37	37	39	40	40	40	40	42	45	0	1	1	2	4	1	1	3	5	7	9	9	1	4	5	28	6	10	3	6	5	6	20	9	7	6	15	2	14	4	24	15	21	2	5	6	23	18	6	21	39	36	30	26	29	9	46	22	32	33	0	16	19	0	1	20	22	10	16	20	20	47	49	16	30	40	10	61	13	64	45	60	54	52	0	26	56	4	1	79	6	76	2	71	72	59	4	45	64	26	44	28	5	47	79	19	70	34	11	56	23	70	2	56	78	1	1	4	1	1	6	5	1	1	1	2	1	5	3	3	1	2	2	3	1	4	3	1	3	4	4	2	4	2	7	1	4	1	7	4	5	2	2	3	1	1	1	1	2	2	3	1	2	1	2	1	2	5	1	10	4	3	4	5	4	6	2	2	3	3	3	6	2	5	1	2	3	3	5	1	4	4	11	14	2	8	1	14	3	3	5	14	5	5	9	6	13	15	10	6	12	8	10	13	11	15	10	19	14	11
1000	-626.206292948712985	-623.350094000172817	-2.856198948540195	0.000010017595465	0.000049578652053	4.949156933610975	0.232495073812579	1	3	6	7	7	9	8	9	9	10	12	11	10	12	11	13	12	13	11	11	13	13	13	14	14	16	15	13	14	15	16	15	16	17	14	15	16	17	15	16	17	17	15	18	17	16	16	16	17	16	20	20	18	18	18	19	18	19	19	18	21	17	21	20	20	21	22	23	22	21	22	22	23	24	24	25	23	25	23	26	26	26	26	28	30	29	32	30	31	32	32	32	34	34	35	35	37	37	37	40	41	39	40	42	45	0	1	2	3	2	5	5	4	2	3	15	4	3	7	9	12	10	12	9	9	1	2	7	19	21	10	18	9	20	16	35	3	15	7	19	7	16	40	2	10	12	39	12	16	47	43	23	20	32	19	0	19	38	0	26	31	21	12	24	43	26	25	60	55	55	40	20	9	64	37	35	52	33	58	0	48	24	37	64	11	9	62	43	67	14	78	24	20	74	63	51	18	60	17	24	74	74	77	92	22	26	22	44	53	64	1	1	1	1	2	1	1	2	4	2	1	3	3	2	1	1	1	1	1	1	5	6	2	1	1	4	1	2	1	1	1	4	3	6	2	3	2	1	6	3	3	1	3	3	1	1	2	3	1	3	1	3	1	1	1	3	3	5	2	2	1	1	2	1	1	2	5	6	1	2	4	1	3	2	1	4	6	5	3	5	7	5	7	4	8	2	8	9	3	6	5	8	7	11	11	5	7	6	3	12	11	15	14	14	13
1500	-636.219013579639750	-632.929552589984155	-3.289460989655573	0.000010020562844	0.000066495023687	6.635857158965403	0.388953955777033	1	2	6	6	7	9	8	8	10	10	13	11	10	11	10	12	12	14	12	12	12	14	13	14	14	16	15	14	13	15	16	15	15	16	15	15	17	17	14	13	17	17	14	18	18	16	17	17	15	17	18	20	18	19	18	20	18	18	19	19	21	19	20	21	22	21	21	24	23	23	22	21	22	23	23	24	24	24	23	27	23	26	27	28	29	28	31	29	31	33	31	32	34	35	34	35	36	37	38	38	40	40	42	42	46	0	1	1	2	1	7	4	5	7	8	10	13	3	6	3	7	15	23	6	14	5	9	5	6	17	2	9	6	12	5	12	15	24	4	40	10	11	16	6	15	24	32	2	26	49	3	14	40	20	49	0	48	8	0	43	45	10	40	25	37	45	57	60	42	40	48	31	79	44	19	34	44	6	64	0	69	57	23	67	81	35	68	42	77	15	77	84	36	78	89	86	57	77	88	88	66	60	82	95	79	99	31	91	45	85	1	1	3	2	3	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	3	1	3	3	1	7	3	1	2	2	3	2	1	4	1	1	2	4	2	2	1	1	5	1	2	4	3	2	1	1	1	2	2	1	2	2	4	3	4	1	1	1	1	2	2	2	2	1	3	4	4	2	6	1	1	1	4	5	1	2	2	1	6	3	8	2	2	6	4	1	1	6	4	4	3	7	8	6	2	6	1	12	6	10	8
2000	-629.236584710375041	-624.399516063414353	-4.837068646960681	0.000009978907118	0.000153533137801	15.385766796412899	0.423041229424879	0	1	5	6	8	8	8	8	8	11	10	11	9	12	10	12	13	13	11	11	12	13	14	13	15	17	15	14	14	14	16	16	15	16	13	12	17	17	15	15	17	15	16	18	17	15	16	16	17	17	19	19	20	20	18	21	18	19	19	19	19	18	20	20	21	20	22	22	23	22	22	23	23	22	23	24	24	23	24	26	25	26	26	29	29	29	32	31	29	32	32	30	33	35	33	34	36	36	37	40	41	40	42	40	45	0	1	2	3	4	4	4	4	2	13	6	8	1	8	6	4	16	19	6	8	15	5	24	3	6	14	11	5	15	4	40	9	12	29	20	6	39	15	9	28	20	20	27	30	18	5	25	12	46	42	0	57	24	0	39	58	39	6	25	31	29	31	31	26	59	62	50	62	71	54	13	63	23	63	0	39	68	3	58	73	66	76	25	66	76	29	92	86	67	84	86	76	83	91	76	85	84	88	90	98	104	85	89	92	101	1	1	3	1	1	1	1	1	3	1	2	1	5	2	1	2	1	1	2	1	1	1	1	4	4	2	3	2	2	3	1	5	2	1	1	2	1	3	2	1	3	2	1	1	2	4	1	2	1	1	1	1	5	1	1	1	2	3	2	1	3	1	2	2	1	1	3	2	1	1	6	1	4	1	1	4	2	11	2	2	2	1	5	5	2	7	1	1	4	1	1	3	3	2	3	3	3	2	3	2	1	5	4	4	3
2500	-591.007915520108895	-585.881472589592136	-5.126442930516713	0.000010232329340	0.000180086299757	17.599736459470297	0.461182088969260	1	3	6	6	8	9	9	8	10	11	10	12	9	11	11	12	14	13	12	10	12	13	11	12	15	15	13	15	14	15	16	17	15	15	15	15	16	17	14	15	17	18	15	19	18	16	15	15	18	17	19	19	19	19	19	21	17	18	19	20	20	17	20	21	21	22	21	25	24	21	19	23	22	23	23	24	24	22	23	26	25	26	27	28	30	29	31	31	32	33	32	33	34	34	34	35	37	37	38	39	39	41	41	42	44	0	1	1	2	4	3	2	4	8	4	7	23	3	7	7	11	18	6	6	6	6	16	2	20	19	12	9	1	9	9	47	6	18	29	16	6	11	14	10	18	25	25	39	38	37	18	18	19	18	17	0	46	30	0	37	55	34	40	35	58	51	43	27	52	36	56	60	59	67	38	38	54	35	36	0	28	70	18	78	77	47	72	69	82	84	83	69	86	84	88	85	75	89	90	77	91	95	89	80	98	99	95	96	16	102	1	1	2	1	1	1	2	1	1	3	1	1	1	1	2	1	1	2	1	1	1	1	4	1	2	3	1	7	2	2	1	5	2	1	1	4	2	3	1	1	1	1	1	2	1	1	1	1	3	1	1	1	2	1	1	1	1	2	2	1	1	1	3	1	3	1	1	3	2	1	1	3	3	4	1	4	2	4	1	1	5	1	1	1	1	1	4	1	1	1	1	6	1	1	4	2	1	3	6	1	1	3	3	11	1
3000	-453.725187135819397	-451.922897545382511	-1.802289590436890	0.000010465395781	0.000019300261443	1.844197949835420	0.397242901830629	1	2	5	6	8	9	8	8	9	11	12	11	11	11	10	12	13	14	11	12	13	13	13	14	15	16	15	14	14	16	15	17	14	16	14	14	17	17	15	16	16	17	16	18	19	16	16	16	18	17	20	19	19	19	18	20	18	17	20	18	20	19	21	22	22	22	21	24	23	22	21	22	22	24	23	23	24	24	23	25	25	27	26	29	28	28	31	30	31	32	33	32	35	35	35	34	35	38	39	39	41	40	41	41	45	0	1	1	1	4	7	4	1	5	6	6	15	9	9	4	13	2	12	2	3	3	9	7	6	10	7	17	4	20	15	22	12	20	25	14	1	27	20	5	29	19	25	22	20	55	33	24	22	21	22	0	50	57	0	38	17	31	48	46	25	39	32	62	56	35	67	29	31	49	25	45	56	17	79	0	30	69	15	64	56	15	17	58	75	79	38	32	83	86	88	89	88	88	87	51	90	63	91	81	87	99	98	98	1	103	1	1	2	4	1	1	1	4	1	1	1	1	1	1	2	1	3	2	5	3	4	2	2	2	2	4	1	3	1	3	1	3	1	1	1	5	1	2	3	1	2	1	1	3	1	1	2	2	3	2	1	1	1	1	1	5	1	1	2	2	3	1	1	1	4	1	3	3	2	3	1	1	5	1	1	4	1	8	1	3	7	9	5	3	3	4	6	2	1	1	1	1	2	3	8	1	5	3	7	4	1	1	1	11	2
3500	-401.473974646418014	-398.430003621137303	-3.043971025280706	0.000010540605957	0.000059511074538	5.645887416746504	0.492923478603935	1	3	5	7	8	9	8	7	9	10	12	12	10	11	11	12	14	14	10	11	13	13	12	14	15	16	14	14	13	16	15	16	14	17	14	15	16	17	14	14	18	18	16	18	19	15	16	15	17	18	18	20	18	19	19	20	18	18	20	20	21	19	19	22	21	21	22	24	23	23	22	22	23	23	23	25	24	23	25	26	25	24	26	27	29	29	31	31	31	33	32	32	32	34	33	34	37	35	39	39	40	39	41	43	45	0	1	2	3	2	3	4	3	5	5	3	6	7	6	6	10	3	23	7	13	9	14	5	14	11	4	21	15	14	10	21	16	4	48	22	29	24	29	5	11	32	38	25	24	32	27	28	14	9	29	0	17	30	0	58	57	49	24	44	32	39	24	22	52	52	45	49	54	58	67	44	57	52	52	0	73	72	15	73	69	48	62	79	66	83	83	52	83	86	89	85	77	86	86	78	92	90	90	90	97	90	97	99	50	101	1	1	1	1	2	2	1	1	1	1	3	1	1	1	1	1	4	1	1	1	2	1	2	2	1	5	1	2	1	3	1	2	4	1	1	1	1	4	3	1	1	1	1	2	2	1	1	2	3	2	1	3	1	1	1	1	1	1	1	2	3	2	3	1	1	1	2	2	2	1	2	1	2	2	1	1	1	6	1	1	6	2	1	3	2	2	5	2	1	1	1	4	2	2	5	1	2	1	4	1	3	1	1	15	2
4000	-551.896630766577346	-549.332086570312867	-2.564544196264484	0.000010833903000	0.000042934038154	3.962933594154605	0.424177001967282	2	3	5	6	7	8	9	8	8	11	11	8	10	11	11	10	14	13	11	12	12	13	13	14	15	16	15	15	13	16	16	16	15	17	14	15	15	17	16	15	17	17	17	19	18	16	17	17	18	17	20	18	16	19	19	20	18	19	20	19	20	20	18	20	21	20	21	25	22	23	21	23	23	24	24	24	25	25	22	24	25	25	27	27	30	28	33	29	31	33	32	32	34	34	34	34	37	38	39	38	40	40	41	43	45	0	1	2	2	3	4	3	2	3	12	4	2	6	12	4	12	3	14	9	16	6	6	12	14	14	7	21	2	11	20	16	15	24	40	21	12	16	15	10	19	37	3	35	14	38	20	40	21	50	30	0	27	22	0	57	57	46	18	35	23	35	49	26	40	13	1	45	72	43	71	55	16	59	37	0	69	43	62	21	79	16	62	78	68	86	83	54	77	78	91	85	67	75	86	87	87	92	95	95	95	98	97	99	47	103	1	1	1	1	1	1	2	2	2	1	1	2	2	2	2	1	6	1	2	1	2	3	2	1	2	3	1	6	1	2	2	3	1	1	1	4	2	3	2	2	1	6	1	3	1	2	1	3	1	1	1	2	1	1	1	1	1	4	3	2	3	1	1	2	5	9	2	1	2	1	1	7	1	4	1	1	5	4	4	1	7	3	1	1	1	1	6	3	4	1	1	6	5	2	1	1	3	1	3	2	1	1	1	13	3
4500	-703.513728914485682	-700.838593234851714	-2.675135679634014	0.000011649046119	0.000050367533597	4.323747462446678	0.433662727701515	1	3	5	6	6	9	9	7	9	9	12	11	11	11	11	11	14	12	11	12	13	13	11	14	15	16	15	14	13	13	16	17	14	13	14	16	17	18	15	15	17	18	16	16	18	16	16	16	16	18	19	19	19	19	19	20	18	19	20	20	20	20	20	22	19	19	21	24	23	23	23	23	22	24	23	23	25	23	24	25	25	26	26	29	29	29	32	30	32	32	32	32	34	32	34	35	35	37	37	40	40	40	41	42	45	0	1	2	2	3	8	8	4	3	8	1	6	2	7	9	6	29	6	9	6	14	20	4	13	15	4	9	11	19	23	11	12	19	19	19	13	34	5	21	29	31	44	33	28	46	4	30	35	19	39	0	19	41	0	27	43	43	11	11	41	50	43	27	38	32	41	22	53	67	37	65	54	67	60	0	55	73	3	45	60	26	68	79	60	81	51	73	71	80	86	88	69	86	77	90	87	94	89	95	93	98	68	97	74	103	1	1	1	2	1	1	1	1	3	1	5	1	4	1	1	1	1	1	1	2	1	1	4	1	2	3	4	1	1	1	3	3	1	1	1	2	1	7	1	1	1	1	1	1	1	5	1	1	2	1	1	4	1	1	2	1	1	4	3	1	1	3	4	2	1	1	4	3	1	3	1	2	1	3	1	2	2	4	3	2	3	1	1	4	2	5	6	3	4	1	1	4	2	5	1	2	1	2	2	3	2	9	2	8	3
