step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84
1	-3624.337385885000003	-3631.192873835959290	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.309608558029282	0	4	5	4	5	6	7	7	9	9	9	10	10	12	12	12	13	13	14	15	14	16	14	14	15	15	15	16	15	16	17	17	17	17	17	19	18	20	20	20	23	22	22	23	21	23	24	23	25	26	24	24	25	25	25	27	25	25	27	27	26	27	27	26	26	28	27	28	29	29	30	30	31	32	33	34	35	37	37	39	37	41	44	46	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	3	4	4	5	5	5	5	5	6	6	6	7	7	7	8	7	8	7	7	8	8	8	8	8	8	9	9	9	9	9	10	9	10	10	10	12	11	11	12	11	12	12	12	13	13	12	12	13	13	13	14	13	13	14	14	13	14	14	13	13	14	14	14	15	15	15	15	16	16	17	17	18	19	19	20	19	21	22	23
500	-1153.206832048898150	-1160.062319999857436	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.170987386067260	0	2	6	4	6	4	7	7	7	9	10	11	10	11	12	13	13	14	13	13	14	16	14	11	15	15	15	16	15	16	18	17	17	18	17	16	18	20	17	17	23	22	20	23	18	20	24	23	25	27	24	25	25	26	25	27	26	25	27	27	27	27	28	27	27	28	27	28	29	29	30	31	29	32	34	35	36	37	37	40	37	41	44	46	0	1	1	2	2	1	6	6	4	7	7	6	6	3	5	13	8	14	24	8	14	15	15	9	15	14	20	17	13	20	28	24	19	26	14	6	30	21	6	0	24	33	24	38	10	3	40	33	20	36	40	22	36	40	48	49	40	19	40	39	39	24	49	40	19	37	40	39	40	53	39	39	36	36	43	9	43	36	36	45	0	36	65	39	1	1	3	1	2	2	1	1	2	1	2	3	4	2	4	2	3	1	2	3	2	2	2	2	1	3	1	2	2	2	1	2	1	2	3	7	2	4	8	1	6	3	5	2	5	5	3	3	7	8	4	8	3	9	2	1	7	8	7	9	10	8	1	9	9	5	7	5	8	3	9	9	8	9	9	14	10	13	11	18	1	11	9	16
1000	-712.110728871311608	-718.966216822271008	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.215854050492358	1	4	6	4	5	5	7	7	9	9	10	8	10	11	11	13	11	13	14	15	14	17	13	15	16	15	15	16	15	14	17	18	16	18	18	20	18	20	19	17	23	22	22	23	20	22	24	21	25	26	24	25	25	25	25	27	25	22	28	28	27	27	28	27	26	27	25	28	29	30	31	31	31	33	34	35	36	37	34	39	36	41	45	46	0	1	6	1	2	2	2	2	7	6	6	5	8	8	13	17	8	17	10	13	17	13	17	19	30	17	16	8	17	17	20	24	30	26	16	30	33	17	19	0	19	33	37	28	32	40	40	33	13	36	40	40	41	40	33	41	40	19	40	40	40	33	55	40	48	55	40	62	40	50	42	68	66	72	55	39	68	41	43	43	0	71	77	73	1	2	1	1	1	1	1	2	1	2	3	2	2	2	1	1	2	1	2	2	3	2	2	1	1	2	1	3	2	2	1	2	1	2	3	3	2	5	2	1	5	3	3	4	1	3	4	3	7	4	2	7	1	5	5	2	5	3	6	10	8	8	1	7	3	2	5	1	7	2	5	2	3	2	5	11	6	8	9	17	1	6	5	7
1500	-606.019242252707841	-612.874730203667241	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.310368700986300	1	4	3	5	6	6	7	7	10	10	8	11	10	13	12	12	14	13	14	16	15	16	14	14	15	15	16	16	14	16	16	16	17	17	15	19	19	20	20	17	24	21	22	23	20	22	23	24	24	25	25	23	26	25	25	28	25	26	27	28	27	26	28	27	27	25	28	27	29	29	31	30	30	30	34	35	35	37	38	40	38	40	43	46	0	1	1	3	3	3	2	3	11	6	4	13	8	2	6	13	16	15	11	13	14	16	16	13	15	15	14	19	14	19	23	24	19	26	16	30	32	28	24	0	36	24	42	28	32	40	40	43	39	36	52	40	50	40	33	50	40	49	47	40	40	37	66	51	62	43	40	66	40	50	55	66	68	68	72	50	66	50	66	43	0	72	79	83	1	2	1	1	1	2	2	2	1	2	3	1	1	5	3	1	1	1	2	3	1	2	2	2	2	3	1	1	1	1	1	2	2	1	2	2	2	2	4	1	3	3	1	2	2	2	3	1	3	3	1	3	1	5	4	2	5	1	3	7	7	4	1	1	1	2	5	1	7	2	3	3	2	2	2	7	5	8	6	11	1	4	3	2
2000	-571.973158196097302	-578.828646147056702	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.316914562391562	-1	4	4	5	6	7	8	6	10	10	8	10	10	12	13	12	14	14	13	15	14	17	14	15	16	16	16	17	14	15	17	17	17	18	17	20	18	21	21	18	24	21	23	24	21	22	24	24	25	24	23	24	25	25	25	28	26	25	26	26	27	26	27	26	26	28	28	27	29	29	30	30	32	33	34	34	35	38	38	39	36	41	44	46	0	1	1	2	2	3	5	2	11	2	5	11	8	13	6	13	16	14	13	19	14	27	14	10	13	16	16	24	14	19	14	15	24	26	16	25	33	23	32	0	36	37	37	23	32	40	40	42	45	36	40	40	36	40	37	50	40	41	40	40	40	42	62	52	42	55	40	62	51	50	68	68	72	72	66	50	74	50	66	55	0	73	82	80	1	3	3	1	1	1	1	1	1	4	1	1	3	2	4	1	1	1	2	1	2	1	2	3	4	1	2	1	1	1	3	2	1	1	3	2	1	4	2	1	2	2	3	4	2	2	4	2	3	2	2	3	2	3	5	2	4	1	5	5	5	3	1	1	2	2	4	1	4	2	2	2	1	2	3	5	1	7	7	10	1	3	2	3
2500	-543.627415458038968	-550.482903408998368	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.487342445501120	-1	3	4	4	6	6	8	8	10	9	9	11	10	11	12	12	14	12	13	14	14	16	14	13	15	13	16	16	16	16	17	17	18	17	15	20	19	19	21	19	24	23	22	24	22	23	24	24	26	27	23	22	24	25	25	27	25	26	28	27	27	27	27	26	24	28	27	28	28	30	30	29	31	33	33	34	34	37	36	39	38	42	44	46	0	1	1	1	4	3	4	3	2	5	2	7	8	6	8	14	16	9	9	13	14	16	16	9	19	14	35	9	23	9	23	24	24	26	16	19	33	28	25	0	39	37	37	38	36	40	40	33	45	39	40	40	36	46	43	36	52	39	40	57	54	55	43	46	42	43	47	48	47	50	66	68	72	72	66	53	74	70	74	66	0	68	82	82	1	2	2	2	1	1	3	2	5	1	3	2	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	4	1	4	1	2	3	2	1	5	1	1	3	1	1	2	1	3	1	2	3	4	2	2	2	2	3	1	2	3	2	3	4	1	1	1	2	2	1	2	1	3	2	2	1	1	1	2	3	5	1	3	1	5	1	7	1	3
3000	-512.634587912308234	-519.490075863267634	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.522232048970703	1	3	5	4	6	6	8	8	10	9	9	11	11	12	12	11	13	13	14	15	14	15	14	13	15	15	14	16	14	15	16	17	18	17	18	19	19	20	20	19	23	22	23	24	22	22	23	23	25	26	24	24	24	25	26	27	25	25	28	26	26	26	27	24	25	29	28	29	29	29	31	31	31	32	34	33	35	37	37	40	37	41	43	45	0	1	2	2	2	2	6	1	3	5	5	11	11	16	13	6	16	14	24	15	16	27	16	13	24	16	16	23	15	24	21	19	30	26	27	30	33	28	30	0	36	33	37	28	39	40	40	42	41	53	40	40	41	47	48	53	40	45	64	57	54	37	48	46	43	43	46	55	60	50	66	62	66	66	68	70	73	76	74	74	0	66	79	83	1	1	1	1	2	2	1	3	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	2	2	1	2	2	2	4	1	2	2	1	1	1	3	2	1	1	1	1	3	2	2	1	1	3	2	1	1	4	4	2	2	1	1	2	2	2	3	3	2	3	3	3	1	7	4	2
3500	-473.410952501765962	-480.266440452725362	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.638449457269525	0	4	5	5	4	6	7	8	9	9	8	9	11	12	12	11	14	13	11	15	14	16	13	13	16	14	15	17	16	17	17	17	17	17	17	19	19	20	21	20	22	22	22	22	22	23	23	23	24	27	24	25	23	25	25	28	25	26	26	27	26	27	26	26	25	28	27	27	30	30	31	30	31	33	33	34	34	37	37	39	37	41	44	46	0	1	2	2	1	3	2	6	3	7	5	5	8	19	8	8	16	14	8	15	16	21	16	13	24	13	16	23	23	24	29	24	24	26	27	30	33	23	36	0	33	37	37	28	39	40	40	42	45	53	40	46	41	46	42	50	47	45	46	47	54	48	48	51	43	68	47	43	60	50	72	66	72	68	66	70	72	76	68	79	0	79	79	83	1	2	1	1	2	1	1	1	2	1	2	2	2	1	2	1	1	1	2	2	1	1	1	1	2	2	2	2	2	2	1	2	2	2	1	1	1	3	1	1	2	2	2	2	1	2	1	1	1	2	2	1	1	1	2	1	1	2	1	2	1	2	1	1	2	1	2	2	1	2	1	1	1	3	2	2	2	1	4	1	1	3	3	2
4000	-491.102220644684166	-497.957708595643567	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.661799117899262	1	4	6	4	5	6	8	8	10	9	8	11	11	13	11	12	14	14	15	15	14	16	14	14	13	14	15	17	16	17	18	16	17	18	18	18	18	19	20	20	24	22	22	23	22	23	24	23	26	26	24	25	25	24	24	28	26	24	26	27	27	25	28	27	25	27	28	26	28	29	30	31	32	31	33	33	35	37	37	39	34	40	45	47	0	1	2	1	2	1	6	6	7	7	1	6	8	15	6	11	14	14	24	8	16	16	14	13	8	16	17	23	23	19	23	25	25	26	27	30	33	28	32	0	39	37	37	38	39	40	40	43	58	53	40	47	41	46	43	53	46	45	51	59	54	43	62	47	42	68	57	55	60	50	68	66	71	68	66	56	73	76	72	79	0	80	82	83	1	1	1	1	1	2	1	1	1	1	3	2	2	1	2	2	1	1	1	3	1	2	1	1	4	1	1	2	2	1	2	1	2	2	2	1	1	1	2	1	2	2	1	2	1	2	3	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	2	1	2	1	1	1	1	2	2	2	1	2	2	2	2	3	3	1	1	1	4	1
4500	-506.567948323344467	-513.423436274303867	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.588947203379112	1	4	6	5	6	7	8	7	8	10	9	10	11	12	11	13	14	14	14	16	14	15	14	14	14	15	14	16	14	16	18	18	17	17	17	19	19	20	20	20	23	23	22	23	21	24	23	21	26	27	25	25	24	23	25	27	24	23	27	27	26	27	27	26	26	27	28	28	29	29	29	31	30	29	32	32	34	37	37	38	37	39	43	47	0	1	2	2	2	5	3	3	3	7	5	11	8	8	8	13	16	13	13	13	16	16	16	13	15	8	14	23	14	19	23	24	24	26	27	32	33	28	24	0	36	37	37	38	32	40	40	33	58	53	54	47	41	40	43	53	40	45	51	54	46	55	43	47	42	65	54	42	60	50	68	66	68	66	66	70	72	76	68	79	0	79	82	83	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	3	2	2	1	1	1	1	2	5	1	2	2	1	2	2	1	1	2	1	2	2	3	1	2	2	1	1	2	2	2	2	3	1	1	2	1	2	2	2	1	1	1	1	1	1	2	2	2	1	3	2	1	1	1	2	1	1	2	1	1	3	4	1	1	1	2	2
