step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67
1	-1971.958135925777697	-1978.813623876736983	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.908655822402297	0	0	1	2	4	4	6	5	6	5	9	6	8	6	8	9	8	9	9	10	10	9	11	10	12	12	11	12	12	12	14	12	12	13	12	13	15	15	14	16	15	17	16	15	14	15	17	17	16	15	17	16	18	17	18	17	18	18	18	19	20	20	21	21	21	22	24	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	5	3	4	3	4	5	4	5	5	5	5	5	6	5	6	6	6	6	6	6	7	6	6	7	6	7	8	8	7	8	8	9	8	8	7	8	9	9	8	8	9	8	9	9	9	9	9	9	9	10	10	10	11	11	11	11	12
500	-544.887488304597014	-551.742976255556414	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.588795753981126	1	0	2	3	4	4	7	6	7	5	10	7	8	6	7	7	8	9	9	10	11	9	11	11	11	12	11	11	13	12	13	13	11	14	13	13	16	14	14	17	15	17	17	15	15	14	17	17	17	15	17	15	18	18	18	18	19	18	18	20	20	19	22	22	22	23	24	0	0	1	1	3	1	5	5	14	6	17	6	6	10	6	10	9	6	6	17	10	9	9	18	9	22	17	22	9	20	3	24	19	25	11	0	45	25	20	25	32	45	31	18	31	25	44	32	13	31	34	35	39	34	44	0	53	25	31	31	42	54	37	49	61	62	61	1	1	1	1	1	2	2	1	1	1	1	2	2	1	2	1	1	2	3	1	2	1	2	2	2	1	2	1	2	1	4	1	1	2	2	1	1	2	2	2	1	1	2	3	1	2	1	2	4	1	2	1	2	2	1	1	1	3	2	3	1	1	2	3	2	3	2
1000	-385.593474895269765	-392.448962846229165	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.627313013755741	-1	0	1	3	2	4	6	5	5	5	6	7	9	6	7	9	8	10	9	8	10	10	11	11	12	11	12	12	11	13	14	12	11	13	12	13	15	15	15	16	15	17	16	14	13	14	17	18	16	12	17	16	17	18	16	14	17	18	17	20	21	20	22	22	20	22	25	0	0	1	3	3	3	6	1	3	3	9	9	15	6	9	10	11	12	14	11	16	16	18	22	16	19	20	22	13	18	23	24	19	25	13	0	35	25	30	34	24	39	45	13	17	34	23	32	27	20	41	45	49	38	30	0	52	46	31	56	57	46	37	60	57	54	61	1	1	1	1	1	2	1	3	2	2	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	2	1	1	2	2	1	1	1	2	1	2	2	1	1	2	1	1	2	3	1	2	2	1	3	1	2	1	2	1	1	1	2	2	4	2	3	4	1	3	2	3
1500	-351.118396026476262	-357.973883977435662	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.693558718850419	0	-1	1	3	4	4	6	6	6	5	9	7	9	6	9	9	7	8	9	11	8	9	11	10	12	12	11	13	10	12	14	12	12	13	13	13	15	15	14	15	13	17	14	14	14	14	16	18	16	16	18	17	18	17	17	16	19	18	18	18	18	21	21	21	21	23	25	0	0	1	3	3	3	5	5	6	6	17	6	9	10	9	14	9	6	10	11	10	14	15	21	19	24	13	22	18	27	23	24	22	25	30	0	27	25	27	25	16	37	29	23	27	25	23	32	31	45	34	47	42	38	31	0	52	41	49	56	52	38	49	60	61	38	61	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	2	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	2	2	1	2	1	2	1	1	2	1	1	2	1	1	1	2	1	2	3	1	1	1	4	3	2	2	4	4
2000	-363.615435090671269	-370.470923041630670	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667848659438207	-1	0	1	3	3	5	4	5	6	4	9	5	7	6	8	7	8	8	10	11	9	9	11	11	12	12	12	12	11	12	15	11	12	14	13	13	14	16	14	15	15	17	15	16	14	16	17	14	16	15	17	15	17	17	18	17	18	18	19	18	20	18	21	21	22	22	24	0	0	1	1	1	3	5	5	1	5	12	4	12	10	5	10	12	13	15	17	14	9	18	19	24	19	17	19	6	12	13	22	24	25	13	0	20	25	27	25	24	45	45	31	17	25	43	32	52	30	46	30	35	38	43	0	42	48	49	56	52	40	49	60	61	41	65	1	1	1	2	2	2	1	1	4	1	2	1	1	1	2	1	2	1	1	2	1	2	2	1	1	1	2	1	2	3	3	1	1	1	2	1	2	2	1	2	3	1	1	1	3	2	2	2	1	2	1	2	2	1	2	1	1	2	2	1	3	1	2	2	1	3	1
2500	-341.382871439599626	-348.238359390559026	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677031825060330	0	1	2	3	4	4	6	6	7	5	9	6	8	6	9	10	8	8	8	11	11	9	11	10	11	13	12	12	12	12	13	12	13	13	11	12	15	14	13	16	15	18	16	15	15	15	16	15	16	15	17	16	19	17	18	17	18	18	19	19	20	20	21	22	22	23	24	0	0	1	1	3	3	5	5	3	6	17	6	6	10	6	22	12	6	10	17	16	9	17	9	22	28	11	22	15	11	13	24	28	25	17	0	35	25	27	25	15	52	13	15	11	34	30	32	23	39	46	27	42	25	13	0	52	54	35	56	57	54	43	60	61	62	61	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	2	1	2	1	3	1	1	1	1	1	2	2	1	2	2	1	4	3	2	1	2	2	2	1	1	1	1	2	5	1	1	1	4	1	1	1	2	2	2	1	2
3000	-389.863660863708219	-396.719148814667619	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.659695589681109	1	-1	2	2	3	4	6	6	6	5	8	6	9	7	8	7	8	10	7	10	9	9	11	10	12	10	10	11	12	12	14	13	11	13	12	13	15	15	12	15	16	17	17	15	13	16	15	15	16	14	17	17	19	17	19	17	19	19	19	19	20	19	21	21	22	23	24	0	0	1	1	1	3	5	5	1	3	14	1	15	6	6	10	12	10	9	11	16	19	18	19	27	10	9	22	9	11	13	24	19	26	20	0	14	25	12	34	24	37	15	23	15	34	23	28	20	45	41	49	42	38	37	0	52	38	35	56	57	46	59	60	61	62	61	1	1	1	1	1	1	1	2	3	2	1	3	1	2	2	1	1	3	1	1	1	1	1	1	1	3	2	2	2	2	3	2	3	1	1	1	4	3	2	2	4	2	3	2	3	1	2	1	4	1	1	1	1	1	2	1	1	2	3	1	1	1	1	2	2	2	2
3500	-357.490631099716609	-364.346119050676009	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.602705302482712	0	1	2	1	4	4	5	6	5	6	9	6	9	7	9	8	8	9	8	10	8	9	12	10	12	13	12	13	12	12	15	12	11	13	12	14	15	15	14	17	14	18	16	15	14	15	14	17	16	15	16	16	17	15	18	17	19	18	18	19	20	19	21	21	22	22	24	0	0	1	1	3	1	5	5	1	9	17	3	9	10	9	10	12	12	14	15	6	19	15	19	19	10	17	22	18	12	27	24	21	30	20	0	20	34	23	34	16	37	47	15	23	34	20	28	31	30	46	47	52	25	30	0	41	34	49	56	57	54	59	60	61	62	61	1	1	1	1	1	2	1	1	3	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2	2	2	2	1	4	2	1	1	1	1	1	2	1	1	2	3	2	1	2	1	1	3	2	1	1	1	1	1	2	3	1	2	2	1	1	1	3	2	2	1	1	2
4000	-366.765875008550495	-373.621362959509895	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.648199017756311	0	-1	2	1	3	2	6	5	5	4	9	6	8	6	8	8	8	7	9	9	9	8	12	10	13	13	11	12	10	12	14	11	11	12	13	13	16	15	15	16	15	17	16	15	14	15	18	17	17	14	17	14	18	17	17	17	19	19	16	18	20	20	22	22	22	22	24	0	0	1	1	6	4	5	5	10	6	9	3	18	1	3	14	12	12	9	18	16	14	15	19	34	28	11	22	12	20	23	19	12	24	30	0	23	34	27	46	24	44	31	23	30	25	31	32	31	30	25	30	52	46	41	0	42	40	23	56	57	51	49	60	61	62	57	1	1	1	1	1	1	2	1	1	1	3	2	1	3	3	1	1	1	2	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	2	3	2	1	2	2	2	1	2	1	2	1	1	1	1	2	2	1	1	1	2	2	1	1	2
4500	-365.353586030288284	-372.209073981247684	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590778670788374	0	0	1	2	3	3	6	5	6	4	9	5	7	6	8	9	9	10	8	10	9	10	11	11	12	11	11	11	12	10	14	12	13	13	12	13	16	14	14	17	15	17	16	15	14	15	16	16	17	15	17	16	18	17	18	17	18	19	18	18	20	18	22	22	22	22	24	0	0	1	1	3	3	1	5	12	6	13	4	14	10	13	14	6	13	14	11	14	16	12	19	16	19	20	14	15	12	11	19	25	19	17	0	20	28	23	46	22	52	23	23	27	38	31	28	45	23	34	45	42	38	29	0	52	34	47	56	57	40	49	60	61	40	65	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	3	2	2	1	2	1	3	2	2	1	1	3	2	3	3	2	1	2	2	1	2	2	1	1	3	1	2	2	2	1	2	3	2	2	2	1	1	2	2	1	1	3	1	1	1	1	2	2	1	2	1
5000	-392.591386213940325	-399.446874164899725	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.620467845971679	0	0	2	1	4	4	6	6	6	6	9	6	8	7	9	9	7	9	9	11	10	9	10	10	12	11	11	12	13	11	15	12	12	13	13	13	14	16	13	17	15	17	16	16	15	15	18	16	17	16	17	17	19	17	18	18	19	19	17	20	19	20	21	21	21	22	24	0	0	1	1	1	3	3	3	6	6	12	1	9	7	6	17	7	13	12	7	16	10	9	7	24	19	17	26	23	12	23	24	24	25	20	0	27	25	23	34	24	45	23	18	23	34	18	24	23	31	46	35	43	46	14	0	52	46	35	56	52	46	31	60	61	62	65	1	1	1	1	3	1	4	2	1	1	2	3	1	1	2	2	1	1	2	2	1	2	2	2	1	1	2	1	2	2	3	1	1	1	2	1	2	2	1	2	3	1	2	4	2	1	2	3	3	1	1	1	1	2	4	1	1	1	1	1	1	2	4	1	1	1	2
5500	-329.876439325013678	-336.731927275973078	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.730851924404354	0	0	1	2	4	4	6	6	6	6	10	7	9	7	9	8	8	9	9	11	10	9	10	11	12	13	12	11	12	12	14	11	11	13	13	13	14	15	14	17	15	16	16	15	13	15	16	17	16	16	18	16	19	17	18	18	18	17	17	19	20	19	21	21	22	22	24	0	0	1	1	3	1	6	5	3	6	18	9	12	10	12	10	1	12	14	23	16	17	13	19	17	19	11	22	17	20	23	19	19	25	20	0	27	34	30	19	24	39	37	20	20	34	11	32	18	31	26	37	52	46	43	0	52	34	44	56	42	54	42	60	57	62	61	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	4	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	4	2	1	1	2	1	1	2	2	3	1	2	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	2
6000	-368.572775075680227	-375.428263026639627	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.680150343938482	0	0	1	1	3	4	5	6	6	6	10	6	7	7	9	8	8	9	9	11	10	9	12	10	11	12	11	11	13	12	14	12	13	13	12	13	14	16	14	17	15	17	16	16	12	14	18	18	15	12	17	17	19	16	18	16	18	18	18	19	20	21	19	21	21	22	24	0	0	1	1	1	3	1	5	3	6	17	3	1	10	6	12	12	12	13	17	16	6	15	19	22	24	17	19	15	6	23	19	25	25	11	0	27	34	35	46	24	37	23	23	17	32	31	34	20	11	38	37	42	46	31	0	52	25	49	56	57	34	47	60	61	62	65	1	1	1	1	1	1	2	1	3	1	2	2	3	1	2	1	1	2	1	2	1	3	1	1	2	1	2	1	2	2	1	2	1	1	1	1	2	2	1	2	2	1	2	2	2	1	2	3	2	1	1	1	2	1	2	1	1	5	2	1	1	6	1	2	1	1	2
6500	-331.791075221892470	-338.646563172851870	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.662933658737639	0	0	1	2	4	3	6	6	6	5	10	6	9	7	7	9	8	10	8	9	11	10	11	11	12	13	11	12	12	12	13	12	11	14	12	13	16	16	14	15	15	17	16	16	14	15	17	17	16	16	17	15	19	17	18	17	18	19	17	19	20	20	22	22	21	23	25	0	0	1	1	6	3	5	5	3	6	17	3	17	10	6	14	9	12	15	6	16	19	18	19	19	24	15	22	23	11	13	24	18	25	18	0	45	25	18	34	28	37	31	31	30	25	35	32	18	30	46	35	42	46	31	0	42	34	49	56	57	40	59	60	61	38	65	1	1	1	1	1	1	1	1	2	1	1	2	1	1	3	2	2	2	1	3	2	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	1	2	1	1	1	2	2	2	1	3	2
7000	-373.385585001337404	-380.241072952296804	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.738905331013679	1	0	2	2	3	4	6	5	7	5	10	5	7	7	7	9	9	9	9	10	10	10	11	7	12	13	11	11	12	13	13	13	12	13	12	14	13	16	14	14	14	16	15	15	14	16	17	16	16	15	17	17	19	16	18	16	18	18	19	19	20	20	22	22	21	20	25	0	0	1	1	1	3	12	5	12	6	9	1	6	10	6	14	9	13	24	15	19	24	20	10	24	16	11	22	15	23	23	16	24	19	17	0	11	25	11	25	28	27	29	39	11	26	43	32	30	27	46	42	52	34	45	0	42	40	49	56	52	58	59	60	61	58	65	1	1	1	1	2	1	1	1	2	1	1	2	2	1	2	2	2	1	2	2	1	2	1	1	3	2	1	1	2	1	1	3	2	2	1	1	1	2	2	1	1	2	1	1	3	2	1	2	2	1	1	1	1	1	2	1	2	2	2	1	2	1	1	2	1	1	2
7500	-354.829688653427127	-361.685176604386527	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.655272451841109	0	0	1	2	3	3	6	4	7	5	9	5	8	6	9	7	9	9	8	9	10	10	11	10	12	12	12	12	13	13	14	12	12	13	12	14	15	16	14	15	14	17	16	15	14	15	17	17	17	16	17	14	18	18	18	17	18	17	18	20	20	19	21	22	22	22	24	0	0	1	3	1	1	5	5	12	6	9	1	14	10	13	10	6	9	14	9	16	19	15	19	24	14	9	22	23	11	27	21	24	25	13	0	30	34	27	22	24	52	17	31	35	28	31	32	11	39	25	17	52	38	35	0	42	25	43	56	17	38	49	60	57	62	57	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	2	1	1	1	2	1	2	1	1	3	3	1	2	2	1	1	1	1	2	1	2	2	1	2	2	2	3	1	1	2	2	2	4	2	2	2	1	1	2	1	1	2	1	1	4	2	2	1	2	1	4
8000	-345.202788561213822	-352.058276512173222	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.711612223880178	1	0	2	2	3	4	7	5	7	5	10	6	9	6	8	8	8	8	8	10	10	10	11	10	11	13	12	13	12	13	14	12	12	13	12	13	14	14	14	16	15	16	15	14	15	15	16	16	16	15	16	16	18	18	18	17	18	17	17	19	21	21	21	22	21	23	24	0	0	1	1	1	3	8	5	12	6	12	6	9	10	6	14	6	12	14	17	16	19	18	19	24	24	20	22	23	20	20	22	24	25	17	0	27	25	20	25	24	37	44	11	30	38	30	32	20	39	25	39	42	38	23	0	52	25	27	56	57	54	47	60	57	62	57	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	2	1	1	2	2	2	1	1	2	1	2	2	2	1	1	2	2	2	3	1	1	2	1	1	2	2	3	1	2	2	1	2	4	1	1	2	2	1	1	2	2	2	3	1	5
8500	-385.287043557354650	-392.142531508314050	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.666202073790437	0	1	1	3	4	5	6	5	5	5	10	6	9	7	9	8	8	9	9	11	11	10	12	10	12	11	9	12	9	13	13	12	13	14	11	13	13	15	14	17	15	18	16	15	14	15	17	17	16	15	17	15	18	17	18	17	17	18	19	19	20	20	20	22	21	22	25	0	0	1	3	1	5	5	5	1	3	17	9	12	10	7	6	12	12	10	17	16	19	15	9	24	19	6	22	6	17	23	19	24	25	6	0	35	25	11	41	32	20	37	23	27	25	23	41	9	11	41	20	44	38	31	0	52	25	30	56	57	40	49	60	61	62	65	1	1	1	1	2	1	1	1	2	3	2	1	1	1	1	2	1	1	2	1	2	1	1	2	1	1	2	1	2	2	1	1	2	2	2	1	1	2	2	2	1	3	1	2	2	2	3	1	7	3	1	2	1	1	2	1	2	4	3	1	2	1	2	2	1	1	2
9000	-360.870004715621121	-367.725492666580521	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.587128980966148	0	0	1	2	4	3	6	6	5	5	9	6	9	6	8	8	8	8	9	10	11	10	11	11	10	12	11	12	10	12	14	12	12	12	11	13	16	15	14	15	15	15	16	15	14	16	18	16	14	14	17	16	18	17	18	17	18	18	18	18	17	21	20	22	19	23	25	0	0	1	3	6	3	5	5	6	6	17	3	9	10	9	14	12	6	6	17	14	19	13	19	14	22	17	22	15	6	15	22	27	25	11	0	31	34	35	34	24	45	45	31	17	34	23	32	12	11	38	20	42	34	52	0	52	34	52	56	52	46	59	60	61	62	57	1	1	1	1	1	2	1	1	1	1	1	3	2	1	2	1	1	2	3	1	2	1	1	1	2	1	2	1	1	4	3	1	1	1	1	1	2	2	2	2	2	1	1	1	2	2	2	2	3	2	1	3	2	3	2	1	1	3	1	1	1	3	1	3	1	1	3
9500	-357.641224247922707	-364.496712198882108	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702113511796963	0	-1	2	2	3	3	5	5	6	5	10	7	9	6	7	9	8	10	8	10	11	8	12	10	12	12	11	12	12	12	14	13	12	13	13	14	15	15	15	17	15	18	16	15	15	15	17	17	16	16	18	16	17	17	18	17	19	18	17	19	20	21	20	21	22	22	25	0	0	1	1	3	1	5	5	6	6	17	5	6	10	6	12	12	12	14	17	11	10	13	19	22	22	15	19	11	17	27	26	24	24	27	0	30	34	30	38	19	52	31	31	30	25	31	32	31	39	48	11	11	24	47	0	53	38	49	56	57	38	49	56	61	62	57	1	1	1	1	1	2	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	3	1	1	3	2	2	2	1	1	2	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	2	2	1	1	1	3	3	3	1	1	1	2	1	2	1	4	2	2	2	1	2
10000	-331.494977675536404	-338.350465626495804	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.592874168154296	1	0	2	2	4	4	7	6	5	5	10	5	8	6	6	9	8	9	8	11	11	10	12	10	11	12	11	11	12	12	15	12	12	14	12	13	15	15	14	17	15	18	17	14	15	15	17	17	16	14	17	15	19	17	19	17	18	19	17	19	19	20	21	22	21	22	24	0	0	1	1	1	3	5	5	6	6	12	6	15	10	6	14	15	12	14	17	16	19	18	19	11	24	9	22	15	17	27	24	28	25	11	0	20	25	30	46	32	37	31	23	35	25	23	32	37	30	38	27	30	34	47	0	52	25	20	56	57	58	59	60	61	62	61	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	4	1	3	2	1	1	1	2	2	1	3	2	1	1	1	2	1	1	2	2	2	2	1	1	1	2	4	1	1	1	2	4	3	1	1	1	2	2	1	1	2
