step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90
1	-3693.235731828035114	-3691.773649743516216	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.492123350212526	0	2	4	4	5	9	8	9	9	9	10	10	9	11	10	10	10	12	14	13	11	12	13	13	13	12	13	13	15	14	14	15	14	14	14	14	15	16	15	15	16	16	17	16	16	16	16	16	17	17	17	17	16	17	18	19	17	18	19	18	17	18	18	18	19	20	18	19	19	19	19	19	22	20	21	21	23	22	21	22	23	23	24	26	26	26	27	28	28	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	5	4	5	5	5	5	5	5	6	5	5	5	6	7	7	6	6	7	7	7	6	7	7	8	7	7	8	7	7	7	7	8	8	8	8	8	8	9	8	8	8	8	8	9	9	9	9	8	9	9	10	9	9	10	9	9	9	9	9	10	10	9	10	10	10	10	10	11	10	11	11	12	11	11	11	12	12	12	13	13	13	14	14	14	16
500	-804.683695126739849	-802.913833630505110	-1.769861496234737	0.000010023768537	0.000017690746044	1.764879743535340	0.219361463914928	-1	3	4	2	4	9	5	9	8	7	10	7	10	12	10	11	10	12	12	13	11	13	13	14	11	9	13	13	15	14	13	14	12	14	14	15	14	15	13	15	16	13	18	16	16	16	16	17	18	17	18	18	17	16	19	19	17	17	20	19	17	18	18	19	18	21	19	20	20	16	20	19	23	19	21	21	23	21	21	22	23	21	24	27	27	25	28	28	29	33	0	1	1	1	4	9	4	5	10	5	9	7	9	8	10	9	9	8	12	11	15	15	9	15	6	12	15	21	37	19	7	26	12	12	20	22	21	19	12	19	32	26	26	7	31	33	12	33	39	31	19	42	46	33	37	57	31	7	12	12	31	34	70	38	37	44	26	46	7	12	12	34	12	32	44	70	72	39	44	44	70	44	58	12	86	34	70	81	70	70	1	2	3	2	1	1	2	3	1	2	1	1	1	2	1	1	2	2	2	2	1	3	2	2	1	1	2	2	1	1	5	4	3	3	1	2	3	3	2	2	1	2	7	5	1	3	5	3	5	2	4	3	1	2	2	2	2	7	6	9	3	3	1	2	2	2	5	2	10	7	9	3	10	2	2	2	3	5	3	4	3	2	4	13	1	6	9	2	9	7
1000	-633.327693884739233	-631.827975377222288	-1.499718507516962	0.000010022394144	0.000011035573409	1.101091540646189	0.416231522338560	0	2	3	4	5	9	8	9	8	7	10	9	9	12	10	11	9	11	13	14	11	13	13	11	13	12	12	14	15	15	13	13	14	14	14	14	16	17	15	15	16	16	17	16	16	17	16	15	17	18	17	17	17	18	17	20	17	18	19	19	17	19	18	18	18	20	18	20	20	16	19	19	22	19	21	21	23	22	20	22	23	22	24	27	26	27	28	28	29	33	0	1	1	3	4	9	5	5	10	5	9	7	9	8	10	9	9	8	12	9	10	24	17	15	6	12	21	27	36	19	12	26	12	31	9	10	29	19	26	19	26	32	32	33	33	34	31	12	26	40	42	26	34	12	29	42	32	31	31	12	33	46	70	33	36	46	49	53	31	7	12	46	31	32	59	70	66	39	40	50	70	66	82	70	83	82	76	81	70	87	1	1	1	1	1	1	1	3	1	1	1	1	1	2	2	2	1	1	2	3	2	1	2	1	2	2	1	2	1	1	2	1	3	1	2	4	1	2	2	1	2	2	2	1	1	2	1	2	3	2	1	3	1	4	1	2	4	2	3	6	2	1	1	3	3	1	1	1	6	7	8	1	6	4	1	3	2	5	2	2	3	1	1	9	1	4	5	2	8	3
1500	-567.081684720187923	-565.432752326710329	-1.648932393477612	0.000009931854699	0.000014615691801	1.471597425057740	0.592353580506518	0	1	3	4	5	9	8	9	8	7	11	11	9	12	10	11	11	13	14	13	10	11	13	14	14	13	13	13	16	13	12	15	14	14	14	14	15	16	15	15	17	16	17	16	15	17	17	15	17	17	18	17	16	17	18	20	17	18	17	19	18	18	18	18	19	20	18	19	19	17	19	19	23	20	21	21	23	22	21	23	24	23	24	27	26	26	27	29	29	31	0	1	2	3	4	9	5	5	10	5	6	7	9	8	10	13	13	8	31	13	10	15	17	15	16	12	21	21	22	12	12	26	31	12	11	10	36	12	26	12	32	26	42	31	12	34	30	12	26	40	57	42	34	44	37	57	26	48	19	45	59	53	70	30	36	46	39	53	44	48	30	34	46	57	71	70	66	49	50	59	70	66	82	76	83	83	76	84	76	84	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	2	1	2	2	1	1	2	1	1	2	2	3	1	1	2	1	2	2	3	1	2	1	3	1	2	1	2	2	2	1	2	3	1	1	1	1	1	2	2	2	2	2	2	1	1	1	2	2	2	1	2	2	2	3	3	3	2	1	2	2	4	2	3	3	2	1	4	2	2	4	1	6	2
2000	-557.712277628511629	-555.985876521895307	-1.726401106616360	0.000010047870804	0.000016671378440	1.659195143458929	0.611912820356858	-1	3	1	4	5	10	7	9	8	7	11	10	10	11	10	10	10	13	13	12	10	12	14	13	12	12	13	13	13	13	15	16	14	15	13	14	15	16	16	13	16	14	16	14	16	16	15	16	17	18	18	16	16	17	17	19	18	18	18	19	18	19	19	19	18	20	17	20	20	18	20	19	21	20	19	22	24	22	21	22	21	22	24	26	26	27	27	29	29	32	0	3	1	3	4	9	5	5	10	5	9	7	9	8	10	9	9	8	12	15	10	10	13	15	17	12	10	10	10	12	33	42	12	33	9	29	29	33	26	12	42	26	26	12	19	34	19	44	39	40	42	26	19	33	37	26	42	48	31	45	34	53	70	50	36	46	39	53	33	47	40	34	46	32	58	81	66	67	50	50	70	66	82	81	83	83	76	84	81	88	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	2	2	2	2	2	3	2	1	1	1	2	2	3	1	1	1	2	1	3	1	1	1	2	2	1	1	2	2	1	1	1	1	1	2	2	2	3	1	1	3	2	2	2	2	2	3	1	1	2	1	1	2	3	2	3	1	3	2	1	1	2	2	2	1	2	1	2	2	1	1	2	1	5	2
2500	-537.084434837864251	-535.553214116648974	-1.531220721215224	0.000009940733629	0.000011749873422	1.181992583332269	0.665513391592620	1	2	3	4	5	10	8	8	8	7	11	11	10	11	10	10	9	13	13	14	11	13	13	12	14	13	12	13	14	14	15	15	14	14	14	15	15	17	15	15	16	17	18	15	15	17	16	16	17	17	17	18	16	18	19	18	15	18	18	18	18	18	19	18	19	21	17	18	19	18	19	19	19	20	22	22	23	22	21	20	20	23	24	24	26	26	27	28	29	32	0	1	1	3	4	9	5	5	10	5	9	7	17	8	9	9	10	8	12	16	10	15	16	15	11	12	10	27	27	12	33	26	19	12	6	29	29	44	12	30	57	26	26	12	12	34	44	19	32	40	39	39	34	31	37	57	26	33	30	45	46	46	70	40	36	46	39	53	58	47	40	34	46	42	80	81	66	67	40	40	70	66	66	81	83	83	81	84	81	87	1	1	1	1	1	1	2	2	1	2	2	2	1	2	1	1	1	2	1	2	2	2	1	1	1	1	3	1	2	2	1	2	1	2	2	1	1	2	2	1	1	2	3	2	2	2	1	2	1	2	1	2	1	2	2	2	1	2	2	2	1	1	1	1	3	2	1	1	1	1	2	2	1	1	1	1	1	3	3	2	1	1	2	2	1	2	2	3	5	2
3000	-526.811890697487570	-525.143361754662237	-1.668528942825313	0.000010029208147	0.000015234911101	1.519054234125034	0.608002347365329	1	2	3	5	5	10	8	9	8	7	10	9	9	11	9	11	11	12	14	12	11	13	13	13	13	12	11	13	13	15	13	15	13	15	15	15	15	15	15	16	16	16	16	16	17	16	16	15	17	18	17	17	16	17	19	19	18	18	19	19	18	18	19	18	19	21	17	20	19	18	19	19	22	21	22	22	23	22	21	22	20	24	24	26	26	26	26	28	29	32	0	1	2	3	3	9	5	5	10	5	13	7	9	8	10	9	13	8	12	17	10	15	13	27	9	12	15	27	21	31	12	26	12	33	11	29	29	31	26	33	32	26	26	48	31	34	30	31	39	40	43	42	34	19	37	32	32	48	48	45	46	34	70	40	29	46	39	53	19	30	40	46	31	32	58	81	66	67	40	71	70	77	66	76	83	83	81	81	81	88	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	2	1	1	2	1	2	2	2	2	2	2	1	1	1	1	2	2	2	1	3	1	1	1	1	2	1	2	2	1	3	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	1	1	1	1	3	3	1	1	2	1	2	1	4	2	2	1	2	4	2	2	1	1	2	2	1	1	3	3	4	2
3500	-517.081834565654731	-515.475883478221817	-1.605951087432878	0.000010099932204	0.000013807904124	1.367128396943101	0.657907358065343	1	2	3	4	6	9	7	9	8	7	11	10	9	11	11	10	10	12	13	13	11	13	14	13	13	12	12	13	13	15	14	15	13	14	15	15	15	16	16	16	16	16	17	15	16	17	16	16	17	17	18	17	16	17	19	20	18	19	19	19	18	18	19	19	19	20	19	19	18	17	18	19	21	20	19	22	23	22	21	22	21	22	24	24	26	27	26	26	29	32	0	1	1	3	4	9	5	5	10	5	6	7	9	8	10	9	9	8	12	6	10	15	20	15	17	12	15	21	15	19	12	26	12	19	11	29	29	44	32	30	26	26	32	12	44	34	19	33	39	40	43	42	34	44	37	59	32	48	33	45	34	34	70	40	36	72	49	53	44	44	50	34	46	57	31	81	66	67	50	40	63	66	82	81	83	83	81	81	81	89	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	2	2	1	1	2	1	1	1	1	1	1	2	2	2	1	2	1	2	1	1	1	2	2	1	3	1	2	1	1	1	1	1	1	1	1	2	1	2	2	3	2	1	2	2	1	2	1	2	1	2	1	1	2	1	1	1	1	2	1	3	3	1	1	1	2	1	2	2	2	4	2
4000	-525.006083633145977	-523.500632372791301	-1.505451260354685	0.000010680234631	0.000011919263303	1.116011371945758	0.630757446885972	0	3	2	4	5	9	9	8	7	9	10	11	8	11	10	10	10	11	14	13	12	11	13	14	12	13	14	12	14	15	15	15	14	14	14	15	16	16	16	16	17	14	17	16	16	16	15	17	18	18	17	18	16	18	18	19	18	17	18	18	18	18	19	19	19	21	17	19	19	17	19	20	21	19	22	22	23	20	21	22	21	24	24	26	27	27	26	28	29	32	0	1	1	3	4	13	5	5	5	9	9	7	9	8	10	13	13	8	7	11	10	10	6	15	17	12	15	15	10	19	12	42	12	12	20	29	29	31	32	19	26	26	26	12	19	34	19	19	39	40	31	44	34	31	37	42	32	12	33	45	53	34	70	19	36	46	26	53	58	47	50	34	46	57	44	81	66	67	40	40	63	66	66	81	83	82	81	84	81	88	1	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	2	2	3	2	2	1	2	2	1	2	2	1	2	1	2	1	1	2	1	1	1	1	1	1	2	1	2	3	1	1	1	2	1	2	1	1	1	2	1	3	1	3	2	1	1	2	1	2	2	2	2	2	1	1	1	2	3	1	3	1	1	1	3	3	1	1	2	3	2	1	2	1	3	2
4500	-510.481261809733951	-508.906975069332134	-1.574286740401834	0.000011728714019	0.000015123786108	1.289466695440500	0.690113480557625	1	2	3	5	6	9	8	10	8	9	10	10	10	11	10	10	9	12	14	14	12	12	14	12	14	13	13	14	14	15	13	16	14	15	12	15	16	16	15	16	17	15	18	16	16	17	17	17	17	18	17	17	17	17	19	19	17	18	16	18	17	18	18	18	20	21	19	20	19	16	18	19	21	20	22	22	23	23	22	22	21	23	23	25	27	26	27	28	29	33	0	1	1	3	4	9	5	5	5	9	17	7	9	8	10	9	9	8	12	11	10	10	16	10	35	12	15	27	22	33	12	42	7	19	6	29	29	33	26	31	42	26	32	33	33	34	30	19	39	40	26	32	34	33	29	43	32	19	12	33	33	34	70	40	36	33	39	53	48	33	40	19	46	43	48	81	66	67	50	71	63	66	66	81	83	83	81	81	84	87	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	2	1	3	1	2	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	2	1	1	2	2	1	2	5	2	2	1	2	1	2	2	1	2	1	1	2	2	2	1	1	1	2	2	3	2	3	3	3
