step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81
1	-4793.079335236749102	-4791.617253152230660	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.612012009332945	1	9	6	11	9	23	9	11	12	18	12	18	21	23	19	27	24	32	25	33	33	33	30	37	33	40	36	34	36	41	39	40	46	45	37	43	40	40	37	41	43	46	47	49	53	58	48	57	53	58	57	60	57	64	63	59	60	61	62	71	65	66	68	68	72	69	70	70	72	81	82	77	83	86	87	89	93	93	99	98	106	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	4	2	2	2	3	2	3	4	4	3	5	4	5	4	6	6	6	5	6	6	7	6	6	6	7	7	7	8	8	6	7	7	7	6	7	7	8	8	8	9	10	8	10	9	10	10	10	10	11	11	10	10	10	10	12	11	11	11	11	12	12	12	12	12	14	14	13	14	14	15	15	16	16	17	16	18
500	-1626.154341327149950	-1623.466673165195516	-2.687668161954388	0.000009997913456	0.000043647166672	4.365627574501996	0.271826346774576	-3	2	5	9	11	14	10	10	9	14	6	16	16	24	21	29	11	21	27	34	32	34	18	37	30	38	38	35	35	31	36	35	37	42	38	28	41	40	36	40	43	48	33	49	51	54	45	59	54	58	55	57	59	64	63	60	45	58	64	70	66	59	60	71	56	68	70	72	70	79	66	79	74	70	89	87	95	95	101	100	107	0	1	1	2	9	11	3	11	3	3	2	11	9	8	5	10	3	12	14	23	19	16	17	28	19	18	22	18	18	16	15	23	25	29	21	12	29	30	0	43	30	39	17	36	40	36	12	30	36	36	36	40	36	36	43	32	2	43	46	36	36	36	43	57	1	36	50	36	57	62	2	57	65	65	71	65	74	74	74	65	73	1	2	2	1	1	1	1	1	1	1	1	2	2	2	1	3	2	1	1	3	1	1	1	1	1	3	1	4	4	1	3	4	2	2	1	5	2	2	1	2	2	3	5	4	2	5	5	5	8	5	5	3	8	10	7	3	4	7	2	9	10	6	7	7	8	7	3	14	6	3	10	10	7	5	9	4	6	7	12	7	16
1000	-1319.577955309939853	-1317.383271235471739	-2.194684074468116	0.000010039400044	0.000028739213833	2.862642559009163	0.300712244518013	-1	5	3	12	6	18	5	12	13	14	9	20	19	18	20	26	10	24	24	30	33	34	29	32	28	42	32	23	37	36	41	33	42	45	38	27	40	39	36	35	43	47	37	40	52	50	47	58	54	57	56	62	59	66	61	62	44	63	63	71	66	64	64	70	58	66	69	71	71	78	84	75	67	70	88	89	92	91	100	100	107	0	1	1	2	3	11	3	11	5	5	2	11	9	8	10	10	5	12	14	17	14	16	17	28	14	18	16	6	24	27	39	17	21	29	19	1	29	30	0	32	30	39	40	36	40	36	25	41	36	44	36	45	36	36	43	45	36	43	46	44	36	36	40	57	57	36	50	36	57	60	65	57	4	73	73	73	74	73	74	71	73	1	2	1	2	1	2	1	1	1	1	1	2	1	1	1	3	1	1	2	2	2	1	3	2	3	2	1	2	1	1	2	4	1	2	2	4	1	2	1	1	2	2	1	3	2	3	3	2	7	3	4	2	8	9	4	3	6	6	1	7	10	7	5	5	5	8	2	11	4	2	9	7	9	1	6	7	5	4	11	3	12
1500	-1263.913459848617094	-1261.825219342187893	-2.088240506429154	0.000010035271851	0.000025823977699	2.573321189860706	0.279476792186534	-5	0	6	11	9	23	7	9	1	15	6	18	22	24	18	20	16	27	20	31	34	27	31	37	32	36	30	32	37	35	35	40	46	40	36	33	41	40	31	37	43	45	49	46	48	51	42	57	52	58	54	58	54	66	64	60	49	56	61	69	64	58	63	69	59	67	71	71	73	82	84	76	67	71	88	89	92	89	98	93	108	0	1	9	2	3	11	9	11	1	5	2	11	5	19	9	5	3	11	8	17	14	15	17	28	14	6	16	18	28	27	39	17	21	29	19	15	29	30	0	20	30	39	40	36	40	36	13	41	36	44	46	43	36	36	52	45	13	32	46	62	36	36	45	57	57	36	61	36	64	62	65	57	13	57	73	73	74	57	74	71	73	1	1	1	2	1	2	2	1	1	2	1	2	3	1	3	2	3	4	3	2	2	2	3	1	2	2	2	1	1	1	1	4	2	1	2	6	1	2	1	2	1	3	2	2	1	4	3	2	6	2	1	2	7	6	2	3	6	3	2	3	7	4	2	4	2	8	2	10	2	5	9	7	11	2	6	6	3	6	11	1	8
2000	-1148.121860777287793	-1146.031005354771651	-2.090855422516196	0.000010061468752	0.000025961587533	2.580297983736201	0.391961271156574	-2	7	6	9	8	17	5	13	2	12	10	17	20	24	19	27	23	27	18	33	33	32	30	34	24	39	35	30	36	38	36	32	43	45	35	27	38	41	33	40	44	47	48	45	52	56	46	57	48	55	58	58	52	64	63	61	52	62	61	72	63	65	66	63	56	72	68	71	70	79	83	78	69	77	84	90	90	95	100	94	104	0	1	9	2	9	11	9	11	1	3	2	11	9	19	10	10	13	12	8	17	14	16	17	28	19	18	16	18	24	27	39	17	8	29	14	2	29	30	0	32	38	31	40	36	40	53	13	41	36	44	53	32	36	50	52	52	47	45	44	49	50	53	52	57	47	36	61	36	64	62	65	64	36	73	73	75	74	71	74	71	73	1	2	1	1	1	1	1	1	1	2	1	1	3	1	1	3	1	3	1	2	2	1	2	1	1	2	1	1	1	1	1	3	5	1	3	4	1	1	1	1	1	3	2	3	2	1	5	2	4	2	2	7	6	2	1	1	1	3	3	3	3	3	1	2	2	7	1	10	1	4	9	3	8	1	5	1	3	4	8	1	4
2500	-1133.988613786413225	-1131.511563600116688	-2.477050186296534	0.000010049345891	0.000037065067920	3.688306514921697	0.483802067725921	-9	5	7	12	6	20	9	12	2	10	9	17	19	19	18	24	23	28	24	34	34	26	30	39	35	35	36	32	35	42	34	36	45	44	36	27	41	35	33	39	43	45	47	51	51	60	49	58	51	57	57	59	59	61	64	62	53	61	62	69	66	63	66	68	56	68	67	66	73	80	82	77	71	72	89	88	93	91	98	90	106	0	1	9	2	9	11	3	11	1	3	2	11	9	8	10	10	9	6	14	23	19	16	17	29	19	18	22	18	28	27	39	17	21	37	14	2	29	22	0	23	38	39	40	36	43	44	6	41	36	44	49	40	36	44	52	52	47	52	46	62	50	53	52	57	44	36	50	36	64	66	65	64	68	47	73	73	74	71	74	71	76	1	4	1	1	1	2	1	1	1	1	1	2	2	1	2	2	4	2	1	1	2	1	2	1	1	2	2	1	1	1	1	2	3	1	2	2	1	2	1	2	1	2	2	6	1	2	4	2	4	1	1	4	7	2	1	1	1	1	1	1	2	1	1	1	1	8	2	10	1	2	9	1	2	3	4	1	2	3	8	1	4
3000	-1153.842075735502704	-1151.375957321682790	-2.466118413819876	0.000010111995059	0.000036955766004	3.654646366736978	0.471509274250960	-3	1	7	10	11	20	8	13	4	16	8	19	19	25	21	17	19	27	24	35	34	29	27	39	31	35	34	34	37	38	36	38	46	45	37	27	39	41	34	40	41	47	47	48	50	56	51	51	51	56	56	56	54	62	62	61	55	58	60	69	64	60	69	62	67	66	68	68	69	72	83	76	78	75	86	88	94	85	98	99	105	0	1	9	2	3	2	9	11	1	3	2	11	3	19	9	5	9	11	8	17	19	16	17	28	19	6	22	18	28	22	39	17	21	29	25	6	29	22	0	32	30	39	40	36	43	53	18	41	44	44	49	45	36	44	52	52	47	40	46	53	50	53	52	57	47	36	61	36	64	66	65	69	53	47	73	73	74	71	74	71	76	1	1	1	2	1	2	1	1	2	2	2	2	2	1	4	1	4	4	2	3	2	2	2	1	2	3	1	1	1	2	1	3	2	1	1	2	1	2	1	1	1	2	2	3	1	1	4	2	1	1	1	2	7	2	1	1	1	2	2	3	1	2	2	2	2	7	1	7	2	1	7	1	5	3	2	3	4	1	5	4	3
3500	-1066.783694445122364	-1063.945723530669056	-2.837970914453228	0.000010266441819	0.000050143156015	4.884180604887836	0.508556662244608	-1	7	3	10	8	22	9	13	11	11	10	18	17	24	21	24	24	30	20	30	31	34	27	35	30	39	35	25	35	35	40	37	46	39	34	41	41	30	38	41	44	46	45	48	53	59	49	54	55	58	58	59	53	62	62	55	56	60	63	72	62	68	62	64	59	67	71	70	72	81	83	77	76	71	82	86	90	89	99	98	107	0	1	1	2	3	11	3	11	5	3	2	11	7	19	5	10	10	6	8	23	14	16	17	28	19	18	38	12	28	38	39	17	21	29	25	13	29	16	0	32	30	39	40	36	43	53	13	30	53	36	49	45	36	36	52	45	47	45	46	62	50	66	45	57	47	53	61	59	64	62	65	69	47	47	73	75	74	71	74	71	76	1	1	1	1	1	2	1	1	1	2	1	2	2	1	2	5	2	2	1	1	2	1	1	2	2	2	1	2	1	1	1	2	2	1	1	4	2	1	1	1	2	2	1	1	1	2	7	2	1	3	1	2	2	3	1	1	2	2	1	1	1	1	2	1	2	4	2	1	2	3	7	1	4	2	2	1	3	1	4	3	4
4000	-1146.224013989313789	-1143.434590897372118	-2.789423091941619	0.000011408667839	0.000053773109499	4.713355692153741	0.566918689621779	-1	2	7	9	10	22	10	13	12	17	5	17	19	24	19	23	23	25	22	32	33	33	28	33	33	40	36	30	36	41	38	38	45	43	35	45	38	34	34	41	39	45	48	51	49	54	46	49	53	59	59	58	49	63	63	54	58	63	62	72	61	67	67	68	63	68	69	69	71	79	84	75	77	76	88	91	92	92	96	98	104	0	1	1	2	3	12	3	11	5	5	2	11	9	19	3	9	10	6	8	23	19	16	17	28	14	18	38	6	28	27	39	17	14	29	21	26	29	16	0	32	38	39	40	36	40	53	26	41	53	44	49	45	36	36	52	45	26	52	53	62	36	59	52	57	21	59	61	59	57	62	65	69	67	59	73	75	74	71	74	71	76	1	1	2	2	1	1	1	1	1	1	1	3	1	1	2	3	1	1	1	1	3	2	2	1	2	3	1	2	1	1	1	3	4	1	1	2	1	2	1	1	1	2	1	1	2	2	1	2	1	1	1	2	1	3	1	1	2	1	3	1	3	1	2	2	5	1	2	1	2	1	5	1	3	4	2	1	3	1	3	2	2
4500	-1061.569066079728827	-1059.210102108527281	-2.358963971201497	0.000013730663463	0.000045752504222	3.332140820934589	0.584900199565403	-2	3	4	8	11	24	7	12	8	14	10	18	24	21	18	20	18	26	26	33	31	33	29	34	24	33	29	31	36	40	39	38	41	43	38	39	39	33	35	41	43	42	45	49	52	60	47	57	54	59	51	57	48	63	64	57	61	61	63	64	62	62	62	69	66	68	69	65	73	81	79	73	84	85	88	91	91	95	101	96	107	0	1	1	2	3	12	3	2	3	5	2	11	9	8	10	10	9	6	25	23	19	16	17	28	14	18	16	18	24	27	39	20	25	29	21	1	29	27	0	32	27	39	40	36	43	53	11	30	53	44	36	45	36	50	45	45	36	45	53	62	50	44	45	57	57	53	61	46	64	62	65	64	57	47	73	75	74	74	77	74	76	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	2	2	2	1	1	1	3	1	1	2	1	1	2	2	1	4	1	1	1	1	2	2	1	2	2	2	4	2	1	1	2	1	1	1	2	1	9	2	2	1	1	1	2	2	1	2	2	1	1	2	3	1	5	6	1	1	1	2	2	2	3
