step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105
1	-14889.969645190340088	-14888.507563105820736	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.526327348852628	-1	1	4	3	3	3	3	3	3	4	4	4	4	4	5	4	5	6	5	6	6	6	6	5	8	7	7	7	6	6	8	9	9	8	7	8	9	8	8	9	9	9	10	10	12	11	12	11	11	12	10	10	11	11	12	11	12	13	13	12	12	14	14	16	14	15	16	14	15	15	15	15	15	15	15	17	17	17	15	16	17	17	17	18	17	18	19	19	20	20	20	21	21	22	22	22	22	22	23	23	25	26	28	27	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	2	2	2	2	3	3	3	3	3	3	3	3	4	3	4	4	4	4	3	5	4	4	4	4	4	5	5	5	5	4	5	5	5	5	5	5	5	6	6	7	6	7	6	6	7	6	6	6	6	7	6	7	7	7	7	7	8	8	9	8	8	9	8	8	8	8	8	8	8	8	9	9	9	8	9	9	9	9	10	9	10	10	10	11	11	11	11	11	12	12	12	12	12	12	12	13	14	15	14	15
500	-2050.923159904905788	-2048.530081511802564	-2.393078393103376	0.000010021922125	0.000034408984207	3.433371740337367	0.233870806909858	-2	0	3	2	3	3	2	2	2	5	4	4	4	1	3	5	4	4	4	6	3	6	5	2	7	7	5	7	5	6	7	6	9	7	7	7	9	8	9	10	9	8	11	10	12	11	12	12	11	12	11	10	8	10	12	8	12	13	10	9	12	15	15	17	15	16	17	15	16	16	16	16	16	16	15	17	14	17	16	17	18	16	17	19	17	18	20	20	19	21	21	21	21	23	23	23	23	23	23	22	25	26	29	28	29	0	0	9	2	2	2	2	2	1	3	9	4	5	0	9	6	7	14	5	7	8	9	12	14	8	10	15	18	21	9	10	15	34	7	23	23	21	19	24	8	27	27	28	26	60	29	28	7	36	24	27	27	15	32	15	24	32	24	15	9	59	29	23	54	57	52	56	56	53	32	54	61	37	57	55	60	56	56	59	54	56	53	59	57	50	82	60	59	24	57	85	59	54	53	59	59	24	59	53	59	59	53	83	59	59	1	1	1	1	2	2	2	1	2	1	1	2	1	1	1	1	1	2	1	2	1	2	1	1	3	1	1	2	2	2	1	2	1	2	1	1	4	3	3	4	3	2	3	2	2	6	3	7	2	6	6	2	3	2	7	3	4	6	4	4	1	8	7	6	1	3	4	3	5	7	4	2	5	2	1	4	3	6	3	3	8	4	6	3	3	2	10	8	13	6	4	9	7	11	9	8	15	10	10	9	13	13	11	16	14
1000	-1757.761889895999275	-1755.054738817982525	-2.707151078016691	0.000010063171063	0.000044591344589	4.431142461010698	0.321954871842420	-1	1	5	3	3	3	4	4	1	5	4	4	5	2	3	5	6	6	6	6	5	5	5	5	7	8	4	7	6	7	8	7	8	8	7	8	9	8	8	9	8	10	11	10	10	12	13	12	11	12	11	9	8	12	13	9	12	13	10	13	11	15	14	16	14	15	16	14	15	15	16	15	16	15	14	17	18	16	13	16	17	15	14	17	17	17	19	19	21	20	21	22	20	23	23	23	23	23	23	24	26	26	28	28	29	0	0	9	2	2	2	2	2	1	9	9	4	5	0	9	6	7	14	5	7	8	9	12	14	8	10	15	18	21	22	10	15	7	7	23	23	29	19	24	25	27	52	28	26	53	37	28	34	23	56	27	27	32	45	54	39	59	56	32	45	53	29	49	69	57	52	56	56	59	60	60	61	46	57	55	65	67	56	59	57	56	59	32	57	50	82	59	79	56	64	85	59	53	59	88	83	56	59	59	82	59	82	83	59	83	1	1	2	1	1	1	1	2	1	2	2	1	1	1	2	2	1	2	2	2	1	2	1	1	2	2	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	1	3	1	1	2	3	3	3	2	5	3	1	1	1	1	1	4	2	2	2	7	1	1	1	3	3	4	2	1	2	3	2	2	1	2	2	3	2	3	7	2	4	2	2	1	6	4	12	2	3	9	7	10	3	5	12	9	12	6	10	6	10	14	13
1500	-1478.379092676676464	-1475.771535247370593	-2.607557429305770	0.000009928743180	0.000040721935362	4.101418943474080	0.470878651003868	-2	1	4	3	3	3	2	3	3	5	4	5	4	4	5	5	6	7	6	7	5	6	6	6	7	7	7	8	6	7	8	8	9	8	8	9	8	9	8	9	9	10	10	11	13	12	12	10	11	12	11	9	9	11	13	8	13	14	11	13	11	15	14	16	15	15	17	13	15	16	14	15	14	14	15	18	18	15	13	15	17	17	14	16	18	18	16	19	21	20	21	21	21	21	23	19	23	22	24	24	26	26	29	27	28	0	0	9	2	2	2	2	2	1	3	9	4	5	0	9	6	7	14	5	7	8	9	12	14	8	9	15	18	21	22	9	15	34	7	23	23	29	19	24	25	27	52	28	26	54	37	28	34	23	56	41	27	32	53	61	24	54	56	53	54	32	37	49	57	57	52	78	56	59	60	60	61	46	54	55	57	78	58	59	57	56	69	79	57	67	82	59	83	56	84	85	83	84	59	98	83	56	79	83	87	96	87	96	83	83	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	3	1	2	1	1	2	2	1	1	1	1	2	2	1	3	1	2	2	2	1	1	1	1	1	2	1	1	2	1	2	2	2	1	1	1	1	1	2	4	1	1	1	6	2	2	1	2	1	4	2	2	1	2	1	2	1	3	2	1	1	1	6	2	1	1	1	1	3	3	9	2	2	6	3	7	1	3	10	7	7	6	5	7	7	9	13
2000	-1232.064277988395588	-1229.149396792740163	-2.914881195655446	0.000009932355447	0.000051265733374	5.161487992130349	0.480694710158728	-1	1	4	3	3	4	2	3	3	5	5	4	4	4	5	5	5	6	5	5	6	4	6	5	8	7	6	8	7	6	8	8	10	7	8	9	9	8	9	9	9	10	10	10	12	11	11	11	11	11	11	9	11	10	13	8	13	14	12	12	12	15	15	16	14	13	15	14	14	16	14	16	15	14	15	17	18	14	14	17	17	17	15	16	17	19	16	19	21	21	19	21	21	23	22	23	23	20	23	24	25	27	28	28	29	0	0	9	2	2	2	2	2	1	3	9	4	5	0	9	6	7	14	5	7	8	9	12	14	8	9	15	18	21	22	3	15	20	7	23	23	29	19	56	25	27	52	28	26	54	37	28	34	36	56	41	27	54	32	61	24	45	56	53	54	54	46	49	57	53	52	78	56	59	60	60	61	46	57	55	57	67	56	59	57	50	69	79	57	78	82	69	83	78	84	85	83	84	87	98	92	85	83	83	87	98	87	101	98	83	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	1	1	1	1	2	2	3	2	1	2	1	2	1	1	1	1	1	2	1	1	1	2	1	3	1	2	1	1	1	2	1	3	1	1	1	2	2	2	2	2	1	3	1	2	1	2	2	1	1	2	2	4	1	2	4	2	1	2	2	1	1	3	6	3	1	6	2	6	1	1	5	3	5	4	4	7	2	7	10
2500	-1135.869970609412576	-1133.436947410806852	-2.433023198605712	0.000009953669970	0.000035371449736	3.553608854025898	0.544234827276069	0	1	3	2	2	3	3	2	2	5	4	4	4	2	5	4	6	6	4	6	5	6	6	5	8	8	7	8	6	7	7	8	9	7	7	8	8	8	9	10	8	10	10	10	13	11	11	11	10	12	10	9	12	10	13	8	12	13	12	11	12	14	13	16	14	14	15	15	15	16	16	16	16	15	15	17	17	14	14	17	18	18	15	17	16	19	16	19	20	18	20	22	21	22	22	23	22	19	23	23	25	26	28	27	29	0	0	9	2	2	2	2	2	1	3	3	4	5	0	9	6	7	14	5	7	8	9	12	14	8	3	15	18	21	22	9	15	7	7	23	23	29	19	56	25	27	52	28	26	53	37	28	34	23	56	41	27	54	32	61	24	54	50	54	54	54	46	49	57	57	52	78	56	59	60	60	61	62	57	55	65	67	56	59	64	67	69	79	64	78	82	69	83	85	84	85	83	84	87	98	92	89	83	98	94	98	82	101	98	83	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	3	1	2	2	2	1	1	1	1	2	2	3	2	1	1	1	2	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	2	1	2	1	1	1	1	1	2	2	3	1	3	1	3	2	2	2	2	1	2	1	2	1	3	1	1	2	2	1	1	1	1	1	3	4	1	2	6	2	3	1	1	1	2	2	1	3	6	2	7	10
3000	-1027.245266848891788	-1025.087872971884281	-2.157393877007601	0.000010312091836	0.000028461567426	2.760018808810989	0.631305820781948	0	0	4	3	2	2	2	2	2	4	4	4	4	4	5	5	6	5	5	6	6	5	6	5	7	6	7	8	7	6	7	7	10	7	7	8	9	8	8	9	8	10	10	10	12	11	12	11	10	13	10	9	11	10	12	10	12	13	14	13	11	14	13	15	14	14	17	14	13	15	15	15	15	14	16	18	17	15	14	16	17	17	15	18	16	18	19	17	20	20	19	21	21	22	22	22	23	19	24	24	25	27	28	27	29	0	0	9	2	2	2	2	2	1	9	9	4	5	0	9	6	7	14	5	7	8	10	12	14	8	9	15	18	21	22	9	15	34	7	23	23	29	19	24	25	27	52	28	26	54	37	28	20	36	56	41	27	54	32	61	39	53	56	69	54	54	46	49	65	57	52	78	56	53	60	60	61	62	54	55	65	78	50	54	64	78	69	79	64	78	82	82	83	77	84	85	88	84	82	98	92	91	83	95	94	99	94	101	98	98	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	1	1	1	3	2	1	2	1	1	2	2	2	2	1	2	1	1	1	1	1	1	1	2	2	1	2	3	1	2	2	1	1	3	1	1	1	1	1	2	1	2	2	1	2	4	1	2	1	1	1	2	1	3	2	2	2	1	2	1	1	2	1	1	1	1	1	2	2	1	3	3	2	3	1	1	1	2	1	2	1	4	2	6	8
3500	-985.657541276220286	-983.449672341069572	-2.207868935150710	0.000011011808606	0.000031926153666	2.899265216910138	0.630258047721032	-1	1	4	3	3	2	4	3	2	4	5	5	5	3	5	4	5	5	5	7	5	6	6	5	7	5	7	7	7	7	8	9	7	9	8	8	10	8	8	9	8	10	10	9	12	12	13	11	11	12	10	9	11	10	13	11	12	12	13	12	12	14	13	16	14	14	17	14	12	14	14	15	16	15	15	17	18	14	15	15	18	17	17	18	15	18	19	18	20	21	20	20	21	21	21	22	22	20	22	23	25	26	28	28	29	0	0	9	2	2	2	2	2	1	9	9	4	5	0	9	6	7	14	5	7	8	9	12	14	8	9	15	18	21	22	11	15	7	7	23	23	29	19	24	25	27	52	28	26	54	37	28	20	36	56	41	27	54	32	61	39	54	56	69	54	54	46	49	45	57	52	78	58	53	45	45	61	62	57	55	65	78	50	59	57	67	59	79	64	78	82	82	83	85	84	85	88	84	87	98	92	89	88	95	94	95	100	101	95	99	1	1	1	1	1	1	2	1	1	2	2	1	2	1	2	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	2	2	3	1	1	1	1	2	1	1	1	1	3	2	1	3	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	2	2	2	1	1	1	2	1	2	1	2	2	1	2	1	1	2	1	1	1	1	1	1	3	1	3	1	2	2	1	1	1	1	1	2	2	2	1	5	6
4000	-947.555455028756569	-945.352614101281347	-2.202840927475277	0.000011664091521	0.000033654149412	2.885278236310948	0.668344029664648	-1	0	3	3	3	3	4	3	2	4	4	4	5	2	6	5	5	6	5	6	5	5	6	5	8	5	7	8	6	7	7	8	9	9	8	8	8	7	8	9	9	10	10	9	12	12	12	11	10	13	11	9	10	10	13	12	13	13	13	12	12	14	14	16	15	14	16	15	12	15	15	15	16	14	14	16	18	15	15	16	17	16	17	18	17	19	18	19	19	21	21	21	21	21	21	23	22	20	23	23	25	27	27	28	28	0	0	9	2	2	2	2	2	1	3	3	4	5	0	10	6	7	14	5	7	8	10	12	14	8	10	15	18	21	22	9	15	20	7	23	23	29	19	24	25	27	52	28	26	53	37	28	34	36	56	41	27	32	32	61	39	45	56	69	54	54	46	49	57	57	52	78	58	53	60	60	61	62	54	55	65	78	56	59	57	67	59	79	64	67	82	82	83	85	84	85	88	84	87	98	92	89	88	95	94	95	100	101	99	99	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	3	1	1	1	1	1	2	1	2	2	2	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	2	1	2	3	1	1	1	2	1	2	1	2	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	2	3	1	2	2	1	1	2	1	2	2	2	2	1	3	2
4500	-862.288818598461944	-860.073703474248077	-2.215115124213905	0.000014059485634	0.000041046227049	2.919468614937068	0.722432755272827	-1	1	3	3	3	3	4	3	2	4	5	4	4	3	5	5	5	5	5	6	5	6	6	5	8	6	7	8	7	7	8	9	9	8	8	9	9	8	9	10	8	10	10	9	12	10	12	11	11	13	10	8	11	10	13	11	12	13	14	12	12	14	14	14	14	15	16	14	13	16	14	16	16	16	15	17	17	15	15	16	17	16	18	18	17	18	17	20	20	21	20	21	21	21	22	22	22	21	23	23	25	26	27	27	28	0	0	9	2	2	2	8	2	1	9	10	4	5	0	10	6	7	14	5	7	8	9	12	14	8	9	15	18	21	22	9	15	20	7	23	23	29	19	24	25	27	52	28	26	54	37	28	34	23	56	41	27	54	32	61	39	54	56	69	54	54	46	49	57	57	52	78	50	53	60	60	61	62	64	55	65	78	50	59	64	78	59	79	45	67	82	82	83	85	84	85	88	84	87	98	92	91	88	95	94	99	100	101	101	104	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	1	1	2	2	1	2	1	2	1	1	2	1	1	1	1	2	2	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	2	1	2	1	1	1	2	2	1	1	1	1	1	1	3	1	2	1	1	2	2	3	1	2	2	1	1	1	1	1	1	1	2	1	1	1
