step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67
1	-1974.007268174254932	-1972.545186089736035	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.371871804813095	0	1	4	3	6	6	7	6	6	7	7	8	9	8	7	7	8	10	7	8	12	8	9	8	10	9	9	12	12	11	12	13	14	13	14	16	14	14	17	15	15	16	16	16	18	17	18	19	18	18	18	18	19	19	20	20	23	20	20	21	25	24	22	25	26	26	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	4	3	3	4	4	4	5	4	4	4	4	5	4	4	6	4	5	4	5	5	5	6	6	6	6	7	7	7	7	8	7	7	9	8	8	8	8	8	9	9	9	10	9	9	9	9	10	10	10	10	12	10	10	11	13	12	11	13	13	13	14
500	-603.478566023884241	-601.600567226604426	-1.877998797279812	0.000010032726926	0.000020381543146	2.031505820421221	0.307427062062905	0	2	4	2	6	6	8	6	7	7	4	8	9	8	7	8	9	10	7	9	13	8	7	9	11	9	9	13	11	10	9	12	15	13	13	16	11	14	17	12	15	15	15	17	18	16	17	19	18	18	17	19	19	20	20	21	22	20	21	22	26	25	22	25	27	26	28	0	1	2	1	3	3	3	11	5	6	4	3	3	3	11	11	5	10	6	10	8	8	3	19	19	8	11	32	19	11	23	31	32	29	30	30	31	31	35	31	37	28	37	37	35	40	42	44	44	40	40	43	23	35	48	40	0	43	45	37	55	37	37	55	37	51	51	1	1	2	1	1	1	2	1	1	1	1	2	3	2	3	2	2	2	1	1	4	1	2	1	2	2	3	1	2	3	1	2	2	1	2	3	1	2	3	2	2	2	2	3	3	1	1	1	1	4	3	2	8	5	1	7	1	2	2	6	5	11	7	2	9	4	10
1000	-493.819910443075116	-492.038284512353243	-1.781625930721868	0.000010041202471	0.000018009924809	1.793602395900845	0.499553397261704	-1	2	4	4	6	6	7	7	7	5	6	9	9	9	7	7	8	11	8	9	9	9	9	9	10	10	10	12	11	12	13	11	15	14	14	16	14	15	16	15	16	16	15	15	19	17	18	19	18	19	18	17	18	17	20	20	22	20	20	21	25	23	23	23	25	26	26	0	1	2	2	3	10	3	11	5	3	4	6	7	3	11	11	5	19	10	10	11	15	17	19	19	11	11	32	19	27	32	23	37	29	27	27	28	37	35	37	37	28	37	37	39	37	42	53	44	46	41	43	43	39	53	50	0	53	54	52	64	41	52	55	41	41	41	1	2	1	1	1	1	2	1	1	1	1	2	2	3	1	1	2	2	2	2	1	1	1	1	1	2	2	1	2	2	1	1	1	2	2	2	1	1	1	1	1	2	1	1	2	3	1	1	2	1	1	1	1	1	1	1	1	1	2	3	2	4	4	2	6	3	5
1500	-410.991855649024330	-409.514231589022813	-1.477624060001535	0.000010090207591	0.000010519145238	1.042510289605825	0.667154744790675	0	2	4	3	6	6	8	6	7	7	8	9	9	6	7	8	8	8	8	8	11	8	9	9	10	10	9	13	11	12	12	10	14	13	14	15	13	15	17	15	16	16	16	15	19	17	19	19	18	19	19	18	18	18	20	21	23	20	21	21	24	23	23	26	26	27	28	0	1	1	2	3	3	3	4	5	3	8	7	7	3	8	8	5	10	10	10	8	15	3	19	19	11	8	32	19	27	32	23	28	29	21	30	31	28	35	37	44	32	37	37	39	40	42	53	44	46	41	43	43	39	53	50	0	48	54	52	55	41	60	61	51	62	65	1	1	2	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	3	3	3	1	1	3	2	1
2000	-384.462793513091185	-382.957029948572313	-1.505763564518859	0.000010152193057	0.000011338185548	1.116821309880401	0.764966568166868	0	1	4	2	5	6	7	5	6	7	8	8	9	9	7	7	8	11	8	9	13	9	10	9	10	9	9	13	11	12	13	12	14	14	14	15	14	14	16	15	16	15	16	15	18	17	16	20	17	18	19	18	17	18	20	20	24	20	21	21	24	22	23	25	25	26	27	0	1	1	1	3	3	5	4	5	6	8	6	7	7	8	8	5	10	10	10	11	15	17	19	24	11	11	23	19	27	32	23	32	29	30	30	31	31	35	38	44	32	37	37	39	40	32	53	44	46	41	37	43	39	53	50	0	53	54	52	55	51	60	61	51	65	65	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	2	1	1	1	1	1	2	2	2	1	1	3	1	1
2500	-392.987201890165636	-391.376961716585583	-1.610240173580047	0.000010141658474	0.000013971059873	1.377591240018935	0.770409269641670	-1	1	4	3	5	5	7	5	6	7	7	7	10	8	7	7	8	10	8	8	12	8	9	9	9	10	9	13	11	11	12	11	14	13	14	16	14	14	16	16	16	16	16	15	18	17	18	19	18	19	19	18	18	18	20	20	24	21	20	21	25	24	22	26	26	27	28	0	1	2	2	3	3	3	4	5	6	8	6	7	3	8	8	9	10	10	10	8	15	17	19	19	4	8	32	24	27	32	23	23	29	21	21	31	31	35	37	44	28	37	37	39	40	28	53	43	46	41	43	43	35	53	50	0	53	54	52	55	51	60	61	51	65	65	1	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	1	2	1	1	1	1	3	2	1	1	1	1	2	3	1	1	2	1	1	1	1	1	2	2	1	2	1	3	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	3	1	1
3000	-376.337824172996932	-374.941494981273081	-1.396329191723857	0.000010220970538	0.000004174031273	0.408379151176806	0.854445872585005	0	2	4	3	7	7	6	5	6	8	7	8	9	6	8	7	8	11	6	9	11	7	9	9	10	10	9	13	11	12	12	11	15	14	13	16	14	14	16	15	16	15	16	15	19	17	17	19	18	19	18	17	18	19	20	20	23	20	21	21	25	24	22	26	25	26	27	0	1	2	2	9	7	3	4	3	19	8	6	7	3	22	8	9	24	3	10	8	8	17	19	24	8	11	32	24	27	32	23	28	29	27	30	31	31	35	37	44	28	37	37	39	40	42	53	44	46	41	43	43	39	53	50	0	53	54	52	55	51	60	61	62	65	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2	2	2	1	1	1	1	1
3500	-379.154161153996426	-377.775426627082936	-1.378734526913500	0.000010254392995	0.000004612080075	0.449766268662810	0.744214866409293	0	2	3	3	5	5	7	6	7	6	7	9	9	7	8	7	8	10	8	8	11	9	9	9	11	10	10	13	11	11	12	10	15	12	14	14	14	14	17	16	15	16	16	15	18	17	18	19	16	19	17	18	18	19	20	21	24	20	20	21	24	23	23	26	26	27	27	0	1	2	2	3	3	3	4	5	6	8	6	14	3	8	8	9	10	10	10	11	15	17	19	24	11	8	32	24	27	32	23	28	29	27	30	28	31	35	37	37	28	37	37	39	40	42	53	37	46	41	37	37	45	53	50	0	53	54	52	55	51	60	61	62	65	65	1	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	3	1	1	1	1	1
4000	-398.364813707748056	-396.722416301166845	-1.642397406581202	0.000010560053742	0.000015372862153	1.455756052754988	0.772493665823627	0	2	4	3	6	5	6	7	7	7	5	9	6	7	7	8	8	10	6	9	10	9	10	9	10	9	8	13	11	11	13	12	14	13	14	16	14	14	16	15	15	17	15	16	19	17	19	19	18	18	18	17	17	18	21	20	24	20	21	21	25	24	23	26	25	27	27	0	1	2	2	3	3	3	11	5	6	4	7	3	3	11	8	7	10	6	10	8	15	17	19	24	11	11	32	24	26	32	23	28	29	30	30	31	31	35	37	37	28	37	41	39	43	42	53	43	46	41	43	43	39	53	50	0	53	54	52	55	51	60	61	62	65	65	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	2	2	1	1	1	2	2	2	2	1	1	1	1	2
4500	-391.200373265307690	-389.195029565840855	-2.005343699466824	0.000011102230617	0.000026149642792	2.355350352018033	0.741436217443793	0	1	3	3	6	5	7	5	7	6	6	9	9	7	7	7	8	9	8	9	13	8	9	9	10	9	7	13	11	12	12	10	14	13	15	15	13	15	16	14	15	16	17	16	19	17	18	20	17	19	18	19	18	18	20	21	23	20	20	22	24	23	23	26	25	27	27	0	1	2	2	3	3	3	4	5	6	8	6	7	6	8	11	5	10	10	10	30	15	17	19	24	11	11	32	19	27	32	23	28	29	30	30	31	31	35	37	37	28	37	37	39	40	42	53	44	46	41	43	40	35	53	50	0	53	54	52	55	51	60	61	62	65	65	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	2	1	3	2	1	1	1	1	1	2	2	2	1	1	1	1	2
