step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21
1	-458.185424511541214	-456.723342427022317	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.384623242042894	13	12	13	17	15	16	17	19	20	18	20	23	24	24	25	28	29	30	34	33	39	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	3	2	2	3	4	4	3	4	6	6	6	7	8	9	9	11	11	14
500	-202.206747213697980	-199.697590298007810	-2.509156915690166	0.000010050905088	0.000038072808124	3.787997975282807	0.355920375905989	13	12	14	18	15	15	16	19	20	17	20	23	23	25	25	28	29	28	35	33	39	2	0	1	5	2	2	2	5	3	2	5	11	6	11	12	13	15	13	18	17	20	1	1	1	2	2	2	3	2	3	3	3	2	3	2	1	3	2	3	4	2	4
1000	-205.413000487076062	-202.969957068803410	-2.443043418272646	0.000010087810891	0.000036155351566	3.584063178494000	0.392423933199614	12	11	14	18	16	16	17	20	20	18	20	24	24	24	25	28	29	29	32	33	38	2	0	1	5	2	2	6	5	3	2	5	11	6	5	11	13	15	13	18	17	20	1	1	1	1	2	2	1	2	2	4	2	2	3	4	2	2	2	2	2	2	3
1500	-199.812017232744154	-197.413456154834819	-2.398561077909340	0.000010136607401	0.000034968917784	3.449765429605108	0.668589819561487	13	12	14	17	16	17	16	19	20	18	20	23	24	25	24	29	29	30	34	33	37	2	0	1	5	2	7	2	5	3	5	5	11	6	12	12	13	15	16	18	17	20	1	1	1	1	2	1	2	2	3	2	1	2	3	1	1	2	2	1	2	3	2
2000	-199.067328647480508	-197.029501443609661	-2.037827203870836	0.000010139429475	0.000024740592348	2.440037914197180	0.559425610792003	13	12	14	16	15	17	15	18	19	18	20	23	24	24	25	28	30	31	35	33	39	2	0	1	5	2	7	2	5	3	2	5	11	7	12	12	13	15	16	18	17	20	1	1	1	1	2	1	2	2	2	3	3	2	3	1	1	2	2	1	2	2	3
2500	-198.121948918909453	-195.920629176064580	-2.201319742844868	0.000010021112270	0.000028871342570	2.881051702805523	0.409667842729155	13	11	14	17	15	17	16	18	20	19	21	23	24	25	26	27	30	31	34	34	39	2	0	1	5	2	7	2	5	3	2	5	11	6	12	12	13	15	13	18	17	20	1	1	1	1	2	1	2	1	3	4	2	2	3	1	1	3	2	3	2	2	2
3000	-195.236792498379174	-193.091841017096954	-2.144951481282229	0.000009977990829	0.000027200858008	2.726085689384618	0.554694089550062	13	12	14	17	16	17	16	20	20	19	20	22	24	23	25	29	30	30	34	32	37	2	0	1	5	2	7	2	5	3	7	5	11	6	12	12	13	15	13	18	17	20	1	1	1	1	2	1	2	2	4	2	2	1	3	1	2	2	3	3	2	1	2
3500	-202.065295063674768	-199.386756648938757	-2.678538414736007	0.000009575119895	0.000041509085060	4.335098204074604	0.594723012604637	13	11	14	17	15	17	15	19	20	18	20	22	25	23	25	27	30	30	34	34	39	2	0	1	5	2	7	2	5	3	7	8	5	6	12	12	13	15	13	18	17	20	1	1	1	1	2	1	1	3	3	2	1	3	4	1	2	1	3	3	2	2	2
4000	-209.401416404506023	-207.218263350758775	-2.183153053747241	0.000009692382024	0.000027436799034	2.830759143157790	0.526239221545551	13	12	14	18	15	16	15	19	20	19	19	23	24	24	26	28	28	31	35	34	39	2	0	1	5	2	7	2	5	3	1	5	4	6	12	12	13	15	13	18	17	20	1	1	1	2	1	1	2	2	3	3	2	2	4	1	2	2	2	2	1	2	2
4500	-194.168227689166628	-192.061588280323718	-2.106639408842916	0.000010542878584	0.000027649193979	2.622546940932367	0.636826137028150	13	12	14	17	15	17	16	18	20	17	20	23	24	25	26	28	28	30	34	33	39	2	0	1	5	2	7	2	5	3	2	5	11	7	12	12	13	15	16	18	17	20	1	1	1	1	2	1	2	2	2	2	2	1	4	1	1	2	1	1	2	2	3
