step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73
1	-3369.743993892819162	-3368.281911808300265	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.582375455877960	0	1	2	2	3	4	4	4	4	4	5	7	9	6	6	7	8	9	10	9	9	11	10	12	10	11	11	11	12	12	12	14	12	13	13	14	13	14	16	14	14	14	15	15	15	15	18	17	19	20	21	20	21	21	21	21	22	22	22	24	23	23	24	24	25	25	26	26	27	30	28	30	30	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	3	3	4	6	7	5	5	6	6	7	8	7	7	8	8	9	8	8	8	8	9	9	9	11	9	10	10	11	10	11	12	11	11	11	11	11	11	11	13	13	14	15	16	15	16	16	16	16	16	16	16	18	17	17	18	18	18	18	19	19	20	22	21	22	22
500	-839.827381631502817	-838.183529538826974	-1.643852092675857	0.000010012667685	0.000014611318185	1.459283244523068	0.197895414321820	0	1	1	2	3	3	3	4	4	2	5	4	9	6	3	5	7	9	7	9	9	11	10	12	10	11	8	10	12	12	12	13	12	13	13	14	13	14	16	14	14	13	15	15	15	15	18	17	19	20	21	19	21	21	21	21	22	22	22	24	23	23	24	24	25	25	26	26	26	30	28	30	28	0	1	1	2	1	10	3	5	6	2	9	15	10	9	10	6	10	17	12	16	16	23	12	26	20	16	12	19	25	16	16	27	19	19	27	37	19	12	19	19	23	12	12	23	28	33	23	32	23	27	27	27	27	19	27	27	23	19	0	27	23	27	27	19	27	27	27	27	32	32	27	35	32	1	1	1	1	2	1	2	1	1	1	1	1	4	2	1	2	4	2	3	4	3	1	5	1	1	6	4	2	2	7	6	5	5	5	5	1	6	8	8	6	4	9	9	4	5	3	6	3	8	11	10	9	12	14	12	10	11	15	1	14	13	12	10	17	14	16	17	14	12	16	19	17	13
1000	-764.855080862063346	-762.925295424791557	-1.929785437271802	0.000010044481330	0.000021713457662	2.161730103183840	0.197529841723365	-1	1	1	2	3	2	4	4	4	3	5	5	9	6	6	6	8	9	7	8	8	11	10	12	10	11	9	10	12	11	11	11	12	11	10	13	13	14	16	13	13	14	15	15	15	15	16	17	19	17	21	20	20	21	21	21	22	22	22	24	23	23	24	24	25	25	26	25	27	29	28	29	30	0	1	1	2	3	3	1	5	6	6	9	10	10	11	12	6	16	21	12	16	16	19	19	20	20	20	19	19	25	18	20	35	28	19	27	28	23	19	28	19	33	41	19	34	34	37	34	35	34	35	35	35	27	32	32	48	35	19	0	32	34	32	50	35	35	32	27	32	32	48	27	32	22	1	2	1	1	1	1	4	1	2	1	1	2	4	1	1	3	2	1	2	1	2	4	3	3	2	3	2	1	1	2	3	1	2	4	1	3	2	6	3	6	1	1	8	4	4	1	3	5	5	6	9	8	10	8	10	4	8	15	1	10	7	8	7	12	12	12	16	13	12	11	17	15	13
1500	-630.433456207831796	-628.546286618251997	-1.887169589579773	0.000010101593442	0.000020753036533	2.054431971828980	0.246200680240798	0	1	2	2	3	2	4	4	4	4	5	5	7	6	6	6	8	9	7	9	9	11	10	12	10	11	9	10	12	10	12	13	12	11	11	14	11	14	16	14	14	14	15	15	15	13	16	17	18	19	21	18	21	21	21	21	22	22	20	24	23	23	24	24	24	24	26	25	27	30	27	30	30	0	1	1	2	1	2	1	5	6	6	9	10	6	9	12	6	13	16	12	16	16	19	19	20	20	16	19	19	25	18	26	35	22	19	27	28	28	23	28	28	37	46	19	38	40	37	38	35	22	32	32	35	35	32	32	50	50	23	0	32	52	32	52	27	32	35	32	48	23	48	52	52	63	1	1	2	1	1	1	3	1	2	2	1	1	4	2	1	3	1	3	2	2	3	3	3	3	1	3	2	3	2	1	1	2	1	4	1	4	1	4	5	4	2	1	7	1	1	2	1	6	7	4	7	5	7	6	8	1	3	10	1	8	4	10	6	10	10	9	12	7	15	13	8	12	4
2000	-566.779793567222555	-565.319650860815273	-1.460142706407240	0.000010143149286	0.000010088390649	0.994601416634433	0.308904402293427	-3	1	2	2	3	3	4	4	4	4	5	5	9	6	6	7	7	8	7	9	9	11	10	11	10	11	9	9	12	12	12	12	12	13	11	12	11	14	16	14	14	14	15	15	15	15	18	16	19	20	18	20	21	21	21	21	22	22	22	22	22	23	24	24	25	25	26	25	27	30	28	30	27	0	1	1	2	3	2	3	5	6	6	9	2	10	11	12	6	10	16	12	16	16	19	19	16	20	20	19	19	25	18	26	35	28	23	27	28	28	23	33	33	37	36	37	38	40	37	34	27	23	48	32	48	35	52	48	50	55	32	0	32	55	23	55	35	35	48	35	51	51	48	55	51	68	1	4	2	1	1	2	2	1	1	1	1	4	3	1	1	3	1	1	2	2	2	1	3	3	1	2	2	1	2	3	1	1	2	2	2	3	1	3	2	2	3	1	4	1	1	4	4	5	9	3	6	3	8	1	5	1	1	7	1	10	1	10	3	9	10	8	10	7	9	11	5	11	2
2500	-492.583156573220720	-491.144602046835303	-1.438554526385403	0.000010113784089	0.000009433153898	0.932702716919961	0.403860199762861	0	1	2	2	3	3	4	4	4	4	5	4	6	5	6	6	8	8	8	9	9	11	10	11	10	11	10	11	12	12	12	14	12	13	12	14	11	14	16	14	14	14	15	15	15	15	15	15	19	20	19	20	20	21	19	21	21	21	22	23	22	23	24	24	25	25	26	26	26	30	27	30	27	0	1	1	2	3	2	3	5	6	6	9	6	6	9	12	2	13	16	12	16	18	23	19	20	20	20	19	23	25	18	26	35	28	23	19	33	19	23	36	28	37	37	37	38	40	37	38	35	23	48	35	51	32	55	48	51	55	51	0	35	51	51	57	48	35	57	51	57	57	51	65	68	68	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	5	2	2	4	3	1	1	2	2	1	2	2	1	2	3	1	1	1	1	3	2	2	3	2	3	2	3	4	1	1	4	1	3	9	3	7	1	5	1	4	1	2	1	1	9	2	2	2	8	7	3	5	5	5	8	2	3	1
3000	-455.716120732775607	-454.257641101896354	-1.458479630879232	0.000010220375646	0.000010117695239	0.989953362690056	0.452531111831163	0	1	2	2	3	3	4	4	4	4	5	5	9	6	6	7	8	9	7	9	9	8	10	12	9	11	11	11	12	11	12	14	12	11	12	14	10	14	16	13	14	14	15	15	15	15	18	17	19	20	18	19	21	21	21	20	22	22	20	24	23	22	24	24	25	25	26	25	26	29	28	30	27	0	1	1	2	3	2	1	5	6	6	9	10	17	9	12	6	6	16	12	16	16	19	19	20	16	16	19	23	25	18	26	35	28	23	27	33	19	34	36	33	28	37	42	38	40	41	34	32	39	52	32	51	32	50	32	51	55	56	0	48	51	55	55	35	51	55	60	55	68	67	69	69	68	1	1	2	1	1	2	4	1	1	1	1	1	1	2	1	4	3	2	2	2	2	1	3	2	2	3	4	1	2	2	1	2	1	1	1	2	2	2	2	1	3	4	1	1	2	1	5	2	3	1	4	1	3	1	7	2	1	2	1	7	3	1	3	8	6	3	2	2	1	2	1	2	2
3500	-421.126221141882127	-419.558098932502560	-1.568122209379556	0.000009819969554	0.000012512984343	1.274238608773713	0.495701917872312	0	1	2	2	3	2	3	4	4	3	5	4	9	6	6	7	7	8	8	9	9	11	9	12	8	11	11	11	12	12	12	14	12	12	12	14	13	14	16	14	14	14	15	15	15	15	17	16	19	20	18	20	19	21	21	20	22	22	22	24	23	23	24	24	25	23	26	26	27	27	28	28	30	0	1	1	2	3	2	3	5	6	6	9	10	10	9	12	6	10	16	12	16	18	19	19	20	16	20	23	19	25	18	26	35	28	19	27	28	33	34	36	28	19	37	41	38	40	37	34	32	34	51	32	51	32	50	51	51	55	56	0	52	51	57	66	53	55	57	64	63	68	67	65	65	65	1	1	2	1	1	1	1	1	1	1	1	1	4	2	1	2	3	1	3	2	1	2	1	2	1	1	2	1	3	4	1	2	1	4	1	3	1	2	2	3	4	1	1	1	1	1	4	2	4	2	3	2	4	1	2	2	1	2	1	3	2	1	1	3	4	1	2	2	1	1	2	3	2
4000	-407.576488209865431	-406.084117841782984	-1.492370368082462	0.000009823602748	0.000010627290952	1.081811960993902	0.551996023282000	0	1	2	2	3	3	4	4	4	4	5	5	9	6	6	7	8	9	9	9	9	11	10	10	8	11	11	11	12	11	12	14	12	13	13	14	13	14	16	13	13	14	15	15	14	15	17	17	18	19	18	20	21	20	21	21	22	22	22	22	20	23	24	23	24	23	26	26	27	30	28	30	30	0	1	1	2	1	2	3	5	2	6	9	10	17	11	12	6	10	16	12	16	16	23	19	16	16	24	19	19	25	18	26	35	28	19	19	28	28	34	36	28	23	37	41	34	40	41	34	32	34	48	35	50	51	51	50	51	61	56	0	48	51	57	66	60	66	57	64	65	65	67	69	71	69	1	1	1	1	3	1	1	1	2	1	1	1	1	1	1	3	2	1	3	2	2	1	1	2	1	1	1	2	2	2	1	1	1	2	2	2	2	1	2	2	3	1	1	2	1	2	3	2	3	2	4	1	3	2	2	3	1	1	1	4	2	1	1	1	1	1	3	2	2	3	1	2	2
4500	-395.196722666801747	-393.540050022422292	-1.656672644379436	0.000010029210767	0.000014947021538	1.490348730854007	0.603054901031934	0	1	1	2	3	3	4	4	4	4	5	5	8	6	6	7	8	9	9	9	9	11	10	12	9	11	11	10	12	12	12	14	12	13	12	14	13	14	15	12	14	14	15	15	15	15	17	17	17	20	18	20	21	21	20	21	22	22	22	23	22	23	24	24	24	23	26	26	27	30	28	30	30	0	1	1	2	3	2	3	5	6	6	9	10	10	9	12	6	10	16	12	16	13	23	19	20	16	20	19	19	25	18	26	35	28	19	19	40	33	34	36	28	37	37	37	38	40	37	34	35	34	51	48	51	32	48	51	50	55	56	0	53	50	57	66	60	66	57	64	65	65	67	68	71	69	1	1	1	1	1	2	2	1	1	1	1	1	4	2	1	2	2	2	2	2	1	1	1	3	2	1	1	1	2	2	1	2	2	2	2	2	1	1	1	2	1	1	2	1	2	2	4	2	3	2	1	2	3	2	1	1	2	1	1	2	1	1	1	1	1	1	1	2	2	3	2	2	3
