step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86
1	-822.681050788965990	-831.731894169417387	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.801754991200542	1	4	4	6	8	8	8	10	8	8	7	8	10	8	10	9	12	10	11	9	10	10	12	14	10	10	13	12	12	11	10	17	11	14	13	11	13	12	13	12	13	13	13	12	16	14	22	17	15	15	16	15	14	15	16	18	18	15	15	16	15	16	23	15	16	16	17	18	18	17	19	19	17	17	18	20	19	19	21	25	20	21	20	27	23	22	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-281.633008547646000	-290.683851928097340	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999984040577124	2	5	3	6	9	9	5	10	8	8	7	7	9	8	11	9	13	11	11	9	10	11	9	15	11	9	12	10	12	10	11	13	12	13	12	11	11	11	13	12	14	12	14	13	17	13	20	18	15	9	15	16	6	11	16	18	15	15	13	16	15	17	23	13	12	15	16	17	17	16	18	19	14	15	17	21	19	19	18	21	21	20	19	24	23	20	0	3	1	3	11	4	3	20	7	4	7	4	7	7	20	14	10	21	13	11	16	16	9	44	12	10	8	2	28	26	11	8	37	19	5	16	28	23	26	19	59	30	37	54	74	36	56	66	46	4	29	32	2	26	59	40	33	44	31	58	31	24	83	14	10	29	51	61	10	41	55	51	33	25	66	79	70	69	66	56	56	62	75	63	61	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-266.675579456146409	-275.726422836597749	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994815980064018	1	4	5	6	9	9	9	9	8	8	7	7	10	9	11	10	13	9	11	10	11	10	7	14	11	11	11	12	10	12	9	17	11	13	14	12	13	10	14	13	13	9	14	12	16	12	23	18	13	15	16	15	13	16	17	14	15	13	12	17	16	15	23	11	15	17	15	17	19	14	20	19	16	13	18	20	20	20	22	19	21	20	20	21	22	19	0	1	2	3	23	10	4	11	11	12	3	4	12	9	42	8	46	9	20	18	31	5	2	5	8	10	12	25	8	21	10	24	10	64	30	33	27	8	58	28	29	23	17	15	24	26	84	44	20	56	35	30	27	58	65	21	49	59	5	54	40	24	84	8	38	56	74	61	48	37	80	75	65	16	62	86	49	60	55	32	32	69	24	80	76	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-242.461598188847773	-251.512441569299114	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993303149574893	2	4	4	7	8	3	9	11	7	7	6	9	10	7	10	8	12	5	12	10	9	10	12	15	11	10	14	12	13	11	11	15	12	14	13	12	12	13	12	10	13	13	14	13	17	14	22	18	15	16	17	13	13	15	17	19	17	14	16	16	15	14	24	16	17	14	15	18	18	18	19	19	17	15	17	21	18	19	17	24	21	21	19	25	23	23	0	1	1	18	10	1	4	7	11	6	6	10	21	2	7	9	26	6	26	16	10	21	20	28	26	21	39	26	25	21	20	17	40	44	25	31	12	31	15	7	30	21	36	7	38	17	65	54	35	46	49	40	33	58	43	65	43	39	29	38	27	8	76	46	27	29	43	75	60	44	45	77	54	46	64	65	73	59	24	76	72	60	77	63	81	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-247.167705852721156	-256.218549233172496	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.979336026244909	2	4	4	6	7	8	9	9	8	9	7	8	8	7	10	9	12	9	10	10	11	10	12	15	9	11	13	12	11	11	11	17	11	14	14	10	11	11	13	13	13	12	11	10	17	13	22	18	16	15	16	15	13	14	15	17	17	15	13	16	15	16	24	15	15	14	15	17	17	15	18	19	12	17	17	21	15	20	22	24	19	22	18	24	22	20	0	1	1	2	2	4	13	5	4	11	4	14	14	2	6	6	29	13	9	25	8	25	19	27	11	16	17	31	19	10	19	46	6	17	43	12	6	20	36	43	37	20	16	6	27	29	86	70	77	53	26	39	8	23	39	73	64	29	44	65	34	77	82	35	40	41	46	54	51	66	49	34	44	34	65	78	66	65	72	79	56	32	60	79	51	83	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-268.439094666955270	-277.489938047406611	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984995896217520	1	5	5	7	8	9	6	11	8	8	7	9	9	9	8	10	13	11	9	8	10	10	12	12	9	11	14	8	11	12	9	18	12	14	14	12	13	12	14	13	14	10	14	12	16	14	21	17	14	15	16	13	11	14	16	17	18	15	16	16	13	12	20	11	17	15	14	13	18	15	18	18	15	16	18	19	18	19	14	24	19	21	21	28	23	23	0	1	1	2	7	2	3	14	7	11	2	28	4	7	3	15	30	13	11	2	11	4	26	6	15	19	23	4	21	53	3	74	16	33	24	18	44	42	24	23	44	19	44	21	35	30	72	34	62	17	49	38	10	44	29	54	79	53	49	35	24	26	75	21	26	33	18	9	41	40	40	45	67	79	58	43	70	27	29	86	75	76	61	80	82	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-259.882217437700945	-268.933060818152285	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994085928522533	1	3	5	6	7	8	8	10	8	9	8	9	8	9	10	9	12	11	10	10	10	11	9	11	10	9	13	13	13	10	8	18	12	15	11	11	14	13	13	11	13	13	11	12	16	15	19	16	16	13	17	16	14	15	17	13	16	16	15	16	15	16	23	16	16	16	14	17	17	17	18	16	16	15	19	18	20	17	19	25	18	22	16	28	21	18	0	1	2	2	1	5	3	10	5	31	3	13	3	6	10	5	21	8	10	6	12	21	11	6	6	4	35	33	44	12	5	8	40	41	26	23	38	43	25	14	36	33	9	21	29	42	32	74	61	18	72	17	33	22	57	36	23	34	38	41	39	61	79	54	20	44	50	42	60	48	62	41	34	29	37	52	86	45	69	63	65	77	54	80	71	49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-250.050770790775289	-259.101614171226629	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999518624067764	1	5	4	6	8	7	8	11	9	6	8	8	10	6	10	8	13	10	11	9	10	11	12	15	11	11	13	12	13	11	10	18	10	14	13	12	13	11	14	12	12	13	14	12	16	15	18	16	14	15	16	16	11	13	16	19	14	14	14	16	15	14	22	15	17	17	16	19	19	15	20	19	17	17	15	17	19	15	18	19	21	20	20	27	21	22	0	3	1	2	2	2	2	7	12	3	6	4	16	3	12	14	23	11	11	7	20	15	18	37	18	4	41	30	53	13	20	51	7	28	23	31	19	16	8	38	25	44	53	8	53	29	70	62	25	37	35	42	21	23	24	58	44	29	54	57	17	27	71	49	49	39	59	79	65	37	77	62	46	70	39	48	65	54	74	66	34	56	76	81	35	82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-254.276059755010692	-263.326903135462032	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.982737135440213	2	4	4	5	8	8	6	11	8	6	6	9	10	9	10	7	12	9	11	10	11	11	11	14	11	11	13	11	11	10	8	17	10	15	13	10	13	13	14	13	12	11	14	12	14	15	23	15	16	14	17	15	14	14	15	17	18	13	14	16	13	16	22	15	17	15	17	18	15	17	17	19	17	17	17	20	16	15	22	23	20	22	21	26	24	21	0	1	1	2	16	7	2	11	4	3	1	11	5	31	14	4	8	9	15	9	30	33	5	22	15	6	29	13	36	12	10	46	31	23	29	9	13	19	35	28	12	4	29	26	37	35	79	59	69	58	43	58	25	41	24	46	70	19	61	24	23	46	81	17	55	40	17	67	17	59	69	68	40	66	22	54	19	61	76	79	72	86	78	80	86	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-262.859254405703552	-271.910097786154893	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996043282784955	1	3	5	7	8	9	9	11	8	9	6	9	10	8	10	9	12	10	11	6	10	11	12	15	11	10	11	13	11	12	11	18	11	15	14	11	12	11	13	12	10	14	14	12	16	15	22	13	16	15	15	15	14	14	16	18	19	14	12	16	14	17	21	15	17	16	18	18	18	12	17	19	14	17	17	21	19	18	17	25	18	19	21	24	23	22	0	1	1	3	3	9	9	18	4	3	3	14	7	4	5	4	7	7	12	1	5	10	38	73	20	6	12	25	12	26	4	66	6	36	44	14	21	41	25	31	16	26	23	19	59	59	73	70	58	54	10	44	36	14	28	45	45	39	18	73	28	64	82	36	52	59	42	39	62	21	46	33	22	45	64	82	54	75	53	47	58	75	67	72	86	76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
