step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55
1	-4455.490930290649885	-4462.346418241609172	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.390936485833175	0	1	2	4	4	4	5	7	7	8	9	9	9	10	13	14	14	16	17	17	17	17	17	17	17	18	18	19	19	20	19	20	20	22	21	22	22	22	24	23	23	23	25	24	26	25	27	30	30	31	31	32	34	34	35	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	4	4	4	5	5	5	5	7	7	7	8	9	9	9	9	9	9	9	9	9	10	10	10	10	10	10	11	11	11	11	11	12	12	12	12	13	12	13	13	14	15	15	16	16	16	17	17	18
500	-528.396674124598121	-535.252162075557521	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.267049518409778	1	1	1	4	4	4	5	5	7	8	9	8	10	10	12	13	15	16	17	18	16	18	17	16	15	19	17	19	20	21	17	20	19	21	22	23	22	22	25	23	23	24	26	24	26	25	28	30	31	31	31	32	33	35	35	0	0	0	2	3	3	5	5	6	8	6	6	10	12	12	11	12	15	18	31	17	0	25	25	15	21	18	24	18	16	21	18	1	18	27	19	1	23	25	9	21	41	46	0	28	25	25	0	9	38	0	0	38	16	37	1	1	1	2	2	2	1	1	2	1	3	2	2	1	2	2	4	2	1	1	1	1	1	1	2	2	1	1	2	5	1	2	8	2	3	4	11	3	3	12	6	1	1	1	4	7	8	1	12	5	1	1	5	13	9
1000	-423.557108130979373	-430.412596081938773	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.462465248905712	0	0	1	4	5	5	5	7	7	8	9	9	9	10	12	15	14	16	17	17	17	17	18	15	17	18	19	19	19	19	19	21	20	23	20	23	21	21	25	23	23	23	26	25	26	24	27	30	31	30	32	33	34	35	35	0	0	0	2	3	3	3	5	5	5	9	6	8	9	12	15	15	24	18	18	18	0	25	17	17	25	25	21	24	21	21	25	1	38	19	24	1	23	36	31	38	38	42	0	29	23	34	0	41	46	0	0	50	47	37	1	1	1	2	2	3	2	2	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	11	2	2	4	11	1	2	3	1	1	2	1	3	2	2	1	5	2	1	1	2	6	8
1500	-380.905291918267380	-387.760779869226781	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.549628289026675	1	1	2	4	4	4	4	7	6	7	10	8	9	10	14	12	15	15	17	17	17	17	18	18	17	18	19	20	19	21	19	21	21	21	21	21	22	22	23	23	23	23	25	24	25	26	28	31	30	31	31	32	33	33	35	0	0	0	2	3	3	3	5	3	5	6	9	10	6	14	12	14	16	18	18	18	0	25	25	18	21	19	25	24	31	25	23	1	31	19	31	1	34	34	36	38	34	41	0	25	41	46	0	46	46	0	0	47	50	37	1	1	1	1	1	1	2	2	2	1	3	2	2	3	2	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	8	1	3	1	10	1	1	1	1	1	1	1	3	2	2	1	2	2	1	1	2	1	6
2000	-397.912978018729291	-404.768465969688691	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.545475397126698	1	1	1	4	4	4	5	8	7	9	9	8	10	9	10	14	14	15	17	16	16	17	17	16	18	18	18	19	19	21	18	20	20	22	22	20	23	21	25	24	24	23	25	24	26	26	27	30	30	31	31	33	34	34	35	0	0	0	2	3	3	6	5	6	6	12	6	6	6	12	14	12	16	18	18	18	0	21	17	21	21	19	26	21	25	21	26	10	36	27	17	1	21	34	16	38	38	41	0	36	43	43	0	47	49	0	0	50	50	37	1	1	1	1	2	2	1	2	1	2	1	2	4	2	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	5	1	3	2	11	2	2	6	2	1	1	1	3	1	1	1	1	1	1	1	2	2	5
2500	-364.077231359913640	-370.932719310873040	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.636194621907592	-1	1	3	5	5	4	5	7	7	9	10	9	9	10	12	14	14	17	18	17	14	18	17	16	16	18	18	20	19	20	18	20	19	22	20	21	23	22	25	23	23	24	24	23	26	25	27	30	29	31	32	33	34	35	34	0	0	0	2	3	3	3	5	6	5	9	9	8	12	12	15	15	21	18	16	15	0	25	21	21	21	21	21	24	31	25	26	1	23	27	29	1	30	34	36	38	38	41	0	40	43	46	0	47	49	0	0	50	53	37	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	3	1	1	2	1	1	1	1	2	2	3	2	1	1	1	6	2	1	1	10	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	4
3000	-378.401834745464100	-385.257322696423500	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.638291402863541	1	1	1	3	4	4	5	7	7	8	9	9	9	11	13	14	14	15	16	17	17	17	17	18	16	19	19	19	20	18	19	21	19	21	21	23	23	22	24	24	23	21	24	25	26	26	28	30	31	32	32	32	35	34	36	0	0	0	2	3	3	6	5	6	5	9	6	8	12	12	14	14	15	16	15	25	0	25	16	16	17	20	25	24	25	25	30	1	31	20	31	1	34	38	23	34	23	41	0	40	43	46	0	47	46	0	0	49	50	52	1	1	1	1	2	2	1	1	2	2	1	3	1	1	2	2	2	1	1	2	1	1	1	2	1	2	1	1	1	1	2	2	6	1	1	3	11	1	1	4	2	2	1	1	2	1	1	1	1	4	1	1	2	1	2
3500	-371.561030459539325	-378.416518410498725	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.679150419162164	1	2	2	4	4	4	5	7	5	6	9	9	9	10	13	13	12	16	16	17	17	17	18	18	15	18	19	20	20	20	19	20	19	22	22	21	21	22	25	24	24	22	23	24	25	25	27	30	30	32	31	32	35	34	34	0	0	0	2	3	3	3	10	6	5	9	6	10	12	17	12	12	16	16	25	25	0	21	18	16	25	18	21	24	25	25	26	1	23	28	28	1	23	42	36	42	25	34	0	32	43	46	0	47	49	0	0	50	49	52	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	3	2	2	1	1	1	1	1	1	2	1	2	2	1	2	2	1	7	2	1	1	9	2	2	2	1	4	1	1	3	1	1	1	2	1	1	1	2	3	2
4000	-385.080043145260561	-391.935531096219961	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.490736980571869	1	1	2	4	3	4	5	7	6	8	9	9	10	11	12	14	13	15	16	17	16	17	18	18	16	18	19	20	20	20	19	21	20	20	21	22	22	22	24	24	23	22	25	24	25	25	28	31	28	32	31	32	34	34	35	0	0	0	2	3	3	3	5	6	7	9	6	8	9	12	15	12	17	17	19	15	0	25	25	18	18	19	26	24	25	19	25	1	23	27	32	1	23	34	26	23	34	41	0	36	39	46	0	41	49	0	0	49	50	52	1	1	1	2	1	1	2	3	2	1	1	2	1	2	2	1	2	2	2	1	1	1	1	1	1	2	1	1	1	2	3	2	7	2	1	1	10	2	2	2	2	1	1	1	2	1	2	1	3	2	1	1	3	2	1
4500	-357.644223523516587	-364.499711474475987	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.509354786460401	1	1	3	4	4	4	5	6	7	9	9	9	9	11	12	14	15	14	16	17	15	15	17	18	18	19	19	19	19	21	18	20	20	21	21	22	22	23	25	23	22	23	25	24	26	26	28	29	31	32	31	32	34	35	35	0	0	0	2	3	3	3	5	6	8	9	9	8	9	12	15	15	9	18	19	18	0	21	21	19	24	19	21	31	28	21	26	1	28	19	30	1	34	41	36	23	23	41	0	40	43	46	0	47	49	0	0	50	50	52	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	2	4	2	1	1	1	1	2	1	1	2	2	1	1	2	1	9	1	2	1	8	1	1	1	2	3	2	1	2	1	1	1	1	1	1	1	1	1	1
