step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81
1	-1036.470902571219995	-1045.521745951671392	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.640689401190951	8	7	14	16	28	22	22	17	22	27	27	24	39	26	25	32	35	30	34	29	34	29	33	32	47	38	31	37	32	32	39	38	40	35	42	44	40	39	48	41	48	38	38	38	41	40	41	43	47	48	39	41	43	37	45	46	43	45	41	54	45	47	55	46	49	50	46	44	50	50	53	49	50	50	53	52	67	55	62	72	72	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-430.315104179692241	-439.365947560143582	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995888072115373	11	6	15	19	32	23	20	19	25	31	27	26	37	25	22	31	39	31	33	25	29	25	36	30	42	35	31	37	31	31	30	37	41	29	42	43	39	41	49	34	47	39	35	37	44	18	33	44	40	39	42	37	44	38	46	40	35	44	44	56	37	47	55	48	46	50	41	34	54	42	53	49	43	50	50	56	65	51	56	57	72	2	0	2	2	22	7	3	1	46	3	3	46	9	15	4	15	31	14	20	3	20	46	31	20	40	5	6	34	14	11	9	11	44	46	32	61	19	29	59	31	68	23	6	18	61	1	9	61	43	27	11	47	68	43	17	31	11	28	52	75	9	73	35	49	58	38	68	22	72	61	51	57	52	70	55	69	63	37	63	67	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-413.211527834718538	-422.262371215169878	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992972526311619	8	5	15	14	31	24	18	14	23	28	29	12	39	30	21	30	32	25	34	28	39	27	23	31	41	39	32	27	26	32	39	42	42	33	36	41	38	37	46	40	46	37	37	40	39	41	41	43	50	46	38	36	36	35	43	42	43	46	32	51	45	47	57	40	49	52	41	43	44	51	50	49	45	50	53	55	64	56	60	65	69	2	0	1	2	6	7	2	1	4	7	9	2	14	6	4	15	8	1	18	7	24	9	12	15	51	43	20	15	3	29	34	34	29	23	59	24	17	27	52	43	69	27	16	17	59	11	34	42	57	33	20	30	16	28	40	52	42	67	23	32	40	26	49	35	40	39	34	24	30	31	62	32	37	61	62	25	63	55	71	66	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-413.554692852561004	-422.605536233012344	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.978242773939631	8	6	13	17	22	24	20	18	24	24	30	23	40	26	24	37	34	32	32	29	27	30	35	36	45	36	27	38	33	33	33	30	38	24	44	45	41	36	47	45	43	38	38	37	39	42	41	41	45	39	39	27	42	33	37	47	43	44	42	47	45	44	52	48	50	52	49	44	47	51	54	52	42	49	46	51	71	52	59	72	67	2	0	1	3	8	7	1	3	4	8	52	3	17	7	7	17	27	34	9	12	6	5	21	5	37	18	34	10	34	34	34	15	18	3	42	59	31	19	32	46	43	11	11	27	18	54	51	55	17	54	29	15	55	14	31	46	16	44	43	55	37	24	53	53	45	51	47	31	73	45	62	57	22	25	46	56	70	49	66	81	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-414.064759913852299	-423.115603294303639	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999827081617849	9	6	12	12	26	20	23	21	26	25	28	23	41	12	25	31	37	28	30	32	35	30	33	31	48	35	29	29	35	32	37	38	43	37	46	36	36	39	48	38	47	35	38	43	41	42	40	38	37	49	39	43	41	38	44	37	44	46	40	55	46	47	58	41	46	50	42	43	44	51	57	52	52	50	50	50	70	54	62	67	68	2	0	1	1	7	14	14	4	8	6	6	6	37	1	8	9	8	7	10	27	24	10	12	15	33	15	9	10	9	11	19	20	49	18	13	30	11	22	69	10	64	30	27	49	48	48	34	15	28	41	26	67	38	20	49	28	40	68	36	25	45	64	39	15	46	38	51	49	54	44	65	41	45	69	54	39	80	75	61	63	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-429.498574932239592	-438.549418312690932	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.971911957473363	10	1	6	18	29	19	8	16	22	27	27	25	35	13	24	31	30	26	31	32	33	26	25	31	41	37	30	34	25	33	39	35	36	35	36	41	36	33	36	40	50	28	31	42	43	38	39	38	40	50	41	41	46	32	36	47	43	43	43	55	46	45	55	49	44	49	35	48	48	49	52	43	34	50	48	54	64	56	63	72	71	2	0	2	1	9	14	2	3	6	8	12	1	27	3	4	12	29	8	10	15	22	14	9	22	26	28	22	27	8	11	55	12	30	42	9	26	11	11	19	20	65	9	15	39	43	39	22	67	17	26	17	35	25	11	42	51	42	12	73	41	57	67	69	58	10	67	11	36	25	72	75	26	9	40	36	62	56	61	76	77	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-424.792787431828003	-433.843630812279343	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994165256129071	10	8	13	15	23	22	21	17	14	27	31	20	36	23	24	33	34	29	29	23	33	28	33	35	36	34	26	39	21	29	41	39	29	38	42	42	29	38	50	38	40	31	40	38	38	40	35	30	50	47	41	36	47	38	48	30	35	46	42	57	45	49	54	47	41	45	42	43	52	43	47	52	43	51	55	49	62	51	61	61	70	2	0	1	3	4	4	1	3	1	6	27	4	30	4	3	5	33	12	3	8	33	6	56	23	56	37	12	13	3	6	42	16	6	37	25	34	7	21	54	27	26	22	16	30	19	11	11	27	53	54	57	33	35	17	56	27	48	73	54	70	52	34	54	52	11	51	54	44	71	44	51	73	54	61	61	68	62	64	60	72	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-419.286017204225573	-428.336860584676913	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999446183522054	10	9	15	18	24	24	12	17	21	28	26	26	43	20	25	26	32	31	37	31	29	27	31	28	39	39	33	32	34	35	41	36	44	32	43	45	40	35	46	32	49	37	36	40	37	42	34	36	46	46	39	43	44	35	44	43	42	38	37	58	49	44	51	34	48	51	45	42	50	49	44	49	48	49	55	45	53	53	60	71	68	2	0	1	7	3	7	2	2	1	3	7	9	31	2	7	14	10	12	10	5	8	4	15	4	27	43	22	9	5	5	64	64	31	16	29	59	21	18	26	5	71	15	5	48	17	32	12	20	45	26	24	43	19	28	28	45	42	29	23	41	44	29	73	22	26	67	59	38	49	47	20	59	13	71	78	44	76	62	63	79	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-413.588409078517088	-422.639252458968429	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983718768059173	2	-4	11	17	21	22	23	16	21	21	28	25	37	27	23	28	35	28	32	27	32	30	36	36	39	40	30	34	34	34	34	41	33	38	43	36	40	40	45	39	42	39	36	32	42	40	33	42	41	49	34	32	42	35	44	38	40	44	41	48	46	48	55	47	37	46	44	46	46	45	52	51	49	53	48	53	65	53	49	67	73	2	0	1	3	8	4	5	3	4	4	5	5	52	10	9	5	52	10	9	5	18	7	27	10	30	18	7	27	11	27	12	14	7	51	33	14	10	31	34	51	34	33	19	20	44	36	16	17	52	48	11	12	18	20	34	17	65	37	13	41	31	49	62	34	16	21	34	13	32	41	79	45	59	66	39	55	78	46	53	78	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-413.715869823085029	-422.766713203536369	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.982598763098242	10	3	14	18	28	22	21	15	18	17	26	26	40	27	28	36	34	28	31	22	36	32	34	32	46	37	32	33	28	34	30	40	40	36	43	43	40	32	47	41	47	32	38	39	40	30	31	43	37	52	38	33	41	27	44	47	45	40	39	53	46	47	57	42	47	42	44	43	47	49	53	45	52	46	40	49	66	56	61	62	70	2	0	1	1	11	10	3	1	1	1	7	9	27	7	10	19	27	6	7	3	46	5	5	14	23	11	18	11	8	46	11	54	51	15	52	32	38	6	32	51	49	54	31	24	26	12	15	21	54	62	28	14	38	7	51	47	53	28	42	70	29	46	61	51	32	17	49	42	68	35	70	13	41	33	28	35	71	40	71	50	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
