step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62
10000	-223.401392106487890	-230.256880057447262	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.748261890180030	1	3	3	2	4	6	6	7	8	7	8	10	9	8	8	12	9	9	11	11	9	12	11	12	13	11	12	13	12	13	13	15	13	13	15	13	14	13	16	14	15	15	15	16	16	15	16	16	14	18	16	14	16	18	17	19	20	20	23	22	25	25	0	1	1	1	4	3	5	2	3	5	3	8	4	6	7	20	10	9	17	18	11	11	12	13	23	18	14	17	17	20	23	38	19	19	29	14	22	20	36	38	3	19	14	34	37	30	25	35	16	51	25	36	37	39	33	51	54	53	58	58	60	59	1	2	1	1	1	2	1	1	2	2	2	1	3	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	1	1	1	2	2	1	1	1	1	5	2	3	2	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	2	1
10500	-215.214245719298304	-222.069733670257676	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.613718164783848	1	4	3	3	5	6	4	6	8	7	8	9	8	8	9	11	8	10	10	12	10	12	13	12	14	11	12	14	13	13	13	13	15	14	15	14	13	13	15	15	15	15	16	16	15	15	16	15	16	19	17	16	13	18	19	20	20	21	23	24	24	26	0	3	1	1	4	1	4	5	3	3	4	10	3	2	9	12	7	9	11	15	1	21	26	19	18	14	18	21	21	26	18	16	32	24	30	22	8	20	29	27	36	21	53	32	19	31	36	37	21	25	48	28	21	49	35	16	51	55	58	50	57	61	1	1	1	1	1	2	1	1	3	2	3	1	2	2	1	1	1	1	1	2	6	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	4	1	1	1	1	2	1	2	2	1	1	1	3	3	1	1	1	1	2	3	2	1	1	4	2	1
11000	-197.466375388220342	-204.321863339179714	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.888557812729435	1	3	2	3	4	5	5	7	8	6	9	9	8	8	10	11	9	7	11	13	11	12	11	13	13	11	13	14	13	13	12	13	15	13	15	14	15	14	14	14	14	15	14	17	16	16	16	15	15	17	17	16	15	17	19	19	21	21	22	23	25	25	0	1	1	1	2	2	3	6	10	5	7	14	4	4	9	11	9	5	12	21	15	21	12	23	16	11	21	24	31	21	9	16	24	26	30	31	34	30	31	21	21	20	22	53	53	53	40	34	27	32	37	39	24	47	44	42	46	56	56	57	60	60	1	1	1	1	1	1	2	1	1	1	3	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	2	2	2	1
11500	-201.928525670445254	-208.784013621404625	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736407866292559	0	4	2	3	3	4	6	8	9	8	9	10	8	7	9	11	10	10	11	13	10	11	11	9	13	12	13	15	13	13	13	14	14	14	14	13	13	15	15	15	16	15	15	16	16	16	16	15	17	18	17	17	16	16	19	19	22	21	23	23	25	26	0	3	1	3	3	3	3	7	5	7	14	14	14	3	13	8	11	6	17	17	13	24	9	7	23	12	23	25	22	22	9	13	26	19	37	26	7	10	36	29	40	33	33	42	34	38	37	34	37	27	40	39	39	40	51	35	56	55	53	58	60	60	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1	1	3	1	1	4	1	1	2
12000	-221.695423133616856	-228.550911084576228	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.646117191469124	0	3	2	2	4	5	6	8	9	8	8	10	8	8	9	11	8	9	11	12	10	10	12	13	14	11	14	14	13	12	13	14	15	14	16	12	13	13	15	13	14	16	15	16	15	16	14	16	16	18	15	17	15	18	19	19	20	21	23	24	25	25	0	3	1	1	3	3	6	6	5	7	3	14	7	6	17	18	5	3	18	17	10	17	26	20	40	13	26	19	16	15	15	16	25	36	25	15	26	16	32	10	40	24	31	34	40	33	24	33	51	52	12	34	29	49	52	14	32	57	52	59	34	56	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	1	2	2	2	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	4	2	1	3	1	5	3
12500	-217.667435845235445	-224.522923796194817	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.754703138100292	0	4	2	3	5	5	5	7	8	8	8	10	8	9	9	12	10	8	11	13	10	11	12	12	13	11	14	15	13	13	12	14	14	13	16	15	14	13	15	12	16	16	15	17	17	17	16	15	16	17	16	17	16	17	19	16	21	20	23	23	25	24	0	3	1	1	3	1	4	5	7	8	1	18	6	7	8	19	18	3	11	22	13	13	12	21	19	21	21	30	31	22	14	8	31	24	33	38	26	24	23	10	37	29	38	24	42	28	18	20	20	31	38	48	48	42	46	27	35	51	57	57	59	59	1	1	2	1	1	2	1	1	1	1	4	1	2	2	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	3	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1
13000	-200.787628531082817	-207.643116482042188	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.849014613936148	0	3	2	2	4	4	6	7	7	7	8	9	9	9	8	11	10	9	11	12	10	12	11	12	14	11	14	14	13	13	13	14	14	13	15	14	14	14	16	13	15	15	15	17	16	16	17	14	17	19	16	16	16	19	20	20	22	20	22	24	24	26	0	3	1	1	3	1	6	7	3	5	1	9	15	9	7	14	10	9	13	18	11	21	14	18	22	13	23	31	17	19	23	30	22	20	34	19	20	14	25	10	14	37	12	45	28	34	51	34	52	39	41	41	48	51	42	42	55	47	50	57	57	60	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1
13500	-212.254595934490027	-219.110083885449399	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.757758906513056	1	3	3	2	3	6	6	7	7	6	8	8	9	8	9	12	10	10	11	13	10	12	12	12	13	12	13	13	13	12	14	14	15	14	15	14	14	15	16	12	15	15	15	15	16	17	16	16	16	18	16	17	16	18	19	19	21	21	23	24	25	26	0	4	4	1	1	5	4	10	7	3	8	7	9	10	2	13	10	7	13	15	11	18	21	21	17	14	24	40	18	18	30	19	36	24	20	22	29	22	42	17	27	34	25	25	42	43	31	22	31	51	23	43	24	31	45	52	55	56	54	50	59	58	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2	1	1
14000	-190.092482518511162	-196.947970469470533	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.873293014217412	0	3	2	3	5	5	4	7	8	7	8	11	7	9	10	11	10	9	11	12	10	13	13	12	12	12	14	14	13	12	13	13	14	12	16	14	14	14	14	14	15	15	16	17	16	15	17	15	17	18	16	16	16	18	19	19	21	20	24	24	26	25	0	3	1	1	4	7	3	7	4	6	8	21	5	13	11	17	9	8	18	19	6	21	12	17	19	15	34	25	17	19	19	16	20	17	39	31	21	26	24	19	20	40	24	52	27	34	41	38	41	49	22	36	41	45	51	52	58	44	57	54	43	60	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	3	1
14500	-235.057762956825286	-241.913250907784658	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.614660054015548	1	3	3	3	4	4	5	6	8	6	7	11	8	8	9	11	10	7	12	12	9	12	12	12	13	12	13	15	13	12	14	14	14	13	15	15	14	13	15	13	15	15	15	17	17	17	17	16	16	18	17	15	16	19	19	18	19	21	24	25	26	26	0	1	1	1	4	3	4	2	3	3	3	11	6	5	11	15	9	4	16	17	10	16	11	12	16	13	9	23	9	16	34	13	29	23	40	40	29	8	40	14	15	25	9	39	52	48	39	23	22	23	52	32	42	43	43	16	34	50	58	59	55	59	1	1	1	1	1	1	1	1	3	1	2	2	2	2	1	1	1	2	1	1	1	1	2	1	1	2	2	1	3	1	1	3	1	1	1	1	1	4	1	2	3	1	2	1	1	1	1	2	2	3	1	1	1	2	2	4	2	1	1	1	3	1
15000	-239.593731197867783	-246.449219148827154	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.638541990944809	-1	3	3	2	5	5	6	7	8	8	8	10	8	9	9	10	9	9	11	12	10	11	11	13	13	11	13	15	13	13	13	14	14	13	15	13	15	14	14	14	15	15	14	16	14	16	17	16	15	17	16	17	16	18	19	20	22	21	23	25	25	27	0	1	1	1	3	3	6	5	8	4	8	8	7	7	9	13	6	6	21	16	9	17	14	18	26	18	23	32	18	19	10	22	20	16	31	22	39	22	21	22	36	43	23	39	13	32	53	31	34	37	33	43	20	48	27	10	56	54	58	59	37	61	1	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	2	2	2	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	2	1	2	2	2	1	2	7	1	2	2	1	5	1
15500	-193.457793113029254	-200.313281063988626	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.921536643419971	0	4	2	3	5	6	6	4	9	8	8	10	8	7	10	11	8	9	10	12	10	11	12	12	13	10	12	15	14	13	13	14	14	13	14	14	15	14	16	14	16	16	16	17	14	16	15	15	15	17	15	15	17	19	16	18	21	21	23	23	25	25	0	4	1	3	4	8	2	4	10	14	7	17	5	7	13	18	5	10	9	16	13	26	19	19	12	11	15	38	21	22	15	23	27	16	27	25	25	27	29	31	52	47	28	35	25	35	32	45	45	45	25	31	46	37	23	48	54	54	57	57	60	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1
16000	-193.314592499172619	-200.170080450131991	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.857333537099533	-2	3	1	3	4	6	5	8	7	7	8	9	9	8	8	11	10	10	12	13	10	12	12	12	12	11	13	14	13	14	13	14	15	12	13	15	14	14	15	14	15	15	14	16	14	15	15	15	17	16	17	17	16	19	18	19	21	20	23	23	25	25	0	3	1	3	1	3	5	6	5	5	6	10	10	9	5	12	15	13	13	16	11	17	13	11	17	13	17	34	19	24	22	34	40	21	23	30	27	26	34	35	31	24	24	39	34	40	31	27	36	37	40	36	31	48	51	49	54	45	49	58	59	59	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	1	1
16500	-197.168163056914750	-204.023651007874122	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.914772260125645	0	3	2	2	3	3	6	7	8	7	8	10	9	7	9	11	9	9	11	12	9	12	12	12	14	11	13	14	13	12	13	13	14	12	15	13	14	14	15	12	15	15	14	15	15	17	16	16	16	18	15	16	16	19	18	18	20	21	23	24	25	26	0	4	1	1	4	3	5	4	10	7	7	15	7	2	14	21	10	14	9	16	8	18	13	17	23	17	23	20	26	15	20	19	36	12	24	21	22	34	31	9	26	34	23	29	20	45	45	43	51	42	27	35	24	51	47	49	55	57	57	58	59	60	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1
17000	-231.125467855744432	-237.980955806703804	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.839478892940185	0	2	3	2	4	5	5	7	8	8	9	11	8	8	10	11	9	10	11	12	10	13	12	10	13	11	12	14	13	13	13	14	15	12	14	15	12	14	14	13	12	16	16	16	16	15	15	14	15	17	15	16	17	18	19	20	21	21	24	24	22	27	0	1	4	1	2	3	3	2	6	8	10	17	7	5	10	21	14	17	24	19	14	26	21	9	41	24	15	19	26	16	41	11	25	13	25	41	7	29	31	21	26	35	47	33	27	37	41	19	26	33	29	40	36	47	53	31	36	32	61	57	58	59	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2	3	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1	1	2	3	3	1	2	1	1
17500	-213.184399550780711	-220.039887501740083	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.784524660540306	0	2	3	3	5	6	5	8	8	7	8	10	8	8	9	11	10	9	11	12	10	12	12	13	13	10	13	13	10	14	13	15	14	13	14	14	12	15	14	14	16	15	16	16	15	16	16	15	16	18	16	14	16	19	20	19	21	21	23	23	26	26	0	1	2	1	4	3	3	6	10	5	7	10	6	5	7	18	8	11	13	17	18	19	17	18	22	9	37	21	13	22	16	27	29	19	23	25	11	36	29	19	39	23	27	39	36	39	39	27	33	30	30	34	45	48	51	38	56	54	58	57	57	59	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2
18000	-228.874045100114074	-235.729533051073446	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.712073993139779	0	3	2	2	4	5	4	6	7	8	8	11	9	9	10	11	10	10	12	12	11	10	12	13	12	11	13	14	14	12	13	13	13	13	14	14	15	15	16	11	16	15	15	15	15	16	15	16	15	18	17	16	16	18	18	18	22	21	21	25	24	26	0	1	1	1	3	3	4	5	7	2	8	13	8	8	13	14	11	5	10	11	22	14	18	26	14	10	19	26	40	18	15	15	21	17	21	20	32	32	27	18	20	20	13	31	31	37	32	32	26	45	28	30	30	35	27	48	39	50	50	58	57	61	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	1	2	2	2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	4	2	1	1	3	2	2	1	4	1	1	2	1	1
18500	-206.893288399416434	-213.748776350375806	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.763270787973772	1	3	3	2	5	5	6	6	8	8	9	7	9	8	10	11	9	9	9	12	11	11	12	13	11	11	13	14	14	13	13	15	12	13	16	15	12	13	16	13	15	15	15	17	16	16	15	16	14	17	16	17	17	18	19	19	19	22	21	24	25	26	0	1	1	1	3	3	6	3	5	5	12	5	12	7	12	10	5	10	14	15	15	17	13	25	19	11	15	34	34	22	22	31	22	23	28	20	9	18	49	21	33	26	22	20	41	37	30	29	8	32	29	25	47	32	44	10	52	59	56	57	58	60	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	2	2	2	1	1	1	1	3	1	1	3	1	1	1	5	1	1	1	2	1	1
19000	-214.135527376280294	-220.991015327239666	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.824770124157154	0	3	3	3	4	5	5	7	9	8	6	9	6	8	10	11	9	10	11	13	11	13	12	13	14	12	12	14	13	13	13	15	14	13	16	15	15	14	15	14	16	15	15	17	17	16	15	15	17	17	14	15	17	16	19	18	22	21	23	24	24	26	0	1	1	1	4	3	5	5	8	11	3	8	5	11	11	9	8	11	17	26	9	23	6	19	18	15	21	27	21	15	21	22	31	26	27	40	51	29	38	21	31	20	33	46	39	51	20	18	31	39	10	9	43	31	47	39	55	45	55	59	57	61	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	2	3	1	1	2	1	1	1	1	1	2	1
19500	-216.388995465748962	-223.244483416708334	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.838677531722793	1	4	2	3	4	5	6	8	7	7	8	10	8	6	10	10	10	9	11	11	11	13	12	13	14	12	14	15	12	11	13	14	14	13	15	14	13	15	16	14	14	15	15	16	15	15	16	15	16	18	17	16	13	19	18	18	19	22	23	25	25	26	0	3	1	1	3	3	5	9	3	5	14	13	14	5	11	11	11	10	14	12	10	21	17	16	20	17	29	22	15	2	15	29	16	19	36	24	20	36	27	24	31	31	19	16	15	37	30	53	27	46	49	33	20	39	46	43	42	57	38	59	59	60	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	2	3	2	1	2	1	1	1	1	1	1	2	2	1	2	2	3	1	1	1
20000	-209.352457123791112	-216.207945074750484	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.802976853488971	1	4	3	2	4	5	5	6	9	6	7	10	8	8	8	11	10	9	11	12	11	11	12	11	13	12	14	15	14	13	14	14	13	13	16	14	14	15	15	14	15	16	15	17	17	16	16	15	16	18	16	17	17	19	18	18	19	21	22	24	25	26	0	1	4	1	4	1	3	2	14	6	7	11	2	7	10	17	11	11	18	12	10	13	16	12	23	22	23	37	23	22	20	20	16	16	48	21	16	22	33	23	23	31	33	49	28	30	37	40	41	45	29	38	31	34	53	49	51	55	54	59	58	61	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1
20500	-174.808931202986514	-181.664419153945886	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.891338453270341	0	3	2	2	4	5	4	7	8	7	9	10	8	7	9	10	10	9	12	12	11	12	11	12	13	11	13	14	14	13	14	12	14	13	14	13	14	13	13	14	16	15	15	16	16	17	16	15	16	19	15	16	16	18	19	18	21	20	23	25	24	25	0	4	1	1	4	3	3	5	7	5	8	15	14	3	14	15	15	8	21	17	15	12	11	17	12	11	19	27	19	32	24	16	38	12	34	20	24	26	16	19	40	20	40	51	48	23	40	32	39	38	19	37	33	52	47	45	54	54	57	59	55	59	1	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1
21000	-202.656000129926753	-209.511488080886124	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.912515173504378	0	3	2	3	3	5	6	7	8	8	9	10	9	9	6	12	8	10	12	12	10	12	12	11	12	11	13	14	14	13	13	15	14	13	16	15	12	14	16	15	14	15	15	16	14	15	17	15	16	17	16	16	15	19	18	18	20	21	23	24	22	24	0	3	1	3	3	3	2	6	7	15	3	9	7	9	4	11	15	10	12	26	11	18	18	13	12	13	24	24	20	24	20	31	34	21	38	45	12	26	30	38	24	30	34	37	25	45	33	25	42	53	27	32	22	43	52	39	56	56	58	55	57	57	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2
21500	-178.949207361402642	-185.804695312362014	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.939450390397807	1	4	2	3	4	5	6	8	8	7	8	11	9	9	10	12	9	9	11	11	9	11	12	11	12	11	13	14	14	13	13	14	14	13	14	14	14	12	15	14	14	16	16	16	17	16	16	16	16	17	16	16	16	18	18	19	21	22	24	23	25	26	0	3	1	1	3	3	2	7	7	7	7	7	9	7	9	15	5	7	13	14	9	15	20	21	20	21	20	23	31	12	38	27	30	12	19	27	30	19	33	23	16	36	33	40	49	29	19	37	37	52	30	30	31	51	44	43	54	57	60	54	60	61	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
22000	-190.666359606698308	-197.521847557657679	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.850873897499619	0	2	3	2	5	5	5	7	8	6	8	10	8	8	8	11	8	9	10	13	11	12	12	12	14	9	14	12	11	13	13	15	13	13	15	14	13	14	15	15	16	15	14	15	17	16	16	15	16	18	17	17	16	18	20	18	21	20	23	24	25	26	0	1	4	1	3	2	4	7	10	5	5	14	3	8	10	26	7	5	18	26	26	19	29	12	23	10	22	8	26	24	21	23	29	21	30	23	29	22	36	37	36	38	33	33	43	27	43	34	37	25	53	35	44	53	54	49	54	54	57	59	60	60	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
22500	-214.580676558204402	-221.436164509163774	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.706406551443173	1	3	3	2	5	6	5	8	8	7	7	10	8	9	9	11	9	9	10	12	10	12	12	13	13	10	12	14	14	14	13	13	14	11	15	14	14	15	15	14	15	16	12	17	17	17	13	13	16	18	15	17	16	17	19	19	22	19	24	25	24	26	0	1	1	1	1	7	3	5	10	3	5	10	6	6	10	18	8	11	11	19	14	1	34	17	16	8	17	22	22	20	43	17	47	26	48	23	21	32	22	27	27	41	26	30	24	35	16	9	33	53	30	25	15	53	43	49	50	41	57	57	50	59	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	6	1	2	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	3	1	3	2	1	1	1	2	4	1
23000	-182.466804989384570	-189.322292940343942	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.886914925381240	0	3	2	3	5	5	5	7	9	7	8	11	9	8	9	11	10	9	11	12	10	12	13	13	13	12	13	15	13	13	11	14	14	13	15	14	14	14	14	15	15	15	15	17	16	16	17	15	17	17	17	16	17	18	20	19	22	20	22	25	23	26	0	3	1	1	2	3	2	5	11	6	8	9	5	6	11	9	11	8	18	21	13	18	16	21	31	21	12	25	20	22	5	31	26	19	34	22	26	26	23	36	32	22	23	45	48	36	33	16	52	42	28	43	35	45	56	49	58	49	58	61	57	61	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
23500	-193.819647030104562	-200.675134981063934	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.913305984196041	1	3	3	3	5	5	6	7	8	6	7	10	9	9	10	11	10	9	12	12	11	12	12	12	13	11	11	14	13	13	14	14	12	13	15	14	15	14	15	14	14	15	15	16	17	17	16	15	16	17	16	17	16	17	18	19	21	22	23	24	25	27	0	1	1	1	3	3	5	5	1	4	5	3	8	8	9	12	11	8	17	17	15	15	16	12	26	14	11	27	20	26	14	33	16	26	29	26	33	29	23	26	3	25	24	31	51	39	25	23	31	53	38	40	43	42	49	36	56	50	58	59	58	60	1	1	1	1	1	1	1	1	3	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1
24000	-235.306736168572030	-242.162224119531402	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.740104309472781	0	2	3	2	5	4	4	7	9	7	8	10	8	8	9	10	10	10	11	13	10	12	12	13	13	12	12	13	13	12	12	14	13	14	16	13	14	14	16	14	15	15	14	16	16	16	17	15	17	17	16	16	15	16	20	19	20	21	22	23	22	26	0	1	4	1	4	1	3	7	10	3	10	9	5	10	5	14	14	13	12	30	14	13	21	9	16	21	18	21	31	12	1	36	19	16	34	12	20	12	41	31	27	36	19	38	41	37	53	34	43	42	31	22	34	33	54	39	46	56	43	61	13	60	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	4	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	4	1	5	2
