step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62
5000	-225.946151093140003	-232.801639044099375	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.761117691193157	0	3	2	2	4	6	5	8	9	7	9	10	7	9	9	11	9	9	11	12	10	12	12	13	14	11	13	14	13	12	14	15	12	14	15	11	13	11	16	14	13	14	15	17	17	16	16	15	15	18	16	15	16	18	19	20	21	21	23	21	24	26	0	3	1	1	2	1	2	3	8	7	8	15	7	13	7	17	8	13	11	13	13	36	21	8	9	14	26	30	14	8	37	26	10	26	24	21	21	10	31	33	13	29	24	35	22	29	52	42	30	37	34	42	31	46	40	34	49	55	57	42	58	59	1	1	1	1	1	2	1	3	1	1	1	1	1	1	3	1	1	1	1	3	2	1	1	2	2	1	1	1	2	2	1	2	2	1	1	1	2	2	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	2	3	3	1	1	3	1	1
5500	-208.369995757647104	-215.225483708606475	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.809441908675877	0	3	3	3	5	4	5	7	8	8	8	11	7	8	10	12	10	10	11	12	10	13	13	13	12	11	14	14	13	12	14	12	14	14	15	13	12	15	16	13	14	14	16	15	17	16	16	15	17	18	17	16	17	18	18	20	21	21	23	24	26	26	0	1	1	1	3	1	3	6	8	13	13	21	7	5	11	11	14	14	11	21	10	20	14	11	15	9	24	36	14	26	37	11	16	30	31	17	21	23	29	26	30	16	34	26	47	27	31	34	47	46	38	42	47	39	47	50	36	50	45	51	51	60	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	3	1	3	3	3	2
6000	-202.700014600834663	-209.555502551794035	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.778678496858698	1	3	2	3	4	6	5	7	8	6	8	11	8	8	8	12	9	10	10	12	10	11	13	10	12	11	13	15	11	14	14	14	15	13	15	13	14	14	14	15	15	15	16	16	16	17	17	14	16	17	17	14	16	18	20	19	22	21	23	24	25	26	0	1	1	1	3	5	3	7	3	2	3	24	6	5	6	18	14	11	15	17	14	19	29	9	18	21	21	30	8	20	36	25	27	21	27	16	16	24	18	27	23	4	34	20	39	48	33	25	16	33	35	22	8	49	46	45	56	56	31	57	49	60	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	5	1	2	1	1	1	1	2	1	1	1	3	1	1	1	1	1	3	1	4	1
6500	-234.988080229179189	-241.843568180138561	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.760386238275702	1	4	2	3	5	4	6	8	9	6	8	11	8	8	9	11	10	8	12	12	9	13	12	11	12	11	14	12	12	13	13	15	14	13	14	13	15	13	16	13	16	16	16	16	16	17	16	16	17	18	16	15	15	18	19	20	22	22	23	23	25	27	0	1	1	1	4	1	4	2	10	2	7	15	7	7	10	8	14	6	13	13	14	19	17	14	9	15	19	16	24	28	26	36	20	28	20	28	35	16	31	17	29	30	27	31	35	44	26	32	35	44	18	10	33	43	47	55	53	46	56	54	60	61	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	3	1	1	1	3	5	1	1	1	1	3	2	1	2	1	1
7000	-245.582878042871158	-252.438365993830530	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.656391100533117	-1	3	3	1	5	5	6	7	9	4	8	10	8	7	7	12	9	8	11	12	10	11	12	11	12	10	14	14	13	13	14	13	14	13	15	12	14	14	15	15	14	14	14	16	16	16	16	15	16	19	15	16	17	18	18	16	21	19	23	24	26	26	0	1	1	1	2	2	10	2	14	4	7	11	6	5	2	17	10	7	6	12	13	17	9	11	12	8	19	7	24	9	36	24	20	12	42	18	16	18	29	5	23	34	20	40	33	29	31	17	35	56	28	38	32	47	44	34	44	49	54	58	60	57	1	2	2	1	1	1	1	3	1	1	2	1	1	1	2	2	2	1	3	1	1	1	2	1	1	1	2	4	1	2	1	1	1	1	1	1	1	2	1	4	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	3	1	2	2	1	2
7500	-226.854988047554031	-233.710475998513402	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.753116968115120	0	3	2	3	4	5	6	7	8	8	9	11	8	9	10	11	9	10	12	13	10	12	13	12	13	12	13	13	12	12	13	13	14	12	14	14	14	14	15	15	13	16	14	16	16	17	16	15	17	18	17	14	16	16	19	19	21	21	24	24	22	26	0	1	1	3	3	2	4	6	1	8	2	17	8	13	9	11	9	10	17	9	17	18	29	15	22	14	19	17	14	15	16	12	30	12	31	12	15	29	32	52	24	52	26	28	33	54	33	38	53	53	41	24	23	52	37	49	50	55	61	58	36	58	1	2	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	3	4
8000	-200.640202674620923	-207.495690625580295	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702290395564714	0	3	2	2	4	5	6	8	8	8	8	11	9	9	9	12	9	10	11	12	10	11	12	13	13	11	14	15	13	13	12	14	13	13	15	14	14	14	16	14	15	15	15	16	16	15	16	16	17	18	16	16	17	19	19	19	19	21	24	24	24	27	0	1	1	1	4	2	5	5	7	6	7	17	10	11	9	18	9	17	13	21	9	9	13	16	26	9	29	24	16	19	21	31	21	12	34	31	33	33	27	23	31	34	16	26	38	32	38	19	46	45	24	30	44	53	16	32	28	28	45	55	55	60	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	1	3	2	1	3	3	3	2	1
8500	-195.892804253323249	-202.748292204282620	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.917268473594829	0	4	3	2	4	6	6	8	8	8	9	9	8	9	10	12	9	10	11	12	10	12	12	11	11	12	13	14	13	12	13	14	14	14	14	14	15	14	14	12	15	15	15	17	15	16	17	15	16	19	16	17	17	18	17	19	21	18	23	21	25	26	0	4	4	1	3	5	5	6	7	6	3	9	6	10	10	18	13	10	18	17	9	21	15	15	14	25	18	20	24	18	25	16	26	29	19	20	31	26	30	14	20	31	29	35	29	36	36	39	31	46	36	41	30	47	51	49	56	42	60	50	57	59	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1
9000	-226.775614157330523	-233.631102108289895	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.704263712145916	-1	3	1	1	4	5	5	8	8	6	8	11	7	7	10	11	9	10	11	12	10	12	12	12	13	11	13	14	12	11	14	13	14	13	13	15	12	14	15	14	15	15	15	15	17	16	17	15	17	19	15	16	17	19	20	19	21	21	23	23	25	25	0	3	1	1	2	1	3	7	7	7	10	18	7	6	14	14	9	17	13	21	17	14	17	9	15	17	19	17	18	8	13	22	30	12	16	31	30	19	30	20	16	24	31	27	27	38	42	28	25	53	23	33	40	45	52	43	45	56	57	55	53	58	1	1	1	1	1	2	3	1	2	1	1	1	1	1	2	2	1	1	2	1	1	3	2	2	1	1	1	2	1	2	2	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	2	2	2	1	1	1	5	2
9500	-221.683026609213101	-228.538514560172473	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.653271279867916	0	4	2	2	3	3	4	8	8	6	7	11	9	8	10	12	9	9	11	11	8	9	11	13	14	11	13	13	14	13	12	14	13	13	15	14	14	15	15	13	13	14	15	16	17	16	17	15	16	17	16	16	17	19	19	19	20	21	23	24	25	26	0	3	1	1	3	3	4	10	10	3	10	13	14	3	6	15	7	7	22	18	7	9	13	23	24	13	13	26	26	26	19	16	26	26	24	41	16	40	41	12	8	26	12	35	25	25	40	12	13	48	33	42	43	44	49	33	53	53	19	55	52	59	1	1	1	1	1	1	1	1	1	2	1	1	1	3	4	1	2	4	1	1	2	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	1	1	1	2	1	3	1	2	1	2	1	1	3	1	2	5	2	4	2
