step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
1	-5304.449553515633852	-5302.987471431115409	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.918715608830473	3	6	6	6	5	7	9	9	11	11	12	12	13	14	13	14	17	17	19	20	20	22	23	25	25	27	28	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	3	3	4	4	5	5	5	6	5	6	7	7	8	9	9	10	10	11	11	12	13	15
500	-555.574872322625652	-551.253587056594142	-4.321285266031483	0.000010006818206	0.000119388246503	11.930690059466762	0.525670689292794	2	6	6	7	5	6	9	8	11	10	12	12	13	14	14	15	17	17	20	20	21	21	22	24	26	26	29	33	0	5	1	2	0	0	5	1	5	6	5	9	9	9	12	15	13	15	18	12	15	18	21	7	8	21	24	26	1	1	1	1	1	1	2	3	2	1	3	1	1	1	1	1	2	1	2	3	3	2	1	8	8	3	5	4
1000	-474.810029790435806	-471.566659595183864	-3.243370195251950	0.000010016133193	0.000064532737453	6.442879323930522	0.424719051626401	2	6	6	6	4	8	9	10	10	11	12	12	14	13	13	14	17	18	20	20	20	22	24	25	25	27	29	33	0	5	1	5	0	0	5	1	4	6	9	9	5	9	12	15	13	15	18	15	15	18	21	21	13	21	24	26	1	1	2	1	1	1	2	3	3	2	1	1	4	2	1	1	1	3	2	4	5	3	2	2	5	3	2	2
1500	-538.256092815045349	-534.951454569951352	-3.304638245093952	0.000010034937384	0.000067235498932	6.700141352111030	0.582063812463370	3	5	6	7	3	6	9	9	11	11	12	12	13	13	13	15	15	14	19	20	21	20	23	26	24	28	28	31	0	5	1	2	0	0	5	1	4	6	5	9	9	9	12	15	13	9	18	16	16	18	21	19	11	21	24	26	1	1	2	1	1	1	2	2	2	2	6	1	1	1	1	1	2	1	3	2	4	2	1	6	6	2	1	1
2000	-500.527325220015143	-497.087092592364002	-3.440232627651163	0.000009952539609	0.000072564084905	7.291011917954290	0.580162016089476	3	6	6	5	4	8	9	10	11	9	13	12	12	15	14	15	16	18	20	21	20	22	23	25	25	28	27	33	0	4	1	5	0	0	5	3	7	6	13	9	5	9	12	15	13	15	18	15	15	18	21	7	13	21	24	26	1	1	1	1	1	1	3	3	1	1	1	1	3	3	1	1	2	2	1	3	3	2	2	5	5	3	1	2
2500	-505.878771470409276	-502.375320371819441	-3.503451098589850	0.000009999933013	0.000075768334439	7.576884199131657	0.587698316960045	4	7	6	6	5	7	9	8	11	11	12	12	11	13	14	15	18	18	19	21	19	22	21	26	22	27	28	32	0	4	1	5	0	0	5	1	2	6	13	2	5	9	12	15	13	16	18	12	15	18	21	13	13	21	24	26	1	1	1	1	1	1	2	2	2	2	1	4	3	1	2	1	4	2	1	4	1	2	1	7	7	5	1	2
3000	-511.632975061906336	-507.842719276759681	-3.790255785146651	0.000010041403868	0.000089978081781	8.960707383078148	0.520944142163401	3	7	5	6	5	7	10	9	11	11	11	12	12	15	14	14	17	18	20	19	21	21	23	25	25	28	28	31	0	5	1	5	0	0	5	1	4	6	7	9	7	9	12	12	13	9	18	15	15	18	21	9	9	21	24	26	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	2	4	1	3	3	2	1	5	10	3	1	1
3500	-493.500647105225255	-489.867913758794373	-3.632733346430885	0.000010063079509	0.000082343362370	8.182720040794919	0.367541465367640	3	7	5	7	3	7	9	8	11	11	12	12	14	14	14	14	18	17	20	20	18	22	23	25	25	28	28	33	0	5	1	5	0	0	5	1	2	6	5	9	7	9	9	12	13	15	18	21	15	18	21	11	7	21	24	26	1	1	1	2	1	1	4	2	2	2	5	1	3	2	1	1	3	1	1	1	1	3	3	7	7	4	1	2
4000	-508.007407934493642	-504.397747028918388	-3.609660905575278	0.000011128475020	0.000089834344390	8.072475719236362	0.520977200415809	4	7	6	7	5	6	9	8	11	11	11	12	13	14	13	14	15	16	19	20	19	21	23	26	25	27	28	32	0	5	1	5	0	0	5	1	4	6	7	9	9	9	9	12	13	15	18	15	12	18	21	21	9	21	24	26	1	2	1	2	1	1	2	2	2	2	1	1	1	2	1	1	1	1	2	4	3	3	2	6	7	4	1	3
4500	-388.550831977253040	-385.503325367071795	-3.047506610181255	0.000012943410104	0.000073253182010	5.659496332189676	0.507017918957973	3	6	6	6	5	7	9	9	10	12	11	12	12	14	13	14	17	17	19	19	20	23	23	24	25	27	27	33	0	5	1	5	0	0	5	1	4	6	7	9	11	9	12	12	13	12	18	12	15	18	21	21	24	21	24	26	1	1	2	1	1	1	2	3	1	3	2	1	1	2	1	1	2	2	2	3	3	3	2	3	1	5	2	3
5000	-337.993381608040920	-335.715722845610173	-2.277658762430761	0.000015807022929	0.000048940733474	3.096138576850957	0.533904640142508	3	7	6	6	4	8	10	9	11	11	12	13	12	13	13	15	16	16	18	20	20	22	22	24	26	27	27	32	0	4	1	5	0	0	5	3	2	6	2	9	5	9	9	12	13	15	18	13	15	18	21	13	24	21	24	26	1	1	2	1	1	1	3	1	3	1	2	1	5	1	1	1	2	2	1	4	3	2	1	5	1	5	1	2
5500	-339.606761446966573	-337.577529242009575	-2.029232204957010	0.000023176132776	0.000056029254884	2.417541158633763	0.585700189633214	3	6	5	6	4	8	9	9	11	12	13	12	14	14	13	15	15	17	19	21	21	23	23	24	26	27	28	31	0	5	1	5	0	0	5	3	5	6	9	9	9	9	12	15	13	9	18	15	15	18	21	21	24	21	24	26	1	1	1	1	1	1	3	2	4	2	2	1	1	2	1	1	1	2	1	3	3	3	2	1	1	4	2	3
6000	-282.381699615378409	-280.819350640551022	-1.562348974827402	0.000058069262745	0.000073163616348	1.259937062888528	0.598877898869698	3	7	6	7	5	6	9	9	10	11	12	13	13	13	14	15	17	17	19	20	19	21	22	24	25	27	28	32	0	5	1	5	0	0	5	1	2	6	2	9	9	9	12	15	11	15	18	21	9	18	21	21	24	21	24	21	1	2	2	2	1	1	1	3	2	2	2	2	1	2	1	1	3	2	1	1	3	1	2	2	1	4	2	7
6500	-237.869439336776679	-236.488867326035262	-1.380572010741424	0.000182663330586	0.000081188654532	0.444471554698907	0.615782238755163	4	6	6	7	5	8	10	10	12	12	12	12	11	13	13	13	17	17	20	20	19	22	22	24	25	25	28	32	0	5	1	2	0	0	4	3	2	6	7	13	2	5	12	7	9	14	18	18	15	19	21	18	24	23	24	21	1	1	1	1	1	1	1	2	3	1	1	1	2	4	1	1	3	3	2	2	3	1	2	2	1	1	2	8
7000	-238.555011587897695	-237.121933169033639	-1.433078418864059	0.000298969876910	0.000105920671412	0.354285430047581	0.504266266348974	4	7	6	6	4	8	10	9	9	12	12	12	13	14	14	15	17	18	19	21	20	20	24	25	26	28	29	31	0	5	1	5	0	0	2	1	4	6	5	4	12	12	12	15	13	12	18	13	14	15	16	23	23	15	24	20	1	1	2	2	1	1	1	2	2	3	4	2	1	1	1	1	2	3	1	4	4	2	6	1	1	7	2	4
7500	-253.164478853415687	-251.645989013494500	-1.518489839921174	0.000297986766281	0.000084153040827	0.282405295634931	0.335704422978444	2	7	5	6	4	7	10	10	11	11	10	12	13	14	11	15	17	17	20	20	19	22	21	25	26	27	29	32	0	4	1	5	0	0	5	1	2	6	4	5	9	9	4	4	15	9	18	13	18	9	2	12	24	11	25	18	1	1	1	1	1	1	4	3	2	2	2	4	1	1	3	6	3	4	2	3	1	4	7	5	1	7	2	7
8000	-235.828289186132906	-234.341348691145726	-1.486940494987174	0.000373573940227	0.000113619033469	0.304140683367658	0.514447668600573	3	7	6	6	5	7	10	9	12	11	11	13	13	13	13	15	18	16	19	21	19	23	23	22	25	24	27	32	0	5	1	5	0	0	4	3	4	6	2	2	4	4	4	9	9	12	15	18	12	21	20	14	24	20	25	23	1	1	1	1	1	1	3	2	2	2	2	2	3	3	3	1	3	2	4	2	2	2	1	3	1	1	1	5
8500	-221.985988652650747	-220.420459847550944	-1.565528805099799	0.000283811166784	0.000072675974428	0.256071581860117	0.466670130806122	2	7	7	6	5	7	10	10	10	12	12	13	13	15	14	14	16	17	19	19	20	22	23	24	25	28	26	33	0	5	1	5	0	0	5	3	4	6	2	7	9	9	4	5	9	11	16	18	18	19	21	16	24	18	24	21	1	1	3	1	1	1	2	2	2	3	2	2	1	2	4	4	3	2	2	1	1	2	2	3	1	5	1	7
9000	-228.869130377160133	-227.472264696727819	-1.396865680432321	0.000314359393745	0.000128056328255	0.407356455072314	0.660954677429855	4	6	6	7	5	7	9	9	11	11	11	12	13	14	13	14	17	17	19	21	20	22	23	24	26	28	28	32	0	5	1	2	0	0	2	1	7	6	7	4	12	15	11	15	4	9	12	12	18	21	18	19	24	23	25	20	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	3	2	3	4	2	1	2	3	1	2	1	4
9500	-234.328208693779516	-232.863129919225457	-1.465078774554054	0.000302976042893	0.000097552460952	0.321980774519527	0.435715297651476	3	6	6	7	5	6	9	10	12	12	13	12	14	14	14	13	17	18	20	20	20	22	24	24	26	26	27	32	0	5	1	2	0	0	5	3	2	6	12	2	7	7	2	5	13	13	12	12	17	13	22	16	24	21	25	20	1	1	2	1	1	1	2	2	3	2	1	2	2	2	5	4	1	2	5	4	1	4	1	4	1	3	1	5
10000	-248.465721135129144	-247.021886130411900	-1.443835004717257	0.000213077388738	0.000072956089637	0.342392452192082	0.543171587228279	3	6	6	7	5	7	9	8	12	11	13	11	14	14	13	14	16	18	19	20	17	22	24	24	25	28	27	32	0	5	1	2	0	0	4	3	12	6	9	7	12	9	5	11	13	14	15	12	14	19	20	21	24	23	24	26	1	1	2	1	1	1	1	1	1	2	1	1	1	1	3	1	1	2	3	3	2	1	2	5	1	3	2	2
