step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82
1	-2796.315169629557204	-2803.170657580516490	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.966864538340876	0	1	4	4	2	3	4	7	6	7	5	5	5	5	7	8	6	7	6	8	8	7	9	7	8	8	9	10	10	10	10	11	10	11	9	9	11	11	12	11	12	10	12	11	11	13	13	12	12	11	13	14	14	14	14	13	15	15	15	15	16	16	16	16	17	16	19	19	18	19	20	21	21	22	21	22	22	22	26	23	24	24	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	4	3	4	3	3	3	3	4	4	3	4	3	4	4	4	5	4	4	4	5	5	5	5	5	6	5	6	5	5	6	6	6	6	6	5	6	6	6	7	7	6	6	6	7	7	7	7	7	7	8	8	8	8	8	8	8	8	9	8	10	10	9	10	10	11	11	11	11	11	11	11	13	12	12	12
500	-540.350521380350415	-547.206009331309815	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.419520327102012	-1	2	2	4	3	3	5	8	7	5	5	5	4	6	7	9	6	7	7	9	9	8	9	7	8	8	10	10	10	10	10	11	11	10	10	9	11	11	12	10	12	10	11	11	12	13	13	12	12	11	14	14	15	14	14	11	16	16	14	15	16	16	17	15	18	15	20	18	18	18	19	22	21	20	21	22	23	22	27	24	25	24	0	1	1	2	3	2	13	18	2	2	5	5	5	13	5	10	12	13	13	11	14	14	18	13	13	14	14	10	11	36	10	10	18	11	22	15	25	31	18	26	31	36	31	10	20	34	26	23	36	23	10	40	32	34	56	15	44	59	32	56	51	54	32	43	60	56	61	63	56	60	56	50	53	0	66	66	60	60	76	42	69	60	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	2	2	1	1	1	2	2	2	3	2	1	2	5	3	2	1	2	2	1	2	2	1	1	1	4	2	2	3	1	2	1	4	2	2	2	2	2	2	1	2	2	1	1	3	2	2	2	2	1	4	1	4	4	3	1	4	5	5	2	3	10	6	5
1000	-472.328280373867585	-479.183768324826985	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.545257034379935	0	1	3	4	1	3	4	6	6	7	6	5	5	5	7	8	6	7	7	9	9	8	9	6	8	7	9	10	10	10	10	10	8	10	9	8	11	12	11	11	11	10	12	11	11	12	13	11	12	11	12	13	14	14	14	12	16	15	15	14	16	16	17	16	16	17	18	19	18	19	19	22	22	22	21	22	21	23	26	22	24	24	0	1	2	2	1	2	5	5	4	4	7	5	5	7	8	10	13	13	24	11	14	14	15	7	4	7	22	10	11	15	10	16	17	5	14	12	13	32	22	26	31	23	31	16	20	45	7	15	23	36	16	27	43	46	56	50	51	32	51	56	32	54	53	59	60	56	44	64	65	65	65	65	59	0	71	71	65	72	82	60	80	65	1	1	1	1	1	1	2	2	1	2	1	2	2	1	1	1	1	1	1	2	2	2	1	1	2	2	1	2	2	2	2	2	1	4	2	2	2	1	1	2	1	1	1	2	1	1	4	2	1	1	2	3	1	1	1	1	2	2	1	2	2	1	2	1	1	3	2	2	2	1	2	3	4	1	2	2	2	1	1	5	1	4
1500	-407.801183450563428	-414.656671401522829	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.672836576554439	0	2	1	4	3	4	4	7	7	7	5	6	5	5	7	9	7	6	6	8	7	6	9	7	8	7	9	10	9	10	10	12	9	11	8	8	11	11	11	11	13	10	12	12	12	13	13	12	13	11	14	14	14	15	14	13	15	15	15	15	16	17	17	17	17	16	19	19	19	18	20	20	22	20	22	23	22	22	26	23	25	24	0	1	1	2	3	2	5	5	2	4	5	5	7	7	12	10	12	7	7	11	14	14	36	19	18	22	14	16	20	15	16	31	17	29	22	15	21	16	30	14	28	15	16	16	29	34	21	15	30	42	32	21	43	46	56	50	44	51	43	56	51	54	53	59	60	60	51	64	65	66	65	60	68	0	71	72	65	72	77	69	76	78	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	3	1	1	1	1	1	1	2	1	1	3	2	1	1	2	2	1	3	3	1	1	2	3	1	2	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	2	2	2	1	1	1	2	1	2	2	1	2
2000	-416.656425396831537	-423.511913347790937	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.773025280967854	0	1	2	4	3	2	4	8	6	6	6	6	6	5	7	8	7	6	6	8	8	7	9	7	8	8	9	10	11	11	11	10	10	12	9	9	11	11	13	11	13	11	12	12	11	13	13	12	12	11	13	15	14	12	14	14	15	13	16	15	16	16	17	16	18	16	18	18	17	20	21	21	21	22	22	23	22	23	26	23	24	25	0	1	1	2	3	2	5	15	4	4	5	5	7	7	11	4	12	7	7	11	22	14	15	19	12	22	26	16	20	23	32	10	17	8	14	15	25	16	37	26	28	23	31	16	20	45	35	23	23	23	16	37	43	45	50	49	44	38	53	56	58	54	53	53	69	60	51	64	60	65	65	60	63	0	71	69	72	72	75	71	77	78	1	1	1	2	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	3	1	1	2	2	1	1	2	1	1	2	2	1	2	1	2	1	2	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	2	1	1	3	1	1	1	1	1	1
2500	-442.254911893685971	-449.110399844645372	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.652381130990201	0	1	1	4	2	3	5	8	6	7	5	5	4	5	6	9	6	6	7	9	9	7	9	8	9	9	7	10	9	10	11	12	10	11	9	9	11	11	11	11	11	10	11	10	12	13	12	13	13	11	13	13	15	15	15	13	15	14	15	15	15	15	17	16	17	17	18	18	19	19	20	20	22	21	22	22	22	21	27	24	25	25	0	1	1	2	3	2	13	15	4	2	5	5	5	13	5	4	12	13	7	11	7	14	15	7	13	14	14	10	11	36	10	44	17	20	14	15	25	16	25	22	28	36	16	16	11	34	21	23	23	23	16	40	51	46	50	50	51	32	43	50	32	45	53	59	60	60	61	59	65	65	65	60	68	0	65	65	72	72	77	77	76	78	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	3	1	2	1	2	1	1	2	2	2	2	1	1	2	1	2	2	2	1	2	2	1	1	1	2	1	1	1	1	3	1	2	2	1	1	2	2	2	1	1	1	1	1	2	2	2	1	1	1	1	2	2	1	1	2	2	4	2	1	2	2	1	1	3	1	2	2
3000	-438.659930254840674	-445.515418205800074	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.710600652769469	0	1	1	3	2	2	4	7	6	6	6	5	5	5	7	8	6	6	6	9	8	7	9	8	8	9	10	11	11	11	10	11	9	9	8	10	11	12	12	12	12	11	12	12	12	13	13	12	12	10	14	14	13	15	14	12	15	15	15	14	16	15	16	17	17	15	19	18	18	19	21	20	22	23	20	22	22	23	26	23	24	25	0	1	1	2	3	2	5	12	2	4	12	5	7	7	12	10	12	13	5	13	14	14	8	19	13	14	35	10	13	36	16	16	17	18	14	23	25	32	25	35	28	36	31	16	20	34	26	36	15	15	43	40	43	45	50	50	44	44	53	56	51	29	59	59	56	60	58	59	65	65	70	65	68	0	65	71	65	72	70	70	77	78	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	2	3	1	1	2	2	2	2	1	1	1	2	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2	1	2	2	1	1	2	1	1	3	1	2	1	1	1	1	1	2	1	1	1	3	1	5	2	1	1
3500	-417.512137347322437	-424.367625298281837	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.663061179486187	-1	1	4	4	2	3	5	8	6	5	6	5	4	6	7	7	7	7	6	8	8	8	9	7	7	9	9	10	10	10	9	11	10	11	9	9	11	12	10	11	13	10	12	11	9	13	14	12	12	12	13	15	13	14	14	14	15	15	14	15	17	16	16	16	17	17	19	19	19	19	21	19	21	23	21	23	22	23	26	22	23	25	0	1	1	2	1	2	13	15	4	4	13	5	5	13	5	10	12	13	13	11	14	14	15	19	7	14	22	10	11	20	16	31	17	45	14	8	26	32	15	26	28	15	31	31	11	34	37	15	30	23	44	35	44	46	50	42	51	32	53	56	32	54	59	59	56	56	61	64	66	66	70	66	68	0	70	71	71	66	80	72	71	78	1	1	2	2	2	1	1	1	1	1	1	2	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	2	2	1	1	1	2	1	2	1	1	1	2	1	1	2	2	1	2	1	2	2	1	1	1	3	1	1	1	2	1	2	1	1	2	1	1	1	3	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1
4000	-436.503749618160668	-443.359237569120069	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.748581202167290	-1	0	2	4	3	2	5	7	5	6	4	6	4	6	8	8	7	6	6	9	9	7	9	8	8	8	8	11	9	11	10	11	11	11	9	9	11	12	12	12	13	11	11	12	11	13	13	12	13	11	12	14	14	15	14	14	15	14	14	15	16	15	15	17	17	17	19	19	19	19	20	21	21	21	21	21	21	22	26	23	24	25	0	1	1	3	3	2	13	5	4	4	5	11	5	13	8	10	5	13	13	11	14	18	15	19	18	14	14	16	11	15	16	16	17	20	22	15	25	32	37	30	28	8	31	16	20	34	37	36	15	8	31	40	43	46	42	50	16	32	32	55	44	46	59	53	60	42	61	64	66	66	65	71	68	0	71	65	69	66	70	72	71	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	2	2	2	2	3	1	1	1	2	1	1	1	1	3	1	2	1	1	1	2	2	2	1	1	2	1	2	1	3	2	1	1	3	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	3	1	2	2
4500	-448.723039552768341	-455.578527503727742	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.634866860013075	-2	0	3	4	2	3	4	7	6	6	5	4	3	6	6	8	6	7	6	7	9	8	10	7	8	8	9	10	10	10	10	9	8	10	9	9	11	10	13	11	12	11	12	10	11	14	13	13	12	12	13	14	14	14	14	13	15	15	15	15	16	17	16	17	17	16	19	19	18	19	21	19	21	22	21	23	21	21	27	23	24	25	0	1	1	3	1	2	13	5	4	4	3	5	5	13	3	10	12	7	4	11	26	18	15	19	18	19	22	32	11	36	32	16	17	18	14	15	19	16	25	21	28	36	44	10	34	45	35	23	23	36	10	40	43	29	50	50	31	51	53	56	51	54	53	63	60	48	61	59	66	65	70	69	64	0	69	77	65	72	70	71	77	78	1	1	3	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	2	3	1	3	1	1	1	1	3	1	2	2	2	1	2	3	2	1	2	2	1	2	2	1	1	2	1	1	1	1	2	2	1	1	1	1	1	3	1	2	1	2	1	3	1	2	2
