step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104
1	-9485.422089126537685	-9483.960007042018333	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.898340853344181	1	2	2	5	7	7	9	6	8	9	9	10	9	11	10	12	11	10	11	12	12	13	11	12	14	13	13	13	14	14	15	14	14	15	14	15	15	14	15	15	16	15	15	15	16	18	16	16	18	18	17	17	18	18	19	19	19	18	23	20	20	20	22	23	20	20	21	21	21	21	21	23	21	21	22	21	21	23	22	22	22	23	24	22	23	22	23	24	23	24	24	25	24	24	24	25	26	26	27	29	28	29	33	37	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	3	4	4	4	5	4	5	5	6	5	5	5	6	6	6	5	6	7	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	8	9	8	8	9	9	8	8	9	9	9	9	9	9	11	10	10	10	11	11	10	10	10	10	10	10	10	11	10	10	11	10	10	11	11	11	11	11	12	11	11	11	11	12	11	12	12	12	12	12	12	12	13	13	13	14	14	14	16	18
500	-1267.991065817287335	-1265.856833106304748	-2.134232710982583	0.000010002888835	0.000026977542093	2.696975097585078	0.244913172164416	-1	2	1	5	4	6	10	7	8	9	7	10	6	8	9	12	8	10	11	12	11	12	11	9	11	10	13	13	12	14	15	15	14	16	15	16	14	12	16	15	17	13	15	14	16	18	17	13	19	18	17	18	18	18	18	20	20	19	22	21	20	20	22	24	20	20	22	21	21	22	21	24	19	21	22	22	22	24	21	22	22	24	25	22	24	23	23	24	24	24	25	25	25	22	24	25	27	27	26	29	29	28	33	38	0	1	1	2	0	4	14	4	5	14	4	8	0	4	8	9	5	11	0	8	15	5	9	17	13	15	16	9	17	18	21	16	22	48	27	13	26	18	48	28	24	21	48	48	38	23	26	13	28	25	26	13	25	13	43	25	17	55	42	37	50	25	26	26	37	13	56	52	43	17	31	15	37	42	47	26	50	26	37	25	43	17	24	26	51	26	26	42	26	25	24	26	51	17	24	26	17	37	17	17	29	17	22	29	1	2	1	2	1	1	1	1	2	1	1	2	1	2	1	3	2	2	1	2	1	5	2	1	2	1	1	3	3	2	3	2	1	1	2	8	2	1	2	1	4	1	2	1	2	3	6	4	3	3	4	8	7	7	2	8	7	1	5	3	1	5	7	8	3	8	1	2	3	7	3	11	4	6	4	11	2	8	5	7	5	12	11	8	6	9	9	6	10	8	10	8	5	5	10	9	11	7	9	13	8	13	16	17
1000	-1045.507172043019864	-1043.893856095161937	-1.613315947857931	0.000010021915113	0.000013881232138	1.385087778322127	0.291501880113062	0	2	3	4	6	7	10	6	8	10	8	11	7	12	10	12	9	11	11	12	12	13	12	10	11	10	13	14	13	13	15	14	13	12	15	14	15	14	16	15	16	14	16	12	17	19	14	17	19	18	16	17	19	19	16	19	19	19	23	19	20	20	23	23	21	21	21	18	21	18	21	24	21	21	22	22	21	22	22	23	22	23	25	20	23	22	24	24	24	24	24	25	24	23	24	26	27	24	28	30	29	30	34	38	0	1	1	2	0	4	11	4	5	11	4	8	0	7	8	9	5	11	0	15	15	5	5	17	13	8	23	5	24	11	21	22	16	25	27	13	26	30	34	28	24	21	34	25	11	27	26	39	28	36	26	25	52	44	44	44	24	55	42	47	50	25	37	26	37	25	56	52	43	17	42	42	51	42	60	26	36	26	26	52	69	24	70	26	84	37	37	42	47	36	17	37	79	24	70	26	29	86	70	70	70	70	22	70	1	1	2	1	1	2	2	1	1	2	3	3	1	1	2	2	1	2	1	1	1	4	3	1	2	4	1	4	2	2	2	1	1	1	1	6	3	1	2	1	3	1	2	1	5	3	2	1	2	2	3	6	1	5	2	6	5	2	4	2	1	6	4	8	2	9	1	1	3	6	3	8	3	3	1	10	3	7	6	4	1	7	6	8	3	5	5	5	8	7	8	6	1	8	5	10	10	1	6	10	7	9	16	17
1500	-914.251981232458093	-912.344972683258788	-1.907008549199263	0.000010100097092	0.000021252853149	2.104222657908581	0.328365266195422	1	2	2	5	6	7	9	6	8	10	8	11	8	12	9	11	10	11	11	13	12	13	11	12	12	12	13	13	15	14	15	15	14	14	15	16	15	14	15	15	15	15	15	14	15	19	16	16	18	18	17	16	17	18	17	20	18	19	24	20	21	21	22	24	20	21	22	19	21	18	21	23	21	22	22	22	22	23	22	23	23	24	21	23	23	22	23	24	24	25	25	25	24	25	25	26	27	26	26	29	27	30	33	38	0	1	1	2	0	4	4	4	5	11	4	8	0	7	8	9	9	7	0	15	15	16	5	17	13	15	23	16	17	18	21	22	16	25	27	13	26	18	34	28	24	21	34	25	11	35	26	39	28	36	26	34	34	44	44	44	29	55	42	47	50	50	37	37	26	53	56	52	53	29	42	31	51	42	60	26	50	26	37	52	69	70	70	26	73	37	65	42	47	36	17	85	79	70	70	26	29	86	83	57	70	70	83	83	1	1	1	2	1	1	3	1	1	1	2	3	1	2	2	2	1	1	1	2	1	1	2	1	2	1	1	1	2	2	2	1	2	1	2	3	2	1	1	1	2	2	1	1	3	2	3	1	3	1	3	1	2	2	2	6	2	1	4	3	2	2	3	5	4	2	1	2	2	1	2	4	2	3	1	8	2	5	2	4	1	4	3	7	1	4	3	5	6	6	7	2	1	5	4	8	6	1	4	7	5	8	11	14
2000	-820.395331970185907	-818.494303874111893	-1.901028096073982	0.000010126789484	0.000021156732706	2.089184606756528	0.400561988919677	1	3	2	5	7	8	8	6	8	9	9	9	10	11	10	12	11	10	10	12	12	12	12	13	12	11	13	12	14	14	14	14	14	13	15	15	16	14	14	16	17	16	15	15	16	19	15	16	18	18	15	16	18	17	20	19	18	19	24	20	20	19	22	22	20	20	20	19	21	20	19	23	21	22	21	21	21	23	22	22	22	24	21	22	23	20	23	24	23	24	24	25	25	24	24	26	26	25	27	29	29	29	34	37	0	1	1	2	0	4	4	4	5	7	7	8	0	7	8	5	5	11	0	15	15	9	5	17	13	15	23	5	24	11	21	22	22	25	27	25	26	11	34	28	29	31	34	34	38	35	26	39	40	36	26	43	34	44	56	44	29	54	42	47	62	50	37	51	51	52	56	52	53	57	42	71	37	42	47	26	50	86	51	68	69	70	57	26	63	51	79	71	47	61	24	86	79	70	70	51	41	63	95	97	83	83	70	83	1	1	1	1	1	2	2	1	1	1	1	2	1	2	2	2	2	1	1	1	2	2	3	2	1	1	1	2	1	2	1	1	1	1	2	2	2	2	1	2	2	1	1	2	2	2	2	2	1	2	3	1	3	1	1	4	2	1	4	3	1	1	3	4	3	2	1	1	1	1	1	2	3	3	4	7	2	3	3	2	1	3	2	7	1	3	1	3	4	2	6	3	2	3	1	6	4	2	2	2	4	6	9	12
2500	-725.596313085030943	-724.124440255394802	-1.471872829636114	0.000010078802547	0.000010350175706	1.026925139023523	0.622987714945197	-1	2	3	5	6	6	7	6	8	9	8	10	9	11	10	11	9	11	12	13	12	13	10	12	12	12	12	14	15	13	14	11	13	14	14	15	16	13	16	16	17	16	15	15	15	18	16	17	18	18	17	16	19	18	20	19	19	19	23	21	20	20	22	24	20	21	21	20	20	19	22	22	19	21	23	21	22	24	22	22	22	21	21	22	21	22	24	24	23	24	24	23	25	25	24	26	27	26	27	30	29	28	32	38	0	1	1	2	0	4	4	4	5	7	7	8	0	7	8	9	5	11	0	15	15	32	9	17	13	12	23	23	24	11	15	5	32	25	27	25	26	11	34	28	17	31	34	34	38	27	26	39	28	36	26	34	43	44	44	54	29	54	74	47	50	50	37	37	51	52	56	52	53	41	74	74	37	42	47	47	50	63	65	68	69	70	57	26	73	73	79	74	60	77	82	85	87	82	83	73	91	73	95	97	95	83	101	83	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	2	1	1	1	2	1	1	1	2	2	2	2	3	1	1	1	1	2	2	1	2	4	1	1	1	1	2	2	1	2	1	2	1	1	2	1	1	1	1	1	2	2	2	3	4	2	2	1	2	1	1	1	1	2	3	4	2	2	1	1	1	1	1	1	4	1	2	1	2	1	1	3	1	1	2	2	3	1	3	2	2	3	5	2	12
3000	-661.452117093143443	-659.700324549326865	-1.751792543816572	0.000010432428685	0.000017952829817	1.720867724985248	0.533450947937635	0	2	3	5	7	7	7	6	8	10	9	10	9	11	10	12	9	11	11	12	12	13	11	12	13	13	12	13	15	14	14	14	14	14	14	15	16	14	15	15	17	16	16	15	16	18	16	16	18	17	18	17	18	18	18	19	19	19	23	20	21	20	23	23	20	21	22	20	21	21	22	24	21	21	23	21	21	24	22	21	23	22	22	20	22	23	23	24	23	25	25	26	24	25	24	24	27	26	27	29	28	28	33	38	0	1	1	2	0	4	4	4	5	7	7	8	0	7	8	9	9	11	0	15	15	23	9	17	13	15	23	16	17	11	21	9	22	25	27	25	26	11	34	28	24	31	34	34	38	27	26	39	28	36	26	43	43	44	44	54	24	55	71	47	50	50	37	65	51	52	56	52	53	57	74	74	84	42	47	47	50	51	51	52	69	70	70	26	73	73	79	59	76	77	82	85	79	82	83	73	94	86	95	97	95	95	102	102	1	1	2	2	1	1	1	1	1	2	1	2	1	2	2	3	1	1	1	1	2	1	2	2	2	2	1	1	2	2	1	2	1	1	2	2	2	2	1	1	2	2	1	1	1	2	2	1	2	1	2	1	1	2	1	1	2	1	1	2	2	2	2	2	1	2	1	3	2	1	1	1	1	2	2	2	2	2	2	2	1	1	1	3	1	1	1	1	1	2	3	2	1	2	2	2	1	2	2	1	3	3	2	9
3500	-641.891266390999363	-640.285646674632744	-1.605619716366665	0.000010425581524	0.000014244676198	1.366319582743146	0.575435050935842	1	3	2	4	7	7	8	6	9	10	10	9	9	10	10	11	10	9	12	13	12	12	11	13	14	12	12	13	13	15	15	15	15	14	14	16	15	13	15	15	16	16	16	16	16	18	16	17	18	17	17	17	18	18	20	19	19	19	24	21	21	21	21	23	20	20	21	20	20	21	20	22	21	19	23	21	22	23	21	22	23	23	24	20	23	23	22	24	23	24	25	26	24	25	25	25	26	26	27	30	27	29	33	38	0	1	1	2	0	4	4	4	5	7	18	8	0	7	12	5	9	7	0	15	12	9	5	17	13	15	9	16	17	11	21	22	22	13	27	25	26	18	34	28	17	31	34	34	38	27	37	39	40	36	26	34	43	44	44	44	41	54	74	47	50	50	37	63	26	52	56	52	53	41	74	74	84	42	60	47	61	65	65	52	69	70	70	37	73	51	79	72	60	77	82	85	87	82	83	73	82	73	95	97	95	101	102	102	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	3	1	1	1	3	3	2	2	1	2	1	1	2	2	1	1	3	1	1	1	1	2	1	2	2	1	3	2	2	2	2	2	1	1	3	2	2	2	3	1	4	2	1	3	1	2	1	1	1	1	1	2	1	1	1	2	1	2	2	3	1	3	1	1	1	1	2	2	1	2	1	2	2	2	1	1	1	2	2	5
4000	-625.085294952865979	-623.285051625703204	-1.800243327162808	0.000010909061200	0.000020063713843	1.839178777706068	0.581211264805589	0	2	2	4	6	8	7	5	9	9	10	10	9	12	10	11	11	9	11	12	13	13	11	13	12	12	13	14	15	14	15	15	15	13	15	14	15	15	14	15	16	14	16	15	16	16	15	16	18	18	17	17	19	19	18	17	19	19	24	20	20	21	21	23	20	20	21	21	21	19	22	23	21	20	23	20	20	23	21	22	23	22	23	22	23	23	23	25	23	25	25	25	25	24	25	26	27	26	27	29	28	29	34	37	0	1	1	2	0	4	4	4	5	7	18	8	0	7	8	5	9	7	0	15	15	9	9	17	13	15	23	16	17	11	21	22	22	13	27	25	26	11	34	28	24	21	34	34	30	27	26	39	28	36	26	34	34	44	44	44	41	55	74	47	50	36	37	65	51	52	56	52	53	24	74	74	65	42	76	47	50	63	65	68	69	70	70	73	73	84	79	72	60	77	82	85	87	82	83	84	82	84	95	97	95	99	102	102	1	1	1	1	1	1	1	1	2	1	1	3	1	3	3	2	1	1	1	1	1	2	1	2	2	1	1	1	3	3	1	1	1	2	1	1	2	3	1	1	2	1	1	1	1	2	2	1	2	1	2	2	3	2	2	2	1	1	3	2	2	3	2	2	2	1	2	2	1	3	1	2	1	3	2	3	1	1	1	1	1	2	2	1	1	1	1	1	2	2	2	2	1	1	1	2	3	2	1	1	2	1	3	3
4500	-627.774993413325888	-626.238746623086513	-1.536246790239322	0.000010990572883	0.000013130313635	1.194688736794799	0.731713214695391	0	2	2	4	7	7	7	6	8	9	10	10	9	11	8	11	11	8	11	12	12	14	11	13	13	13	13	13	15	14	14	15	15	13	15	15	15	15	15	16	16	14	16	15	17	19	16	16	19	17	18	17	18	18	17	20	18	18	23	19	21	20	21	23	19	21	21	21	21	20	21	23	20	20	21	21	21	24	20	22	23	21	24	22	23	22	23	25	23	25	25	26	25	24	25	25	26	25	28	28	28	30	34	36	0	1	1	2	0	4	4	4	5	7	18	8	0	18	8	5	9	7	0	15	15	23	5	17	13	12	23	16	17	11	21	22	22	13	27	34	26	11	34	28	17	21	34	34	38	27	26	39	28	36	26	34	43	44	44	54	41	55	74	47	50	50	65	51	37	52	44	52	53	57	74	74	37	42	60	47	62	63	51	68	69	70	70	73	73	73	79	72	76	77	82	86	87	82	83	86	94	86	95	97	95	101	102	103	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	2	2	1	1	2	1	1	1	1	2	2	1	2	2	2	1	1	1	2	1	1	1	2	1	1	3	1	2	1	1	2	1	1	3	1	2	2	1	2	1	1	2	1	1	2	2	2	2	2	2	2	3	1	2	1	1	2	2	3	1	3	1	1	1	1	1	1	2	1	2	1	2	1	1	2	2	2	1	2	1	1	1	1	2	1	2	1	2	1
