step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79
5000	-216.694124208205892	-214.086306306134020	-2.607817902071873	0.000007572337972	0.000000599273427	0.079139815138638	0.863360819394873	0	2	1	2	4	4	5	5	6	7	5	7	4	6	6	6	7	6	9	8	8	8	7	7	8	11	9	10	9	10	9	12	11	10	11	12	11	10	15	13	13	13	15	14	15	13	14	15	16	17	18	16	18	17	19	18	21	20	20	21	22	22	24	22	23	22	26	24	23	24	25	24	27	25	26	27	27	28	32	0	1	1	3	2	4	6	6	5	7	5	9	4	8	7	5	4	7	17	17	9	16	15	15	18	31	18	12	11	22	21	31	23	17	29	31	19	21	47	33	28	37	21	46	33	37	40	42	45	52	48	48	49	46	50	50	55	56	53	56	59	53	66	51	61	51	71	64	51	60	68	66	71	69	70	71	74	77	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	4	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2
5500	-227.147937203340661	-225.224054155150810	-1.923883048189842	0.000006669195456	0.000001008561299	0.151226831689633	0.913484254651068	1	3	2	2	4	4	6	4	7	7	6	6	4	6	7	5	6	5	7	7	9	7	8	7	9	10	8	9	9	9	10	10	11	10	11	13	12	12	12	14	13	14	15	15	13	15	15	16	14	18	17	17	17	17	19	20	21	20	17	20	22	22	23	23	23	21	25	24	23	23	24	24	27	24	26	28	26	29	31	0	1	1	1	2	4	3	4	13	6	8	2	4	3	17	5	5	2	17	18	22	18	10	3	7	25	17	9	27	15	21	22	34	9	34	31	32	31	30	32	33	33	34	41	32	40	42	41	26	41	46	49	43	40	59	50	58	50	46	46	51	58	61	62	66	58	64	62	58	66	62	62	67	62	74	77	72	77	76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-212.009419139469514	-210.618041029559805	-1.391378109909707	0.000006895754257	0.000002884771863	0.418340293962158	0.993215616629156	0	1	2	3	3	4	5	4	7	6	5	5	6	7	7	5	6	7	8	6	8	7	7	7	9	11	10	9	9	9	10	9	12	10	9	13	12	11	15	13	11	13	15	13	14	14	14	15	16	18	15	17	18	18	19	16	22	21	20	20	21	21	24	22	23	22	26	25	24	24	23	21	27	24	26	27	27	29	29	0	1	1	1	3	3	6	3	16	6	5	3	8	13	17	4	6	16	23	7	17	11	4	12	18	29	28	24	19	13	18	14	18	21	12	26	26	32	47	37	21	26	44	33	42	37	37	36	47	43	44	39	39	56	39	39	62	59	54	50	55	50	61	53	57	61	68	70	58	64	57	55	63	64	69	63	68	76	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-252.870912244294175	-251.041324139010499	-1.829588105283676	0.000008330197547	0.000001414918741	0.169854164082902	0.818911746955028	0	2	1	2	5	5	4	3	7	5	6	7	5	5	7	6	7	5	8	6	8	8	7	8	7	10	9	10	10	10	10	11	12	11	11	12	12	11	13	10	14	14	15	14	13	14	15	16	17	18	18	16	17	16	18	19	21	21	20	20	22	22	23	22	22	22	26	24	24	24	24	22	27	25	26	27	26	28	32	0	1	1	1	4	2	4	3	6	8	10	18	8	1	13	7	18	4	16	1	13	6	7	13	16	21	17	22	24	22	25	40	34	12	24	40	31	40	37	20	33	37	36	32	32	33	41	33	48	53	43	45	54	41	49	50	56	55	51	49	50	59	72	36	60	59	71	55	66	66	65	58	64	58	70	71	66	75	73	1	1	1	1	2	2	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	3	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2
7000	-207.716856793169597	-206.306663372053720	-1.410193421115884	0.000005327676608	0.000002049637974	0.384715162872918	0.920956449420054	0	2	2	1	4	3	4	6	6	7	4	5	6	6	6	5	5	4	8	7	7	7	6	8	8	9	9	9	9	9	9	11	11	9	11	13	12	11	16	14	13	12	16	12	15	14	16	15	16	18	17	16	18	18	18	19	22	20	20	20	22	22	23	20	24	22	26	23	22	25	24	22	27	25	26	27	26	28	32	0	1	4	1	2	1	2	18	5	12	6	6	12	11	11	3	4	4	15	8	16	7	18	22	15	19	22	20	11	21	20	24	24	22	24	33	31	19	41	42	35	32	40	33	40	37	46	46	45	52	40	41	47	45	43	54	59	53	50	53	64	64	62	50	57	59	71	57	60	66	57	50	77	71	74	70	70	73	75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2
7500	-237.390860306674881	-234.431949161959864	-2.958911144715031	0.000005069914518	0.000000309158459	0.060979028019783	0.737155938140116	1	3	2	3	4	4	5	5	6	7	6	7	5	7	6	5	4	5	8	7	9	7	8	7	6	10	10	9	9	9	9	10	12	10	12	13	12	11	14	13	12	14	16	15	14	13	15	14	15	17	18	16	17	17	19	19	21	21	20	20	23	22	24	23	23	22	25	24	23	25	25	24	27	25	26	27	25	28	32	0	1	1	3	4	4	17	4	18	25	18	13	3	4	5	2	3	1	8	6	9	11	25	3	8	28	28	12	19	11	12	12	30	30	31	41	23	32	2	19	34	37	45	33	38	33	36	32	40	47	54	45	43	47	51	36	60	59	56	53	58	57	69	62	58	57	72	59	66	61	65	57	62	61	65	67	65	69	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	5	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2
8000	-206.988971840055484	-205.595958270006150	-1.393013570049338	0.000002411299026	0.000001886623732	0.782409693308830	0.867923396374988	-1	3	1	3	5	5	5	4	7	7	4	7	6	6	6	6	6	7	8	7	8	6	5	7	8	10	10	9	10	9	9	11	11	11	11	13	11	9	13	13	13	13	15	15	14	13	14	16	17	17	17	16	17	18	19	19	20	20	20	18	23	21	21	22	24	22	24	24	22	24	23	22	27	25	25	26	27	29	32	0	3	1	3	2	11	8	3	6	5	2	15	4	11	23	2	7	23	13	6	6	8	4	13	22	9	21	18	30	10	20	30	21	29	31	26	26	14	29	35	33	28	39	47	37	34	40	43	44	52	43	39	43	48	51	50	54	52	50	50	64	59	50	59	72	60	71	64	59	71	69	59	75	61	67	65	71	73	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
8500	-216.497740394349961	-215.135784814347488	-1.361955580002481	0.000000433456411	0.000000232767056	0.537002222700217	0.922261433591272	0	2	2	3	4	5	4	6	7	7	6	4	5	5	5	6	6	6	8	7	9	7	8	7	8	11	9	10	9	10	9	10	11	10	9	13	12	12	15	12	13	13	14	14	13	15	16	15	16	14	17	16	18	18	19	19	21	20	18	18	23	22	23	23	21	22	25	24	23	23	24	23	27	25	26	27	25	27	31	0	1	1	2	2	4	3	13	7	14	12	4	3	7	7	12	13	6	13	13	10	18	16	18	18	32	10	23	12	9	25	35	34	29	22	33	35	33	36	25	40	32	42	42	30	44	50	36	42	38	48	34	40	48	60	51	58	59	48	48	65	58	57	57	55	58	69	65	56	65	62	60	74	70	63	67	63	74	76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2
9000	-239.668499883876564	-238.202886163267408	-1.465613720609148	0.000000152456167	0.000000153946192	1.009773466872624	0.767380626281505	0	2	2	1	4	5	5	3	6	6	4	6	5	6	4	5	7	6	8	8	7	8	7	7	7	9	10	9	10	9	10	10	11	9	11	13	12	12	15	13	13	14	16	14	15	13	16	15	17	18	17	15	18	17	20	19	21	19	19	20	22	22	21	22	23	21	25	24	22	24	23	22	28	24	26	26	24	28	31	0	4	1	1	2	4	2	2	5	11	2	11	5	13	4	2	18	4	9	10	7	25	9	18	16	21	19	20	22	9	26	28	19	14	22	32	28	27	36	2	25	38	36	38	32	33	36	41	48	47	48	19	39	48	53	54	58	44	51	56	59	48	50	56	72	58	61	61	60	55	57	58	75	57	70	67	63	76	73	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	4	3	1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1	2	4	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
9500	-240.317438066252777	-238.766211732452831	-1.551226333799948	0.000000522127518	0.000000643397435	1.232261109361516	0.844099003681190	0	2	1	3	4	4	6	5	5	7	5	6	6	6	5	5	7	7	9	8	9	7	8	6	9	11	9	7	9	8	8	12	12	10	12	12	13	11	14	13	11	13	15	15	13	14	15	14	16	18	17	15	17	18	19	19	21	20	21	20	23	22	23	21	24	23	24	24	24	23	25	23	27	26	26	28	25	29	32	0	1	1	3	1	2	5	2	5	6	5	11	6	8	5	2	13	13	17	17	18	16	18	8	28	14	28	11	28	14	7	10	21	23	34	25	38	29	32	26	21	27	38	37	25	45	41	45	48	52	44	48	44	44	51	54	58	42	42	50	59	55	64	54	70	59	53	64	72	59	68	57	72	72	61	74	66	74	76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	2	1	2	1	1	2	1	1	1	1	1	1	1	2	4	1	1	2	1	1	1	1	4	1	1	1	1	1	2	1	1	1	1	1	2
