step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17
1	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.731920911440331	-1	3	8	9	9	12	14	13	15	19	16	17	19	17	18	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	7	8	7	8	10	9	9	10	9	10	11	11
500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.342910767337083	-1	3	8	9	9	12	14	13	15	19	16	17	19	17	18	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	7	8	7	8	10	9	9	10	9	10	11	11
1000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.162331406960368	-1	3	8	9	9	12	14	13	15	19	16	17	19	17	18	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	7	8	7	8	10	9	9	10	9	10	11	11
1500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.152175826789080	-1	3	8	9	9	12	14	13	15	19	16	17	19	17	18	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	7	8	7	8	10	9	9	10	9	10	11	11
2000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.145948116723669	-1	3	8	9	9	12	14	13	15	19	16	17	19	17	18	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	7	8	7	8	10	9	9	10	9	10	11	11
2500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.150885591896071	-1	3	8	9	9	12	14	13	15	19	16	17	19	17	18	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	7	8	7	8	10	9	9	10	9	10	11	11
3000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.181305782930360	-1	3	8	9	9	12	14	13	15	19	16	17	19	17	18	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	7	8	7	8	10	9	9	10	9	10	11	11
3500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.150259347061154	-1	3	8	9	9	12	14	13	15	19	16	17	19	17	18	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	7	8	7	8	10	9	9	10	9	10	11	11
4000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.157847736722420	-1	3	8	9	9	12	14	13	15	19	16	17	19	17	18	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	7	8	7	8	10	9	9	10	9	10	11	11
4500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.113092307848382	-1	3	8	9	9	12	14	13	15	19	16	17	19	17	18	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	7	8	7	8	10	9	9	10	9	10	11	11
5000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.135612067157415	-1	3	8	9	9	12	14	13	15	19	16	17	19	17	18	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	7	8	7	8	10	9	9	10	9	10	11	11
5500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.152259373701599	-1	3	8	9	9	12	14	13	15	19	16	17	19	17	18	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	7	8	7	8	10	9	9	10	9	10	11	11
6000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.120611959727610	-1	3	8	9	9	12	14	13	15	19	16	17	19	17	18	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	7	8	7	8	10	9	9	10	9	10	11	11
