step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72
5000	-453.306677960254376	-451.752381987049148	-1.554295973205239	0.000015267409168	0.000018930311567	1.239916436309690	0.595004931768987	3	7	8	8	10	12	12	13	14	14	14	13	15	14	15	16	16	16	16	17	15	15	16	16	16	16	17	18	19	18	18	20	19	17	22	18	20	23	20	23	22	25	25	24	26	25	26	27	26	26	28	27	27	28	30	29	30	30	29	31	30	32	29	33	34	35	39	39	40	43	43	48	0	1	2	2	3	5	2	5	6	12	12	2	5	7	7	7	8	9	10	10	11	12	13	6	14	10	22	19	23	23	24	19	34	25	37	19	13	35	23	35	37	41	38	40	46	37	41	46	38	0	49	44	46	52	56	53	48	42	51	52	63	63	42	60	64	62	64	66	68	69	69	0	1	2	1	1	1	1	2	1	1	1	1	3	2	1	2	3	1	2	1	2	1	1	1	2	1	1	2	1	2	1	1	2	1	1	1	1	2	1	2	1	2	2	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	3	1	2	1	2	1	1	1	2	2	2	1	2	2	1
5500	-456.628059570999369	-455.131955814819548	-1.496103756179847	0.000023178840044	0.000025302724058	1.091630297742924	0.739157780317933	0	6	8	9	10	10	12	13	13	14	13	12	14	15	15	15	16	16	16	18	15	15	16	15	17	18	17	19	18	18	18	20	17	18	21	19	20	22	21	23	23	25	22	24	25	25	25	27	26	27	28	27	26	29	28	28	29	29	31	31	31	31	29	33	35	37	39	39	40	42	42	48	0	1	2	3	2	3	5	5	6	12	5	5	5	7	7	7	8	9	10	10	11	12	13	6	14	10	22	19	23	23	24	19	14	25	37	19	13	37	23	35	38	38	37	40	41	37	41	46	42	0	49	44	41	52	53	53	48	47	51	52	63	63	42	60	64	63	65	66	66	68	69	0	1	3	1	1	2	1	1	2	1	1	2	1	2	2	2	1	2	2	1	2	1	2	1	3	1	2	1	2	1	2	1	3	1	1	1	2	2	1	2	1	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	3	2	1	2	1	2	1
6000	-423.163890702259607	-421.795657737965030	-1.368232964294576	0.000042089957921	0.000020598764132	0.489398544206106	0.650780458419522	2	6	7	8	10	12	12	13	13	14	12	14	15	14	15	15	16	16	16	16	16	14	16	17	16	16	16	19	19	17	18	19	18	18	21	19	19	22	20	22	23	25	24	24	24	26	26	27	26	26	27	26	28	29	29	29	30	30	29	31	31	32	29	35	34	35	40	39	39	42	42	46	0	1	2	2	3	5	5	5	6	11	2	11	5	7	7	7	8	9	10	10	11	11	13	6	14	10	22	19	23	23	6	19	25	25	37	19	13	37	23	37	38	38	38	40	37	41	41	41	40	0	42	44	47	52	53	53	47	37	51	52	63	61	38	60	60	61	64	66	66	68	69	0	1	2	1	1	1	1	1	2	1	1	3	1	2	1	2	1	1	2	1	1	2	1	1	3	1	1	1	2	2	1	3	2	1	1	1	1	2	2	2	2	1	2	1	1	2	1	2	2	3	1	1	1	1	1	1	1	2	5	1	2	1	1	3	1	2	2	2	2	1	2	2	1
6500	-447.075066080194915	-445.362508010758347	-1.712558069436557	0.000120131835238	0.000023991250987	0.199707687301347	0.600611485287382	2	7	6	8	10	13	13	13	13	15	14	15	13	15	16	15	17	15	17	18	15	16	17	17	16	16	16	20	15	17	18	20	19	17	21	19	20	22	21	23	22	25	25	24	26	25	25	27	26	27	27	27	28	29	29	30	31	31	30	32	31	32	30	35	34	35	38	38	39	43	41	49	0	3	1	2	2	4	5	5	3	13	3	11	5	5	5	13	8	6	10	10	9	6	29	9	7	10	11	19	13	29	15	20	25	14	37	20	13	39	23	35	35	39	38	40	41	37	41	46	38	0	43	42	41	42	48	45	53	53	51	52	63	63	47	65	60	61	64	66	66	71	69	0	1	1	1	1	2	3	2	1	3	1	4	1	2	2	3	1	3	2	1	2	1	2	2	2	2	1	1	2	1	1	2	1	1	1	1	1	2	1	2	1	1	2	2	1	2	2	2	1	1	1	1	1	3	2	1	2	2	2	1	2	1	1	2	1	1	2	2	2	2	1	1	1
7000	-515.307635440693275	-513.828738748403907	-1.478896692289323	0.000140755421384	0.000043689582001	0.310393600272624	0.520923492787055	3	7	6	9	11	10	12	12	13	14	13	15	14	15	14	14	15	15	15	17	16	16	16	16	17	17	17	19	19	17	19	19	19	19	21	20	20	22	21	23	22	24	23	24	26	25	26	28	27	26	26	26	25	27	29	30	31	30	29	31	30	33	31	34	34	36	39	39	39	43	42	48	0	1	1	2	2	2	3	4	8	7	5	16	8	7	7	6	5	9	16	10	11	12	16	9	14	10	11	11	23	7	6	10	16	15	37	10	13	35	23	39	37	30	38	40	46	41	41	51	53	0	53	44	37	47	46	48	42	42	47	47	49	63	47	52	47	61	64	62	66	68	68	0	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	2	3	1	1	2	2	1	1	2	1	1	2	3	2	1	4	2	2	2	1	3	2	1	2	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	2	1	3	3	2	2	2	1	3	4	4	2	3	3	1	2	2	1
7500	-547.530431816238888	-545.626470213562357	-1.903961602676489	0.000148078072422	0.000022929923442	0.154850229120469	0.416216733732664	3	7	7	9	10	12	13	12	14	15	13	12	15	14	15	15	17	15	16	17	14	16	16	17	17	16	16	19	17	17	19	18	19	18	21	19	21	23	21	23	22	25	25	23	26	25	24	27	27	26	27	28	28	28	30	29	29	28	31	31	29	33	28	34	34	36	37	40	41	42	41	48	0	1	1	2	2	2	4	3	4	2	3	2	5	8	6	3	5	6	21	22	4	12	6	16	7	21	12	26	13	2	25	21	15	30	13	19	17	13	16	23	23	44	40	37	37	2	38	41	47	0	43	49	35	48	53	41	43	46	56	61	23	41	46	46	48	56	52	66	67	66	66	0	1	2	2	1	2	3	2	3	2	3	3	3	3	1	1	4	3	1	1	1	3	2	3	1	3	1	2	2	1	6	1	3	2	1	4	2	2	3	2	2	3	1	1	1	2	8	1	3	1	1	1	1	3	1	1	4	2	1	1	1	5	6	1	5	2	4	5	2	1	3	3	1
8000	-495.886897674641602	-494.036128771292454	-1.850768903349126	0.000157968713262	0.000026115784715	0.165322513396959	0.563921256149968	2	8	8	9	10	12	12	12	14	15	14	13	14	14	15	14	14	15	17	17	15	16	17	17	18	16	17	19	16	18	19	19	19	16	22	18	20	23	20	23	22	23	24	24	25	25	26	26	26	26	26	26	28	27	28	29	30	30	29	30	31	33	31	33	34	35	39	40	41	40	43	47	0	1	1	1	3	4	5	5	6	4	3	2	7	7	7	7	8	9	10	10	11	12	13	29	34	11	22	19	5	13	9	19	34	7	39	22	13	39	13	37	13	39	42	39	41	44	46	38	41	0	38	42	46	40	45	47	47	44	49	49	45	59	59	38	60	63	65	62	66	63	69	0	1	3	2	3	1	2	1	1	1	2	2	3	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	3	3	2	1	1	2	1	2	3	2	3	1	4	2	1	3	2	1	1	2	2	1	1	2	2	2	2	1	2	4	2	2	4	2	2	4	2	2	3	4	2	6	1	1
8500	-536.503164988798176	-534.878878948192664	-1.624286040605556	0.000151986621184	0.000034950655144	0.229958761317618	0.513545322891501	3	7	5	7	10	12	13	11	12	15	12	15	14	14	15	15	15	15	17	17	13	17	16	17	15	16	16	19	18	17	19	18	19	18	21	19	21	21	20	22	22	25	25	24	25	26	25	27	27	26	28	28	29	27	28	28	31	29	30	31	30	32	30	34	34	36	36	37	40	43	40	48	0	3	1	3	4	2	5	5	5	21	2	21	5	5	2	14	8	9	6	12	11	10	13	8	5	2	12	12	7	13	3	19	34	7	29	32	31	39	23	39	29	38	41	41	38	38	29	31	38	0	38	45	45	44	42	37	42	47	46	48	56	52	31	60	38	42	53	57	66	63	68	0	1	2	1	1	1	3	3	1	1	2	2	1	2	2	4	1	2	1	2	1	1	1	1	4	2	4	1	2	4	1	6	1	1	1	1	1	1	1	2	1	2	3	2	1	3	2	4	4	3	1	4	2	2	2	1	4	3	2	2	2	1	2	5	2	7	7	4	2	2	6	1	1
9000	-517.911564095351878	-516.063553813145973	-1.848010282205912	0.000202744039460	0.000033635284001	0.165900236032960	0.506788827309399	2	7	8	8	10	12	12	12	14	15	13	13	14	14	16	15	16	16	17	17	16	17	15	17	17	18	16	19	19	17	18	20	19	17	22	18	19	21	22	20	22	24	25	24	25	26	25	27	27	25	28	28	27	28	29	30	30	30	30	32	31	31	31	32	34	36	40	40	41	42	42	48	0	1	1	1	3	4	5	3	6	12	2	3	6	8	7	14	4	9	11	10	12	12	13	8	14	10	11	12	23	21	18	27	34	14	5	21	34	13	30	17	13	23	40	37	6	47	44	47	21	0	44	46	43	44	49	53	47	49	46	48	43	42	51	56	54	65	57	65	66	62	68	0	1	3	2	3	1	2	1	2	1	1	3	2	1	1	2	1	4	2	2	1	3	2	1	2	2	1	2	2	2	1	1	2	1	1	8	1	1	3	2	3	4	5	2	2	7	1	1	2	4	1	2	1	1	2	1	2	3	1	2	2	3	4	1	1	3	2	6	4	2	5	2	1
9500	-536.869983606598453	-535.008683672000416	-1.861299934598015	0.000175707071885	0.000028666625407	0.163150094640445	0.476310757198327	2	7	6	9	10	13	12	12	14	15	12	14	14	13	14	15	16	15	16	17	15	16	16	17	18	18	17	18	19	18	18	19	19	18	22	20	19	22	22	24	22	23	25	23	25	26	25	25	26	26	27	27	28	27	30	28	30	30	31	31	29	32	31	34	34	36	38	40	40	43	41	48	0	1	1	1	4	4	2	4	3	8	3	11	7	5	4	14	2	11	12	11	11	12	5	2	23	11	22	19	13	23	17	19	34	17	29	28	24	13	37	42	24	37	42	37	37	48	23	44	5	0	40	40	49	38	41	45	42	47	48	37	47	51	43	57	47	53	63	65	63	62	65	0	1	4	3	3	1	2	3	1	3	1	2	1	1	2	2	1	6	2	1	3	2	1	3	4	1	3	1	1	3	1	1	2	1	1	2	1	1	5	1	1	2	2	1	2	4	1	5	1	7	1	2	1	1	2	3	2	3	3	3	7	2	2	3	2	5	4	3	4	4	7	3	1
