step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71
1	-1390.469307695090265	-1397.324795646049552	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.858934903984172	1	1	3	4	4	5	5	6	6	6	5	6	9	6	9	6	6	8	8	8	7	9	8	9	10	9	10	11	9	13	10	9	11	10	10	12	10	11	12	11	12	12	11	12	12	12	12	13	14	13	12	14	14	14	14	13	15	14	15	16	17	16	17	17	18	19	18	21	20	21	23	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	3	2	3	4	3	4	3	3	4	4	4	3	4	4	4	5	4	5	5	4	6	5	4	5	5	5	6	5	5	6	5	6	6	5	6	6	6	6	6	7	6	6	7	7	7	7	6	7	7	7	8	8	8	8	8	9	9	9	10	10	10	11
500	-453.220729229342453	-460.076217180301853	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.438512200891896	0	2	4	4	4	5	5	5	6	5	6	6	8	6	10	6	6	9	8	8	7	9	8	8	10	9	11	11	10	13	10	8	11	10	10	13	9	11	11	11	13	12	11	13	10	13	12	14	15	14	12	14	14	14	15	13	15	14	15	15	16	15	17	17	18	19	18	21	19	21	23	0	1	1	1	2	3	3	2	3	4	6	5	5	5	24	3	10	7	3	10	11	14	9	12	13	21	12	15	6	19	21	14	12	20	17	25	21	45	26	12	45	32	3	38	24	22	25	25	39	46	32	43	26	30	44	25	46	47	39	42	47	36	60	39	33	25	51	36	51	51	51	1	1	2	3	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	1	1	1	2	1	1	2	1	2	2	1	1	3	2	2	2	1	1	2	2	3	2	3	2	1	2	1	2	2	1	2	1	2	1	1	2	2	1	2	2	2	1	1	4	2	5	3	4	5	5	7
1000	-416.805806013875383	-423.661293964834783	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.585284863960694	1	2	3	4	4	6	5	4	7	5	5	6	8	6	9	7	7	8	7	8	7	8	9	10	10	10	10	12	8	14	10	9	9	9	10	12	11	12	11	11	12	12	11	13	11	12	12	12	15	13	11	15	13	15	14	13	15	14	16	15	17	17	17	17	19	19	17	21	19	21	24	0	1	1	2	2	11	3	3	4	4	3	3	4	11	18	4	10	7	4	10	11	14	16	18	13	21	12	15	8	45	21	22	16	20	10	18	26	45	31	27	45	32	33	38	19	32	25	25	39	42	32	43	39	41	38	48	51	36	21	42	25	36	57	59	52	47	60	62	63	67	67	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	2	3	1	1	1	3	2	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	2	1	2	2	1	2	1	4	2	3	2	1	1	1	5	1	3	1	2	3
1500	-421.266406038365233	-428.121893989324633	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.644540061972262	0	2	2	5	5	6	5	6	5	6	4	5	9	6	9	6	7	8	8	8	7	9	9	8	10	8	8	11	10	13	10	9	11	10	10	12	10	11	12	11	12	12	10	12	9	12	11	14	14	13	13	15	13	15	13	11	15	15	15	16	17	14	17	17	19	20	18	20	20	22	24	0	1	1	1	1	11	3	2	2	4	3	3	4	11	3	12	10	7	4	10	12	14	16	4	13	21	8	15	7	45	26	14	23	20	17	25	26	45	26	27	38	32	11	38	9	32	13	56	39	46	42	33	26	41	44	13	46	47	39	46	25	25	51	59	33	62	57	48	63	67	69	1	1	1	2	2	1	2	2	2	1	1	2	2	1	2	1	1	2	2	1	1	2	2	2	1	1	1	1	2	2	1	2	1	1	2	2	1	1	1	2	1	2	4	1	2	2	1	2	1	1	1	2	3	2	1	1	2	2	2	2	3	1	2	1	5	3	2	3	1	2	2
2000	-403.072125596479111	-409.927613547438511	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.697900037359674	1	2	3	3	5	6	4	6	6	5	5	5	9	6	9	7	6	7	8	9	7	8	8	8	10	9	10	11	9	14	9	9	12	9	10	11	11	11	12	12	12	12	10	13	9	13	13	13	15	13	12	14	15	14	14	13	15	15	15	15	17	16	17	17	17	19	19	22	19	22	24	0	1	2	2	2	11	3	3	4	4	3	3	5	11	23	3	10	7	9	10	6	14	11	12	5	21	8	15	8	45	21	22	43	10	17	5	21	45	26	12	45	32	23	38	19	32	36	25	39	42	32	33	39	41	44	36	32	47	39	42	47	25	60	59	33	62	51	61	57	67	63	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	3	1	1	1	1	2	1	2	1	1	2	1	1	1	2	3	2	2	1	2	3	1	2	1	2	1	2	1	2	1	1	2	2	2	2	1	1	3	1	1	2	2	3	1	1	2	1	2	3	2	1	3
2500	-415.716687751806660	-422.572175702766060	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.642610159024648	1	2	3	3	5	4	5	5	6	5	5	5	9	6	9	6	7	8	7	8	7	8	9	9	10	9	10	11	9	11	9	9	12	11	11	12	11	12	11	12	13	11	11	13	11	13	12	14	14	13	12	15	14	15	14	14	16	15	16	15	17	16	17	18	19	18	18	20	21	21	23	0	1	2	2	2	3	3	3	4	4	6	3	6	11	3	3	10	7	12	10	11	14	16	5	9	21	12	15	8	19	21	22	15	20	17	25	26	19	26	27	30	32	16	38	19	32	25	36	26	42	32	33	39	41	38	25	51	56	49	51	47	56	57	59	33	62	60	61	63	67	69	1	1	1	1	2	1	1	1	2	1	1	1	4	1	2	2	1	2	1	1	1	1	2	1	1	1	3	1	2	2	1	1	2	2	1	1	1	2	1	2	1	2	2	1	2	2	1	1	3	2	2	1	1	1	1	3	3	1	1	1	2	1	1	1	3	1	1	2	2	2	1
3000	-385.278655427988610	-392.134143378948011	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.710653086536388	0	2	3	4	5	5	5	7	6	5	6	7	8	6	10	5	7	8	8	8	8	10	8	10	10	9	11	11	10	11	10	8	11	10	10	12	11	10	12	12	13	12	8	12	13	12	12	14	14	13	11	15	14	14	11	12	15	15	15	16	16	15	18	17	19	18	17	21	20	20	23	0	1	2	2	2	3	3	3	4	4	6	1	8	6	23	3	10	7	4	10	12	32	16	18	19	21	24	15	12	38	21	14	43	20	17	25	26	12	26	27	30	32	9	38	30	32	25	56	39	32	32	33	39	44	38	25	42	47	39	57	47	36	57	59	52	62	46	61	63	63	69	1	1	1	1	2	1	1	2	1	1	1	3	1	1	1	1	1	2	2	2	1	1	2	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	2	2	1	1	1	1	2	2	2	1	2	1	2	1	2	2	2	2	1	1	2
3500	-414.003122061887552	-420.858610012846952	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.735736720629633	1	2	3	4	4	4	5	5	7	6	6	5	9	6	9	6	7	8	8	8	8	9	9	9	10	9	10	11	9	11	10	9	11	10	11	9	11	11	12	12	12	11	12	13	13	12	12	12	12	13	12	15	14	15	13	14	16	14	15	15	17	16	16	17	18	19	18	21	20	20	22	0	1	1	2	2	3	6	3	8	4	6	3	1	6	16	8	10	7	4	10	11	18	16	7	36	21	24	15	5	19	21	14	18	20	17	19	26	13	26	27	30	22	33	38	30	32	13	25	21	42	32	43	39	38	38	48	51	13	53	42	47	58	46	59	43	62	22	61	67	67	51	1	1	2	1	1	1	1	1	1	2	1	1	4	1	1	1	1	2	2	1	2	1	2	2	1	1	1	1	3	2	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	3	1	1	2	2	1	2	2	1	2	1	3	1	4	2	1	1	5
4000	-385.919292458639347	-392.774780409598748	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.731571458191214	0	2	4	3	4	5	6	6	6	4	6	6	8	6	9	7	7	8	8	8	6	9	8	9	10	10	10	11	9	10	10	10	10	10	11	12	11	11	12	11	13	12	11	13	13	12	13	14	14	13	13	13	15	15	14	12	15	15	16	16	18	16	17	17	18	20	18	22	21	21	23	0	1	4	2	1	3	3	3	4	4	6	3	5	6	16	3	10	7	8	17	3	14	12	3	13	21	12	15	8	9	21	22	16	20	17	25	26	30	31	27	30	22	33	38	30	32	25	56	26	42	32	33	39	41	38	25	46	47	53	42	47	25	57	59	33	61	63	61	63	63	63	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1	1	2	1	2	1	2	2	1	2	1	2	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	2	1	1	2	2	2	1	1	3	1	1	2	2	2	2
4500	-398.377589017041885	-405.233076968001285	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.670693852238070	1	2	3	4	4	6	4	5	6	6	4	5	8	6	9	5	7	8	8	8	8	8	8	9	11	9	9	11	9	10	11	10	11	10	10	13	10	11	13	11	13	12	10	13	12	12	13	12	13	14	12	15	15	15	14	14	16	15	16	15	17	17	17	17	16	20	19	21	20	21	24	0	1	2	2	1	11	3	3	2	4	3	3	5	11	19	3	10	7	9	10	6	14	16	12	13	21	9	15	8	19	21	22	16	20	17	25	26	30	26	27	30	32	23	38	30	32	25	25	31	51	32	33	39	41	44	25	51	47	21	42	47	36	57	59	43	62	57	47	57	69	67	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	1	1	2	2	2	2	1	1	1	2	1	2	1	4	1	2	1	1	1	2	2	1	1	1	1	2	1	2	1	1	1	1	2	1	2	1	2	2	1	4	2	1	2	1	1	4	2	2	2	2	1	2
