step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13
1	-303.865004592335140	-302.402922507816243	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.936166080159452	0	2	5	4	3	3	5	5	5	6	6	8	9	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	2	3	3	3	3	3	4	5
500	-137.308943389469874	-135.195582717385236	-2.113360672084631	0.000010026399256	0.000026475802077	2.640609195941069	0.826817304084623	1	2	6	5	4	4	5	5	6	6	7	8	10	0	1	2	1	2	2	5	6	6	6	8	9	10	1	1	2	2	1	1	1	1	1	1	2	1	2
1000	-133.029965506361776	-130.677308827938617	-2.352656678423147	0.000010067869674	0.000033360586205	3.313569532168702	0.894068076707629	1	2	6	4	3	3	5	5	4	6	7	9	9	0	1	2	2	2	2	5	6	6	6	8	9	10	1	1	2	1	1	1	1	1	1	1	1	2	1
1500	-134.548281146559646	-131.607005721426475	-2.941275425133166	0.000010086273347	0.000053039438293	5.258576331420003	0.770410544618056	1	2	4	4	4	4	6	5	5	7	7	9	9	0	1	2	2	1	2	5	6	6	6	8	9	10	1	1	1	1	1	1	1	1	1	2	2	2	1
2000	-131.588012487540567	-129.058342913705303	-2.529669573835251	0.000010103780884	0.000038923252939	3.852345313833974	0.745732448668058	1	2	4	5	3	3	5	5	5	5	6	8	9	0	1	2	1	1	2	5	6	6	6	8	9	10	1	1	1	2	1	1	1	1	1	1	1	2	2
2500	-133.708979156983020	-131.257685335028157	-2.451293821954853	0.000010052527141	0.000036281857064	3.609227466357086	0.695445026973529	-1	2	4	4	3	3	5	4	6	7	7	8	8	0	1	2	2	2	2	5	6	6	6	8	9	10	1	1	1	1	1	1	1	1	2	2	2	1	1
3000	-131.458817406057875	-129.348656318603389	-2.110161087454473	0.000010084689643	0.000026542958588	2.632005498314202	0.780784929457470	-1	2	5	4	2	3	5	5	5	6	7	8	8	0	1	2	2	1	2	5	6	6	6	8	9	10	1	1	1	1	1	1	2	1	1	2	1	1	1
3500	-132.412830331096302	-130.325619411433479	-2.087210919662816	0.000010586939049	0.000027214530602	2.570575921534175	0.772762840720524	0	2	4	3	2	2	5	5	6	6	7	8	8	0	1	2	2	1	1	5	6	6	6	8	9	10	1	1	1	1	1	1	1	2	2	1	1	1	1
4000	-130.322384057952263	-127.324026411252845	-2.998357646699427	0.000010592169043	0.000057959978631	5.471965033329284	0.654809451390953	1	2	4	4	4	3	6	4	6	7	6	8	9	0	1	1	2	1	2	5	6	6	6	8	9	10	1	1	2	1	2	1	1	1	2	2	1	1	1
4500	-128.550952929518530	-125.958784734835035	-2.592168194683497	0.000011502969383	0.000046605481074	4.051604374633420	0.890211171116470	0	2	5	4	3	3	6	5	5	6	6	9	9	0	1	2	2	2	2	5	6	6	6	8	9	10	1	1	2	1	1	1	2	1	1	1	1	2	1
